Data,Predicted,Reference
Train,[102.92968994980235],[125.53]
Train,[86.85927704458176],[85.28]
Train,[89.85102178762293],[83.06]
Train,[92.31792934132629],[156.44]
Train,[102.43089932252624],[125.92]
Train,[100.51092995309305],[105.57]
Train,[95.17852833310975],[114.51999999999998]
Train,[74.77924793051132],[85.6]
Train,[97.18118075355096],[37.93000000000001]
Train,[93.41793303943435],[91.14]
Train,[99.54931872309179],[73.07]
Train,[75.52631652157184],[97.18000000000002]
Train,[89.8340529062891],[70.11]
Train,[94.58171869615259],[99.12]
Train,[89.08791571660086],[91.4]
Train,[83.15773838500246],[35.71000000000001]
Train,[80.17529474960213],[68.84]
Train,[98.29298607516454],[105.45]
Train,[88.81213344933751],[95.85]
Train,[100.58027301678813],[107.47]
Train,[101.32558425360703],[103.10000000000001]
Train,[90.93326724955067],[130.99]
Train,[86.8864965642306],[69.18]
Train,[91.23033473182991],[103.93000000000002]
Train,[89.41716478869078],[91.48]
Train,[90.30558886826991],[90.96]
Train,[87.49746274439174],[95.84000000000002]
Train,[98.63257007820312],[93.39000000000001]
Train,[92.66272724080531],[157.03]
Train,[94.36612939773934],[90.68]
Train,[97.98206645874545],[81.48]
Train,[94.90372104520934],[93.27]
Train,[77.64768045600935],[27.490000000000002]
Train,[75.8796658396289],[84.68]
Train,[80.11002650933045],[97.37]
Train,[89.15030395967783],[103.85]
Train,[102.5356349603259],[128.18]
Train,[87.84141970318446],[70.08]
Train,[88.58477780145628],[70.36]
Train,[91.87992452208941],[75.46]
Train,[86.61451130544589],[60.36]
Train,[89.04464060222317],[89.34]
Train,[88.033413060275],[76.98]
Train,[93.8683183133473],[99.05]
Train,[74.36190504725086],[53.46]
Train,[85.39579934247772],[79.12]
Train,[94.73238042127213],[97.83999999999999]
Train,[92.45895688972934],[147.43]
Train,[83.69642922991967],[96.07]
Train,[89.33232771043448],[123.61]
Train,[89.41159539959189],[43.86]
Train,[87.46491383509822],[22.250000000000004]
Train,[93.93566029172793],[105.34000000000002]
Train,[91.52487933694582],[99.53]
Train,[94.88606080986935],[92.22]
Train,[95.89536907867408],[165.98]
Train,[85.31089440921475],[30.17]
Train,[80.65615143418133],[115.81]
Train,[90.44293838305408],[87.71]
Train,[94.04151041940085],[127.13]
Train,[81.4569777419321],[75.11]
Train,[95.7724639975613],[48.70000000000001]
Train,[79.95891031159994],[96.73000000000002]
Train,[104.25207378586538],[96.32]
Train,[76.62144896334904],[86.39]
Train,[106.13074060109462],[95.96]
Train,[102.02070436202219],[122.36]
Train,[80.45751557887135],[115.95000000000002]
Train,[90.55974572982119],[96.49999999999999]
Train,[99.47852679701168],[105.71]
Train,[104.15642683135567],[124.54]
Train,[99.18996730696145],[92.11]
Train,[99.06758396304508],[110.66]
Train,[91.09832281698353],[81.76]
Train,[101.53948125112244],[175.87]
Train,[98.18207462456293],[130.86]
Train,[88.19450293253846],[66.62]
Train,[92.09557593332819],[167.90999999999997]
Train,[87.80783265697367],[79.95]
Train,[84.16444029842218],[62.32]
Train,[90.30607704654442],[84.8]
Train,[79.93971634978432],[75.7]
Train,[100.92183878124676],[117.83]
Train,[94.37269539711109],[114.83000000000001]
Train,[82.72445800191818],[38.26]
Train,[86.85666754068964],[89.38000000000001]
Train,[84.74412405797207],[82.97]
Train,[91.92384596172461],[102.72]
Train,[86.83083871155493],[96.07]
Train,[92.52716910654372],[84.61]
Train,[80.46457421161449],[115.94000000000001]
Train,[92.11709234736564],[97.08999999999999]
Train,[96.02056762034705],[90.42000000000002]
Train,[98.23012782654183],[51.72999999999999]
Train,[93.99148481601325],[116.36]
Train,[63.091541546419194],[41.31000000000001]
Train,[98.96358787216835],[87.81]
Train,[79.56640269601098],[46.37]
Train,[90.4625155997107],[60.940000000000005]
Train,[86.81229917015062],[69.17]
Train,[89.98748921326118],[74.61]
Train,[92.92795608549677],[163.47]
Train,[86.06790550963083],[25.86]
Train,[102.47179199512613],[118.91000000000001]
Train,[91.28580994624578],[78.47]
Train,[85.7500577044766],[28.049999999999997]
Train,[97.38361843919309],[98.71999999999998]
Train,[89.87618266452097],[106.08]
Train,[93.48382437770452],[68.06]
Train,[81.57520068112505],[107.97]
Train,[95.84584361391774],[116.67]
Train,[86.59631692936814],[90.04]
Train,[100.17295865008406],[87.44999999999999]
Train,[86.6044598841949],[36.48]
Train,[92.93325074494538],[42.79]
Train,[90.35912396594219],[110.34]
Train,[80.29025232532442],[109.10999999999999]
Train,[101.28245593090135],[120.28]
Train,[86.21678445952088],[86.31]
Train,[90.60245364581141],[75.03]
Train,[92.78647493989396],[156.97]
Train,[97.46480309166915],[101.87]
Train,[87.52034454517953],[93.5]
Train,[89.4910546771726],[103.54]
Train,[83.30018363739102],[75.79]
Train,[87.5217754480593],[100.88000000000001]
Train,[92.11169058771456],[112.13]
Train,[90.39505565911574],[98.83]
Train,[87.00953478925678],[70.36]
Train,[88.88167183226074],[114.30999999999999]
Train,[101.12193375038447],[78.91]
Train,[118.31340086651221],[87.34]
Train,[79.90738021157688],[98.93999999999998]
Train,[91.10999439800712],[78.51]
Train,[89.7505332694817],[36.52]
Train,[86.0876867628666],[87.02]
Train,[83.41297798704645],[80.2]
Train,[90.91579735885134],[77.7]
Train,[87.18359551880647],[79.87]
Train,[80.14764800011541],[89.87]
Train,[91.88117150593226],[81.5]
