Data,Predicted,Reference
Train,[94.37824339546646],[125.53]
Train,[86.70404675589235],[85.28000000000002]
Train,[97.24196351137098],[83.06]
Train,[83.70836850587781],[156.44]
Train,[93.9934032417531],[125.92]
Train,[106.83088635949706],[105.57000000000001]
Train,[94.03505483218734],[114.52]
Train,[76.68053777629893],[85.6]
Train,[97.25161810840424],[37.93]
Train,[99.2428908313383],[91.14]
Train,[88.99974040572626],[73.07]
Train,[85.42810318835865],[97.18]
Train,[77.06610153244335],[70.11]
Train,[99.10171286243994],[99.12]
Train,[113.77537602211636],[91.39999999999999]
Train,[90.1148638799631],[35.71]
Train,[72.3598568600967],[68.84]
Train,[89.40866779987036],[105.45]
Train,[107.87243288626038],[95.85]
Train,[100.46879399721196],[107.47]
Train,[100.5723161549876],[103.1]
Train,[86.3051924902707],[130.99]
Train,[86.57263891386249],[69.18]
Train,[97.12217034943345],[103.93]
Train,[95.84663216208222],[91.48000000000002]
Train,[91.69874229454467],[90.96]
Train,[83.91161192834588],[95.84]
Train,[89.83271555897615],[93.39]
Train,[84.85775198423687],[157.03]
Train,[97.04171078956281],[90.68]
Train,[91.36343086892218],[81.48]
Train,[95.7486435134638],[93.27]
Train,[78.1629160024926],[27.490000000000006]
Train,[99.46878317338839],[84.68000000000002]
Train,[90.33089377413663],[97.36999999999999]
Train,[102.64876782722979],[103.85]
Train,[105.31542724393255],[128.18]
Train,[93.74131770646888],[70.08]
Train,[87.62701097494873],[70.36]
Train,[85.20910316600934],[75.46]
Train,[88.07942020924172],[60.36]
Train,[90.17195872886325],[89.34]
Train,[89.70638152036601],[76.98]
Train,[98.84552771450471],[99.05]
Train,[71.02250156237089],[53.46]
Train,[95.96484769147867],[79.12]
Train,[98.14869157603889],[97.84]
Train,[82.90120870472612],[147.43]
Train,[93.89933570385574],[96.07]
Train,[85.0899696966616],[123.61]
Train,[81.33337644844023],[43.86]
Train,[79.95811576220716],[22.250000000000004]
Train,[92.15514978245444],[105.34]
Train,[91.42253767689105],[99.53]
Train,[93.71707461302024],[92.22]
Train,[90.88238503726221],[165.98]
Train,[90.83212471503683],[30.169999999999995]
Train,[75.62335737317711],[115.80999999999999]
Train,[100.34697663312899],[87.71]
Train,[98.5709196162945],[127.13]
Train,[100.25537842227037],[75.11]
Train,[94.2490593407785],[48.7]
Train,[89.37104117886597],[96.73000000000002]
Train,[88.46516144322715],[96.32]
Train,[99.57422911368599],[86.39]
Train,[82.93898903631784],[95.96]
Train,[93.57843234815017],[122.36]
Train,[93.4112025972339],[115.95]
Train,[90.05492811755244],[96.49999999999999]
Train,[93.65096476129946],[105.71]
Train,[94.15392500664893],[124.54]
Train,[96.28163811352259],[92.11]
Train,[88.5550758316993],[110.66]
Train,[85.61248793061388],[81.76]
Train,[92.10901565866816],[175.87]
Train,[89.3814921697715],[130.86]
Train,[88.23763074199354],[66.62]
Train,[92.09178731639702],[167.91000000000003]
Train,[90.63171482026921],[79.95]
Train,[82.05068969235668],[62.32]
Train,[93.62680254498851],[84.8]
Train,[88.31296031288599],[75.7]
Train,[95.83895138197384],[117.83]
Train,[94.05391097232202],[114.83000000000001]
Train,[77.12041309108797],[38.26]
Train,[91.25597782289404],[89.38]
Train,[84.8339007297159],[82.96999999999998]
Train,[97.4772243902661],[102.72]
Train,[85.18348045157569],[96.07]
Train,[85.82772710746619],[84.61]
Train,[93.54228161488462],[115.94]
Train,[82.53987929550358],[97.09]
Train,[95.6684063420767],[90.42000000000002]
Train,[93.01097496150683],[51.73]
Train,[98.26945429433727],[116.36]
Train,[93.60751805279115],[41.31]
Train,[97.5225037762086],[87.80999999999999]
Train,[77.13100457445846],[46.37]
Train,[83.39621961212715],[60.94]
Train,[79.43696552743697],[69.17]
Train,[86.33363317650341],[74.61]
Train,[90.06633299815518],[163.47]
Train,[78.26737825203801],[25.859999999999996]
Train,[98.88374214914869],[118.91000000000001]
Train,[87.229573653518],[78.47]
Train,[81.47595399658803],[28.05]
Train,[98.20119122386359],[98.72]
Train,[91.56112185772568],[106.08]
Train,[91.26373887626397],[68.06]
Train,[76.27666683140421],[107.97]
Train,[98.2954733660588],[116.67]
Train,[87.17866904431934],[90.03999999999999]
Train,[101.51246212388976],[87.45]
Train,[87.56456075757016],[36.48]
Train,[85.90281596194275],[42.790000000000006]
Train,[91.9624056558235],[110.34]
Train,[89.75653614805962],[109.11]
Train,[98.99098971342966],[120.28]
Train,[86.22471667780437],[86.31]
Train,[80.85561787243215],[75.03]
Train,[84.91135238591629],[156.97]
Train,[101.57221190968353],[101.87000000000002]
Train,[89.62291438098256],[93.5]
Train,[78.17735174429926],[103.54]
Train,[85.59529331572183],[75.79]
Train,[104.99676808162171],[100.87999999999998]
Train,[81.37962138296778],[112.13]
Train,[84.23971304350925],[98.83]
Train,[88.37361119214336],[70.36]
Train,[103.41523417097937],[114.31]
Train,[98.0783955189462],[78.91]
Train,[116.12426511360147],[87.34]
Train,[89.61318664450314],[98.94]
Train,[86.14255577114558],[78.51]
Train,[85.52971748947226],[36.52000000000001]
Train,[85.27261897863325],[87.02]
Train,[92.05043784090816],[80.2]
Train,[84.81976008739872],[77.7]
Train,[85.91061613640323],[79.87]
Train,[101.2473394829186],[89.87]
Train,[93.42582899317698],[81.5]
Train,[87.20116702965257],[79.89]
Train,[98.69144287510483],[140.62]
Train,[94.19074519378323],[125.51999999999998]
Train,[90.91968384432425],[34.75]
Train,[92.9861837924565],[91.95]
Train,[76.43963455426615],[64.26]
Train,[98.68258592668244],[125.72]
Train,[98.36225265186496],[116.66]
Train,[93.70584067576067],[85.77]
Train,[86.21553028029324],[99.12]
Train,[115.26752573330124],[90.1]
Train,[74.59277991907383],[54.27]
Train,[95.84819376437886],[91.07]
Train,[93.35107315426693],[89.3]
Train,[87.48321686409228],[122.3]
Train,[97.41629548870846],[101.58]
Train,[78.51399513836346],[93.10000000000001]
Train,[80.41287579499465],[99.78999999999999]
Train,[91.99937481728522],[140.91]
Train,[94.61781258907835],[87.3]
Train,[84.86871029184128],[51.26]
Train,[92.1038909229747],[85.1]
Train,[93.60604013912739],[66.84]
Train,[117.72263018605635],[77.59]
Train,[92.45112660133198],[164.14]
Train,[93.18825418845634],[37.839999999999996]
Train,[95.32288200401881],[86.48]
Train,[96.77900525700517],[118.9]
Train,[102.79567083725495],[94.51]
Train,[89.80299862060703],[24.31]
Train,[85.36518073866361],[98.32]
Train,[94.11769945173374],[71.95]
Train,[96.20606193796606],[87.9]
Train,[85.19728037642578],[89.27999999999999]
Train,[97.60357220530666],[90.82999999999998]
Train,[96.34786717302535],[85.98999999999998]
Train,[86.14024281338882],[77.24]
Train,[89.16577240504971],[99.8]
Train,[68.5608750663013],[60.24]
Train,[106.84528660862216],[69.17]
Train,[93.27131439443444],[87.89]
Train,[81.00936899386318],[26.030000000000005]
Train,[85.8796551046881],[92.66]
Train,[87.39495993424904],[78.62]
Train,[96.78892095073599],[82.35]
Train,[99.39384603844539],[90.52]
Train,[84.98443422955235],[106.16]
Train,[94.50859936510615],[115.58]
Train,[95.47396298983455],[91.99]
Train,[91.43639827124066],[177.24]
Train,[98.53824089997433],[40.57]
Train,[97.82150113313367],[97.62]
Train,[93.5893206160796],[112.77]
Train,[80.21777080940744],[122.85]
Train,[88.48908734091077],[71.17]
Train,[84.63106458535749],[135.6]
Train,[92.61807488504918],[100.32]
Train,[91.78345063723602],[106.57]
Train,[85.89994264187746],[149.58]
Train,[98.6349923329567],[95.15]
Train,[110.48107923658057],[68.67]
Train,[82.26899562405247],[92.36]
Train,[95.84634666594003],[102.61]
Train,[98.33584598360967],[106.94]
Train,[85.49532265563138],[129.78]
Train,[95.7486435134638],[85.31]
Train,[97.94906863620449],[127.01]
Train,[98.43892471463982],[80.59]
Train,[88.25180246570727],[69.83]
Train,[91.53820962731346],[77.03]
Train,[85.79568950940877],[68.01]
Train,[79.11039348921447],[94.23]
Train,[125.17614807083966],[76.18]
Train,[108.9585004336693],[111.79]
Train,[86.12547267363678],[124.83]
Train,[83.8938781020402],[90.38000000000001]
Train,[92.60999079503735],[115.01]
Train,[82.08013863367393],[95.34]
Train,[88.27872347508207],[66.26]
Train,[84.82499864487082],[140.38]
