Data,Predicted,Reference
Train,[99.84402942232946],[125.53]
Train,[88.78704785128762],[85.28]
Train,[76.77406039844924],[83.06]
Train,[98.83014252867986],[156.44]
Train,[99.3455173794038],[125.92]
Train,[93.46253732588653],[105.57]
Train,[92.22960171905859],[114.51999999999998]
Train,[90.46602440581434],[85.6]
Train,[94.54101989123113],[37.93000000000001]
Train,[100.85100104294095],[91.14]
Train,[102.50028631507574],[73.07]
Train,[98.34607938668744],[97.18000000000002]
Train,[96.74192516240768],[70.11]
Train,[100.42106459576742],[99.12]
Train,[114.24194974251492],[91.4]
Train,[97.68689729616271],[35.71000000000001]
Train,[81.52954105280543],[68.84]
Train,[116.09417775048823],[105.45]
Train,[93.62286619905915],[95.85]
Train,[100.20953964873466],[107.47]
Train,[75.90330449741504],[103.10000000000001]
Train,[113.4200062635369],[130.99]
Train,[83.24022828558726],[69.18]
Train,[91.7583989469084],[103.93000000000002]
Train,[92.07160663674497],[91.48]
Train,[109.23872760293848],[90.96]
Train,[89.42533655519745],[95.84000000000002]
Train,[109.83389992473217],[93.39000000000001]
Train,[98.75122414638118],[157.03]
Train,[100.36971614504169],[90.68]
Train,[89.16070620378281],[81.48]
Train,[97.06534544977166],[93.27]
Train,[63.79657144257175],[27.490000000000002]
Train,[82.00886954986991],[84.68]
Train,[103.8175880232553],[97.37]
Train,[89.83588083459048],[103.85]
Train,[79.60761403200303],[128.18]
Train,[107.78980019813231],[70.08]
Train,[90.95829488317094],[70.36]
Train,[99.99844931154023],[75.46]
Train,[62.61175010477303],[60.36]
Train,[104.58961268028706],[89.34]
Train,[74.16194009779556],[76.98]
Train,[101.91328566909296],[99.05]
Train,[72.45869150066713],[53.46]
Train,[81.81951234897349],[79.12]
Train,[100.34312577256053],[97.83999999999999]
Train,[101.58328547426883],[147.43]
Train,[87.04578605974976],[96.07]
Train,[94.51832629283184],[123.61]
Train,[65.62374492776146],[43.86]
Train,[70.35820340743223],[22.250000000000004]
Train,[88.65577737071355],[105.34000000000002]
Train,[106.4253132230243],[99.53]
Train,[102.52166201702931],[92.22]
Train,[91.0849792911068],[165.98]
Train,[82.47838865944634],[30.17]
Train,[84.12530661649802],[115.81]
Train,[101.83866332683657],[87.71]
Train,[101.90650014637495],[127.13]
Train,[91.05059629723854],[75.11]
Train,[92.03114804691619],[48.70000000000001]
Train,[102.55219038903243],[96.73000000000002]
Train,[95.51193331316664],[96.32]
Train,[80.31357636525915],[86.39]
Train,[93.38436626291292],[95.96]
Train,[98.07884598373768],[122.36]
Train,[85.22378697030112],[115.95000000000002]
Train,[92.162465456547],[96.49999999999999]
Train,[96.22882257724756],[105.71]
Train,[98.04130246874064],[124.54]
Train,[94.45992717263934],[92.11]
Train,[108.71482507100035],[110.66]
Train,[97.42460563494028],[81.76]
Train,[99.26287176712596],[175.87]
Train,[91.33188993001657],[130.86]
Train,[70.63173845144298],[66.62]
Train,[89.77784317795543],[167.90999999999997]
Train,[78.19714806320887],[79.95]
Train,[89.72564838104928],[62.32]
Train,[93.19343014164618],[84.8]
Train,[89.46667306895453],[75.7]
Train,[76.94180703421452],[117.83]
Train,[97.67105152066486],[114.83000000000001]
Train,[88.63938958270803],[38.26]
Train,[78.25776161278469],[89.38000000000001]
Train,[88.46958875383231],[82.97]
Train,[92.06030487188207],[102.72]
Train,[92.24343585507123],[96.07]
Train,[99.60392065308129],[84.61]
Train,[84.95257904863736],[115.94000000000001]
Train,[94.77946902197763],[97.08999999999999]
Train,[99.92772883185917],[90.42000000000002]
Train,[89.66366167066924],[51.72999999999999]
Train,[101.93120211124337],[116.36]
Train,[116.94770076518802],[41.31000000000001]
Train,[91.6433418566053],[87.81]
Train,[95.22298168641588],[46.37]
Train,[92.0006059397846],[60.940000000000005]
Train,[103.80100086031403],[69.17]
Train,[99.34249796628353],[74.61]
Train,[82.78644265255113],[163.47]
Train,[67.1194432183183],[25.86]
Train,[95.09127888425917],[118.91000000000001]
Train,[92.54477984471279],[78.47]
Train,[82.12637719900663],[28.049999999999997]
Train,[96.78515954262525],[98.71999999999998]
Train,[93.32864941475863],[106.08]
Train,[88.28408483605807],[68.06]
Train,[101.3296553134311],[107.97]
Train,[97.55851559463989],[116.67]
Train,[78.7218045285526],[90.04]
Train,[84.07294123982787],[87.44999999999999]
Train,[72.97727823510982],[36.48]
Train,[98.77852839175176],[42.79]
Train,[92.38227865936145],[110.34]
Train,[89.41100581226468],[109.10999999999999]
Train,[95.42346240097471],[120.28]
Train,[57.44156228077284],[86.31]
Train,[87.81702527745195],[75.03]
Train,[98.31098858722227],[156.97]
Train,[102.12989308201111],[101.87]
Train,[106.28230940300895],[93.5]
Train,[82.72589889371197],[103.54]
Train,[89.65323115979004],[75.79]
Train,[91.03271949517513],[100.88000000000001]
Train,[99.05131744839939],[112.13]
Train,[87.85562586591585],[98.83]
Train,[64.19325547821539],[70.36]
Train,[89.82681592547259],[114.30999999999999]
Train,[93.13226828787235],[78.91]
Train,[84.79076180992567],[87.34]
Train,[102.30492043395517],[98.93999999999998]
Train,[94.74403382509963],[78.51]
Train,[70.73511324289834],[36.52]
Train,[58.177071480968245],[87.02]
Train,[106.04570842776603],[80.2]
Train,[96.08971394787096],[77.7]
Train,[63.89047187798841],[79.87]
Train,[83.18571031647917],[89.87]
Train,[91.93712558033356],[81.5]
Train,[91.76655269810078],[79.89]
Train,[99.00020991982635],[140.62]
Train,[99.27261422760078],[125.52]
Train,[86.64246133738732],[34.74999999999999]
Train,[95.45327251272082],[91.95]
Train,[78.95669391493527],[64.26]
Train,[96.5831827623662],[125.72]
Train,[101.4448170787671],[116.66]
Train,[112.82151896064728],[85.77]
Train,[110.17279880233382],[99.12]
Train,[62.77019143431726],[90.1]
Train,[101.57937908438157],[54.27]
Train,[102.48807376530462],[91.06999999999998]
Train,[81.61260202569876],[89.30000000000001]
Train,[91.8742370517019],[122.3]
Train,[96.73367200565414],[101.58]
Train,[94.94817756767775],[93.1]
Train,[95.68977649724579],[99.79]
Train,[89.93733390423222],[140.91]
Train,[125.36978107481464],[87.30000000000001]
Train,[71.04139273674177],[51.26]
Train,[97.24431845686985],[85.1]
Train,[103.98483260407396],[66.84]
Train,[90.01617224888759],[77.59]
Train,[90.83008772509034],[164.14]
Train,[88.5016472784322],[37.84]
Train,[86.84131516759675],[86.47999999999999]
Train,[89.93332995724049],[118.9]
Train,[72.66216062716082],[94.51000000000002]
Train,[91.14830708571564],[24.310000000000002]
Train,[87.21306493841728],[98.32]
Train,[99.17002879365153],[71.95]
Train,[97.420674414916],[87.89999999999999]
Train,[57.59011515575834],[89.28]
Train,[92.24043426759346],[90.83]
Train,[99.9763319393857],[85.99]
Train,[95.03869525859125],[77.24]
Train,[103.16713176057279],[99.8]
Train,[74.6076486178311],[60.24000000000001]
Train,[80.3985420021724],[69.17]
Train,[99.9379048737986],[87.88999999999999]
Train,[68.08602562016034],[26.030000000000005]
Train,[105.53284914293532],[92.66]
Train,[61.50586886295429],[78.62]
Train,[93.5414800086834],[82.35]
Train,[98.55800012483824],[90.52]
Train,[111.208464287795],[106.16]
Train,[90.19252663267113],[115.58]
Train,[82.3155949536979],[91.99]
Train,[97.61178156069602],[177.24]
Train,[69.47065115969511],[40.56999999999999]
Train,[79.4478213829455],[97.62000000000002]
Train,[85.78200310783406],[112.77]
Train,[106.779882065042],[122.85]
Train,[64.79900461716551],[71.17]
Train,[107.43657958314377],[135.6]
Train,[75.31107002093918],[100.32]
Train,[104.238677884304],[106.57]
Train,[99.22089364794121],[149.58]
Train,[80.68527554651534],[95.15]
Train,[70.99969819295023],[68.67]
Train,[93.11989655153005],[92.36]
Train,[85.40478389034064],[102.61]
Train,[81.04610386393291],[106.94]
Train,[84.19685098888984],[129.78]
Train,[97.06534544977166],[85.31]
Train,[95.21232549764925],[127.01000000000002]
Train,[81.00804959794888],[80.59]
Train,[67.3111497932938],[69.83]
Train,[87.75325154998713],[77.03]
Train,[76.42105834552255],[68.01]
Train,[93.14267386582239],[94.23]
Train,[85.25728325073898],[76.18]
Train,[92.19739588753167],[111.78999999999999]
Train,[91.09324024386551],[124.83]
Train,[91.36963975210762],[90.38]
Train,[94.9647409313883],[115.01]
Train,[93.20616557745093],[95.34]
Train,[87.427293810066],[66.26]
Train,[95.92010377973737],[140.38]
Train,[104.2953522625569],[89.13]
Train,[103.42729606745941],[94.02]
Train,[92.164391099132],[94.54]
Train,[100.00218651400525],[103.54]
Train,[101.33894933632644],[101.03000000000002]
Train,[106.50614519458355],[58.4]
Train,[79.77846804970365],[91.35]
Train,[63.21900148383063],[67.72]
Train,[101.97844139282795],[69.36]
Train,[88.62851117750249],[98.89]
Train,[99.60669914122096],[91.73999999999998]
Train,[84.66559800110682],[75.29]
Train,[103.07584486630192],[94.58]
Train,[85.04616026681626],[96.93999999999998]
Train,[97.12886032519914],[101.36]
Train,[99.09766137319514],[105.89]
Train,[102.6190980400292],[90.71000000000001]
Train,[102.4288729417046],[97.26]
Train,[80.68435100476684],[54.53]
Train,[97.24701070566877],[106.04]
Train,[96.18612054456743],[95.57]
Train,[96.74192516240767],[74.01]
Train,[95.19011074191283],[102.49]
Train,[88.74807596061126],[77.12]
Train,[99.18503114649653],[49.31]
Train,[100.42106459576742],[101.71]
Train,[105.74179585201126],[83.99]
Train,[98.67812152808366],[122.03000000000002]
Train,[114.24680781289074],[94.74]
Train,[98.9253367945887],[93.72]
Train,[88.33041074966893],[107.41000000000001]
Train,[90.09652098412379],[80.42]
Train,[100.53313521654769],[99.86]
Train,[90.10540759065171],[61.77]
Train,[95.01889374923948],[28.629999999999995]
Train,[86.32194396606631],[81.25]
Train,[98.31960266360886],[28.95]
Train,[106.2057998982234],[100.55]
Train,[83.67139273273561],[85.57]
Train,[89.34625509948589],[62.349999999999994]
Train,[97.09974312942948],[47.14000000000001]
Train,[76.46762977190046],[68.49]
Train,[101.44739020818432],[93.47]
Train,[100.06058920881118],[85.28]
Train,[99.8467550833249],[95.42]
Train,[97.31810059339924],[91.44]
Train,[81.50927871743583],[53.31]
Train,[111.78667808353876],[123.85]
Train,[93.32088786164975],[81.16]
Train,[92.52448950062254],[37.080000000000005]
Train,[69.85655701455083],[13.069999999999999]
Train,[110.67483905936298],[125.03]
Train,[96.28809904237863],[99.03000000000002]
Train,[57.863584646267164],[88.31]
Train,[93.39601196575227],[86.76999999999998]
Train,[108.25869506044907],[124.34]
Train,[89.67048467555013],[141.03]
Train,[109.71559769535158],[47.97]
Train,[89.14481352740572],[80.63]
Train,[97.59291112728968],[75.63]
