Data,Predicted,Reference
Train,[102.18969938120608],[125.53]
Train,[77.79939850778895],[85.28]
Train,[63.42082817497997],[83.06]
Train,[111.28364261496752],[156.44]
Train,[101.60341167363173],[125.92]
Train,[96.64485725399979],[105.57]
Train,[90.76522394626318],[114.51999999999998]
Train,[73.02333740163064],[85.6]
Train,[92.53809586103718],[37.93000000000001]
Train,[93.75665754981912],[91.14]
Train,[106.83625681975805],[73.07]
Train,[93.60064005043888],[97.18000000000002]
Train,[81.14616329531935],[70.11]
Train,[92.72318882696594],[99.12]
Train,[69.68890678405455],[91.4]
Train,[76.08590360471665],[35.71000000000001]
Train,[82.61750011337894],[68.84]
Train,[111.00767826954291],[105.45]
Train,[94.65034667270032],[95.85]
Train,[92.57051327773218],[107.47]
Train,[96.49368714267092],[103.10000000000001]
Train,[92.96703098147204],[130.99]
Train,[82.14848352541607],[69.18]
Train,[92.29706797700197],[103.93000000000002]
Train,[91.74365214382851],[91.48]
Train,[95.79114260009888],[90.96]
Train,[86.26477762271908],[95.84000000000002]
Train,[121.7328638541598],[93.39000000000001]
Train,[111.31826616402135],[157.03]
Train,[91.06875944997513],[90.68]
Train,[95.58856987191972],[81.48]
Train,[94.02400431566429],[93.27]
Train,[70.08649378228186],[27.490000000000002]
Train,[77.92151848471715],[84.68]
Train,[100.9086598943119],[97.37]
Train,[94.69957052547151],[103.85]
Train,[96.34979029879258],[128.18]
Train,[102.0967772612299],[70.08]
Train,[78.98328930262356],[70.36]
Train,[87.54422989019734],[75.46]
Train,[79.3003874944958],[60.36]
Train,[101.62208074949623],[89.34]
Train,[90.50295506029227],[76.98]
Train,[92.89035418268018],[99.05]
Train,[74.23851082033171],[53.46]
Train,[83.83144073193932],[79.12]
Train,[92.41566477695052],[97.83999999999999]
Train,[108.58666612463897],[147.43]
Train,[80.93795096372173],[96.07]
Train,[103.17302510326105],[123.61]
Train,[65.3924978896771],[43.86]
Train,[68.74376480314776],[22.250000000000004]
Train,[88.04508187677321],[105.34000000000002]
Train,[94.62352287990821],[99.53]
Train,[86.3301458639955],[92.22]
Train,[91.07570134193874],[165.98]
Train,[80.93116643533628],[30.17]
Train,[67.67791456164406],[115.81]
Train,[95.22331387831449],[87.71]
Train,[93.00542610918905],[127.13]
Train,[82.3013484334953],[75.11]
Train,[91.30948055403027],[48.70000000000001]
Train,[101.42625854262232],[96.73000000000002]
Train,[84.04151671485185],[96.32]
Train,[81.30083021500792],[86.39]
Train,[120.15012618014411],[95.96]
Train,[101.69409445624477],[122.36]
Train,[103.69518673879676],[115.95000000000002]
Train,[89.07811038409436],[96.49999999999999]
Train,[113.66876828254846],[105.71]
Train,[103.72291807420687],[124.54]
Train,[94.61378816504892],[92.11]
Train,[108.25982123771234],[110.66]
Train,[99.36829574308274],[81.76]
Train,[100.86144258571144],[175.87]
Train,[95.28748939605458],[130.86]
Train,[82.82778695829805],[66.62]
Train,[87.19553531027627],[167.90999999999997]
Train,[88.71116860034577],[79.95]
Train,[82.27901772485237],[62.32]
Train,[91.68983856606792],[84.8]
Train,[91.45865326964805],[75.7]
Train,[113.08318084555971],[117.83]
Train,[84.55483943375057],[114.83000000000001]
Train,[68.96074501994514],[38.26]
Train,[78.2225175702085],[89.38000000000001]
Train,[71.192579307757],[82.97]
Train,[92.30315492049715],[102.72]
Train,[90.79219581634906],[96.07]
Train,[108.74042191542766],[84.61]
Train,[103.67566220355546],[115.94000000000001]
Train,[92.87826966897411],[97.08999999999999]
Train,[90.38610004514851],[90.42000000000002]
Train,[95.6564973601865],[51.72999999999999]
Train,[92.97515060414851],[116.36]
Train,[81.83359854589264],[41.31000000000001]
Train,[91.75720563235362],[87.81]
Train,[71.46536813012553],[46.37]
Train,[94.80568824667833],[60.940000000000005]
Train,[91.44987968317298],[69.17]
Train,[96.09917582970199],[74.61]
Train,[86.62449905870305],[163.47]
Train,[68.26001576214242],[25.86]
Train,[97.61572411349458],[118.91000000000001]
Train,[93.59007329839113],[78.47]
Train,[68.28186003847482],[28.049999999999997]
Train,[94.24400407049848],[98.71999999999998]
Train,[88.47121911931544],[106.08]
Train,[88.87488758050416],[68.06]
Train,[85.73843903601735],[107.97]
Train,[92.35479110158502],[116.67]
Train,[76.27333816921646],[90.04]
Train,[94.64028931580258],[87.44999999999999]
Train,[80.557082178068],[36.48]
Train,[108.83919791346658],[42.79]
Train,[88.46217429676827],[110.34]
Train,[92.45258885877983],[109.10999999999999]
Train,[96.52530465123792],[120.28]
Train,[78.9742957105383],[86.31]
Train,[85.61050152624398],[75.03]
Train,[111.95722301937512],[156.97]
Train,[93.71217615442994],[101.87]
Train,[86.16393427528202],[93.5]
Train,[91.62375879579973],[103.54]
Train,[81.66574004399273],[75.79]
Train,[95.36244841453689],[100.88000000000001]
Train,[109.00778915016063],[112.13]
Train,[72.97227662878501],[98.83]
Train,[78.80516996181613],[70.36]
Train,[94.7886936623653],[114.30999999999999]
Train,[96.69188811085284],[78.91]
Train,[93.11908153174224],[87.34]
Train,[101.15262016297679],[98.93999999999998]
Train,[93.53972871256234],[78.51]
Train,[80.28503291695621],[36.52]
Train,[80.10052641248612],[87.02]
Train,[89.60667293583863],[80.2]
Train,[93.78577580181324],[77.7]
Train,[80.71085277846274],[79.87]
Train,[76.90858913021096],[89.87]
Train,[90.66395783404172],[81.5]
Train,[83.16726469565174],[79.89]
Train,[93.26859127687659],[140.62]
