Data,Predicted,Reference
Train,[23.936328353439524],[22.183940829627677]
Train,[20.51554744697635],[21.96207452531331]
Train,[27.21050436391142],[28.45442910095913]
Train,[5.17090166655583],[1.4890218011756418]
Train,[8.005262989053888],[5.655949212053905]
Train,[35.95792982472439],[36.11908572314969]
Train,[20.75988894029515],[21.59822400383935]
Train,[22.323674497535457],[22.06270761705617]
Train,[26.135401793308706],[26.718617589523856]
Train,[33.36790999554513],[35.08764698053131]
Test,[19.098366785727322],[21.11480908549428]
Test,[11.523780492844582],[14.452265541363486]
Test,[19.44044487637364],[19.661260059909168]
Test,[31.315441451667226],[31.683716046746476]
Test,[45.09630167484744],[45.94602506838522]
Test,[8.836024066337801],[9.140036887160578]
Test,[40.64928649644531],[44.35579965326372]
Test,[29.751655894426918],[30.711601057987636]
Test,[34.39414426748408],[33.7084432869362]
Test,[46.024799349458874],[47.86051238420981]
