Data,Predicted,Reference
Train,[14.06493202336008],[-0.5373779506966435]
Train,[33.31904169688137],[0.5401562975750462]
Train,[26.428611585291264],[0.14346608524296833]
Train,[27.16163606524766],[0.24880883706054857]
Train,[32.9280953075713],[0.5494705816191499]
Train,[23.985196652103284],[-0.09729423944605609]
Train,[26.624084779946305],[0.18001759125637085]
Train,[28.969763115806764],[0.9089190334109134]
Train,[24.13180154809456],[0.004062795973982292]
Train,[33.46564659287265],[0.49540916947147307]
Train,[32.73262211291625],[0.5954769306971268]
Train,[24.37614304141336],[0.09195679275802982]
Train,[32.390544022269935],[0.6834374484294239]
Train,[19.39157657770988],[-0.30871722955130987]
Train,[24.37614304141336],[0.07409070384082828]
Train,[28.09013373985909],[0.25550397629519983]
Train,[14.700219905988956],[-0.7507765057678017]
Train,[14.06493202336008],[-0.6790680078938116]
Train,[13.527380738058724],[-0.625614424665368]
Train,[12.452278167456013],[-0.7318516728254064]
Train,[31.16883655567595],[0.44980031161368506]
Train,[22.17706960154418],[-0.1160146083208925]
Train,[16.361742060556782],[-0.442138356646266]
Train,[15.726454177927907],[-0.9342634975846604]
Train,[23.643118561456966],[0.07495139137081752]
Train,[32.53714891826122],[0.756067950020235]
Train,[29.214104609125563],[0.8464171063273387]
Train,[13.869458828705042],[-0.9700336842945245]
Train,[19.929127863011235],[-0.21517326210210985]
Train,[14.21153691935136],[-0.7130392751183716]
Train,[15.726454177927907],[-0.5404476793711586]
Train,[31.413178048994745],[0.36559602765566157]
Train,[32.73262211291625],[0.4032925555647122]
Train,[23.838591756112006],[-0.04197097917525472]
Train,[13.087566050084888],[-0.7508287027202378]
Train,[16.60608355387558],[-0.44759086626471556]
Train,[34.05206617683776],[0.5358213257714504]
Train,[30.680153569038353],[0.9159516427455123]
Train,[32.48828061959746],[0.48717817959080345]
Train,[25.060299222705996],[0.11404769764413669]
Train,[17.241371436504455],[-0.41059788713319945]
Train,[31.217704854339708],[0.7041508239147576]
Train,[14.944561399307753],[-1.0]
Train,[29.800524193090677],[0.8052981693492072]
Train,[17.583449527150773],[-0.364092708955536]
Train,[21.395176822924025],[-0.20905206176614988]
Train,[14.944561399307753],[-0.4413756072263342]
Train,[15.824190775255428],[-0.9230432167361022]
Train,[30.97336336102091],[0.24822093606027273]
Train,[17.339108033831977],[-0.38318410554059423]
Train,[23.007830678828093],[0.0507838077770284]
Train,[31.706387840977303],[0.40857667892621286]
Train,[24.37614304141336],[-0.10714725182469931]
Train,[29.6539192970994],[1.0]
Train,[19.000630188399803],[-0.38703336576029834]
Train,[15.677585879264148],[-0.5559956607615322]
Train,[14.749088204652715],[-0.642325701112083]
Train,[19.29383998038236],[-0.2739844522464182]
Train,[13.283039244739927],[-0.8554558603015111]
Train,[31.706387840977303],[0.7879351852435126]
Train,[23.20330387348313],[-0.1305566646065729]
Train,[30.435812075719554],[0.7751878715086016]
Train,[14.749088204652715],[-0.8615405657097379]
Train,[32.879227008907534],[0.6939278538992926]
Train,[15.091166295299033],[-0.5847847421060213]
Train,[33.025831904898816],[0.6630758608035339]
Train,[19.782522967019958],[-0.3787749791649503]
Train,[34.39414426748408],[0.594787310752863]
Train,[29.018631414470523],[0.8809024655758952]
Train,[16.89929334585814],[-0.44515828219579867]
Train,[15.286639489954071],[-0.9364856571900122]
Train,[22.714620886845534],[-0.11199259379031434]
Train,[12.696619660774811],[-0.6932100926218216]
Train,[14.162668620687601],[-0.7618716205582521]
Train,[12.98982945275737],[-0.7677234231006047]
Train,[26.428611585291264],[0.10795571126543924]
Train,[32.73262211291625],[0.4499125890881768]
Train,[28.725421622487968],[0.34987000999510376]
Train,[19.44044487637364],[-0.22853359495195713]
Train,[33.56338319020017],[0.6139740375396998]
Test,[21.395176822924025],[-0.14987736510587024]
Test,[17.730054423142054],[-0.41616002104945926]
Test,[21.63951831624282],[-0.20797152877073455]
Test,[28.872026518479245],[0.2725313737521484]
Test,[30.680153569038353],[0.8425547441083181]
Test,[15.286639489954071],[-0.6284744840846623]
Test,[32.48828061959746],[0.7789980192204822]
Test,[26.672953078610064],[0.2336787404635734]
Test,[32.634885515588735],[0.3534538838277492]
Test,[28.13900203852285],[0.9190712822519491]
