,0
0,NumRadicalElectrons
1,MaxPartialCharge
2,MinPartialCharge
3,MaxAbsPartialCharge
4,MinAbsPartialCharge
5,BCUT2D_MWHI
6,BCUT2D_MWLOW
7,BCUT2D_CHGHI
8,BCUT2D_CHGLO
9,BCUT2D_LOGPHI
10,BCUT2D_LOGPLOW
11,BCUT2D_MRHI
12,BCUT2D_MRLOW
13,AvgIpc
14,SMR_VSA8
15,SlogP_VSA12
16,SlogP_VSA9
17,EState_VSA11
18,VSA_EState10
19,NumAromaticCarbocycles
20,fr_Al_COO
21,fr_Ar_COO
22,fr_COO
23,fr_COO2
24,fr_C_S
25,fr_N_O
26,fr_SH
27,fr_alkyl_halide
28,fr_azide
29,fr_azo
30,fr_barbitur
31,fr_benzene
32,fr_benzodiazepine
33,fr_dihydropyridine
34,fr_guanido
35,fr_halogen
36,fr_hdrzine
37,fr_hdrzone
38,fr_isocyan
39,fr_isothiocyan
40,fr_nitro
41,fr_nitro_arom
42,fr_nitro_arom_nonortho
43,fr_nitroso
44,fr_para_hydroxylation
45,fr_phenol
46,fr_phenol_noOrthoHbond
47,fr_phos_acid
48,fr_phos_ester
49,fr_prisulfonamd
50,fr_pyridine
51,fr_quatN
52,fr_sulfide
53,fr_sulfonamd
54,fr_sulfone
55,fr_thiazole
56,fr_thiocyan
57,fr_thiophene
