Data,Predicted,Reference
Train,[24.129179610529235],[125.53]
Train,[17.314152713001928],[85.28]
Train,[12.87169286744567],[83.06]
Train,[15.907296490227857],[156.44]
Train,[23.98332462211881],[125.92]
Train,[25.48145773888411],[105.57]
Train,[23.9622271140939],[114.51999999999998]
Train,[15.732906918525686],[85.6]
Train,[23.492317294271338],[37.93000000000001]
Train,[29.441497027085408],[91.14]
Train,[18.477188401226336],[73.07]
Train,[45.97231699806721],[97.18000000000002]
Train,[19.236851603857584],[70.11]
Train,[25.426424134137896],[99.12]
Train,[14.437049304632],[91.4]
Train,[16.82707044365348],[35.71000000000001]
Train,[16.63566788794905],[68.84]
Train,[13.272373976813581],[105.45]
Train,[31.536229840610464],[95.85]
Train,[26.31741059495185],[107.47]
Train,[23.653458433118235],[103.10000000000001]
Train,[15.733411049059484],[130.99]
Train,[22.07306566693617],[69.18]
Train,[24.5065435778567],[103.93000000000002]
Train,[23.80127622261905],[91.48]
Train,[20.648590617264567],[90.96]
Train,[12.602649927323622],[95.84000000000002]
Train,[15.395128744540168],[93.39000000000001]
Train,[16.02740233357815],[157.03]
Train,[24.679743038971743],[90.68]
Train,[22.12256378119415],[81.48]
Train,[32.957905226481614],[93.27]
Train,[24.047268993088863],[27.490000000000002]
Train,[16.467290363584837],[84.68]
Train,[14.00548018233281],[97.37]
Train,[22.043770244222493],[103.85]
Train,[26.287663048298757],[128.18]
Train,[12.667382021748217],[70.08]
Train,[22.005889132346493],[70.36]
Train,[19.1212043525187],[75.46]
Train,[26.183923955556814],[60.36]
Train,[12.724829540673175],[89.34]
Train,[13.362923679373207],[76.98]
Train,[25.582580168234223],[99.05]
Train,[16.644371803845786],[53.46]
Train,[12.668888993276164],[79.12]
Train,[25.43654091729089],[97.83999999999999]
Train,[16.275835163759762],[147.43]
Train,[13.917270835024562],[96.07]
Train,[15.501214095871394],[123.61]
Train,[24.661081912211166],[43.86]
Train,[24.044579077281615],[22.250000000000004]
Train,[23.88137407547075],[105.34000000000002]
Train,[19.889582264649697],[99.53]
Train,[28.145638586479993],[92.22]
Train,[23.35734290123766],[165.98]
Train,[27.459490927254635],[30.17]
Train,[14.578681631332492],[115.81]
Train,[30.784068751609155],[87.71]
Train,[26.118764283829556],[127.13]
Train,[22.753536871241646],[75.11]
Train,[23.210583499312044],[48.70000000000001]
Train,[13.809437055930966],[96.73000000000002]
Train,[12.723143315591715],[96.32]
Train,[16.853810796913486],[86.39]
Train,[18.6759889933711],[95.96]
Train,[23.51762719714169],[122.36]
Train,[12.804954508814118],[115.95000000000002]
Train,[17.994536593479616],[96.49999999999999]
Train,[15.199433844455939],[105.71]
Train,[23.481435013431295],[124.54]
Train,[31.225081950934424],[92.11]
Train,[17.929474465484965],[110.66]
Train,[15.485163706315062],[81.76]
Train,[24.12520575061047],[175.87]
Train,[22.7445874520944],[130.86]
Train,[25.63132104169849],[66.62]
Train,[23.269178406873582],[167.90999999999997]
Train,[13.468565620117076],[79.95]
Train,[13.095745318980331],[62.32]
Train,[18.6535748280508],[84.8]
Train,[48.169860784332414],[75.7]
Train,[12.6049101896179],[117.83]
Train,[25.831631680487725],[114.83000000000001]
Train,[22.142002990781872],[38.26]
Train,[21.655656255023093],[89.38000000000001]
Train,[17.627043699245313],[82.97]
Train,[24.205100158495217],[102.72]
Train,[15.786866583522308],[96.07]
Train,[15.738055261359207],[84.61]
Train,[12.812284328778752],[115.94000000000001]
Train,[19.36184964414985],[97.08999999999999]
Train,[31.975906038058532],[90.42000000000002]
Train,[22.03551877810563],[51.72999999999999]
Train,[27.76036376679115],[116.36]
Train,[17.64714521750783],[41.31000000000001]
Train,[24.02435089149518],[87.81]
Train,[13.689212123839654],[46.37]
Train,[14.706041922631044],[60.940000000000005]
Train,[14.264179182439898],[69.17]
Train,[15.597310673941955],[74.61]
Train,[23.537119438386114],[163.47]
Train,[24.130705303127176],[25.86]
Train,[25.68246393363421],[118.91000000000001]
Train,[27.122598709723114],[78.47]
Train,[23.563602601757648],[28.049999999999997]
Train,[25.022114542582212],[98.71999999999998]
Train,[18.898129332669644],[106.08]
Train,[22.698954288759698],[68.06]
Train,[16.223420486029994],[107.97]
Train,[25.046769091200627],[116.67]
Train,[15.848666781792735],[90.04]
Train,[25.623767483667866],[87.44999999999999]
Train,[23.595427329000557],[36.48]
Train,[16.335496939344957],[42.79]
Train,[18.618180434185795],[110.34]
Train,[34.50176238432302],[109.10999999999999]
Train,[26.00874541680275],[120.28]
Train,[26.419444746244935],[86.31]
Train,[14.621800366692264],[75.03]
Train,[15.860744964165205],[156.97]
Train,[27.214071169386244],[101.87]
Train,[12.535401653354345],[93.5]
Train,[14.679002488750355],[103.54]
Train,[13.769016166511024],[75.79]
Train,[22.480734322951555],[100.88000000000001]
Train,[15.932283342110823],[112.13]
Train,[19.175722462492708],[98.83]
Train,[25.45732086902896],[70.36]
Train,[22.38715230823999],[114.30999999999999]
Train,[25.312129433100992],[78.91]
Train,[46.94551136379207],[87.34]
Train,[13.758357029224802],[98.93999999999998]
Train,[34.6299923759991],[78.51]
Train,[23.60761079682823],[36.52]
Train,[25.48709282317958],[87.02]
Train,[15.238415261726129],[80.2]
Train,[33.349562821091176],[77.7]
Train,[24.744274596961233],[79.87]
Train,[22.20780319727591],[89.87]
Train,[19.93401439072365],[81.5]
Train,[12.643963950987823],[79.89]
Train,[25.9622465855796],[140.62]
Train,[23.42420422556338],[125.52]
Train,[22.343715268215323],[34.74999999999999]
Train,[25.93487118878576],[91.95]
Train,[19.590138394820915],[64.26]
Train,[25.42901777159452],[125.72]
Train,[27.269029281228974],[116.66]
Train,[78.5610141310502],[85.77]
Train,[15.30713945281983],[99.12]
Train,[36.97910068706155],[90.1]
Train,[13.357346452290297],[54.27]
Train,[30.521387113202863],[91.06999999999998]
Train,[20.91109451177719],[89.30000000000001]
Train,[20.68126138473745],[122.3]
Train,[24.747915442085276],[101.58]
Train,[20.731840778773645],[93.1]
Train,[73.38241421922889],[99.79]
Train,[22.472006157992993],[140.91]
Train,[16.717722790344858],[87.30000000000001]
Train,[16.133837535642],[51.26]
Train,[26.81424186657181],[85.1]
Train,[12.635264331512767],[66.84]
Train,[50.94961290956437],[77.59]
Train,[23.01925077535058],[164.14]
Train,[23.96431214879971],[37.84]
Train,[14.113824302448016],[86.47999999999999]
Train,[24.162719625196303],[118.9]
Train,[24.721628590423915],[94.51000000000002]
Train,[24.495438051890964],[24.310000000000002]
Train,[19.141792787195033],[98.32]
Train,[13.127510783771719],[71.95]
Train,[33.40044910592975],[87.89999999999999]
Train,[25.879259502228198],[89.28]
Train,[24.273197506947074],[90.83]
Train,[31.8127187580244],[85.99]
Train,[12.636817252963805],[77.24]
Train,[13.82389599432792],[99.8]
Train,[17.181494644898535],[60.24000000000001]
Train,[15.850409257491167],[69.17]
Train,[26.271860142030015],[87.88999999999999]
Train,[23.843071113122573],[26.030000000000005]
Train,[14.905202944920793],[92.66]
Train,[24.578575435998225],[78.62]
Train,[26.156376920117836],[82.35]
Train,[19.86430614666655],[90.52]
Train,[14.606300448372409],[106.16]
Train,[22.344501912951635],[115.58]
Train,[15.372386094408196],[91.99]
Train,[24.26413865646922],[177.24]
Train,[15.09732512724915],[40.56999999999999]
Train,[24.659772171850562],[97.62000000000002]
Train,[12.794176928320597],[112.77]
Train,[15.683264893791984],[122.85]
Train,[25.485864660043724],[71.17]
Train,[21.22439901572179],[135.6]
Train,[12.818436388696899],[100.32]
Train,[19.55334069590197],[106.57]
Train,[15.436312792206062],[149.58]
Train,[25.03266747196913],[95.15]
Train,[15.67570444879498],[68.67]
Train,[12.544337139710304],[92.36]
Train,[12.525040093552846],[102.61]
Train,[25.560646760483205],[106.94]
Train,[29.747191520007096],[129.78]
Train,[32.957905226481614],[85.31]
Train,[24.225752613914718],[127.01000000000002]
Train,[16.794492434619976],[80.59]
Train,[25.53609585326191],[69.83]
Train,[12.591234837838696],[77.03]
Train,[13.414076226352412],[68.01]
Train,[13.416673364240816],[94.23]
Train,[95.8066473806705],[76.18]
Train,[25.55218325596393],[111.78999999999999]
Train,[39.79697671266634],[124.83]
Train,[12.54214188777948],[90.38]
Train,[18.136614135596567],[115.01]
Train,[20.038598335780534],[95.34]
Train,[20.25195994534542],[66.26]
Train,[15.806726834722697],[140.38]
Train,[12.687756943700343],[89.13]
Train,[13.288681830383837],[94.02]
Train,[18.338548437673033],[94.54]
Train,[12.58391963974166],[103.54]
Train,[26.203654907134585],[101.03000000000002]
Train,[16.338999780940398],[58.4]
Train,[22.972967536979677],[91.35]
Train,[18.1453352609024],[67.72]
Train,[17.67140356198279],[69.36]
Train,[12.722695200064914],[98.89]
Train,[26.14389767149349],[91.73999999999998]
Train,[13.949205699692923],[75.29]
Train,[13.70089151432878],[94.58]
Train,[13.493990497507253],[96.93999999999998]
Train,[25.970361936836834],[101.36]
Train,[24.945961647868092],[105.89]
Train,[12.56113030314537],[90.71000000000001]
Train,[31.177046429988224],[97.26]
Train,[20.797962597084684],[54.53]
Train,[40.10322492999511],[106.04]
Train,[26.75218286790654],[95.57]
Train,[19.236851603857584],[74.01]
Train,[48.83001728006927],[102.49]
Train,[13.45238473519643],[77.12]
Train,[18.114764890918952],[49.31]
Train,[25.426424134137914],[101.71]
Train,[52.27338515900589],[83.99]
Train,[23.66641324529039],[122.03000000000002]
Train,[19.26827366548994],[94.74]
Train,[25.501263354229355],[93.72]
Train,[22.604301086534214],[107.41000000000001]
Train,[19.631062487912086],[80.42]
Train,[26.54980056863189],[99.86]
Train,[13.648943008068384],[61.77]
Train,[33.92193520216038],[28.629999999999995]
Train,[22.917793800188434],[81.25]
Train,[26.966831656770175],[28.95]
Train,[19.701391174335882],[100.55]
Train,[17.8780225138463],[85.57]
Train,[13.982741472107605],[62.349999999999994]
Train,[13.771309301719473],[47.14000000000001]
Train,[24.638599171058157],[68.49]
Train,[15.914560550630652],[93.47]
Train,[16.53792366930662],[85.28]
Train,[25.540426580431888],[95.42]
Train,[27.584876941422912],[91.44]
Train,[20.66852603393266],[53.31]
Train,[16.298807286163665],[123.85]
Train,[73.15942080333386],[81.16]
Train,[21.42757304116716],[37.080000000000005]
Train,[23.788220721898004],[13.069999999999999]
Train,[14.57674064705503],[125.03]
Train,[26.344804537135534],[99.03000000000002]
Train,[25.59975409437261],[88.31]
Train,[25.863702079156358],[86.76999999999998]
Train,[14.652656786389278],[124.34]
Train,[16.18647225538757],[141.03]
Train,[15.764897516869132],[47.97]
Train,[24.07865584644199],[80.63]
Train,[15.846115175562701],[75.63]
Train,[25.06844789083329],[85.82]
Train,[15.136831473392709],[104.95]
Train,[24.593044468430644],[52.87]
Train,[13.884643552214381],[98.05999999999999]
Train,[16.633553891268374],[153.63]
Train,[14.099886639176534],[74.05]
Train,[13.898436635516305],[85.16]
Train,[15.130180660660784],[102.87]
Train,[23.154441094233267],[73.92]
Train,[13.053826490651195],[93.39000000000001]
Train,[22.386544699556516],[145.17]
Train,[31.20545404587384],[90.81]
Train,[16.05532091280338],[47.07]
Train,[21.1202442194991],[109.55999999999999]
Train,[23.51125108552009],[106.65]
Train,[18.669073389415278],[74.5]
Train,[21.16537717736254],[104.57]
Train,[48.937203215178656],[102.76]
Train,[12.772265282574345],[77.58]
Train,[12.81309052485915],[83.51]
Train,[25.558496531642884],[107.81]
Train,[18.649672309854562],[56.18]
Train,[25.71797669119031],[85.4]
Train,[31.140258134943966],[112.22999999999999]
Train,[22.816291412549678],[26.330000000000002]
Train,[21.5549412467175],[84.35]
Train,[49.20987247352773],[91.47]
Train,[26.63883173879569],[92.56]
Train,[13.517665233147442],[97.91000000000001]
Train,[12.746582925135423],[99.36]
Train,[24.251914549901073],[22.300000000000004]
Train,[21.12129588183197],[28.040000000000003]
Train,[21.551070779919005],[113.6]
Train,[22.449019947799226],[74.46]
Train,[24.633814260649665],[101.57]
Train,[26.470505147800107],[92.45]
Train,[14.077183995536888],[38.34000000000001]
Train,[16.934667357672485],[103.01]
Train,[15.59268904755176],[88.0]
Train,[24.107225982918525],[25.980000000000004]
Train,[22.689095461318793],[50.58]
