Data,Predicted,Reference
Train,[28.207472975918982],[11.419323978790072]
Train,[46.965503797762196],[38.37984389685504]
Train,[42.78703649609499],[28.45442910095913]
Train,[43.089669921797274],[31.090164682595642]
Train,[47.30972026787628],[38.61289258268229]
Train,[37.93562747957285],[22.43046880487619]
Train,[42.162681220433974],[29.368968576145388]
Train,[48.808771389681795],[47.60649734243187]
Train,[39.79025204437227],[24.966479494709]
Train,[46.38741923415111],[37.260245294353446]
Train,[47.62014384180185],[39.76399761035423]
Train,[41.51370567088695],[27.165637298533312]
Train,[48.13689728750563],[41.96481980614857]
Train,[33.051760733259115],[17.14054531055369]
Train,[41.18030145126751],[26.718617589523856]
Train,[43.95792856355322],[31.257680875217414]
Train,[22.31072286569472],[6.079970725090428]
Train,[25.49058584714581],[7.874158137998318]
Train,[25.03588818864397],[9.211597200964444]
Train,[24.126290228042848],[6.553480811946483]
Train,[45.96198323796565],[36.11908572314969]
Train,[36.76691028550251],[21.96207452531331]
Train,[29.55167157304682],[13.802272805244636]
Train,[18.730002518857525],[1.4890218011756418]
Train,[40.49630250331496],[26.74015248118296]
Train,[48.51075788547606],[43.78207627659384]
Train,[48.794490862875705],[46.04266356846418]
Train,[21.407307508936466],[0.5940313794688469]
Train,[35.56080672541068],[19.481068594777955]
Train,[24.58107034602328],[7.02417770524763]
Train,[28.656953644967405],[11.342517620936421]
Train,[45.505455913764216],[34.012246633368584]
Train,[45.01868312767275],[34.95543520780506]
Train,[39.06320743208243],[23.814688251131003]
Train,[23.217477357822222],[6.078664727644804]
Train,[30.88085734703504],[13.665847912571913]
Train,[46.78094917689953],[38.27138043609492]
Train,[48.64273668474933],[47.78245722894642]
Train,[46.588222110237446],[37.05430124479853]
Train,[41.84120804349586],[27.718364306649523]
Train,[31.75662629834526],[14.591433296334424]
Train,[48.02092148174695],[42.48308024495913]
Train,[19.17184284384604],[-0.15574288779396844]
Train,[48.694778376082226],[45.01384437205655]
Train,[31.319877298309226],[15.7550193118723]
Train,[34.737848898164174],[19.634224509631533]
Train,[29.105070773104227],[13.82135722967156]
Train,[18.290292970184296],[1.769759611402127]
Train,[44.76422704601124],[31.07545506510255]
Train,[32.19095533377174],[15.277341707916124]
Train,[40.145968002998025],[26.13546579034512]
Train,[45.265796175087765],[35.08764698053131]
Train,[38.6921470169795],[22.183940829627677]
Train,[48.79420015579837],[49.88539494389588]
Train,[32.6227160448863],[15.181031027313997]
Train,[27.75678215758862],[10.953498281056305]
Train,[26.3989916265316],[8.793471556957675]
Train,[33.901114602964995],[18.00957915874943]
Train,[21.858517472173148],[3.4608337209135893]
Train,[48.43093595417042],[44.5794126316553]
Train,[37.160823311883725],[21.59822400383935]
Train,[48.581377862847134],[44.26046758985906]
Train,[20.508518910563215],[3.308590929914436]
Train,[48.2439387222122],[42.227295719162576]
Train,[25.945005940273166],[10.23317908725265]
Train,[47.762466407745976],[41.45536129971897]
Train,[33.477942369741506],[15.387660558256593]
Train,[47.141791544990674],[39.74674292701304]
Train,[48.81350587964392],[46.90550687613035]
Train,[29.99660386911707],[13.726712549911833]
Train,[19.61565086129813],[1.4334221036279309]
Train,[38.316241566542395],[22.06270761705617]
Train,[23.67170625769233],[7.520315132447425]
Train,[20.957254138724807],[5.802364640846755]
Train,[22.763762935597214],[5.655949212053905]
Train,[40.84112386807978],[27.565939341626937]
Train,[46.17863932604158],[36.1218949694379]
Train,[44.50253990868303],[33.618772724720806]
Train,[34.321131768415334],[19.146785465969725]
Train,[47.469200162415504],[40.22680574685258]
Test,[35.966761068373444],[21.11480908549428]
Test,[30.439716104277224],[14.452265541363486]
Test,[36.36884269189461],[19.661260059909168]
Test,[44.23373534171943],[31.683716046746476]
Test,[48.77070304230833],[45.94602506838522]
Test,[26.852386615514508],[9.140036887160578]
Test,[48.34197442262009],[44.35579965326372]
Test,[43.38577689043565],[30.711601057987636]
Test,[45.73755383147986],[33.7084432869362]
Test,[48.7701010430819],[47.86051238420981]
