Data,Predicted,Reference
Train,[-0.029957734698681543],[-0.03225818565279794]
Train,[-0.01647309810067039],[-7.769851570889031e-07]
Train,[-0.015638007706366575],[-7.769851570670464e-07]
Train,[-0.015637470665431464],[-0.016908658625533646]
Train,[-0.017427680756416337],[2.147515531627273e-06]
Train,[-0.03181330226663762],[-0.03181998237701682]
Train,[-0.014405036456618397],[-0.020466061799623576]
Train,[-0.015665167642265502],[-2.2178075255649983e-06]
Train,[-0.0044446003165435856],[0.034386940850617984]
Train,[-0.01574171435566873],[1.3818615606561856e-06]
Train,[-0.015604782908143577],[1.4598582711141459e-06]
Train,[-0.015101548917827988],[-0.004030206474187189]
Train,[-0.016480909983473496],[-9.471188573092583e-17]
Train,[-0.015780730720368577],[5.46414725370726e-18]
Train,[-0.015924171293189727],[1.82138241790242e-18]
Train,[-0.01559741406689247],[1.092829450741452e-17]
Train,[-0.015281517777349795],[2.1475155316309158e-06]
Train,[-0.014921504025677776],[-0.02046606179962359]
Train,[-0.02565247452900485],[-0.03181998237701695]
Train,[-0.015294177160062525],[-2.2178075256323896e-06]
Train,[-0.016190122042414806],[-0.04557838729447085]
Train,[-0.015759228389482054],[1.820191515441475e-06]
Train,[-0.016080475941970707],[1.8201915155289015e-06]
Train,[-0.027763633755538156],[-0.07587621233758134]
Train,[-0.016506240365907376],[-4.1009506176001475e-06]
Train,[-0.016678346112882728],[0.03502305871878561]
Train,[-0.007709066489610801],[0.04596011552868171]
Train,[-0.016115669730041273],[2.452425396471171e-06]
Train,[-0.015551408455560169],[-3.64276483580484e-18]
Train,[-0.01672401980980661],[-1.092829450741452e-16]
Train,[-0.01579184955669892],[-1.3113953408897423e-16]
Train,[-0.016072858033946428],[9.1069120895121e-18]
Train,[-0.0002636917484944319],[0.034386940850618]
Train,[-0.014743303727536397],[1.45985827106679e-06]
Train,[-0.01501426064022932],[1.381861560628865e-06]
Train,[-0.013946055232650252],[-0.004030206474187182]
Train,[-0.015424913055089879],[-4.100950617578291e-06]
Train,[0.0033828344384169364],[0.04596011552868179]
