Data,Predicted,Reference
Train,[-0.013730298463284251],[-0.03225818565279794]
Train,[-0.014652980442466297],[-7.769851570889031e-07]
Train,[-0.002489952775685665],[-7.769851570670464e-07]
Train,[-0.0024897892936115835],[-0.016908658625533646]
Train,[-0.014652871013519149],[2.147515531627273e-06]
Train,[-0.014035021269554823],[-0.03181998237701682]
Train,[-0.002489568441847093],[-0.020466061799623576]
Train,[-0.002489947079461459],[-2.2178075255649983e-06]
Train,[-0.012826578609237771],[0.034386940850617984]
Train,[-0.01465289472716033],[1.3818615606561856e-06]
Train,[-0.002489957243813486],[1.4598582711141459e-06]
Train,[-0.0024896793651770516],[-0.004030206474187189]
Train,[-0.01465294470589941],[-9.471188573092583e-17]
Train,[-0.014652944705899427],[5.46414725370726e-18]
Train,[-0.0024899666924762596],[1.82138241790242e-18]
Train,[-0.0024899666924763342],[1.092829450741452e-17]
Train,[-0.002489868104617491],[2.1475155316309158e-06]
Train,[-0.0024894730992689046],[-0.02046606179962359]
Train,[-0.01604101532674614],[-0.03181998237701695]
Train,[-0.01638605324825095],[-2.2178075256323896e-06]
Train,[-0.0024899338384653733],[-0.04557838729447085]
Train,[-0.002489862063135097],[1.820191515441475e-06]
Train,[-0.016385947503056945],[1.8201915155289015e-06]
Train,[-0.014498316503503923],[-0.07587621233758134]
Train,[-0.002489872536675445],[-4.1009506176001475e-06]
Train,[-0.002491211388144497],[0.03502305871878561]
Train,[-0.014537653008775938],[0.04596011552868171]
Train,[-0.016385941162152817],[2.452425396471171e-06]
Train,[-0.0024898828396582758],[-3.64276483580484e-18]
Train,[-0.002489882839658323],[-1.092829450741452e-16]
Train,[-0.016385990615569272],[-1.3113953408897423e-16]
Train,[-0.016385990615569248],[9.1069120895121e-18]
Train,[-0.010203730080704247],[0.034386940850618]
Train,[-0.012286068802309008],[1.45985827106679e-06]
Train,[-0.0024898903835548353],[1.381861560628865e-06]
Train,[-0.0024896115587087664],[-0.004030206474187182]
Train,[-0.012286246948836258],[-4.100950617578291e-06]
Train,[-0.00978822336560734],[0.04596011552868179]
Train,[-0.0024912237417281237],[0.035023058718785624]
Train,[-0.0024898844488626484],[2.4524253964638855e-06]
Train,[-0.011994444422328415],[-0.04635304026034097]
Train,[-0.012286115342301826],[8.766607765741092e-07]
Train,[-0.0024898949416940932],[8.766607766032513e-07]
Train,[-0.002489801315066984],[-0.040709636276467155]
Train,[-0.012286136916936096],[5.282009011917018e-17]
Train,[-0.01228613691693611],[-5.46414725370726e-18]
Train,[-0.0024899049897713706],[1.82138241790242e-18]
Train,[-0.0024899049897714434],[9.471188573092583e-17]
Train,[-0.0024899103474466918],[-9.471188573092583e-17]
Train,[-0.002489923939651917],[1.82138241790242e-18]
Train,[-0.0024899104958341837],[5.46414725370726e-18]
Train,[-0.0024899239396533866],[1.092829450741452e-17]
Train,[-0.0024899239396425237],[-3.64276483580484e-18]
Train,[-0.002489904824960461],[-1.3113953408897423e-16]
Train,[-0.002489923939643917],[-1.092829450741452e-16]
Train,[-0.002489905032962752],[9.1069120895121e-18]
Train,[-0.002489914610036729],[5.282009011917018e-17]
Train,[-0.0024899239396457442],[1.82138241790242e-18]
Train,[-0.0024899147120711292],[-5.46414725370726e-18]
Train,[-0.0024899239396470353],[9.471188573092583e-17]
Train,[-0.002489522182850225],[-0.026621245462551197]
Train,[-0.0024899239259934267],[-5.688607871304142e-07]
Train,[-0.002489923925994623],[-5.688607871322355e-07]
Train,[-0.0024895601399373903],[-0.010823945532928939]
Train,[-0.013727656046101426],[-0.03225642570605386]
Train,[-0.014645835244758485],[7.900587201402797e-05]
Train,[-0.002486022868347152],[7.900587201395693e-05]
Train,[-0.002485669527361266],[-0.01692222211298195]
Train,[-0.014641941411492531],[0.00021839714942577227]
Train,[-0.012311858185759863],[0.03183374883540315]
Train,[-0.0024885356109220565],[0.020468388897137785]
Train,[-0.002485945430930881],[-0.00022558532345777192]
Train,[-0.012822005284485504],[0.034430140265059306]
Train,[-0.014654553461871177],[-0.00014064887786440584]
Train,[-0.002486022157634165],[-0.00014859676587885906]
Train,[-0.00248539793015005],[-0.004036594411177927]
Train,[-0.014649491924321748],[-1.4753197585009603e-16]
Train,[-0.014649491924321738],[2.185658901482904e-17]
Train,[-0.0024861045503114273],[1.457105934321936e-17]
Train,[-0.0024861045503113584],[1.639244176112178e-17]
Train,[-0.00248614732949323],[0.0002183971494257249]
Train,[-0.002488596562223417],[0.020468388897137844]
Train,[-0.01429980366774939],[0.03183374883540315]
Train,[-0.018114424488903363],[-0.00022558532345770454]
Train,[-0.0024863452823095213],[-0.04565742741386274]
Train,[-0.002486065322023789],[-0.00018499056409219296]
Train,[-0.01810950570614039],[-0.00018499056409211466]
Train,[-0.014310568937848826],[-0.07587345187227598]
Train,[-0.0024861258736499333],[-0.000417703483878227]
Train,[-0.0024853291766456865],[-0.03506887734551717]
Train,[-0.01748991153966937],[-0.04598491259983777]
Train,[-0.01808636382948852],[0.00024937868650868835]
Train,[-0.002486222176737236],[-1.274967692531694e-17]
Train,[-0.0024862221767372344],[1.5117474068590086e-16]
Train,[-0.018098821058945908],[1.9853068355136378e-16]
Train,[-0.018098821058945957],[-4.371317802965808e-17]
Train,[-0.010200443877403426],[0.034430140265059465]
Train,[-0.012290144306338999],[-0.0001485967658787516]
Train,[-0.0024919484458471516],[-0.00014064887786438763]
