Data,Predicted,Reference
Train,[-0.016105417729903718],[-0.03225818565279794]
Train,[-0.01595092234584475],[-7.769851570889031e-07]
Train,[-0.015089122347559193],[-7.769851570670464e-07]
Train,[-0.015875324786558714],[-0.016908658625533646]
Train,[-0.015876438221825835],[2.147515531627273e-06]
Train,[-0.015985602434238223],[-0.03181998237701682]
Train,[-0.015768654479807985],[-0.020466061799623576]
Train,[-0.01587653775151895],[-2.2178075255649983e-06]
Train,[-0.015890677811598128],[0.034386940850617984]
Train,[-0.01589597413364276],[1.3818615606561856e-06]
Train,[-0.015994115228185227],[1.4598582711141459e-06]
Train,[-0.01585693293748648],[-0.004030206474187189]
Train,[-0.01587284991097537],[-9.471188573092583e-17]
Train,[-0.015896621544088697],[5.46414725370726e-18]
Train,[-0.015884750916369008],[1.82138241790242e-18]
Train,[-0.01590685887794219],[1.092829450741452e-17]
Train,[-0.016027849600695022],[2.1475155316309158e-06]
Train,[-0.015872489777230433],[-0.02046606179962359]
Train,[-0.01586188893826104],[-0.03181998237701695]
Train,[-0.015942936116547065],[-2.2178075256323896e-06]
Train,[-0.015568510433442971],[-0.04557838729447085]
Train,[-0.016072315786386848],[1.820191515441475e-06]
Train,[-0.01593095399586372],[1.8201915155289015e-06]
Train,[-0.016245835646623286],[-0.07587621233758134]
Train,[-0.01618458535234947],[-4.1009506176001475e-06]
Train,[-0.015879180927337602],[0.03502305871878561]
Train,[-0.015940438355896234],[0.04596011552868171]
Train,[-0.01583755269222383],[2.452425396471171e-06]
Train,[-0.015847960997330993],[-3.64276483580484e-18]
Train,[-0.015728530273551193],[-1.092829450741452e-16]
Train,[-0.01593658744741162],[-1.3113953408897423e-16]
Train,[-0.015857909290584858],[9.1069120895121e-18]
Train,[-0.015965489796487743],[0.034386940850618]
Train,[-0.015862526633555623],[1.45985827106679e-06]
Train,[-0.015932265598358177],[1.381861560628865e-06]
Train,[-0.01595996741538825],[-0.004030206474187182]
Train,[-0.0158706356218271],[-4.100950617578291e-06]
Train,[-0.01599013907633815],[0.04596011552868179]
Train,[-0.015888544910074957],[0.035023058718785624]
Train,[-0.016050245452326656],[2.4524253964638855e-06]
Train,[-0.016113521890356686],[-0.04635304026034097]
Train,[-0.016351857473667852],[8.766607765741092e-07]
Train,[-0.01839955944156465],[8.766607766032513e-07]
Train,[-0.01623546020639643],[-0.040709636276467155]
Train,[-0.01584063910165614],[5.282009011917018e-17]
Train,[-0.015936966131896206],[-5.46414725370726e-18]
Train,[-0.01600615892965487],[1.82138241790242e-18]
Train,[-0.0159052159049063],[9.471188573092583e-17]
Train,[-0.01569555528502608],[-9.471188573092583e-17]
Train,[-0.015897909958837882],[1.82138241790242e-18]
Train,[-0.01591404935604368],[5.46414725370726e-18]
Train,[-0.015909243622929958],[1.092829450741452e-17]
Train,[-0.015630662585510838],[-3.64276483580484e-18]
Train,[-0.015983395444573095],[-1.3113953408897423e-16]
Train,[-0.01575825061402405],[-1.092829450741452e-16]
Train,[-0.015691448064880553],[9.1069120895121e-18]
Train,[-0.015830944581632627],[5.282009011917018e-17]
Train,[-0.015325285354127312],[1.82138241790242e-18]
Train,[-0.016056380005159045],[-5.46414725370726e-18]
Train,[-0.015962796706048145],[9.471188573092583e-17]
Train,[-0.01573224625225593],[-0.026621245462551197]
Train,[-0.015404944217915393],[-5.688607871304142e-07]
Train,[-0.01533927751753732],[-5.688607871322355e-07]
Train,[-0.015794118097922683],[-0.010823945532928939]
Train,[-0.016105105636120477],[-0.03225642570605386]
Train,[-0.015992159019208287],[7.900587201402797e-05]
Train,[-0.015009177073409876],[7.900587201395693e-05]
Train,[-0.015861755517895173],[-0.01692222211298195]
Train,[-0.015881102075582142],[0.00021839714942577227]
Train,[-0.01589470876001111],[0.03183374883540315]
Train,[-0.015872320086163787],[0.020468388897137785]
Train,[-0.016047344255695883],[-0.00022558532345777192]
Train,[-0.015890592056292653],[0.034430140265059306]
Train,[-0.015894737682834132],[-0.00014064887786440584]
Train,[-0.015929250235588974],[-0.00014859676587885906]
Train,[-0.01585027806940593],[-0.004036594411177927]
Train,[-0.01587302758821287],[-1.4753197585009603e-16]
Train,[-0.015901125736175355],[2.185658901482904e-17]
Train,[-0.01590177586084343],[1.457105934321936e-17]
Train,[-0.015938962661908272],[1.639244176112178e-17]
Train,[-0.0160086988696971],[0.0002183971494257249]
Train,[-0.01580286125123145],[0.020468388897137844]
Train,[-0.015744597166613868],[0.03183374883540315]
Train,[-0.015882614902814177],[-0.00022558532345770454]
Train,[-0.015578590556947283],[-0.04565742741386274]
Train,[-0.01533800665628759],[-0.00018499056409219296]
Train,[-0.01587924323964975],[-0.00018499056409211466]
Train,[-0.01595010916461054],[-0.07587345187227598]
Train,[-0.01626782788001349],[-0.000417703483878227]
Train,[-0.015077683719249946],[-0.03506887734551717]
Train,[-0.015628603778156672],[-0.04598491259983777]
Train,[-0.015913415547402346],[0.00024937868650868835]
Train,[-0.01609922728624136],[-1.274967692531694e-17]
Train,[-0.0155306739670869],[1.5117474068590086e-16]
Train,[-0.01586240201331419],[1.9853068355136378e-16]
Train,[-0.015924047508715407],[-4.371317802965808e-17]
Train,[-0.015965213687201496],[0.034430140265059465]
Train,[-0.01587912018250133],[-0.0001485967658787516]
Train,[-0.01590323852744243],[-0.00014064887786438763]
Train,[-0.01597658216920196],[-0.00403659441117794]
Train,[-0.015876315565315973],[-0.00041770348387830354]
Train,[-0.01581820760641947],[-0.04598491259983788]
Train,[-0.016075908344770427],[-0.03506887734551722]
Train,[-0.015839787013942442],[0.00024937868650867014]
Train,[-0.016113204088063802],[-0.04642098563854254]
Train,[-0.016295104512812023],[-8.929989840338444e-05]
Train,[-0.01814238268810012],[-8.92998984034318e-05]
Train,[-0.016374053539650227],[-0.04070587366488182]
Train,[-0.0158440748360796],[8.742635605931616e-17]
Train,[-0.01594554569647331],[-3.096350110434114e-17]
Train,[-0.016030005664631943],[-2.367797143273146e-17]
Train,[-0.015858947645601647],[1.274967692531694e-16]
Train,[-0.01570455856580846],[-1.4753197585009603e-16]
Train,[-0.015881710901200535],[1.457105934321936e-17]
Train,[-0.015967599417137022],[2.185658901482904e-17]
Train,[-0.015918318845734306],[1.639244176112178e-17]
Train,[-0.015685816799717624],[-1.274967692531694e-17]
Train,[-0.015929098159655437],[1.9853068355136378e-16]
Train,[-0.015819243645399352],[1.5117474068590086e-16]
Train,[-0.015909105233923575],[-4.371317802965808e-17]
Train,[-0.01585262221978593],[8.742635605931616e-17]
Train,[-0.015439847001988385],[-2.367797143273146e-17]
Train,[-0.016111237482813026],[-3.096350110434114e-17]
Train,[-0.01593544712693007],[1.274967692531694e-16]
Train,[-0.015700937881563022],[-0.026634468268519597]
Train,[-0.015454402397940024],[5.783038463533851e-05]
Train,[-0.015382168998732614],[5.7830384635351266e-05]
Train,[-0.015804434847768348],[-0.010832636499721451]
Train,[-0.01610548194711236],[-0.032258451158275296]
Train,[-0.01597518674365663],[-1.3271416039564208e-05]
Train,[-0.015009534601658252],[-1.3271416039666206e-05]
Train,[-0.015866467116477455],[-0.016905929475836967]
Train,[-0.01587867885243985],[3.667982742938658e-05]
Train,[-0.01598561354272171],[-0.03181689782676138]
Train,[-0.015757998632899804],[-0.020465344205368968]
Train,[-0.015746452484463234],[-3.7879038950043834e-05]
Train,[-0.01589069540966663],[0.03437783697126322]
Train,[-0.01589589541294749],[2.359828106542327e-05]
Train,[-0.015955043483957997],[2.4929931815233868e-05]
Train,[-0.01585346570912045],[-0.004028753092825896]
Train,[-0.01587294059383369],[-8.19622088056089e-17]
Train,[-0.015902457796128016],[1.82138241790242e-17]
Train,[-0.01590398750759799],[1.274967692531694e-17]
Train,[-0.015926216913925942],[7.28552967160968e-18]
Train,[-0.016076090448652387],[3.667982742931737e-05]
Train,[-0.015652250442102698],[-0.02046534420536899]
Train,[-0.015861792682502814],[-0.031816897826761434]
Train,[-0.015935011018734065],[-3.787903895011487e-05]
Train,[-0.01555939086523519],[-0.045562209296626306]
Train,[-0.016503005933860868],[3.1093243300779163e-05]
Train,[-0.015927463478001825],[3.1093243300713596e-05]
Train,[-0.016246127192651404],[-0.07587647421210354]
Train,[-0.016388025792456233],[-7.002230991633843e-05]
Train,[-0.01582246594939831],[0.03501319319465092]
Train,[-0.01594052365322204],[0.04595459277084304]
Train,[-0.015854200705572846],[4.188850986001449e-05]
Train,[-0.01605719812058748],[1.639244176112178e-17]
Train,[-0.015617911174606439],[-9.471188573092583e-17]
Train,[-0.015936151084613725],[-1.1656847474575488e-16]
Train,[-0.01584735624430859],[3.824903077595082e-17]
Train,[-0.015965547561985385],[0.034377836971263155]
Train,[-0.01587261715515695],[2.4929931815233868e-05]
Train,[-0.015914282934910942],[2.3598281065485193e-05]
Train,[-0.01597253505356719],[-0.004028753092825932]
Train,[-0.01587357156983274],[-7.002230991629472e-05]
Train,[-0.015990186447736046],[0.04595459277084304]
Train,[-0.015886061339069252],[0.035013193194650974]
Train,[-0.015969475609685625],[4.188850985993799e-05]
Train,[-0.01611359030387377],[-0.04633911749680126]
Train,[-0.016323625034197667],[1.496840694527187e-05]
Train,[-0.01834110888266291],[1.496840694528462e-05]
Train,[-0.016334744066621665],[-0.040710207897740124]
Train,[-0.015840773461110787],[5.282009011917018e-17]
Train,[-0.015946495529475427],[-2.914211868643872e-17]
Train,[-0.016015580401434748],[-2.549935385063388e-17]
Train,[-0.015878651914767915],[7.649806155190164e-17]
Train,[-0.015700889099292795],[-8.19622088056089e-17]
Train,[-0.01587866313664861],[1.274967692531694e-17]
Train,[-0.01597927302582675],[1.82138241790242e-17]
Train,[-0.015909888035124508],[7.28552967160968e-18]
Train,[-0.015642412743169312],[1.639244176112178e-17]
Train,[-0.015985067295442197],[-1.1656847474575488e-16]
Train,[-0.015800111557094442],[-9.471188573092583e-17]
Train,[-0.01579476391276437],[3.824903077595082e-17]
Train,[-0.015830842217607135],[5.282009011917018e-17]
Train,[-0.01535857420775222],[-2.549935385063388e-17]
Train,[-0.016134592428227082],[-2.914211868643872e-17]
Train,[-0.015936462579493202],[7.649806155190164e-17]
Train,[-0.015732004657781126],[-0.026618455211376083]
Train,[-0.015435103458362211],[-9.716962955821612e-06]
Train,[-0.01540165385459995],[-9.716962955823433e-06]
Train,[-0.015813132310399644],[-0.010822185141719742]
Train,[-0.016103346245618332],[-0.03225291592097013]
Train,[-0.015989803300972945],[6.734542800778838e-05]
Train,[-0.015023250912670306],[6.734542800765178e-05]
