Data,Predicted,Reference
Train,[-0.022462807222979393],[-0.03225818565279794]
Train,[-0.022082159527651624],[-7.769851570889031e-07]
Train,[-0.002847052708913088],[-7.769851570670464e-07]
Train,[-0.002837489552821678],[-0.016908658625533646]
Train,[-0.0220818944965361],[2.147515531627273e-06]
Train,[-0.026401496878893236],[-0.03181998237701682]
Train,[-0.0028255868692994555],[-0.020466061799623576]
Train,[-0.0028470492857965535],[-2.2178075255649983e-06]
Train,[-0.01837506083080053],[0.034386940850617984]
Train,[-0.022081951550533864],[1.3818615606561856e-06]
Train,[-0.002847059122921021],[1.4598582711141459e-06]
Train,[-0.002831564881929911],[-0.004030206474187189]
Train,[-0.02208207318276036],[-9.471188573092583e-17]
Train,[-0.022082073182760332],[5.46414725370726e-18]
Train,[-0.0028470552621174374],[1.82138241790242e-18]
Train,[-0.002847055262117647],[1.092829450741452e-17]
Train,[-0.002841931749855248],[2.1475155316309158e-06]
Train,[-0.002819824000499371],[-0.02046606179962359]
Train,[-0.016205350407385508],[-0.03181998237701695]
Train,[-0.011061051711772869],[-2.2178075256323896e-06]
Train,[-0.002844684036346434],[-0.04557838729447085]
Train,[-0.0028419305890361834],[1.820191515441475e-06]
Train,[-0.011061489720744923],[1.8201915155289015e-06]
Train,[-0.016593922477181878],[-0.07587621233758134]
Train,[-0.002841920080560122],[-4.1009506176001475e-06]
Train,[-0.002913765839924445],[0.03502305871878561]
Train,[-0.016092589574145343],[0.04596011552868171]
Train,[-0.011061515061917954],[2.452425396471171e-06]
Train,[-0.0028419266711748273],[-3.64276483580484e-18]
Train,[-0.0028419266711749145],[-1.092829450741452e-16]
Train,[-0.011061311130396753],[-1.3113953408897423e-16]
Train,[-0.01106131113039673],[9.1069120895121e-18]
Train,[-0.0031725294923674774],[0.034386940850618]
Train,[0.003415875100491745],[1.45985827106679e-06]
Train,[-0.002843287067226762],[1.381861560628865e-06]
Train,[-0.0028274567386658697],[-0.004030206474187182]
Train,[0.0034165719104123525],[-4.100950617578291e-06]
Train,[-0.004393721509844541],[0.04596011552868179]
Train,[-0.0029145773813380542],[0.035023058718785624]
Train,[-0.002843288179334498],[2.4524253964638855e-06]
Train,[0.0051575123945929715],[-0.04635304026034097]
Train,[0.0034160588624495085],[8.766607765741092e-07]
Train,[-0.002843284867475779],[8.766607766032513e-07]
Train,[-0.0028376934465815374],[-0.040709636276467155]
Train,[0.00341614230331408],[5.282009011917018e-17]
Train,[0.003416142303314346],[-5.46414725370726e-18]
Train,[-0.002843283679867434],[1.82138241790242e-18]
Train,[-0.0028432836798674703],[9.471188573092583e-17]
Train,[-0.002844443237491889],[-9.471188573092583e-17]
Train,[-0.0028444433479562553],[1.82138241790242e-18]
Train,[-0.002844443237491716],[5.46414725370726e-18]
Train,[-0.0028444433479562683],[1.092829450741452e-17]
Train,[-0.002844443347956319],[-3.64276483580484e-18]
Train,[-0.0028444431770295714],[-1.3113953408897423e-16]
Train,[-0.002844443347956301],[-1.092829450741452e-16]
Train,[-0.002844443177029145],[9.1069120895121e-18]
Train,[-0.0028444432763282063],[5.282009011917018e-17]
Train,[-0.002844443347956217],[1.82138241790242e-18]
Train,[-0.0028444432763278437],[-5.46414725370726e-18]
Train,[-0.002844443347955853],[9.471188573092583e-17]
Train,[-0.002822778765087983],[-0.026621245462551197]
Train,[-0.0028444426113347844],[-5.688607871304142e-07]
Train,[-0.002844442611334575],[-5.688607871322355e-07]
Train,[-0.0028248248926184254],[-0.010823945532928939]
Train,[-0.022471453330169703],[-0.03225642570605386]
Train,[-0.022084448030920557],[7.900587201402797e-05]
Train,[-0.002579865364468096],[7.900587201395693e-05]
Train,[-0.002554940245553846],[-0.01692222211298195]
Train,[-0.02207498653883329],[0.00021839714942577227]
Train,[-0.016497399752638735],[0.03183374883540315]
Train,[-0.0027154013706343206],[0.020468388897137785]
Train,[-0.0025777334309489653],[-0.00022558532345777192]
Train,[-0.01837392284396061],[0.034430140265059306]
Train,[-0.022105559670392915],[-0.00014064887786440584]
Train,[-0.0025782178977593983],[-0.00014859676587885906]
Train,[-0.002539792588014373],[-0.004036594411177927]
Train,[-0.02209319062205716],[-1.4753197585009603e-16]
Train,[-0.02209319062205716],[2.185658901482904e-17]
Train,[-0.0025792325245539848],[1.457105934321936e-17]
Train,[-0.0025792325245539557],[1.639244176112178e-17]
Train,[-0.002590175721702348],[0.0002183971494257249]
Train,[-0.0027220768702861473],[0.020468388897137844]
Train,[-0.01362128657299731],[0.03183374883540315]
Train,[-0.022858246916552537],[-0.00022558532345770454]
Train,[-0.0025958135785276257],[-0.04565742741386274]
Train,[-0.0025878883373115957],[-0.00018499056409219296]
Train,[-0.02284574276081951],[-0.00018499056409211466]
Train,[-0.013168017253096864],[-0.07587345187227598]
Train,[-0.0025873008285368713],[-0.000417703483878227]
Train,[-0.002538986200191915],[-0.03506887734551717]
Train,[-0.019287832810085666],[-0.04598491259983777]
Train,[-0.022787153817113312],[0.00024937868650868835]
Train,[-0.0025888950587042176],[-1.274967692531694e-17]
Train,[-0.0025888950587042775],[1.5117474068590086e-16]
Train,[-0.02281878468238645],[1.9853068355136378e-16]
Train,[-0.022818784682386486],[-4.371317802965808e-17]
Train,[-0.0031733545676284045],[0.034430140265059465]
Train,[0.0034446288959176885],[-0.0001485967658787516]
Train,[-0.002962151267511146],[-0.00014064887786438763]
Train,[-0.0029570501841150324],[-0.00403659441117794]
Train,[0.0034610025767327504],[-0.00041770348387830354]
Train,[0.005924237247779608],[-0.04598491259983788]
Train,[-0.0029555170355915787],[-0.03506887734551722]
Train,[-0.0029624254649178367],[0.00024937868650867014]
Train,[0.005159252708030169],[-0.04642098563854254]
Train,[0.0034260000991925216],[-8.929989840338444e-05]
Train,[-0.002962225933608314],[-8.92998984034318e-05]
Train,[-0.002960412151576994],[-0.04070587366488182]
Train,[0.003417509870681689],[8.742635605931616e-17]
Train,[0.0034175098706813647],[-3.096350110434114e-17]
Train,[-0.002962268180375309],[-2.367797143273146e-17]
Train,[-0.0029622681803754586],[1.274967692531694e-16]
Train,[-0.002844443237558666],[-1.4753197585009603e-16]
Train,[-0.0028444433479504396],[1.457105934321936e-17]
Train,[-0.0028444432375581874],[2.185658901482904e-17]
Train,[-0.0028444433479500736],[1.639244176112178e-17]
Train,[-0.0028444433479490683],[-1.274967692531694e-17]
Train,[-0.002844443175558847],[1.9853068355136378e-16]
Train,[-0.002844443347948786],[1.5117474068590086e-16]
Train,[-0.00284444317555851],[-4.371317802965808e-17]
