Data,Predicted,Reference
Train,[-0.015890292779535978],[-0.03225818565279794]
Train,[-0.01588881424250795],[-7.769851570889031e-07]
Train,[-0.015890665003948427],[-7.769851570670464e-07]
Train,[-0.01589388291817547],[-0.016908658625533646]
Train,[-0.015889276023897482],[2.147515531627273e-06]
Train,[-0.01588982914138265],[-0.03181998237701682]
Train,[-0.015889042196077282],[-0.020466061799623576]
Train,[-0.01589020336900328],[-2.2178075255649983e-06]
Train,[-0.015892641972555445],[0.034386940850617984]
Train,[-0.01589458629448709],[1.3818615606561856e-06]
Train,[-0.015901422625271697],[1.4598582711141459e-06]
Train,[-0.015899973111605407],[-0.004030206474187189]
Train,[-0.015896539106556667],[-9.471188573092583e-17]
Train,[-0.01589438248415449],[5.46414725370726e-18]
Train,[-0.015901818946045615],[1.82138241790242e-18]
Train,[-0.015904106030476386],[1.092829450741452e-17]
Train,[-0.015852532053962712],[2.1475155316309158e-06]
Train,[-0.015946593453353145],[-0.02046606179962359]
Train,[-0.015886263519632984],[-0.03181998237701695]
Train,[-0.015910188216737273],[-2.2178075256323896e-06]
Train,[-0.015891472577120192],[-0.04557838729447085]
Train,[-0.015887846872729785],[1.820191515441475e-06]
Train,[-0.01589081855248333],[1.8201915155289015e-06]
Train,[-0.015889743091320012],[-0.07587621233758134]
Train,[-0.015847741418086668],[-4.1009506176001475e-06]
Train,[-0.015859929835201427],[0.03502305871878561]
Train,[-0.015884846781593537],[0.04596011552868171]
Train,[-0.01587612978019729],[2.452425396471171e-06]
Train,[-0.015840858106661106],[-3.64276483580484e-18]
Train,[-0.01584176241953483],[-1.092829450741452e-16]
Train,[-0.015876089304438522],[-1.3113953408897423e-16]
Train,[-0.01587671077051603],[9.1069120895121e-18]
Train,[-0.015893117011462357],[0.034386940850618]
Train,[-0.015875850418028605],[1.45985827106679e-06]
Train,[-0.01590631678730186],[1.381861560628865e-06]
Train,[-0.015853932596030785],[-0.004030206474187182]
Train,[-0.015889127120754874],[-4.100950617578291e-06]
Train,[-0.01588987955247353],[0.04596011552868179]
Train,[-0.015888449020297516],[0.035023058718785624]
Train,[-0.015890808480857985],[2.4524253964638855e-06]
Train,[-0.015891856407983292],[-0.04635304026034097]
Train,[-0.015896122762113437],[8.766607765741092e-07]
Train,[-0.015908500062302666],[8.766607766032513e-07]
Train,[-0.015900410085108018],[-0.040709636276467155]
Train,[-0.015896943158403728],[5.282009011917018e-17]
Train,[-0.01589547471560139],[-5.46414725370726e-18]
Train,[-0.015910407148600134],[1.82138241790242e-18]
Train,[-0.015916300004989684],[9.471188573092583e-17]
Train,[-0.015890972955570626],[-9.471188573092583e-17]
Train,[-0.01588752654904269],[1.82138241790242e-18]
Train,[-0.015890087721558803],[5.46414725370726e-18]
Train,[-0.01588867974628426],[1.092829450741452e-17]
Train,[-0.015889637879692907],[-3.64276483580484e-18]
Train,[-0.01588980586989535],[-1.3113953408897423e-16]
Train,[-0.015889705495867393],[-1.092829450741452e-16]
Train,[-0.015889771609678898],[9.1069120895121e-18]
Train,[-0.01589086293060228],[5.282009011917018e-17]
Train,[-0.015890836285577446],[1.82138241790242e-18]
Train,[-0.015890108463246524],[-5.46414725370726e-18]
Train,[-0.015890315014935666],[9.471188573092583e-17]
Train,[-0.01589092009712456],[-0.026621245462551197]
Train,[-0.01589167048057839],[-5.688607871304142e-07]
Train,[-0.01589052719438903],[-5.688607871322355e-07]
Train,[-0.015890324568606996],[-0.010823945532928939]
Train,[-0.015890297132393306],[-0.03225642570605386]
Train,[-0.015889105695365335],[7.900587201402797e-05]
Train,[-0.015890399845380217],[7.900587201395693e-05]
Train,[-0.01589210848712207],[-0.01692222211298195]
Train,[-0.015889438289993122],[0.00021839714942577227]
Train,[-0.015889593011314426],[0.03183374883540315]
Train,[-0.01588933060260814],[0.020468388897137785]
Train,[-0.015889180209262135],[-0.00022558532345777192]
Train,[-0.015892650612506967],[0.034430140265059306]
Train,[-0.015893028457289866],[-0.00014064887786440584]
Train,[-0.015897783814652663],[-0.00014859676587885906]
Train,[-0.01589573140021086],[-0.004036594411177927]
Train,[-0.015896830022690593],[-1.4753197585009603e-16]
Train,[-0.01589474540764916],[2.185658901482904e-17]
Train,[-0.015901129979132587],[1.457105934321936e-17]
Train,[-0.01590103128219953],[1.639244176112178e-17]
Train,[-0.015864214133718083],[0.0002183971494257249]
Train,[-0.015923818661327138],[0.020468388897137844]
Train,[-0.015887801779329993],[0.03183374883540315]
Train,[-0.01589676049166491],[-0.00022558532345770454]
Train,[-0.01589073075667105],[-0.04565742741386274]
Train,[-0.015892148045434592],[-0.00018499056409219296]
Train,[-0.01589011326210701],[-0.00018499056409211466]
Train,[-0.015889756666169465],[-0.07587345187227598]
Train,[-0.01586112852417167],[-0.000417703483878227]
Train,[-0.015874529528279127],[-0.03506887734551717]
Train,[-0.01588781767034039],[-0.04598491259983777]
Train,[-0.015885002166770603],[0.00024937868650868835]
Train,[-0.015850530103021506],[-1.274967692531694e-17]
Train,[-0.015851946121501485],[1.5117474068590086e-16]
Train,[-0.015882400780782773],[1.9853068355136378e-16]
Train,[-0.01588244076462882],[-4.371317802965808e-17]
Train,[-0.015893112942951964],[0.034430140265059465]
Train,[-0.0158805138099449],[-0.0001485967658787516]
Train,[-0.01590162521293851],[-0.00014064887786438763]
Train,[-0.01586826576063945],[-0.00403659441117794]
Train,[-0.01588934492249113],[-0.00041770348387830354]
Train,[-0.0158895694658184],[-0.04598491259983788]
Train,[-0.015889076960055124],[-0.03506887734551722]
Train,[-0.015888363842552652],[0.00024937868650867014]
Train,[-0.015891855121079334],[-0.04642098563854254]
Train,[-0.015894096094069006],[-8.929989840338444e-05]
Train,[-0.01590332818006127],[-8.92998984034318e-05]
Train,[-0.015896249375849422],[-0.04070587366488182]
Train,[-0.01589727362745231],[8.742635605931616e-17]
Train,[-0.01589600469430473],[-3.096350110434114e-17]
Train,[-0.01590809786218761],[-2.367797143273146e-17]
Train,[-0.015911478238245517],[1.274967692531694e-16]
Train,[-0.015891975481982238],[-1.4753197585009603e-16]
Train,[-0.015886202993477164],[1.457105934321936e-17]
Train,[-0.015890139026879413],[2.185658901482904e-17]
Train,[-0.015888878960824533],[1.639244176112178e-17]
Train,[-0.01588959954094091],[-1.274967692531694e-17]
Train,[-0.015889563848175855],[1.9853068355136378e-16]
Train,[-0.015889714108898622],[1.5117474068590086e-16]
Train,[-0.015889704171572674],[-4.371317802965808e-17]
Train,[-0.015891789797092878],[8.742635605931616e-17]
Train,[-0.01589134222320642],[-2.367797143273146e-17]
Train,[-0.01589017012729621],[-3.096350110434114e-17]
Train,[-0.015890217144297853],[1.274967692531694e-16]
Train,[-0.015891873399913048],[-0.026634468268519597]
Train,[-0.015892859930234864],[5.783038463533851e-05]
Train,[-0.01589052045529666],[5.7830384635351266e-05]
Train,[-0.015890369581361457],[-0.010832636499721451]
Train,[-0.01589029187642433],[-0.032258451158275296]
Train,[-0.01588900888318224],[-1.3271416039564208e-05]
Train,[-0.015890502525577065],[-1.3271416039666206e-05]
Train,[-0.015892816155140033],[-0.016905929475836967]
Train,[-0.01588937455235119],[3.667982742938658e-05]
Train,[-0.015889829218558884],[-0.03181689782676138]
Train,[-0.015889224874705062],[-0.020465344205368968]
Train,[-0.015890122520371322],[-3.7879038950043834e-05]
Train,[-0.015892640195984416],[0.03437783697126322]
Train,[-0.01589364605297228],[2.359828106542327e-05]
Train,[-0.015899345764484044],[2.4929931815233868e-05]
Train,[-0.015897442211250744],[-0.004028753092825896]
Train,[-0.01589651401265687],[-8.19622088056089e-17]
Train,[-0.015894798314963234],[1.82138241790242e-17]
Train,[-0.015902845360208934],[1.274967692531694e-17]
Train,[-0.015902155192421618],[7.28552967160968e-18]
Train,[-0.015859220580032182],[3.667982742931737e-05]
Train,[-0.01593180700438753],[-0.02046534420536899]
Train,[-0.015886264907213645],[-0.031816897826761434]
Train,[-0.015905899938662104],[-3.787903895011487e-05]
Train,[-0.015891027788657742],[-0.045562209296626306]
Train,[-0.0158881860370133],[3.1093243300779163e-05]
Train,[-0.015890596844344847],[3.1093243300713596e-05]
Train,[-0.015889743085506065],[-0.07587647421210354]
Train,[-0.015855447542321818],[-7.002230991633843e-05]
Train,[-0.015867327377134186],[0.03501319319465092]
Train,[-0.015884850601821997],[0.04595459277084304]
Train,[-0.015878815876691696],[4.188850986001449e-05]
Train,[-0.015843353523888798],[1.639244176112178e-17]
Train,[-0.015847921755227673],[-9.471188573092583e-17]
Train,[-0.01587613450927989],[-1.1656847474575488e-16]
Train,[-0.015875502667361277],[3.824903077595082e-17]
Train,[-0.01589311786341302],[0.034377836971263155]
Train,[-0.01587873652187286],[2.4929931815233868e-05]
Train,[-0.015903724493967635],[2.3598281065485193e-05]
Train,[-0.01586257412279944],[-0.004028753092825932]
Train,[-0.01588925841661904],[-7.002230991629472e-05]
Train,[-0.015889879741873947],[0.04595459277084304]
Train,[-0.015888760839635953],[0.035013193194650974]
Train,[-0.0158906409838178],[4.188850985993799e-05]
Train,[-0.015891856674065712],[-0.04633911749680126]
Train,[-0.01589491283852241],[1.496840694527187e-05]
Train,[-0.015905641786124632],[1.496840694528462e-05]
Train,[-0.01589796816829339],[-0.040710207897740124]
Train,[-0.015896952592369517],[5.282009011917018e-17]
Train,[-0.015896087791846886],[-2.914211868643872e-17]
Train,[-0.015910436359107688],[-2.549935385063388e-17]
Train,[-0.015913388701276503],[7.649806155190164e-17]
Train,[-0.015890987278961783],[-8.19622088056089e-17]
Train,[-0.015887390731158146],[1.274967692531694e-17]
Train,[-0.01589007523492144],[1.82138241790242e-17]
Train,[-0.01588896297667024],[7.28552967160968e-18]
Train,[-0.015889645666885666],[1.639244176112178e-17]
Train,[-0.015889806623306732],[-1.1656847474575488e-16]
Train,[-0.015889716908037095],[-9.471188573092583e-17]
Train,[-0.015889770895951408],[3.824903077595082e-17]
Train,[-0.0158908806433271],[5.282009011917018e-17]
Train,[-0.015890804962825984],[-2.549935385063388e-17]
Train,[-0.0158901003940949],[-2.914211868643872e-17]
Train,[-0.01589017456836188],[7.649806155190164e-17]
Train,[-0.015890939234896498],[-0.026618455211376083]
Train,[-0.015891597565634578],[-9.716962955821612e-06]
Train,[-0.015890400672059064],[-9.716962955823433e-06]
Train,[-0.015890257850901285],[-0.010822185141719742]
Train,[-0.015890317875356632],[-0.03225291592097013]
Train,[-0.015889004470887615],[6.734542800778838e-05]
Train,[-0.015890499560551646],[6.734542800765178e-05]
Train,[-0.015892049283600888],[-0.01698701209913348]
Train,[-0.01588944336711475],[0.0001863537379243354]
Train,[-0.01588959811548838],[0.031900059154929106]
Train,[-0.01588933431158853],[0.020491276960865223]
Train,[-0.01588918932904142],[-0.00019272011327513546]
Train,[-0.015892687276518862],[0.034636065097496914]
Train,[-0.015893135099806152],[-0.00012048514277568004]
Train,[-0.015898038855773813],[-0.00012734142166573567]
Train,[-0.01589596643636229],[-0.004063263554342336]
Train,[-0.015896938471071178],[-2.0217344838716861e-16]
Train,[-0.01589426525489359],[-9.1069120895121e-18]
Train,[-0.015899977368924727],[-5.46414725370726e-18]
Train,[-0.015901090281181238],[2.367797143273146e-17]
Train,[-0.01586339597538286],[0.00018635373792438823]
Train,[-0.015925288001294304],[0.02049127696086523]
Train,[-0.015887783939020225],[0.031900059154928974]
Train,[-0.015896968033944806],[-0.00019272011327503894]
Train,[-0.015890716610140087],[-0.046026900956620265]
Train,[-0.015892122681588995],[-0.00015737296144795846]
Train,[-0.015890107342720276],[-0.00015737296144791293]
Train,[-0.015889756245325747],[-0.07594437972340634]
Train,[-0.015860058326568484],[-0.0003593257613444789]
Train,[-0.01587387631026592],[-0.03532985502844954]
Train,[-0.01588779629209767],[-0.046184500384455554]
Train,[-0.01588484343716499],[0.0002131451434576835]
Train,[-0.015852543040993487],[7.28552967160968e-18]
Train,[-0.01585186468726838],[2.0763759564087587e-16]
Train,[-0.015882282942829368],[2.659218330137533e-16]
Train,[-0.015883015987146577],[1.82138241790242e-17]
Train,[-0.015893076345651513],[0.03463606509749698]
Train,[-0.015880412590191052],[-0.000127341421665661]
Train,[-0.01590172644522679],[-0.00012048514277566183]
Train,[-0.015867871817778875],[-0.004063263554342365]
Train,[-0.015889358759046516],[-0.00035932576134449533]
Train,[-0.01588957907140396],[-0.04618450038445562]
Train,[-0.015889096498193943],[-0.0353298550284496]
Train,[-0.015888408566812597],[0.0002131451434576489]
Train,[-0.01589183186313339],[-0.046806704565322856]
Train,[-0.015894158003048685],[-7.680393062679538e-05]
Train,[-0.015903521338933874],[-7.680393062679721e-05]
Train,[-0.015896405807471325],[-0.04074139126274762]
Train,[-0.0158972186842615],[1.1292570990995005e-16]
Train,[-0.01589545472599037],[1.457105934321936e-17]
Train,[-0.015907048002698067],[1.092829450741452e-17]
Train,[-0.015911107366367444],[1.7849547695443715e-16]
Train,[-0.015892072274685604],[-2.0217344838716861e-16]
Train,[-0.01588646345316626],[-5.46414725370726e-18]
Train,[-0.015889661450909195],[-9.1069120895121e-18]
Train,[-0.015889971395239892],[2.367797143273146e-17]
Train,[-0.015889610174500798],[7.28552967160968e-18]
Train,[-0.01588956363925498],[2.659218330137533e-16]
Train,[-0.015889758698253438],[2.0763759564087587e-16]
Train,[-0.01588976025836434],[1.82138241790242e-17]
Train,[-0.015891880584198024],[1.1292570990995005e-16]
Train,[-0.01589132949425466],[1.092829450741452e-17]
Train,[-0.015889651204217082],[1.457105934321936e-17]
Train,[-0.015889631600158067],[1.7849547695443715e-16]
Train,[-0.01589196069839975],[-0.026691351933937537]
Train,[-0.015892905090668135],[4.926089640430649e-05]
Train,[-0.015889558412953086],[4.9260896404284635e-05]
Train,[-0.01588960152979536],[-0.01087560101983036]
Train,[-0.015890304836328594],[-0.032257439000084195]
Train,[-0.015889051148754774],[6.434735235748744e-05]
Train,[-0.015890454559022514],[6.434735235751294e-05]
Train,[-0.015892118624448903],[-0.016947195719522582]
Train,[-0.015889437416907577],[0.00017798743397651917]
Train,[-0.01588959581068492],[0.03185469380534497]
Train,[-0.015889324915183113],[0.020482007954393176]
Train,[-0.015889176939127697],[-0.00018397587138982923]
Train,[-0.015892660996993536],[0.03450262844213766]
Train,[-0.015893116647799858],[-0.00011478966231369395]
Train,[-0.015898005562110833],[-0.00012130035054604856]
Train,[-0.015895956374400295],[-0.004042276703811714]
Train,[-0.015896957858060334],[2.1674450773038799e-16]
Train,[-0.01589426325565846],[-3.64276483580484e-18]
Train,[-0.015900712472166924],[-3.64276483580484e-18]
Train,[-0.01590122452468096],[-2.549935385063388e-17]
Train,[-0.015863469241875577],[0.00017798743397641717]
Train,[-0.015925203420413914],[0.020482007954393176]
Train,[-0.015887792029649732],[0.031854693805345065]
Train,[-0.01589696762514504],[-0.00018397587138976]
Train,[-0.0158907424633567],[-0.045788727678603355]
Train,[-0.01589216467521131],[-0.00015059937639435856]
Train,[-0.015890114693588666],[-0.00015059937639436038]
Train,[-0.015889756317063703],[-0.07595761327956829]
Train,[-0.015860250194041355],[-0.00034161342684195934]
Train,[-0.015873940086759103],[-0.035190439322304326]
Train,[-0.01588781311962531],[-0.046112163840391025]
Train,[-0.01588486741732775],[0.00020368585599564348]
Train,[-0.015849011349171986],[5.46414725370726e-18]
Train,[-0.01585155899584476],[-2.1492312531248556e-16]
