Data,Predicted,Reference
Train,[-0.011589532130314236],[-0.03225818565279794]
Train,[-0.011974212555813536],[-7.769851570889031e-07]
Train,[-0.015802699838795495],[-7.769851570670464e-07]
Train,[-0.015890147671206906],[-0.016908658625533646]
Train,[-0.011982696515904615],[2.147515531627273e-06]
Train,[-0.01171558276849378],[-0.03181998237701682]
Train,[-0.01589016930238811],[-0.020466061799623576]
Train,[-0.015808102082883836],[-2.2178075255649983e-06]
Train,[-0.012507770757859499],[0.034386940850617984]
Train,[-0.012017137849532449],[1.3818615606561856e-06]
Train,[-0.01599060599961009],[1.4598582711141459e-06]
Train,[-0.015890174631034582],[-0.004030206474187189]
Train,[-0.011973911542283824],[-9.471188573092583e-17]
Train,[-0.011828071715401046],[5.46414725370726e-18]
Train,[-0.01589015050203476],[1.82138241790242e-18]
Train,[-0.015890155518580702],[1.092829450741452e-17]
Train,[-0.01580662517600989],[2.1475155316309158e-06]
Train,[-0.01589016758761958],[-0.02046606179962359]
Train,[-0.009908266890414217],[-0.03181998237701695]
Train,[-0.011566688416972327],[-2.2178075256323896e-06]
Train,[-0.015890155360014598],[-0.04557838729447085]
Train,[-0.01581787477363075],[1.820191515441475e-06]
Train,[-0.01161644671362408],[1.8201915155289015e-06]
Train,[-0.009947738982771907],[-0.07587621233758134]
Train,[-0.016001108191469868],[-4.1009506176001475e-06]
Train,[-0.01588996330534498],[0.03502305871878561]
Train,[-0.013057680719070725],[0.04596011552868171]
Train,[-0.011577772748666337],[2.452425396471171e-06]
Train,[-0.015890143920321478],[-3.64276483580484e-18]
Train,[-0.015890152384106418],[-1.092829450741452e-16]
Train,[-0.011693189638419244],[-1.3113953408897423e-16]
Train,[-0.0115616622166668],[9.1069120895121e-18]
Train,[-0.01587432918132168],[0.034386940850618]
Train,[-0.018650870797558363],[1.45985827106679e-06]
Train,[-0.015804290591084236],[1.381861560628865e-06]
Train,[-0.015890172568524045],[-0.004030206474187182]
Train,[-0.01849640041654853],[-4.100950617578291e-06]
Train,[-0.015993189465446367],[0.04596011552868179]
Train,[-0.015889985384828192],[0.035023058718785624]
Train,[-0.01583277185710529],[2.4524253964638855e-06]
Train,[-0.020918598288821005],[-0.04635304026034097]
Train,[-0.018753137277437746],[8.766607765741092e-07]
Train,[-0.015985252155149083],[8.766607766032513e-07]
Train,[-0.01589014426962891],[-0.040709636276467155]
Train,[-0.018446354994956275],[5.282009011917018e-17]
Train,[-0.018479506137552382],[-5.46414725370726e-18]
Train,[-0.015890141541101875],[1.82138241790242e-18]
Train,[-0.015890151898345126],[9.471188573092583e-17]
Train,[-0.015801442035946908],[-9.471188573092583e-17]
Train,[-0.01589015266722601],[1.82138241790242e-18]
Train,[-0.0157970780035317],[5.46414725370726e-18]
Train,[-0.015890154245064916],[1.092829450741452e-17]
Train,[-0.015890162571459525],[-3.64276483580484e-18]
Train,[-0.015801576715923596],[-1.3113953408897423e-16]
Train,[-0.015890156621068647],[-1.092829450741452e-16]
Train,[-0.015809899512658477],[9.1069120895121e-18]
Train,[-0.01597740202134199],[5.282009011917018e-17]
Train,[-0.015890156189638505],[1.82138241790242e-18]
Train,[-0.015977482315159802],[-5.46414725370726e-18]
Train,[-0.015890156594105125],[9.471188573092583e-17]
Train,[-0.01589014943647445],[-0.026621245462551197]
Train,[-0.01589013683173207],[-5.688607871304142e-07]
Train,[-0.015890136434880534],[-5.688607871322355e-07]
Train,[-0.015890148758447565],[-0.010823945532928939]
Train,[-0.011594677990049334],[-0.03225642570605386]
Train,[-0.011970990969796614],[7.900587201402797e-05]
Train,[-0.015660951673184924],[7.900587201395693e-05]
Train,[-0.015892594972855636],[-0.01692222211298195]
Train,[-0.01197262888095181],[0.00021839714942577227]
Train,[-0.012386737346250589],[0.03183374883540315]
Train,[-0.015892730900451253],[0.020468388897137785]
Train,[-0.016102962567371096],[-0.00022558532345777192]
Train,[-0.012507047258360259],[0.034430140265059306]
Train,[-0.011992285090620902],[-0.00014064887786440584]
Train,[-0.016117198399823906],[-0.00014859676587885906]
Train,[-0.015890105238694333],[-0.004036594411177927]
Train,[-0.011971942864959721],[-1.4753197585009603e-16]
Train,[-0.011827963830449246],[2.185658901482904e-17]
Train,[-0.015890812606848017],[1.457105934321936e-17]
Train,[-0.01589080022826189],[1.639244176112178e-17]
Train,[-0.015671769972442372],[0.0002183971494257249]
Train,[-0.01589246970257504],[0.020468388897137844]
Train,[-0.021912657288064546],[0.03183374883540315]
Train,[-0.02027091107088625],[-0.00022558532345770454]
Train,[-0.015892657262988538],[-0.04565742741386274]
Train,[-0.016105695410974095],[-0.00018499056409219296]
Train,[-0.020249144682308175],[-0.00018499056409211466]
Train,[-0.01853668993252272],[-0.07587345187227598]
Train,[-0.016127972189015342],[-0.000417703483878227]
Train,[-0.01589008657264246],[-0.03506887734551717]
Train,[-0.018669960647981692],[-0.04598491259983777]
Train,[-0.020297911403136713],[0.00024937868650868835]
Train,[-0.015890747948121873],[-1.274967692531694e-17]
Train,[-0.01589076092140267],[1.5117474068590086e-16]
Train,[-0.020198872637608303],[1.9853068355136378e-16]
Train,[-0.020231968893999964],[-4.371317802965808e-17]
Train,[-0.015873684757933503],[0.034430140265059465]
Train,[-0.0185864189967456],[-0.0001485967658787516]
Train,[-0.01586749438608178],[-0.00014064887786438763]
Train,[-0.01589012258695963],[-0.00403659441117794]
Train,[-0.018481536322623237],[-0.00041770348387830354]
Train,[-0.02092971699125985],[-0.04598491259983788]
Train,[-0.01589014403201348],[-0.03506887734551722]
Train,[-0.01593691247223405],[0.00024937868650867014]
Train,[-0.0209185709292276],[-0.04642098563854254]
Train,[-0.01867090517175769],[-8.929989840338444e-05]
Train,[-0.015917850398857864],[-8.92998984034318e-05]
Train,[-0.015889773552792568],[-0.04070587366488182]
Train,[-0.01845055230421775],[8.742635605931616e-17]
Train,[-0.018493175673457797],[-3.096350110434114e-17]
Train,[-0.015889862768282907],[-2.367797143273146e-17]
Train,[-0.015889868798146634],[1.274967692531694e-16]
Train,[-0.015801063053044205],[-1.4753197585009603e-16]
Train,[-0.015890896194662513],[1.457105934321936e-17]
Train,[-0.015796955494728922],[2.185658901482904e-17]
Train,[-0.015890894047985795],[1.639244176112178e-17]
Train,[-0.01589097060441154],[-1.274967692531694e-17]
Train,[-0.015971006462526964],[1.9853068355136378e-16]
Train,[-0.015890962120770975],[1.5117474068590086e-16]
Train,[-0.01597811990253878],[-4.371317802965808e-17]
Train,[-0.015978232439530476],[8.742635605931616e-17]
Train,[-0.015889856784184638],[-2.367797143273146e-17]
Train,[-0.015977326684758236],[-3.096350110434114e-17]
Train,[-0.015889857731950598],[1.274967692531694e-16]
