Data,Predicted,Reference
Train,[-0.029514047846360632],[-0.03225818565279794]
Train,[-0.02951404784636053],[-7.769851570889031e-07]
Train,[0.011221776416996888],[-7.769851570670464e-07]
Train,[0.011221776416996895],[-0.016908658625533646]
Train,[-0.02951404784636066],[2.147515531627273e-06]
Train,[-0.029514047846360653],[-0.03181998237701682]
Train,[0.011221776416996563],[-0.020466061799623576]
Train,[0.011221776416996914],[-2.2178075255649983e-06]
Train,[-0.029514047846360397],[0.034386940850617984]
Train,[-0.02951404784636063],[1.3818615606561856e-06]
Train,[0.011221776416996709],[1.4598582711141459e-06]
Train,[0.011221776416996976],[-0.004030206474187189]
Train,[-0.029514047846360563],[-9.471188573092583e-17]
Train,[-0.02951404784636058],[5.46414725370726e-18]
Train,[0.011221776416996718],[1.82138241790242e-18]
Train,[0.011221776416996895],[1.092829450741452e-17]
Train,[0.01122174055087441],[2.1475155316309158e-06]
Train,[0.011221740550874016],[-0.02046606179962359]
Train,[-0.04285737618270533],[-0.03181998237701695]
Train,[-0.0428573761827053],[-2.2178075256323896e-06]
Train,[0.011221740550874002],[-0.04557838729447085]
Train,[0.011221740550874248],[1.820191515441475e-06]
Train,[-0.042857376182705506],[1.8201915155289015e-06]
Train,[-0.042857376182705124],[-0.07587621233758134]
Train,[0.011221740550874075],[-4.1009506176001475e-06]
Train,[0.011221740550874089],[0.03502305871878561]
Train,[-0.042857376182705395],[0.04596011552868171]
Train,[-0.042857376182705326],[2.452425396471171e-06]
Train,[0.011221740550873946],[-3.64276483580484e-18]
Train,[0.011221740550874201],[-1.092829450741452e-16]
Train,[-0.042857376182705215],[-1.3113953408897423e-16]
Train,[-0.04285737618270528],[9.1069120895121e-18]
Train,[-0.018453836959605573],[0.034386940850618]
Train,[-0.018453836959605573],[1.45985827106679e-06]
Train,[0.011221750142851506],[1.381861560628865e-06]
Train,[0.011221750142851218],[-0.004030206474187182]
Train,[-0.018453836959605573],[-4.100950617578291e-06]
Train,[-0.018453836959605615],[0.04596011552868179]
Train,[0.011221750142851006],[0.035023058718785624]
Train,[0.011221750142851181],[2.4524253964638855e-06]
Train,[-0.018453836959605584],[-0.04635304026034097]
Train,[-0.01845383695960557],[8.766607765741092e-07]
Train,[0.01122175014285151],[8.766607766032513e-07]
Train,[0.011221750142851422],[-0.040709636276467155]
Train,[-0.018453836959605563],[5.282009011917018e-17]
Train,[-0.01845383695960557],[-5.46414725370726e-18]
Train,[0.011221750142851305],[1.82138241790242e-18]
Train,[0.011221750142851199],[9.471188573092583e-17]
Train,[0.011221758281782391],[-9.471188573092583e-17]
Train,[0.011221758281782445],[1.82138241790242e-18]
Train,[0.011221758281782394],[5.46414725370726e-18]
Train,[0.011221758281782564],[1.092829450741452e-17]
Train,[0.01122175828178222],[-3.64276483580484e-18]
Train,[0.011221758281782358],[-1.3113953408897423e-16]
Train,[0.011221758281782256],[-1.092829450741452e-16]
Train,[0.011221758281782533],[9.1069120895121e-18]
