Data,Predicted,Reference
Train,[-0.012637053066390288],[-0.03225818565279794]
Train,[-0.004228623756558781],[-7.769851570889031e-07]
Train,[-0.015888714192293076],[-7.769851570670464e-07]
Train,[-0.015889745785008326],[-0.016908658625533646]
Train,[-0.004259453811737399],[2.147515531627273e-06]
Train,[-0.021116679992291814],[-0.03181998237701682]
Train,[-0.01588975103801794],[-0.020466061799623576]
Train,[-0.01588930389671652],[-2.2178075255649983e-06]
Train,[-0.00012981876963139038],[0.034386940850617984]
Train,[-0.0043595126723996215],[1.3818615606561856e-06]
Train,[-0.015889680671413615],[1.4598582711141459e-06]
Train,[-0.0158897500456932],[-0.004030206474187189]
Train,[-0.004231739007541744],[-9.471188573092583e-17]
Train,[-0.004369456438252445],[5.46414725370726e-18]
Train,[-0.015889749552916787],[1.82138241790242e-18]
Train,[-0.01588975410322459],[1.092829450741452e-17]
Train,[-0.01589046760519113],[2.1475155316309158e-06]
Train,[-0.015889750022978648],[-0.02046606179962359]
Train,[-0.024077291213433567],[-0.03181998237701695]
Train,[-0.01501612866781051],[-2.2178075256323896e-06]
Train,[-0.01588969658760758],[-0.04557838729447085]
Train,[-0.01589072082461285],[1.820191515441475e-06]
Train,[-0.014985075855347621],[1.8201915155289015e-06]
Train,[-0.03332243242826318],[-0.07587621233758134]
Train,[-0.015890118721503102],[-4.1009506176001475e-06]
Train,[-0.01588941079738277],[0.03502305871878561]
Train,[-0.010381254577710865],[0.04596011552868171]
Train,[-0.014959469994355374],[2.452425396471171e-06]
Train,[-0.015889695033794005],[-3.64276483580484e-18]
Train,[-0.01588980671097072],[-1.092829450741452e-16]
Train,[-0.014952355611074504],[-1.3113953408897423e-16]
Train,[-0.015031755355363986],[9.1069120895121e-18]
Train,[-0.01998602697973679],[0.034386940850618]
Train,[-0.0261778288084386],[1.45985827106679e-06]
Train,[-0.015889775990029394],[1.381861560628865e-06]
Train,[-0.015889753454659598],[-0.004030206474187182]
Train,[-0.026117643782819135],[-4.100950617578291e-06]
Train,[-0.013573062207643448],[0.04596011552868179]
Train,[-0.015889786382925358],[0.035023058718785624]
Train,[-0.015889721519440295],[2.4524253964638855e-06]
Train,[-0.029012064374626764],[-0.04635304026034097]
Train,[-0.02604615641368318],[8.766607765741092e-07]
Train,[-0.0158894256491959],[8.766607766032513e-07]
Train,[-0.0158897752809157],[-0.040709636276467155]
Train,[-0.026131371811895086],[5.282009011917018e-17]
Train,[-0.026039019113772273],[-5.46414725370726e-18]
Train,[-0.0158897323428343],[1.82138241790242e-18]
Train,[-0.015889760896638253],[9.471188573092583e-17]
Train,[-0.01589649060966836],[-9.471188573092583e-17]
Train,[-0.015889765267390794],[1.82138241790242e-18]
Train,[-0.015886350640877508],[5.46414725370726e-18]
Train,[-0.01588976651598685],[1.092829450741452e-17]
Train,[-0.01588971899232269],[-3.64276483580484e-18]
Train,[-0.01589721932744572],[-1.3113953408897423e-16]
Train,[-0.01588979075554021],[-1.092829450741452e-16]
Train,[-0.015885923306080026],[9.1069120895121e-18]
Train,[-0.015906053275837464],[5.282009011917018e-17]
Train,[-0.01588977331404396],[1.82138241790242e-18]
Train,[-0.01589702907854195],[-5.46414725370726e-18]
Train,[-0.01588979208228476],[9.471188573092583e-17]
Train,[-0.01588975313867378],[-0.026621245462551197]
Train,[-0.015889710604344482],[-5.688607871304142e-07]
Train,[-0.01588970652059555],[-5.688607871322355e-07]
Train,[-0.015889751308366343],[-0.010823945532928939]
Train,[-0.012623148880047662],[-0.03225642570605386]
Train,[-0.004240282336829081],[7.900587201402797e-05]
Train,[-0.01588631619010738],[7.900587201395693e-05]
Train,[-0.0158897792419677],[-0.01692222211298195]
Train,[-0.004196973085548262],[0.00021839714942577227]
Train,[0.012765972134945104],[0.03183374883540315]
Train,[-0.015889667886300116],[0.020468388897137785]
Train,[-0.015890820047173904],[-0.00022558532345777192]
Train,[-0.00012724281748644978],[0.034430140265059306]
Train,[-0.004362579462313309],[-0.00014064887786440584]
Train,[-0.01588945303634511],[-0.00014859676587885906]
Train,[-0.015889776441883465],[-0.004036594411177927]
Train,[-0.004244155112945324],[-1.4753197585009603e-16]
Train,[-0.004367089827928375],[2.185658901482904e-17]
Train,[-0.015889780264477623],[1.457105934321936e-17]
Train,[-0.015889753576818457],[1.639244176112178e-17]
Train,[-0.015889335985643353],[0.0002183971494257249]
Train,[-0.015889819130196013],[0.020468388897137844]
Train,[-0.007086587336309708],[0.03183374883540315]
Train,[-0.01617421365612444],[-0.00022558532345770454]
Train,[-0.015889711682911357],[-0.04565742741386274]
Train,[-0.015891963356222717],[-0.00018499056409219296]
Train,[-0.016185947685362884],[-0.00018499056409211466]
Train,[-0.03480252324842168],[-0.07587345187227598]
Train,[-0.015888107921079038],[-0.000417703483878227]
Train,[-0.015889770314766464],[-0.03506887734551717]
Train,[-0.0208044048330504],[-0.04598491259983777]
Train,[-0.016201251837989435],[0.00024937868650868835]
Train,[-0.01588967883135682],[-1.274967692531694e-17]
Train,[-0.015889862574153427],[1.5117474068590086e-16]
Train,[-0.01619764654347702],[1.9853068355136378e-16]
Train,[-0.016155076812188834],[-4.371317802965808e-17]
Train,[-0.01999548263972521],[0.034430140265059465]
Train,[-0.02614336525343117],[-0.0001485967658787516]
Train,[-0.01588988627295967],[-0.00014064887786438763]
Train,[-0.015889754954892192],[-0.00403659441117794]
Train,[-0.026133086532616694],[-0.00041770348387830354]
Train,[-0.03872226705685793],[-0.04598491259983788]
Train,[-0.015889759242959003],[-0.03506887734551722]
Train,[-0.015891558414831447],[0.00024937868650867014]
Train,[-0.029011510091117076],[-0.04642098563854254]
Train,[-0.02605324632216466],[-8.929989840338444e-05]
Train,[-0.015890492548659596],[-8.92998984034318e-05]
Train,[-0.015889756566146107],[-0.04070587366488182]
Train,[-0.02612881601124838],[8.742635605931616e-17]
Train,[-0.026013436632614233],[-3.096350110434114e-17]
Train,[-0.01588970725343416],[-2.367797143273146e-17]
Train,[-0.015889776789214043],[1.274967692531694e-16]
Train,[-0.015895947631520798],[-1.4753197585009603e-16]
Train,[-0.01588976311880236],[1.457105934321936e-17]
Train,[-0.015888313153610226],[2.185658901482904e-17]
Train,[-0.015889807195802064],[1.639244176112178e-17]
Train,[-0.015889661398271308],[-1.274967692531694e-17]
Train,[-0.015881284110893217],[1.9853068355136378e-16]
Train,[-0.01588992026873951],[1.5117474068590086e-16]
Train,[-0.01589551821869578],[-4.371317802965808e-17]
Train,[-0.015901120370894063],[8.742635605931616e-17]
Train,[-0.015889756798620133],[-2.367797143273146e-17]
Train,[-0.015897878116016624],[-3.096350110434114e-17]
Train,[-0.015889766907974452],[1.274967692531694e-16]
Train,[-0.01588975192904836],[-0.026634468268519597]
Train,[-0.015889710603607162],[5.783038463533851e-05]
Train,[-0.015889683966144225],[5.7830384635351266e-05]
Train,[-0.015889751322842885],[-0.010832636499721451]
Train,[-0.012639833728248591],[-0.032258451158275296]
Train,[-0.004236592025121132],[-1.3271416039564208e-05]
Train,[-0.015887418806806056],[-1.3271416039666206e-05]
Train,[-0.015889750608796643],[-0.016905929475836967]
Train,[-0.004225916371497675],[3.667982742938658e-05]
Train,[-0.021114456320412343],[-0.03181689782676138]
Train,[-0.01588975068723476],[-0.020465344205368968]
Train,[-0.015888981501846255],[-3.7879038950043834e-05]
Train,[-0.0001303615163896444],[0.03437783697126322]
Train,[-0.004364004027911724],[2.359828106542327e-05]
Train,[-0.01588959926222365],[2.4929931815233868e-05]
Train,[-0.015889751079756508],[-0.004028753092825896]
