Data,Predicted,Reference
Train,[-0.0072459949763524455],[-0.03225818565279794]
Train,[-0.002671551538370401],[-7.769851570889031e-07]
Train,[-0.004624640936412468],[-7.769851570670464e-07]
Train,[-0.0046095273689836375],[-0.016908658625533646]
Train,[-0.0026707595759627822],[2.147515531627273e-06]
Train,[-0.02721709165983555],[-0.03181998237701682]
Train,[-0.004591521347930156],[-0.020466061799623576]
Train,[-0.004624635163072775],[-2.2178075255649983e-06]
Train,[0.0011364863912586589],[0.034386940850617984]
Train,[-0.0026709298774783793],[1.3818615606561856e-06]
Train,[-0.004624651329647624],[1.4598582711141459e-06]
Train,[-0.004600443284220272],[-0.004030206474187189]
Train,[-0.002671292451920512],[-9.471188573092583e-17]
Train,[-0.002671292451920241],[5.46414725370726e-18]
Train,[-0.004624645149321903],[1.82138241790242e-18]
Train,[-0.004624645149321579],[1.092829450741452e-17]
Train,[-0.004618074755516459],[2.1475155316309158e-06]
Train,[-0.004583965018859714],[-0.02046606179962359]
Train,[-0.0032919884550953746],[-0.03181998237701695]
Train,[0.012498793073699433],[-2.2178075256323896e-06]
Train,[-0.004622410421136101],[-0.04557838729447085]
Train,[-0.004618072598561042],[1.820191515441475e-06]
Train,[0.01249812413693829],[1.8201915155289015e-06]
Train,[-0.020130887609300117],[-0.07587621233758134]
Train,[-0.004618056009023576],[-4.1009506176001475e-06]
Train,[-0.004745337770437431],[0.03502305871878561]
Train,[-0.013356630336380345],[0.04596011552868171]
Train,[0.012498085994731728],[2.452425396471171e-06]
Train,[-0.004618066674672795],[-3.64276483580484e-18]
Train,[-0.004618066674672697],[-1.092829450741452e-16]
Train,[0.012498399539705475],[-1.3113953408897423e-16]
Train,[0.012498399539705307],[9.1069120895121e-18]
Train,[0.013438184348818655],[0.034386940850618]
Train,[0.02751758326364423],[1.45985827106679e-06]
Train,[-0.00461981273528718],[1.381861560628865e-06]
Train,[-0.004595080093159515],[-0.004030206474187182]
Train,[0.027518854736294104],[-4.100950617578291e-06]
Train,[0.010216955498336936],[0.04596011552868179]
Train,[-0.0047461127887670086],[0.035023058718785624]
Train,[-0.00461981425142026],[2.4524253964638855e-06]
Train,[0.02817696395323168],[-0.04635304026034097]
Train,[0.027517916588087526],[8.766607765741092e-07]
Train,[-0.004619809243806233],[8.766607766032513e-07]
Train,[-0.004610839885860751],[-0.040709636276467155]
Train,[0.02751806970267569],[5.282009011917018e-17]
Train,[0.027518069702674088],[-5.46414725370726e-18]
Train,[-0.004619807377479142],[1.82138241790242e-18]
