Data,Predicted,Reference
Train,[-0.0012422440139109629],[-0.03225818565279794]
Train,[-0.0008587754372067557],[-7.769851570889031e-07]
Train,[-0.015770743101416],[-7.769851570670464e-07]
Train,[-0.015758443608961083],[-0.016908658625533646]
Train,[-0.0008575880978487655],[2.147515531627273e-06]
Train,[-0.015758104275301194],[-0.03181998237701682]
Train,[-0.01574381473907497],[-0.020466061799623576]
Train,[-0.01577064145372263],[-2.2178075255649983e-06]
Train,[0.0077384924944109154],[0.034386940850617984]
Train,[-0.000857844132813331],[1.3818615606561856e-06]
Train,[-0.01577075419390939],[1.4598582711141459e-06]
Train,[-0.01575105005710405],[-0.004030206474187189]
Train,[-0.0008583869499960011],[-9.471188573092583e-17]
Train,[-0.0008583869499959829],[5.46414725370726e-18]
Train,[-0.015770722281503696],[1.82138241790242e-18]
Train,[-0.0157707222815037],[1.092829450741452e-17]
Train,[-0.01576723434918731],[2.1475155316309158e-06]
Train,[-0.01573949937263103],[-0.02046606179962359]
Train,[0.0013664847156814443],[-0.03181998237701695]
Train,[0.010786914868178309],[-2.2178075256323896e-06]
Train,[-0.015770631946478923],[-0.04557838729447085]
Train,[-0.015767128802618782],[1.820191515441475e-06]
Train,[0.01078829162114617],[1.8201915155289015e-06]
Train,[-0.009849300939026402],[-0.07587621233758134]
Train,[-0.01576722187718447],[-4.1009506176001475e-06]
Train,[-0.015869708496647365],[0.03502305871878561]
Train,[-0.001702735225239501],[0.04596011552868171]
Train,[0.010788376279332153],[2.452425396471171e-06]
Train,[-0.015767201679385372],[-3.64276483580484e-18]
Train,[-0.015767201679385372],[-1.092829450741452e-16]
Train,[0.010787736564253175],[-1.3113953408897423e-16]
Train,[0.01078773656425371],[9.1069120895121e-18]
Train,[-0.0011953346078467082],[0.034386940850618]
Train,[0.018271310046421536],[1.45985827106679e-06]
Train,[-0.0157681647819771],[1.381861560628865e-06]
Train,[-0.01574803298817423],[-0.004030206474187182]
Train,[0.018272662772333317],[-4.100950617578291e-06]
Train,[-0.003272915852193345],[0.04596011552868179]
Train,[-0.015869861883125523],[0.035023058718785624]
Train,[-0.015768062762644485],[2.4524253964638855e-06]
Train,[0.015898965384989985],[-0.04635304026034097]
Train,[0.018271663796461644],[8.766607765741092e-07]
Train,[-0.015768164140952383],[8.766607766032513e-07]
Train,[-0.015760783055420783],[-0.040709636276467155]
Train,[0.01827182758851063],[5.282009011917018e-17]
Train,[0.01827182758851063],[-5.46414725370726e-18]
Train,[-0.01576813256660907],[1.82138241790242e-18]
Train,[-0.015768132566609073],[9.471188573092583e-17]
Train,[-0.015768939489841597],[-9.471188573092583e-17]
Train,[-0.015768928965369185],[1.82138241790242e-18]
Train,[-0.015768936215110805],[5.46414725370726e-18]
Train,[-0.01576892896533596],[1.092829450741452e-17]
Train,[-0.015768928965391612],[-3.64276483580484e-18]
Train,[-0.015768848795311163],[-1.3113953408897423e-16]
Train,[-0.015768928965355734],[-1.092829450741452e-16]
Train,[-0.01576884776079369],[9.1069120895121e-18]
Train,[-0.015768945552717885],[5.282009011917018e-17]
Train,[-0.015768928965383833],[1.82138241790242e-18]
