Data,Predicted,Reference
Train,[-0.01757848238053624],[-0.03225818565279794]
Train,[-0.025341638769403974],[-7.769851570889031e-07]
Train,[-0.015922118263222266],[-7.769851570670464e-07]
Train,[-0.015922500535653725],[-0.016908658625533646]
Train,[-0.02533989008734447],[2.147515531627273e-06]
Train,[-0.01652956299194231],[-0.03181998237701682]
Train,[-0.015923361724415653],[-0.020466061799623576]
Train,[-0.015922460326565458],[-2.2178075255649983e-06]
Train,[-0.004769540933712763],[0.034386940850617984]
Train,[-0.025340268068544895],[1.3818615606561856e-06]
Train,[-0.015921956705124477],[1.4598582711141459e-06]
Train,[-0.015922933727851262],[-0.004030206474187189]
Train,[-0.025341067027722187],[-9.471188573092583e-17]
Train,[-0.025341067027722666],[5.46414725370726e-18]
Train,[-0.015921754749535656],[1.82138241790242e-18]
Train,[-0.015921754749535656],[1.092829450741452e-17]
Train,[-0.015923072701634858],[2.1475155316309158e-06]
Train,[-0.01592433935939165],[-0.02046606179962359]
Train,[-0.008931196424344472],[-0.03181998237701695]
Train,[-0.0036583867934465264],[-2.2178075256323896e-06]
Train,[-0.015922430127312436],[-0.04557838729447085]
Train,[-0.015923438711858594],[1.820191515441475e-06]
Train,[-0.0036583119033262424],[1.8201915155289015e-06]
Train,[-0.01547386809830665],[-0.07587621233758134]
Train,[-0.015922901242665287],[-4.1009506176001475e-06]
Train,[-0.015914938006099597],[0.03502305871878561]
Train,[-0.011439916867964518],[0.04596011552868171]
Train,[-0.0036583064579556947],[2.452425396471171e-06]
Train,[-0.01592268425451884],[-3.64276483580484e-18]
Train,[-0.01592268425451884],[-1.092829450741452e-16]
Train,[-0.0036583412325023965],[-1.3113953408897423e-16]
Train,[-0.0036583412325024273],[9.1069120895121e-18]
Train,[-0.017313033927677676],[0.034386940850618]
Train,[-0.026185223698647203],[1.45985827106679e-06]
Train,[-0.0159228234344791],[1.381861560628865e-06]
Train,[-0.015923644549590662],[-0.004030206474187182]
Train,[-0.026186959577352543],[-4.100950617578291e-06]
Train,[-0.020214229519745785],[0.04596011552868179]
Train,[-0.01591475223856259],[0.035023058718785624]
Train,[-0.015923186645325434],[2.4524253964638855e-06]
Train,[-0.02770624489123765],[-0.04635304026034097]
Train,[-0.026185681684730337],[8.766607765741092e-07]
Train,[-0.015922652869846232],[8.766607766032513e-07]
Train,[-0.015922861066209108],[-0.040709636276467155]
Train,[-0.026185889965502328],[5.282009011917018e-17]
Train,[-0.026185889965502248],[-5.46414725370726e-18]
Train,[-0.015922439653757843],[1.82138241790242e-18]
Train,[-0.015922439653757843],[9.471188573092583e-17]
Train,[-0.015922584977167788],[-9.471188573092583e-17]
Train,[-0.0159222289295103],[1.82138241790242e-18]
