Data,Predicted,Reference
Train,[-0.01562766642032662],[-0.03225818565279794]
Train,[-0.015079700411699735],[-7.769851570889031e-07]
Train,[-0.01619419977647998],[-7.769851570670464e-07]
Train,[-0.016441936837699418],[-0.016908658625533646]
Train,[-0.013192135811681351],[2.147515531627273e-06]
Train,[-0.01715373985591056],[-0.03181998237701682]
Train,[-0.019135841327440735],[-0.020466061799623576]
Train,[-0.01608961182859348],[-2.2178075255649983e-06]
Train,[-0.015929862068065515],[0.034386940850617984]
Train,[-0.01707229043698405],[1.3818615606561856e-06]
Train,[-0.01671651187304835],[1.4598582711141459e-06]
Train,[-0.017613402416836607],[-0.004030206474187189]
Train,[-0.014864378732054876],[-9.471188573092583e-17]
Train,[-0.016349676024039948],[5.46414725370726e-18]
Train,[-0.015815277072370827],[1.82138241790242e-18]
Train,[-0.016529506844804198],[1.092829450741452e-17]
Train,[-0.01696616004378336],[2.1475155316309158e-06]
Train,[-0.01800694032074434],[-0.02046606179962359]
Train,[-0.016313237751367136],[-0.03181998237701695]
Train,[-0.017862183276821465],[-2.2178075256323896e-06]
Train,[-0.015234006554612437],[-0.04557838729447085]
Train,[-0.015875412703410554],[1.820191515441475e-06]
Train,[-0.01609980993170717],[1.8201915155289015e-06]
Train,[-0.015496831804328441],[-0.07587621233758134]
Train,[-0.014752118562786767],[-4.1009506176001475e-06]
Train,[-0.014166831406226788],[0.03502305871878561]
Train,[-0.016005973037332876],[0.04596011552868171]
Train,[-0.01618074078863713],[2.452425396471171e-06]
Train,[-0.016630081940556592],[-3.64276483580484e-18]
Train,[-0.014066986980222256],[-1.092829450741452e-16]
Train,[-0.01633474409172549],[-1.3113953408897423e-16]
Train,[-0.015705686866890334],[9.1069120895121e-18]
Train,[-0.01608902783655673],[0.034386940850618]
Train,[-0.01928680841293552],[1.45985827106679e-06]
Train,[-0.017552260917425438],[1.381861560628865e-06]
Train,[-0.020139086483109],[-0.004030206474187182]
Train,[-0.01756413585756882],[-4.100950617578291e-06]
Train,[-0.01771579034504415],[0.04596011552868179]
Train,[-0.018090750168082752],[0.035023058718785624]
Train,[-0.015077047626927893],[2.4524253964638855e-06]
Train,[-0.015737464336925414],[-0.04635304026034097]
Train,[-0.013438265202193373],[8.766607765741092e-07]
Train,[-0.01809527394274217],[8.766607766032513e-07]
Train,[-0.01661812689327822],[-0.040709636276467155]
Train,[-0.016803138042488005],[5.282009011917018e-17]
Train,[-0.015284322748070452],[-5.46414725370726e-18]
Train,[-0.017219981467762407],[1.82138241790242e-18]
Train,[-0.012677111221496926],[9.471188573092583e-17]
Train,[-0.016875142291998362],[-9.471188573092583e-17]
Train,[-0.016214382450515416],[1.82138241790242e-18]
Train,[-0.01615951116490391],[5.46414725370726e-18]
Train,[-0.01623078838201928],[1.092829450741452e-17]
Train,[-0.015916899686223514],[-3.64276483580484e-18]
Train,[-0.015003262142181777],[-1.3113953408897423e-16]
Train,[-0.015091995974024639],[-1.092829450741452e-16]
Train,[-0.016492428266700904],[9.1069120895121e-18]
Train,[-0.015249531597311124],[5.282009011917018e-17]
Train,[-0.015796472064371292],[1.82138241790242e-18]
Train,[-0.01565176760362071],[-5.46414725370726e-18]
Train,[-0.01515244134997266],[9.471188573092583e-17]
Train,[-0.015725774428025394],[-0.026621245462551197]
Train,[-0.01745581705614323],[-5.688607871304142e-07]
Train,[-0.017287422533384222],[-5.688607871322355e-07]
Train,[-0.014871963565146432],[-0.010823945532928939]
Train,[-0.015626130246889063],[-0.03225642570605386]
Train,[-0.015149668608690443],[7.900587201402797e-05]
Train,[-0.015857005187246],[7.900587201395693e-05]
Train,[-0.01577053334062664],[-0.01692222211298195]
Train,[-0.013259427633841683],[0.00021839714942577227]
Train,[-0.01595788579275638],[0.03183374883540315]
Train,[-0.01711914051049719],[0.020468388897137785]
Train,[-0.01697829549257588],[-0.00022558532345777192]
Train,[-0.015930381169585256],[0.034430140265059306]
Train,[-0.016969622034625466],[-0.00014064887786440584]
Train,[-0.01595847385155124],[-0.00014859676587885906]
Train,[-0.016527933133880034],[-0.004036594411177927]
Train,[-0.014952230892687851],[-1.4753197585009603e-16]
Train,[-0.01639536162559171],[2.185658901482904e-17]
Train,[-0.015656961831341923],[1.457105934321936e-17]
Train,[-0.016486436037511893],[1.639244176112178e-17]
Train,[-0.01638034015878734],[0.0002183971494257249]
Train,[-0.016729939131452754],[0.020468388897137844]
Train,[-0.015778677392461925],[0.03183374883540315]
Train,[-0.01741074031357948],[-0.00022558532345770454]
Train,[-0.015422085365045449],[-0.04565742741386274]
Train,[-0.01577828270963723],[-0.00018499056409219296]
Train,[-0.01618283180341596],[-0.00018499056409211466]
Train,[-0.016183814309880796],[-0.07587345187227598]
Train,[-0.015341774038905024],[-0.000417703483878227]
Train,[-0.015812294417141427],[-0.03506887734551717]
Train,[-0.016106674871754326],[-0.04598491259983777]
Train,[-0.016335819918243295],[0.00024937868650868835]
Train,[-0.01619733159047991],[-1.274967692531694e-17]
Train,[-0.015189997804820728],[1.5117474068590086e-16]
Train,[-0.016292568701970083],[1.9853068355136378e-16]
Train,[-0.015681721445847802],[-4.371317802965808e-17]
Train,[-0.016087312614918314],[0.034430140265059465]
Train,[-0.01875931787382963],[-0.0001485967658787516]
Train,[-0.016926322373624157],[-0.00014064887786438763]
Train,[-0.020353434293742485],[-0.00403659441117794]
Train,[-0.017706502871394775],[-0.00041770348387830354]
Train,[-0.016401341046762545],[-0.04598491259983788]
Train,[-0.015296726198352366],[-0.03506887734551722]
Train,[-0.014764247220449637],[0.00024937868650867014]
Train,[-0.01573597764608057],[-0.04642098563854254]
Train,[-0.013409440408367567],[-8.929989840338444e-05]
Train,[-0.01701367922095096],[-8.92998984034318e-05]
Train,[-0.01591947277175432],[-0.04070587366488182]
Train,[-0.01673173485232157],[8.742635605931616e-17]
Train,[-0.015159225698646889],[-3.096350110434114e-17]
Train,[-0.016736744262594756],[-2.367797143273146e-17]
Train,[-0.01383402320691305],[1.274967692531694e-16]
Train,[-0.01674460493688564],[-1.4753197585009603e-16]
Train,[-0.016223616134557927],[1.457105934321936e-17]
Train,[-0.01619045305895475],[2.185658901482904e-17]
Train,[-0.016298507797491372],[1.639244176112178e-17]
Train,[-0.015626798399872195],[-1.274967692531694e-17]
Train,[-0.015496231874429903],[1.9853068355136378e-16]
Train,[-0.014637093802746344],[1.5117474068590086e-16]
Train,[-0.016738824111653252],[-4.371317802965808e-17]
Train,[-0.015488692810011409],[8.742635605931616e-17]
Train,[-0.015904685847913085],[-2.367797143273146e-17]
Train,[-0.015536224665686731],[-3.096350110434114e-17]
Train,[-0.014907227478918938],[1.274967692531694e-16]
Train,[-0.01573176682103383],[-0.026634468268519597]
Train,[-0.0173896469165931],[5.783038463533851e-05]
Train,[-0.016957360949960962],[5.7830384635351266e-05]
Train,[-0.014992633263265918],[-0.010832636499721451]
Train,[-0.015627983846336742],[-0.032258451158275296]
Train,[-0.015105380573112469],[-1.3271416039564208e-05]
Train,[-0.01596018217957316],[-1.3271416039666206e-05]
Train,[-0.016033372478980932],[-0.016905929475836967]
Train,[-0.013191415317006855],[3.667982742938658e-05]
Train,[-0.01715372402224011],[-0.03181689782676138]
Train,[-0.018088775578125067],[-0.020465344205368968]
Train,[-0.016662538195705515],[-3.7879038950043834e-05]
Train,[-0.01592975210266939],[0.03437783697126322]
Train,[-0.01703031766843662],[2.359828106542327e-05]
Train,[-0.016164871369163246],[2.4929931815233868e-05]
Train,[-0.01666502804505563],[-0.004028753092825896]
Train,[-0.014873474368965285],[-8.19622088056089e-17]
Train,[-0.016415878898984083],[1.82138241790242e-17]
Train,[-0.015615645392379293],[1.274967692531694e-17]
Train,[-0.016614776985107514],[7.28552967160968e-18]
Train,[-0.01659962084960529],[3.667982742931737e-05]
Train,[-0.017627455423411893],[-0.02046534420536899]
Train,[-0.016313382052156017],[-0.031816897826761434]
Train,[-0.017633738222762214],[-3.787903895011487e-05]
Train,[-0.015359936310235025],[-0.045562209296626306]
Train,[-0.01584096118610579],[3.1093243300779163e-05]
Train,[-0.01615245347056654],[3.1093243300713596e-05]
Train,[-0.015496125042153131],[-0.07587647421210354]
Train,[-0.015099879485844186],[-7.002230991633843e-05]
Train,[-0.015167727442063355],[0.03501319319465092]
Train,[-0.016005650053782527],[0.04595459277084304]
Train,[-0.016268355855911434],[4.188850986001449e-05]
Train,[-0.016516239393313845],[1.639244176112178e-17]
Train,[-0.014759282856929418],[-9.471188573092583e-17]
Train,[-0.016329532234342106],[-1.1656847474575488e-16]
Train,[-0.015675538923727254],[3.824903077595082e-17]
Train,[-0.016089403225464084],[0.034377836971263155]
Train,[-0.019012172830015463],[2.4929931815233868e-05]
Train,[-0.017177728499941588],[2.3598281065485193e-05]
Train,[-0.020230087361153424],[-0.004028753092825932]
Train,[-0.017674735440986095],[-7.002230991629472e-05]
Train,[-0.017715387166190096],[0.04595459277084304]
Train,[-0.016160692420175624],[0.035013193194650974]
Train,[-0.014902759266438722],[4.188850985993799e-05]
Train,[-0.015737771822441904],[-0.04633911749680126]
Train,[-0.013378153892730078],[1.496840694527187e-05]
Train,[-0.01747021041952166],[1.496840694528462e-05]
