Data,Predicted,Reference
Train,[-0.006469241843757779],[-0.03225818565279794]
Train,[-0.006469241843757516],[-7.769851570889031e-07]
Train,[-0.002048548244523487],[-7.769851570670464e-07]
Train,[-0.002048548244523447],[-0.016908658625533646]
Train,[-0.0064692418437576815],[2.147515531627273e-06]
Train,[-0.006469241843757547],[-0.03181998237701682]
Train,[-0.0020485482445234413],[-0.020466061799623576]
Train,[-0.0020485482445234014],[-2.2178075255649983e-06]
Train,[-0.006469241843757616],[0.034386940850617984]
Train,[-0.006469241843757554],[1.3818615606561856e-06]
Train,[-0.002048548244523354],[1.4598582711141459e-06]
Train,[-0.002048548244523538],[-0.004030206474187189]
Train,[-0.006469241843757625],[-9.471188573092583e-17]
Train,[-0.006469241843757582],[5.46414725370726e-18]
Train,[-0.002048548244523418],[1.82138241790242e-18]
Train,[-0.002048548244523374],[1.092829450741452e-17]
Train,[-0.00204855163011693],[2.1475155316309158e-06]
Train,[-0.0020485516301168897],[-0.02046606179962359]
Train,[-0.008306463486428724],[-0.03181998237701695]
Train,[-0.008306463486428748],[-2.2178075256323896e-06]
Train,[-0.002048551630116992],[-0.04557838729447085]
Train,[-0.0020485516301170245],[1.820191515441475e-06]
Train,[-0.00830646348642879],[1.8201915155289015e-06]
Train,[-0.008306463486428732],[-0.07587621233758134]
Train,[-0.0020485516301168953],[-4.1009506176001475e-06]
Train,[-0.002048551630117099],[0.03502305871878561]
Train,[-0.008306463486428741],[0.04596011552868171]
Train,[-0.008306463486428729],[2.452425396471171e-06]
Train,[-0.002048551630116901],[-3.64276483580484e-18]
Train,[-0.0020485516301167023],[-1.092829450741452e-16]
Train,[-0.008306463486428708],[-1.3113953408897423e-16]
Train,[-0.008306463486428722],[9.1069120895121e-18]
Train,[-0.005129235030916153],[0.034386940850618]
Train,[-0.005129235030916244],[1.45985827106679e-06]
Train,[-0.002048550724679382],[1.381861560628865e-06]
Train,[-0.0020485507246793527],[-0.004030206474187182]
Train,[-0.005129235030916224],[-4.100950617578291e-06]
Train,[-0.005129235030916219],[0.04596011552868179]
Train,[-0.002048550724679355],[0.035023058718785624]
Train,[-0.002048550724679198],[2.4524253964638855e-06]
Train,[-0.0051292350309162515],[-0.04635304026034097]
Train,[-0.005129235030916202],[8.766607765741092e-07]
Train,[-0.0020485507246792273],[8.766607766032513e-07]
Train,[-0.0020485507246791944],[-0.040709636276467155]
