Data,Predicted,Reference
Train,[0.026378753911758004],[-0.03225818565279794]
Train,[0.026378753911757893],[-7.769851570889031e-07]
Train,[-0.0007101184363218928],[-7.769851570670464e-07]
Train,[-0.000710118436321789],[-0.016908658625533646]
Train,[0.026378753911757574],[2.147515531627273e-06]
Train,[0.026378753911758278],[-0.03181998237701682]
Train,[-0.0007101184363217945],[-0.020466061799623576]
Train,[-0.0007101184363217034],[-2.2178075255649983e-06]
Train,[0.026378753911758118],[0.034386940850617984]
Train,[0.02637875391175776],[1.3818615606561856e-06]
Train,[-0.0007101184363216706],[1.4598582711141459e-06]
Train,[-0.0007101184363217289],[-0.004030206474187189]
Train,[0.02637875391175819],[-9.471188573092583e-17]
Train,[0.026378753911758344],[5.46414725370726e-18]
Train,[-0.0007101184363216615],[1.82138241790242e-18]
Train,[-0.000710118436321922],[1.092829450741452e-17]
Train,[-0.0007155067003305954],[2.1475155316309158e-06]
Train,[-0.0007155067003306846],[-0.02046606179962359]
Train,[0.021767607359793693],[-0.03181998237701695]
Train,[0.021767607359794248],[-2.2178075256323896e-06]
Train,[-0.0007155067003306645],[-0.04557838729447085]
Train,[-0.0007155067003305571],[1.820191515441475e-06]
Train,[0.021767607359794057],[1.8201915155289015e-06]
Train,[0.021767607359793984],[-0.07587621233758134]
Train,[-0.0007155067003305079],[-4.1009506176001475e-06]
Train,[-0.0007155067003305006],[0.03502305871878561]
Train,[0.02176760735979442],[0.04596011552868171]
Train,[0.021767607359793262],[2.452425396471171e-06]
Train,[-0.0007155067003306682],[-3.64276483580484e-18]
Train,[-0.0007155067003304223],[-1.092829450741452e-16]
Train,[0.021767607359793658],[-1.3113953408897423e-16]
Train,[0.02176760735979352],[9.1069120895121e-18]
Train,[-0.035143520931270315],[0.034386940850618]
Train,[-0.035143520931270315],[1.45985827106679e-06]
Train,[-0.0007140809287384241],[1.381861560628865e-06]
Train,[-0.000714080928738548],[-0.004030206474187182]
Train,[-0.03514352093127051],[-4.100950617578291e-06]
Train,[-0.035143520931270565],[0.04596011552868179]
Train,[-0.0007140809287383457],[0.035023058718785624]
Train,[-0.0007140809287384788],[2.4524253964638855e-06]
Train,[-0.03514352093127052],[-0.04635304026034097]
Train,[-0.035143520931270496],[8.766607765741092e-07]
Train,[-0.000714080928738486],[8.766607766032513e-07]
Train,[-0.000714080928738302],[-0.040709636276467155]
Train,[-0.035143520931270274],[5.282009011917018e-17]
Train,[-0.0351435209312701],[-5.46414725370726e-18]
Train,[-0.0007140809287383221],[1.82138241790242e-18]
Train,[-0.0007140809287384496],[9.471188573092583e-17]
Train,[-0.000712862533007479],[-9.471188573092583e-17]
Train,[-0.0007128625330075282],[1.82138241790242e-18]
Train,[-0.0007128625330076302],[5.46414725370726e-18]
Train,[-0.0007128625330076775],[1.092829450741452e-17]
Train,[-0.0007128625330074626],[-3.64276483580484e-18]
Train,[-0.0007128625330075391],[-1.3113953408897423e-16]
Train,[-0.0007128625330075445],[-1.092829450741452e-16]
Train,[-0.0007128625330076393],[9.1069120895121e-18]
Train,[-0.0007128625330074207],[5.282009011917018e-17]
Train,[-0.00071286253300753],[1.82138241790242e-18]
