Data,Predicted,Reference
Train,[0.02872218419048554],[-0.03225818565279794]
Train,[0.028722184190486208],[-7.769851570889031e-07]
Train,[0.000417343576366906],[-7.769851570670464e-07]
Train,[0.00041734357636697523],[-0.016908658625533646]
Train,[0.02872218419048538],[2.147515531627273e-06]
Train,[0.028722184190485736],[-0.03181998237701682]
Train,[0.0004173435763669971],[-0.020466061799623576]
Train,[0.00041734357636673296],[-2.2178075255649983e-06]
Train,[0.028722184190485618],[0.034386940850617984]
Train,[0.02872218419048632],[1.3818615606561856e-06]
Train,[0.00041734357636697523],[1.4598582711141459e-06]
Train,[0.00041734357636691874],[-0.004030206474187189]
Train,[0.028722184190485948],[-9.471188573092583e-17]
Train,[0.028722184190485358],[5.46414725370726e-18]
Train,[0.000417343576367059],[1.82138241790242e-18]
Train,[0.000417343576366977],[1.092829450741452e-17]
Train,[0.0004173394523985017],[2.1475155316309158e-06]
Train,[0.00041733945239852904],[-0.02046606179962359]
Train,[0.04815434851479327],[-0.03181998237701695]
Train,[0.04815434851479356],[-2.2178075256323896e-06]
Train,[0.0004173394523986383],[-0.04557838729447085]
Train,[0.00041733945239849624],[1.820191515441475e-06]
Train,[0.04815434851479448],[1.8201915155289015e-06]
Train,[0.04815434851479302],[-0.07587621233758134]
Train,[0.00041733945239861827],[-4.1009506176001475e-06]
Train,[0.00041733945239866017],[0.03502305871878561]
Train,[0.04815434851479341],[0.04596011552868171]
Train,[0.0481543485147941],[2.452425396471171e-06]
Train,[0.00041733945239850535],[-3.64276483580484e-18]
Train,[0.00041733945239859826],[-1.092829450741452e-16]
Train,[0.04815434851479364],[-1.3113953408897423e-16]
Train,[0.048154348514793714],[9.1069120895121e-18]
Train,[-0.023944193880186888],[0.034386940850618]
Train,[-0.023944193880186825],[1.45985827106679e-06]
Train,[0.00041734055569071435],[1.381861560628865e-06]
Train,[0.0004173405556907544],[-0.004030206474187182]
Train,[-0.02394419388018684],[-4.100950617578291e-06]
Train,[-0.023944193880186707],[0.04596011552868179]
Train,[0.0004173405556909894],[0.035023058718785624]
Train,[0.0004173405556908455],[2.4524253964638855e-06]
Train,[-0.023944193880186784],[-0.04635304026034097]
Train,[-0.023944193880186804],[8.766607765741092e-07]
Train,[0.00041734055569067244],[8.766607766032513e-07]
Train,[0.0004173405556908437],[-0.040709636276467155]
Train,[-0.023944193880186836],[5.282009011917018e-17]
Train,[-0.023944193880186822],[-5.46414725370726e-18]
Train,[0.00041734055569077994],[1.82138241790242e-18]
Train,[0.0004173405556908455],[9.471188573092583e-17]
Train,[0.0004173414916308553],[-9.471188573092583e-17]
Train,[0.0004173414916309573],[1.82138241790242e-18]
Train,[0.0004173414916310265],[5.46414725370726e-18]
Train,[0.00041734149163093545],[1.092829450741452e-17]
Train,[0.0004173414916308826],[-3.64276483580484e-18]
Train,[0.0004173414916308389],[-1.3113953408897423e-16]
Train,[0.0004173414916309154],[-1.092829450741452e-16]
Train,[0.0004173414916309682],[9.1069120895121e-18]
Train,[0.0004173414916307169],[5.282009011917018e-17]
Train,[0.00041734149163092813],[1.82138241790242e-18]
Train,[0.00041734149163097004],[-5.46414725370726e-18]
Train,[0.00041734149163097367],[9.471188573092583e-17]
Train,[0.00041734149163097915],[-0.026621245462551197]
Train,[0.00041734149163108117],[-5.688607871304142e-07]
Train,[0.00041734149163098825],[-5.688607871322355e-07]
Train,[0.0004173414916308735],[-0.010823945532928939]
Train,[0.02869786583919456],[-0.03225642570605386]
Train,[0.028697865839194255],[7.900587201402797e-05]
Train,[0.00041695596959011473],[7.900587201395693e-05]
Train,[0.0004169559695900965],[-0.01692222211298195]
Train,[0.028697865839193953],[0.00021839714942577227]
Train,[0.028697865839194224],[0.03183374883540315]
Train,[0.000416955969590153],[0.020468388897137785]
Train,[0.0004169559695900109],[-0.00022558532345777192]
Train,[0.028697865839194335],[0.034430140265059306]
Train,[0.028697865839193773],[-0.00014064887786440584]
Train,[0.00041695596959023497],[-0.00014859676587885906]
Train,[0.0004169559695900583],[-0.004036594411177927]
Train,[0.028697865839194554],[-1.4753197585009603e-16]
Train,[0.028697865839194633],[2.185658901482904e-17]
Train,[0.0004169559695900838],[1.457105934321936e-17]
Train,[0.00041695596958998544],[1.639244176112178e-17]
Train,[0.0004169762543377889],[0.0002183971494257249]
Train,[0.00041697625433767234],[0.020468388897137844]
Train,[-0.07765317965049809],[0.03183374883540315]
Train,[-0.0776531796504985],[-0.00022558532345770454]
Train,[0.0004169762543374629],[-0.04565742741386274]
Train,[0.000416976254337625],[-0.00018499056409219296]
