Data,Predicted,Reference
Train,[-0.04588595242780794],[-0.03225818565279794]
Train,[-0.045885952427807714],[-7.769851570889031e-07]
Train,[-0.0004664763066562424],[-7.769851570670464e-07]
Train,[-0.00046647630665641723],[-0.016908658625533646]
Train,[-0.04588595242780773],[2.147515531627273e-06]
Train,[-0.04588595242780777],[-0.03181998237701682]
Train,[-0.00046647630665640086],[-0.020466061799623576]
Train,[-0.00046647630665599466],[-2.2178075255649983e-06]
Train,[-0.04588595242780748],[0.034386940850617984]
Train,[-0.04588595242780758],[1.3818615606561856e-06]
Train,[-0.00046647630665600924],[1.4598582711141459e-06]
Train,[-0.000466476306656206],[-0.004030206474187189]
Train,[-0.04588595242780784],[-9.471188573092583e-17]
Train,[-0.04588595242780802],[5.46414725370726e-18]
Train,[-0.0004664763066561768],[1.82138241790242e-18]
Train,[-0.0004664763066560439],[1.092829450741452e-17]
Train,[-0.00046109299198137006],[2.1475155316309158e-06]
Train,[-0.00046109299198146477],[-0.02046606179962359]
Train,[-0.025784094302390946],[-0.03181998237701695]
Train,[-0.025784094302390828],[-2.2178075256323896e-06]
Train,[-0.00046109299198113875],[-0.04557838729447085]
Train,[-0.00046109299198108226],[1.820191515441475e-06]
Train,[-0.025784094302390863],[1.8201915155289015e-06]
Train,[-0.025784094302390922],[-0.07587621233758134]
Train,[-0.00046109299198142286],[-4.1009506176001475e-06]
Train,[-0.00046109299198133727],[0.03502305871878561]
Train,[-0.025784094302391],[0.04596011552868171]
Train,[-0.025784094302391],[2.452425396471171e-06]
Train,[-0.00046109299198140465],[-3.64276483580484e-18]
Train,[-0.0004610929919812462],[-1.092829450741452e-16]
Train,[-0.02578409430239075],[-1.3113953408897423e-16]
Train,[-0.025784094302390946],[9.1069120895121e-18]
Train,[0.03377204397085582],[0.034386940850618]
Train,[0.03377204397085561],[1.45985827106679e-06]
Train,[-0.0004625174332588838],[1.381861560628865e-06]
Train,[-0.0004625174332591388],[-0.004030206474187182]
Train,[0.03377204397085584],[-4.100950617578291e-06]
Train,[0.03377204397085588],[0.04596011552868179]
Train,[-0.00046251743325937555],[0.035023058718785624]
Train,[-0.0004625174332591024],[2.4524253964638855e-06]
Train,[0.03377204397085582],[-0.04635304026034097]
Train,[0.03377204397085599],[8.766607765741092e-07]
Train,[-0.0004625174332589093],[8.766607766032513e-07]
Train,[-0.0004625174332589421],[-0.040709636276467155]
Train,[0.03377204397085574],[5.282009011917018e-17]
Train,[0.03377204397085596],[-5.46414725370726e-18]
Train,[-0.00046251743325921894],[1.82138241790242e-18]
Train,[-0.000462517433259188],[9.471188573092583e-17]
Train,[-0.0004637347039622402],[-9.471188573092583e-17]
Train,[-0.0004637347039623568],[1.82138241790242e-18]
Train,[-0.0004637347039621091],[5.46414725370726e-18]
Train,[-0.0004637347039621309],[1.092829450741452e-17]
Train,[-0.00046373470396214735],[-3.64276483580484e-18]
Train,[-0.0004637347039622129],[-1.3113953408897423e-16]
Train,[-0.00046373470396218015],[-1.092829450741452e-16]
Train,[-0.00046373470396204717],[9.1069120895121e-18]
Train,[-0.0004637347039623477],[5.282009011917018e-17]
Train,[-0.0004637347039621164],[1.82138241790242e-18]
Train,[-0.0004637347039621838],[-5.46414725370726e-18]
Train,[-0.00046373470396213277],[9.471188573092583e-17]
Train,[-0.0004637347039621947],[-0.026621245462551197]
Train,[-0.0004637347039622402],[-5.688607871304142e-07]
Train,[-0.00046373470396219836],[-5.688607871322355e-07]
Train,[-0.0004637347039621018],[-0.010823945532928939]
Train,[-0.04588827360517766],[-0.03225642570605386]
Train,[-0.045888273605177686],[7.900587201402797e-05]
Train,[-0.0001849675062032737],[7.900587201395693e-05]
Train,[-0.00018496750620319537],[-0.01692222211298195]
Train,[-0.04588827360517782],[0.00021839714942577227]
Train,[-0.045888273605177936],[0.03183374883540315]
Train,[-0.00018496750620327916],[0.020468388897137785]
Train,[-0.00018496750620316442],[-0.00022558532345777192]
Train,[-0.0458882736051779],[0.034430140265059306]
Train,[-0.04588827360517799],[-0.00014064887786440584]
Train,[-0.00018496750620331743],[-0.00014859676587885906]
Train,[-0.00018496750620320814],[-0.004036594411177927]
Train,[-0.04588827360517823],[-1.4753197585009603e-16]
Train,[-0.04588827360517783],[2.185658901482904e-17]
Train,[-0.00018496750620345585],[1.457105934321936e-17]
Train,[-0.00018496750620328282],[1.639244176112178e-17]
Train,[-0.00019513294975236425],[0.0002183971494257249]
Train,[-0.0001951329497522295],[0.020468388897137844]
