Data,Predicted,Reference
Train,[-0.004248282041007284],[-0.03225818565279794]
Train,[0.0008014622486852982],[-7.769851570889031e-07]
Train,[0.0008014622486916586],[-7.769851570670464e-07]
Train,[-0.010214600232165983],[-0.016908658625533646]
Train,[0.013576244848202081],[2.147515531627273e-06]
Train,[0.007909884157046857],[-0.03181998237701682]
Train,[0.00510353605242455],[-0.020466061799623576]
Train,[0.009430094585369727],[-2.2178075255649983e-06]
Train,[-0.007685199790234969],[0.034386940850617984]
Train,[0.014261931552345305],[1.3818615606561856e-06]
Train,[0.014096323813246645],[1.4598582711141459e-06]
Train,[0.0034532328521982656],[-0.004030206474187189]
Train,[0.0009201486893412917],[-9.471188573092583e-17]
Train,[-0.007079349711455869],[5.46414725370726e-18]
Train,[-0.013392480979730607],[1.82138241790242e-18]
Train,[-0.004860577679808588],[1.092829450741452e-17]
Train,[-0.0011559676755308742],[2.1475155316309158e-06]
Train,[-0.0177405360836497],[-0.02046606179962359]
Train,[-0.018929671244547017],[-0.03181998237701695]
Train,[0.0042340510133313325],[-2.2178075256323896e-06]
Train,[-0.028584687805584784],[-0.04557838729447085]
Train,[-0.009790656452917941],[1.820191515441475e-06]
Train,[-0.009790656452987956],[1.8201915155289015e-06]
Train,[-0.030565062681251882],[-0.07587621233758134]
Train,[-0.017007415420247703],[-4.1009506176001475e-06]
Train,[-0.027974394739597522],[0.03502305871878561]
Train,[-0.024047822569726728],[0.04596011552868171]
Train,[-0.010517409816169788],[2.452425396471171e-06]
Train,[-0.005417342939547819],[-3.64276483580484e-18]
Train,[0.002119273899339644],[-1.092829450741452e-16]
Train,[0.002281747955047306],[-1.3113953408897423e-16]
Train,[0.006566884324000037],[9.1069120895121e-18]
Train,[-0.007122392651465896],[0.034386940850618]
Train,[0.0143975101666424],[1.45985827106679e-06]
Train,[0.014559188015536356],[1.381861560628865e-06]
Train,[0.003889209626025788],[-0.004030206474187182]
Train,[0.01533628477489878],[-4.100950617578291e-06]
Train,[-0.008324204919100693],[0.04596011552868179]
Train,[-0.0037509348345408033],[0.035023058718785624]
Train,[0.01671481037998949],[2.4524253964638855e-06]
Train,[-0.001565554727153055],[-0.04635304026034097]
Train,[0.01654427496966379],[8.766607765741092e-07]
Train,[0.016544274969630707],[8.766607766032513e-07]
Train,[0.007824817299423055],[-0.040709636276467155]
Train,[-0.002747070313270167],[5.282009011917018e-17]
Train,[-0.006214001494789281],[-5.46414725370726e-18]
Train,[-0.006955664029033508],[1.82138241790242e-18]
Train,[0.0006353334636511075],[9.471188573092583e-17]
Train,[-0.0031909406126000633],[-9.471188573092583e-17]
Train,[-0.02040655245212314],[1.82138241790242e-18]
Train,[-0.013491150387888099],[5.46414725370726e-18]
Train,[-0.012163385352174242],[1.092829450741452e-17]
Train,[-0.00500415093354361],[-3.64276483580484e-18]
Train,[0.00248093969549927],[-1.3113953408897423e-16]
Train,[0.0014666444172389552],[-1.092829450741452e-16]
Train,[-0.006234803160235808],[9.1069120895121e-18]
Train,[0.0007980589721024875],[5.282009011917018e-17]
Train,[-0.0059810965982132315],[1.82138241790242e-18]
Train,[-0.005099131327440182],[-5.46414725370726e-18]
Train,[0.0013776144053012382],[9.471188573092583e-17]
Train,[0.01041070308808051],[-0.026621245462551197]
Train,[0.026391449649080984],[-5.688607871304142e-07]
Train,[0.026391449649083076],[-5.688607871322355e-07]
Train,[0.01921726528981551],[-0.010823945532928939]
Train,[-0.004205269391930994],[-0.03225642570605386]
Train,[-0.0012841431935161343],[7.900587201402797e-05]
Train,[-0.001284143193515943],[7.900587201395693e-05]
Train,[-0.010196566230800013],[-0.01692222211298195]
Train,[0.0068962693347979324],[0.00021839714942577227]
Train,[-0.007230012105811019],[0.03183374883540315]
Train,[-0.005468389382630757],[0.020468388897137785]
Train,[0.0040897885786645655],[-0.00022558532345777192]
Train,[-0.007708054255017264],[0.034430140265059306]
Train,[0.007823707407115748],[-0.00014064887786440584]
Train,[0.0076183978454125514],[-0.00014859676587885906]
Train,[0.003444192817322221],[-0.004036594411177927]
Train,[0.0022643009097935694],[-1.4753197585009603e-16]
Train,[-0.0034606728699435674],[2.185658901482904e-17]
Train,[-0.005430547709228524],[1.457105934321936e-17]
Train,[-0.004032604616168227],[1.639244176112178e-17]
Train,[-0.013603498667740833],[0.0002183971494257249]
Train,[-0.028387959819079024],[0.020468388897137844]
Train,[-0.036400535208563595],[0.03183374883540315]
Train,[-0.0077875674271999],[-0.00022558532345770454]
Train,[-0.028583699629422355],[-0.04565742741386274]
Train,[-0.019702217496269006],[-0.00018499056409219296]
Train,[-0.019702217496268527],[-0.00018499056409211466]
Train,[-0.030537645018661477],[-0.07587345187227598]
Train,[-0.02349070275228302],[-0.000417703483878227]
Train,[-0.028508495521791813],[-0.03506887734551717]
Train,[-0.02895618514080044],[-0.04598491259983777]
Train,[-0.02032458784367835],[0.00024937868650868835]
Train,[-0.005309626112678135],[-1.274967692531694e-17]
Train,[0.002262568192784748],[1.5117474068590086e-16]
Train,[0.0024537275662948233],[1.9853068355136378e-16]
Train,[0.007585281452076655],[-4.371317802965808e-17]
Train,[-0.007133428701385535],[0.034430140265059465]
Train,[0.008054651551511239],[-0.0001485967658787516]
Train,[0.008256408345382039],[-0.00014064887786438763]
Train,[0.0038898452681086944],[-0.00403659441117794]
Train,[0.010257683656449364],[-0.00041770348387830354]
Train,[0.007577249659177396],[-0.04598491259983788]
Train,[0.008861230758502418],[-0.03506887734551722]
Train,[0.010326366347327932],[0.00024937868650867014]
Train,[-0.0016399497786151085],[-0.04642098563854254]
Train,[0.01207602378389149],[-8.929989840338444e-05]
Train,[0.012076023783890815],[-8.92998984034318e-05]
Train,[0.007799803547780713],[-0.04070587366488182]
Train,[-0.0015558204550308648],[8.742635605931616e-17]
Train,[-0.002511610115882915],[-3.096350110434114e-17]
Train,[-0.0035655459768869375],[-2.367797143273146e-17]
Train,[0.0014386842970118027],[1.274967692531694e-16]
Train,[-0.0016419656204887283],[-1.4753197585009603e-16]
Train,[-0.011679420760261058],[1.457105934321936e-17]
Train,[-0.009480411408973741],[2.185658901482904e-17]
Train,[-0.011267903426219103],[1.639244176112178e-17]
Train,[-0.004046651717375808],[-1.274967692531694e-17]
Train,[0.003825037014494713],[1.9853068355136378e-16]
Train,[0.0025500108504095675],[1.5117474068590086e-16]
Train,[-0.001694638813349508],[-4.371317802965808e-17]
Train,[0.0022835630025418133],[8.742635605931616e-17]
Train,[-0.0019286366579918913],[-2.367797143273146e-17]
Train,[-0.0006669628052930064],[-3.096350110434114e-17]
Train,[0.0023370871292591766],[1.274967692531694e-16]
Train,[0.010377730860754813],[-0.026634468268519597]
Train,[0.02345106134313088],[5.783038463533851e-05]
Train,[0.02345106134313088],[5.7830384635351266e-05]
Train,[0.019221428432312365],[-0.010832636499721451]
Train,[-0.004257188178667721],[-0.032258451158275296]
Train,[-0.00038061503923094],[-1.3271416039564208e-05]
Train,[-0.0003806150392325774],[-1.3271416039666206e-05]
Train,[-0.010218447327247299],[-0.016905929475836967]
Train,[0.009693657924233441],[3.667982742938658e-05]
Train,[0.007909619103415491],[-0.03181689782676138]
Train,[0.005104788309666954],[-0.020465344205368968]
