Time,Iteration,Cost,Parameters
Sat Aug 24 18:09:34 2024,0,0.3904331192902174,[-2.8996174   2.24100068 -2.12071359 -0.12009707  0.55032103 -2.77367502
  3.07215103  2.18603541  1.18195394 -1.07004913]
Sat Aug 24 18:11:16 2024,1,0.3914420018361788,[-2.89573625  2.24488183 -2.12459474 -0.12397822  0.54643988 -2.77755617
  3.07603218  2.18215426  1.18583509 -1.07393028]
Sat Aug 24 18:12:58 2024,2,0.3882043566109395,[-2.89291715  2.24770094 -2.12177563 -0.12679733  0.54362078 -2.78037527
  3.07321307  2.18497336  1.18301598 -1.07674939]
Sat Aug 24 18:14:40 2024,3,0.39817829021197065,[-2.89029158  2.2503265  -2.12440119 -0.12942289  0.54099522 -2.77774971
  3.07583863  2.1823478   1.18039042 -1.07412382]
Sat Aug 24 18:16:20 2024,4,0.38977985596195874,[-2.88710501  2.25351307 -2.12758777 -0.13260946  0.53780864 -2.78093629
  3.07265206  2.18553438  1.18357699 -1.0773104 ]
Sat Aug 24 18:18:01 2024,5,0.3920082466152816,[-2.8843888   2.25079687 -2.12487156 -0.12989326  0.54052485 -2.78365249
  3.06993585  2.18281817  1.18086079 -1.07459419]
Sat Aug 24 18:19:41 2024,6,0.3901474765756365,[-2.88152565  2.25366002 -2.12773471 -0.13275641  0.543388   -2.78078934
  3.072799    2.17995502  1.17799763 -1.07745735]
Sat Aug 24 18:21:22 2024,7,0.3903748318259038,[-2.8796983   2.25183267 -2.12590736 -0.13092906  0.54521535 -2.78261669
  3.07097165  2.17812766  1.17982498 -1.0792847 ]
Sat Aug 24 18:23:04 2024,8,0.38709440038588233,[-2.87581558  2.25571539 -2.12979008 -0.13481178  0.54909808 -2.78649941
  3.07485437  2.18201039  1.17594226 -1.08316742]
Sat Aug 24 18:24:46 2024,9,0.3902845304410849,[-2.8725776   2.25247742 -2.13302806 -0.13804975  0.55233605 -2.78326144
  3.0716164   2.17877241  1.17918024 -1.07992945]
Sat Aug 24 18:26:28 2024,10,0.38860735980432626,[-2.86964665  2.25540837 -2.13595901 -0.1409807   0.555267   -2.78619239
  3.06868545  2.18170337  1.17624928 -1.0828604 ]
Sat Aug 24 18:28:10 2024,11,0.3847585908236572,[-2.86638293  2.25867209 -2.13269528 -0.13771698  0.55853072 -2.78945612
  3.06542172  2.17843964  1.17951301 -1.07959667]
Sat Aug 24 18:29:51 2024,12,0.38735661585070846,[-2.86389207  2.26116295 -2.13020442 -0.14020784  0.55603986 -2.78696526
  3.06293086  2.1809305   1.18200387 -1.08208753]
Sat Aug 24 18:31:32 2024,13,0.3840420539576741,[-2.85964879  2.26540624 -2.1344477  -0.13596456  0.55179658 -2.78272198
  3.06717415  2.17668722  1.17776059 -1.08633081]
Sat Aug 24 18:33:13 2024,14,0.3904726050735076,[-2.85574337  2.26931165 -2.13054229 -0.13986997  0.555702   -2.78662739
  3.07107956  2.1727818   1.181666   -1.09023623]
Sat Aug 24 18:34:53 2024,15,0.38922644867648193,[-2.85263673  2.26620501 -2.12743565 -0.13676333  0.55259536 -2.78352075
  3.0741862   2.17588844  1.17855936 -1.08712959]
Sat Aug 24 18:36:34 2024,16,0.3889173944286753,[-2.84965251  2.26322079 -2.12445143 -0.13974756  0.55557958 -2.78650498
  3.07120197  2.17887266  1.17557514 -1.08414537]
Sat Aug 24 18:38:15 2024,17,0.38652956150806755,[-2.84648612  2.2600544  -2.12761782 -0.14291394  0.55241319 -2.78333859
  3.06803559  2.17570628  1.17240875 -1.08731176]
Sat Aug 24 18:39:56 2024,18,0.3869190310720552,[-2.84400842  2.26253211 -2.13009552 -0.14043624  0.54993549 -2.78581629
  3.06555788  2.17322857  1.17488646 -1.08978946]
Sat Aug 24 18:41:37 2024,19,0.38479444989393036,[-2.84049292  2.25901661 -2.13361102 -0.14395174  0.54641999 -2.78933179
  3.06204238  2.16971307  1.17137096 -1.08627396]
Sat Aug 24 18:43:18 2024,20,0.3879603925845287,[-2.83603703  2.2634725  -2.13806691 -0.14840763  0.55087588 -2.7848759
  3.05758649  2.17416896  1.17582685 -1.09072985]
Sat Aug 24 18:45:00 2024,21,0.3869920658249684,[-2.83324233  2.2606778  -2.14086161 -0.15120233  0.54808118 -2.7876706
  3.06038119  2.17696366  1.17862155 -1.09352455]
Sat Aug 24 18:46:41 2024,22,0.3884082804604181,[-2.82952534  2.26439479 -2.1445786  -0.14748533  0.54436419 -2.78395361
  3.06409819  2.17324667  1.18233854 -1.08980756]
