Data,Predicted,Reference
Train,[-0.010543876327947057],[-0.03225818565279794]
Train,[-0.0016953342312542104],[-7.769851570889031e-07]
Train,[-0.0016953342312434096],[-7.769851570670464e-07]
Train,[-0.01161001448631765],[-0.016908658625533646]
Train,[0.0013073161411801288],[2.147515531627273e-06]
Train,[-0.004682911727683823],[-0.03181998237701682]
Train,[-0.006333073969920866],[-0.020466061799623576]
Train,[0.000604793935840679],[-2.2178075255649983e-06]
Train,[-0.016941554929742288],[0.034386940850617984]
Train,[0.0017701405730096483],[1.3818615606561856e-06]
Train,[0.001608241002930373],[1.4598582711141459e-06]
Train,[-0.0074479752089498235],[-0.004030206474187189]
Train,[-0.0006677121700023701],[-9.471188573092583e-17]
Train,[-0.004400005000046703],[5.46414725370726e-18]
Train,[-0.008129890865619924],[1.82138241790242e-18]
Train,[-0.002439096444437513],[1.092829450741452e-17]
Train,[0.0018748112717558807],[2.1475155316309158e-06]
Train,[-0.006172115940987679],[-0.02046606179962359]
Train,[-0.006326444325020168],[-0.03181998237701695]
Train,[0.0009641765022727039],[-2.2178075256323896e-06]
Train,[-0.008263425445712798],[-0.04557838729447085]
Train,[0.0013400580592620947],[1.820191515441475e-06]
Train,[0.001340058059229696],[1.8201915155289015e-06]
Train,[-0.011394638829193653],[-0.07587621233758134]
Train,[-0.0010936336483228853],[-4.1009506176001475e-06]
Train,[-0.00924532112917358],[0.03502305871878561]
Train,[-0.007734519085698621],[0.04596011552868171]
Train,[0.001108879930204823],[2.452425396471171e-06]
Train,[-0.008418192505362536],[-3.64276483580484e-18]
Train,[-0.0033934686923847187],[-1.092829450741452e-16]
Train,[-0.00296415942483624],[-1.3113953408897423e-16]
Train,[-0.004685224095362942],[9.1069120895121e-18]
Train,[-0.016941639177345796],[0.034386940850618]
Train,[0.0016134668534412988],[1.45985827106679e-06]
Train,[0.0017752546610765867],[1.381861560628865e-06]
Train,[-0.007440011085953849],[-0.004030206474187182]
Train,[-0.0017208279783131014],[-4.100950617578291e-06]
Train,[-0.01748733741033608],[0.04596011552868179]
Train,[-0.014896627960294395],[0.035023058718785624]
Train,[0.00041853692372621564],[2.4524253964638855e-06]
Train,[-0.013608894876584671],[-0.04635304026034097]
Train,[-0.0006929526438352854],[8.766607765741092e-07]
Train,[-0.0006929526438651797],[8.766607766032513e-07]
Train,[-0.007558268331394767],[-0.040709636276467155]
Train,[-0.009006853957433577],[5.282009011917018e-17]
Train,[-0.009298860553365356],[-5.46414725370726e-18]
Train,[-0.009679759993808183],[1.82138241790242e-18]
Train,[-0.004357979814134191],[9.471188573092583e-17]
Train,[9.07003930150713e-05],[-9.471188573092583e-17]
Train,[-0.00665334546127266],[1.82138241790242e-18]
Train,[-0.0032491759744313884],[5.46414725370726e-18]
Train,[-0.0014841994488809383],[1.092829450741452e-17]
Train,[-0.008362911567280333],[-3.64276483580484e-18]
Train,[-0.003155061160107219],[-1.3113953408897423e-16]
Train,[-0.003560870582945014],[-1.092829450741452e-16]
Train,[-0.00467865635161321],[9.1069120895121e-18]
Train,[-0.00875058760245927],[5.282009011917018e-17]
Train,[-0.009055012571130075],[1.82138241790242e-18]
Train,[-0.008708759822427295],[-5.46414725370726e-18]
Train,[-0.0039036537749653844],[9.471188573092583e-17]
Train,[-0.01291838081992729],[-0.026621245462551197]
Train,[-0.0013422965956449194],[-5.688607871304142e-07]
Train,[-0.001342296595642118],[-5.688607871322355e-07]
Train,[-0.007923438788836664],[-0.010823945532928939]
Train,[-0.01051920013065311],[-0.03225642570605386]
