Data,Predicted,Reference
Train,[-0.01056911185626804],[-0.03225818565279794]
Train,[-0.0017623398511245937],[-7.769851570889031e-07]
Train,[-0.0017623398511138347],[-7.769851570670464e-07]
Train,[-0.011630217243364856],[-0.016908658625533646]
Train,[0.001226136324071744],[2.147515531627273e-06]
Train,[-0.0047358143027618465],[-0.03181998237701682]
Train,[-0.006378186851829506],[-0.020466061799623576]
Train,[0.0005269304183567621],[-2.2178075255649983e-06]
Train,[-0.016936589819587445],[0.034386940850617984]
Train,[0.0016867759644771363],[1.3818615606561856e-06]
Train,[0.0015256406513557024],[1.4598582711141459e-06]
Train,[-0.007487825130439215],[-0.004030206474187189]
Train,[-0.0007395687435222482],[-9.471188573092583e-17]
Train,[-0.004454243053871927],[5.46414725370726e-18]
Train,[-0.008166521761975402],[1.82138241790242e-18]
Train,[-0.002502591088669651],[1.092829450741452e-17]
Train,[0.001790952558700666],[2.1475155316309158e-06]
Train,[-0.006217988635250788],[-0.02046606179962359]
Train,[-0.0063715885025786],[-0.03181998237701695]
Train,[0.000884616497103329],[-2.2178075256323896e-06]
Train,[-0.00829942598380422],[-0.04557838729447085]
Train,[0.0012587236818994724],[1.820191515441475e-06]
Train,[0.0012587236818672228],[1.8201915155289015e-06]
Train,[-0.011415858280382904],[-0.07587621233758134]
Train,[-0.0011634796330985853],[-4.1009506176001475e-06]
Train,[-0.009276686567816772],[0.03502305871878561]
Train,[-0.00777301635905306],[0.04596011552868171]
Train,[0.001028636843532762],[2.452425396471171e-06]
Train,[-0.008453462455953823],[-3.64276483580484e-18]
Train,[-0.00345245816325231],[-1.092829450741452e-16]
Train,[-0.0030251754767171325],[-1.3113953408897423e-16]
Train,[-0.004738115754765995],[9.1069120895121e-18]
Train,[-0.016936673669494914],[0.034386940850618]
Train,[0.0015308418329152383],[1.45985827106679e-06]
Train,[0.0016918659111742468],[1.381861560628865e-06]
Train,[-0.0074798986025796065],[-0.004030206474187182]
Train,[-0.0017877132533699477],[-4.100950617578291e-06]
Train,[-0.017479795900144823],[0.04596011552868179]
Train,[-0.014901316054677927],[0.035023058718785624]
Train,[0.00034155264401536514],[2.4524253964638855e-06]
Train,[-0.013619661794825263],[-0.04635304026034097]
Train,[-0.0007646900681336023],[8.766607765741092e-07]
Train,[-0.000764690068163371],[8.766607766032513e-07]
Train,[-0.007597597607361856],[-0.040709636276467155]
Train,[-0.009039345095145203],[5.282009011917018e-17]
Train,[-0.009329973255837364],[-5.46414725370726e-18]
Train,[-0.009709074636857022],[1.82138241790242e-18]
Train,[-0.004412416250454885],[9.471188573092583e-17]
Train,[1.526368597225202e-05],[-9.471188573092583e-17]
Train,[-0.006696946481750562],[1.82138241790242e-18]
Train,[-0.0033088465880197894],[5.46414725370726e-18]
Train,[-0.0015522017435812235],[1.092829450741452e-17]
Train,[-0.008398442474967086],[-3.64276483580484e-18]
Train,[-0.00321517604851145],[-1.3113953408897423e-16]
Train,[-0.00361906982280984],[-1.092829450741452e-16]
Train,[-0.004731579014457826],[9.1069120895121e-18]
Train,[-0.008784288461387265],[5.282009011917018e-17]
Train,[-0.00908727637312006],[1.82138241790242e-18]
Train,[-0.008742658131984084],[-5.46414725370726e-18]
Train,[-0.003960234885520795],[9.471188573092583e-17]
Train,[-0.01293240735258205],[-0.026621245462551197]
