Data,Predicted,Reference
Train,[-0.01055522649206652],[-0.03225818565279794]
Train,[-0.0017254712972503057],[-7.769851570889031e-07]
Train,[-0.0017254712972395378],[-7.769851570670464e-07]
Train,[-0.01161910106478096],[-0.016908658625533646]
Train,[0.0012708039574188216],[2.147515531627273e-06]
Train,[-0.004706705678095382],[-0.03181998237701682]
Train,[-0.0063533643560404795],[-0.020466061799623576]
Train,[0.0005697733216050373],[-2.2178075255649983e-06]
Train,[-0.016939321775975416],[0.034386940850617984]
Train,[0.0017326457372937316],[1.3818615606561856e-06]
Train,[0.0015710899064772423],[1.4598582711141459e-06]
Train,[-0.007465898477418787],[-0.004030206474187189]
Train,[-0.0007000310456819419],[-9.471188573092583e-17]
Train,[-0.004424399607704884],[5.46414725370726e-18]
Train,[-0.008146366315635853],[1.82138241790242e-18]
Train,[-0.0024676543816273397],[1.092829450741452e-17]
Train,[0.0018370942030296801],[2.1475155316309158e-06]
Train,[-0.006192748067324265],[-0.02046606179962359]
Train,[-0.006346748786960113],[-0.03181998237701695]
Train,[0.0009283928600785251],[-2.2178075256323896e-06]
Train,[-0.008279617379978252],[-0.04557838729447085]
Train,[0.0013034763590543848],[1.820191515441475e-06]
Train,[0.0013034763590220406],[1.8201915155289015e-06]
Train,[-0.011404182685397484],[-0.07587621233758134]
Train,[-0.001125048223052881],[-4.1009506176001475e-06]
Train,[-0.009259428338333263],[0.03502305871878561]
Train,[-0.007751833974658653],[0.04596011552868171]
Train,[0.001072789058969765],[2.452425396471171e-06]
Train,[-0.008434055843851236],[-3.64276483580484e-18]
Train,[-0.0034200003412233008],[-1.092829450741452e-16]
Train,[-0.0029916025674549336],[-1.3113953408897423e-16]
Train,[-0.004709013136239784],[9.1069120895121e-18]
Train,[-0.01693940584470751],[0.034386940850618]
Train,[0.0015763046616529015],[1.45985827106679e-06]
Train,[0.0017377489673153343],[1.381861560628865e-06]
Train,[-0.007457951263558298],[-0.004030206474187182]
Train,[-0.0017509109169152064],[-4.100950617578291e-06]
Train,[-0.017483945471110943],[0.04596011552868179]
Train,[-0.01489873652089134],[0.035023058718785624]
Train,[0.00038391176358598195],[2.4524253964638855e-06]
Train,[-0.013613737505101772],[-0.04635304026034097]
Train,[-0.0007252179298613111],[8.766607765741092e-07]
Train,[-0.0007252179298911726],[8.766607766032513e-07]
Train,[-0.007575957429528514],[-0.040709636276467155]
Train,[-0.009021467471395534],[5.282009011917018e-17]
Train,[-0.009312854089572177],[-5.46414725370726e-18]
Train,[-0.0096929448182143],[1.82138241790242e-18]
Train,[-0.0043824636481344095],[9.471188573092583e-17]
Train,[5.6771283440726296e-05],[-9.471188573092583e-17]
Train,[-0.006672955858642059],[1.82138241790242e-18]
Train,[-0.003276013980306445],[5.46414725370726e-18]
Train,[-0.0015147847885469985],[1.092829450741452e-17]
Train,[-0.008378892276240689],[-3.64276483580484e-18]
Train,[-0.0031820989871236952],[-1.3113953408897423e-16]
Train,[-0.003587046810194653],[-1.092829450741452e-16]
Train,[-0.004702459336884037],[9.1069120895121e-18]
Train,[-0.008765745211800157],[5.282009011917018e-17]
Train,[-0.00906952383647973],[1.82138241790242e-18]
Train,[-0.008724006238985267],[-5.46414725370726e-18]
Train,[-0.003929102217442894],[9.471188573092583e-17]
Train,[-0.012924689522706706],[-0.026621245462551197]
Train,[-0.0013731832182737969],[-5.688607871304142e-07]
Train,[-0.0013731832182710083],[-5.688607871322355e-07]
Train,[-0.007940352570372799],[-0.010823945532928939]
Train,[-0.01053060268637478],[-0.03225642570605386]
Train,[-0.0047965784999719095],[7.900587201402797e-05]
Train,[-0.0047965784999716415],[7.900587201395693e-05]
Train,[-0.011613660430313666],[-0.01692222211298195]
Train,[-0.004858290387551529],[0.00021839714942577227]
Train,[-0.015822096477813078],[0.03183374883540315]
Train,[-0.014049569007627438],[0.020468388897137785]
Train,[-0.004791387448836461],[-0.00022558532345777192]
Train,[-0.01694305302536271],[0.034430140265059306]
Train,[-0.004222760349931401],[-0.00014064887786440584]
Train,[-0.004406388197076131],[-0.00014859676587885906]
Train,[-0.007465593550934229],[-0.004036594411177927]
Train,[2.7557104842857012e-05],[-1.4753197585009603e-16]
Train,[-0.002342633703428983],[2.185658901482904e-17]
Train,[-0.0034800876954968704],[1.457105934321936e-17]
Train,[-0.0019963185516587633],[1.639244176112178e-17]
Train,[-0.0037931244272875796],[0.0002183971494257249]
Train,[-0.013025890165230064],[0.020468388897137844]
Train,[-0.017493878751437174],[0.03183374883540315]
Train,[-0.004044652241118297],[-0.00022558532345770454]
Train,[-0.00830368222221604],[-0.04565742741386274]
Train,[-0.0036187453210007325],[-0.00018499056409219296]
Train,[-0.003618745321000472],[-0.00018499056409211466]
Train,[-0.011404469944701985],[-0.07587345187227598]
Train,[-0.004776347850171311],[-0.000417703483878227]
Train,[-0.007692652729311758],[-0.03506887734551717]
Train,[-0.008607836827010698],[-0.04598491259983777]
Train,[-0.0038775009594934073],[0.00024937868650868835]
Train,[-0.008038005024576227],[-1.274967692531694e-17]
Train,[-0.0029718714013599423],[1.5117474068590086e-16]
Train,[-0.0024390211168519274],[1.9853068355136378e-16]
Train,[-0.0026896300179892452],[-4.371317802965808e-17]
Train,[-0.01694343936810007],[0.034430140265059465]
Train,[-0.004396871001460129],[-0.0001485967658787516]
Train,[-0.00421336914157848],[-0.00014064887786438763]
Train,[-0.007457497325603525],[-0.00403659441117794]
Train,[-0.00575538452213127],[-0.00041770348387830354]
Train,[-0.0076320562555689106],[-0.04598491259983788]
Train,[-0.0070320000454084375],[-0.03506887734551722]
Train,[-0.005050428674799051],[0.00024937868650867014]
Train,[-0.013652880354926154],[-0.04642098563854254]
Train,[-0.004382508619469308],[-8.929989840338444e-05]
Train,[-0.004382508619469823],[-8.92998984034318e-05]
Train,[-0.007585869805603234],[-0.04070587366488182]
Train,[-0.00844578668448063],[8.742635605931616e-17]
Train,[-0.007429192316832455],[-3.096350110434114e-17]
Train,[-0.007966980792113727],[-2.367797143273146e-17]
Train,[-0.00397236201231789],[1.274967692531694e-16]
Train,[0.0007169331882879806],[-1.4753197585009603e-16]
Train,[-0.0024148204090523964],[1.457105934321936e-17]
Train,[-0.0013766949050901668],[2.185658901482904e-17]
Train,[-0.0010819062965807533],[1.639244176112178e-17]
Train,[-0.008020303942629993],[-1.274967692531694e-17]
Train,[-0.0026612769731352718],[1.9853068355136378e-16]
Train,[-0.003166267306078062],[1.5117474068590086e-16]
Train,[-0.0027852224265701815],[-4.371317802965808e-17]
Train,[-0.008237146557489078],[8.742635605931616e-17]
Train,[-0.007499565419427703],[-2.367797143273146e-17]
Train,[-0.007007789691681313],[-3.096350110434114e-17]
Train,[-0.0035556406490020705],[1.274967692531694e-16]
Train,[-0.012944786792105872],[-0.026634468268519597]
Train,[-0.00420518917892774],[5.783038463533851e-05]
Train,[-0.004205189178927736],[5.7830384635351266e-05]
Train,[-0.00794334276008975],[-0.010832636499721451]
Train,[-0.010560320441962338],[-0.032258451158275296]
Train,[-0.003520893271044684],[-1.3271416039564208e-05]
Train,[-0.0035208932710470466],[-1.3271416039666206e-05]
Train,[-0.011620278675090205],[-0.016905929475836967]
Train,[-0.002363015876960649],[3.667982742938658e-05]
Train,[-0.004708272444142076],[-0.03181689782676138]
Train,[-0.006353638746040136],[-0.020465344205368968]
Train,[-0.002655811918735041],[-3.7879038950043834e-05]
Train,[-0.01693853100585684],[0.03437783697126322]
Train,[-0.0018481926297024907],[2.359828106542327e-05]
Train,[-0.002031925252916707],[2.4929931815233868e-05]
Train,[-0.007465976354700063],[-0.004028753092825896]
Train,[-0.0008315115566330907],[-8.19622088056089e-17]
Train,[-0.0018368606905541643],[1.82138241790242e-17]
Train,[-0.0025426138168048442],[1.274967692531694e-17]
Train,[-0.00292454466885556],[7.28552967160968e-18]
Train,[-0.0015056020344132576],[3.667982742931737e-05]
Train,[-0.006193236309091678],[-0.02046534420536899]
Train,[-0.006346640438546706],[-0.031816897826761434]
Train,[-0.0020624066350437564],[-3.787903895011487e-05]
Train,[-0.008274640230993183],[-0.045562209296626306]
Train,[-0.001664860427213697],[3.1093243300779163e-05]
Train,[-0.0016648604272119665],[3.1093243300713596e-05]
Train,[-0.011404101601935553],[-0.07587647421210354]
Train,[-0.003311686945571597],[-7.002230991633843e-05]
Train,[-0.009263970013002613],[0.03501319319465092]
Train,[-0.0077575898758767544],[0.04595459277084304]
Train,[-0.0018726022191579452],[4.188850986001449e-05]
Train,[-0.006652204134151238],[1.639244176112178e-17]
Train,[-0.003567329614529837],[-9.471188573092583e-17]
Train,[-0.003087755796756209],[-1.1656847474575488e-16]
Train,[-0.002312584072112083],[3.824903077595082e-17]
Train,[-0.016938553793267593],[0.034377836971263155]
Train,[-0.002024233302532631],[2.4929931815233868e-05]
Train,[-0.0018406291084182805],[2.3598281065485193e-05]
Train,[-0.00745805950809226],[-0.004028753092825932]
Train,[-0.004153365918221006],[-7.002230991629472e-05]
Train,[-0.017484653045812197],[0.04595459277084304]
Train,[-0.01489925291525598],[0.035013193194650974]
Train,[-0.0028345517418105846],[4.188850985993799e-05]
Train,[-0.013605655346610526],[-0.04633911749680126]
Train,[-0.002870065489973962],[1.496840694527187e-05]
Train,[-0.002870065489974383],[1.496840694528462e-05]
Train,[-0.007573859458046112],[-0.040710207897740124]
Train,[-0.009005975513324691],[5.282009011917018e-17]
Train,[-0.0070350772887756334],[-2.914211868643872e-17]
Train,[-0.0073254343897709105],[-2.549935385063388e-17]
Train,[-0.004640757417503597],[7.649806155190164e-17]
Train,[-6.246308675073569e-05],[-8.19622088056089e-17]
Train,[-0.001558438241411491],[1.274967692531694e-17]
Train,[-0.0009143253517540781],[1.82138241790242e-17]
Train,[-0.0019346336333978266],[7.28552967160968e-18]
Train,[-0.006741404694911396],[1.639244176112178e-17]
Train,[-0.0032724593158995775],[-1.1656847474575488e-16]
Train,[-0.003725502708136381],[-9.471188573092583e-17]
Train,[-0.0024214410266399974],[3.824903077595082e-17]
Train,[-0.008750821598949823],[5.282009011917018e-17]
Train,[-0.00690995294752085],[-2.549935385063388e-17]
Train,[-0.006644037133228578],[-2.914211868643872e-17]
Train,[-0.004164701692045079],[7.649806155190164e-17]
Train,[-0.012920523160374163],[-0.026618455211376083]
Train,[-0.003000610590332525],[-9.716962955821612e-06]
Train,[-0.0030006105903332605],[-9.716962955823433e-06]
Train,[-0.007939720654258705],[-0.010822185141719742]
Train,[-0.0104102563212265],[-0.03225291592097013]
Train,[-0.004647571719622073],[6.734542800778838e-05]
Train,[-0.0046475717196214645],[6.734542800765178e-05]
Train,[-0.01157551272496754],[-0.01698701209913348]
Train,[-0.004630499202738625],[0.0001863537379243354]
Train,[-0.015862844256476338],[0.031900059154929106]
Train,[-0.01407617550603355],[0.020491276960865223]
Train,[-0.004603899692677325],[-0.00019272011327513546]
Train,[-0.016959881231317014],[0.034636065097496914]
Train,[-0.004016069957552744],[-0.00012048514277568004]
Train,[-0.004202373363768039],[-0.00012734142166573567]
Train,[-0.00746404130678297],[-0.004063263554342336]
Train,[0.00016091245583407113],[-2.0217344838716861e-16]
Train,[-0.004685201612434153],[-9.1069120895121e-18]
Train,[-0.006946655131381227],[-5.46414725370726e-18]
Train,[-0.0014892714039803797],[2.367797143273146e-17]
Train,[-0.003555782450403342],[0.00018635373792438823]
Train,[-0.01298453909161499],[0.02049127696086523]
Train,[-0.017448962790512126],[0.031900059154928974]
Train,[-0.003845984464383278],[-0.00019272011327503894]
Train,[-0.008428998601377934],[-0.046026900956620265]
Train,[-0.0034264672124358748],[-0.00015737296144795846]
Train,[-0.003426467212435729],[-0.00015737296144791293]
Train,[-0.011403518936393598],[-0.07594437972340634]
Train,[-0.004657543373417005],[-0.0003593257613444789]
Train,[-0.007762483530654653],[-0.03532985502844954]
Train,[-0.008711411458927348],[-0.046184500384455554]
Train,[-0.003678490009336664],[0.0002131451434576835]
Train,[-0.009752043065736102],[7.28552967160968e-18]
Train,[-0.0028694479765854503],[2.0763759564087587e-16]
Train,[-0.0023752902942137995],[2.659218330137533e-16]
Train,[-0.004364415332076775],[1.82138241790242e-17]
Train,[-0.016961742647580026],[0.03463606509749698]
Train,[-0.004193439040995639],[-0.000127341421665661]
Train,[-0.004007258544058629],[-0.00012048514277566183]
Train,[-0.007456310080844715],[-0.004063263554342365]
Train,[-0.0056349628377970525],[-0.00035932576134449533]
Train,[-0.007719826424757141],[-0.04618450038445562]
Train,[-0.007082039373323567],[-0.0353298550284496]
Train,[-0.004850426842427444],[0.0002131451434576489]
Train,[-0.013843096201992436],[-0.046806704565322856]
Train,[-0.004276596000625569],[-7.680393062679538e-05]
Train,[-0.004276596000625734],[-7.680393062679721e-05]
Train,[-0.007645610999271527],[-0.04074139126274762]
Train,[-0.00856794318991833],[1.1292570990995005e-16]
Train,[-0.008719225346128512],[1.457105934321936e-17]
Train,[-0.009456959972163203],[1.092829450741452e-17]
Train,[-0.0037936748655558925],[1.7849547695443715e-16]
Train,[0.0008302308774807513],[-2.0217344838716861e-16]
Train,[-0.0055833126798280515],[-5.46414725370726e-18]
Train,[-0.0035191480492787414],[-9.1069120895121e-18]
Train,[-0.0006175901490583781],[2.367797143273146e-17]
Train,[-0.009599749352249106],[7.28552967160968e-18]
Train,[-0.002615518296832478],[2.659218330137533e-16]
Train,[-0.0030846968535958794],[2.0763759564087587e-16]
Train,[-0.004400081269019134],[1.82138241790242e-17]
Train,[-0.008364379469775087],[1.1292570990995005e-16]
Train,[-0.008870921856453225],[1.092829450741452e-17]
Train,[-0.0081990122624241],[1.457105934321936e-17]
Train,[-0.0034005726069181092],[1.7849547695443715e-16]
Train,[-0.013039751480195733],[-0.026691351933937537]
Train,[-0.004126325021786574],[4.926089640430649e-05]
Train,[-0.00412632502178593],[4.9260896404284635e-05]
Train,[-0.007964455908635653],[-0.01087560101983036]
Train,[-0.010484063109176909],[-0.032257439000084195]
Train,[-0.0046302503306003846],[6.434735235748744e-05]
Train,[-0.004630250330600452],[6.434735235751294e-05]
Train,[-0.011591193197876772],[-0.016947195719522582]
Train,[-0.004563517215207054],[0.00017798743397651917]
Train,[-0.015842140360018672],[0.03185469380534497]
Train,[-0.014063632286615004],[0.020482007954393176]
Train,[-0.004548263857248601],[-0.00018397587138982923]
Train,[-0.01694914863866102],[0.03450262844213766]
Train,[-0.003950763841519367],[-0.00011478966231369395]
Train,[-0.004135928101207513],[-0.00012130035054604856]
Train,[-0.007465166486210869],[-0.004042276703811714]
Train,[0.000328795779057881],[2.1674450773038799e-16]
Train,[-0.00482655577994705],[-3.64276483580484e-18]
Train,[-0.005258295906197281],[-3.64276483580484e-18]
Train,[-0.0014321537573478344],[-2.549935385063388e-17]
Train,[-0.0035105170000910148],[0.00017798743397641717]
Train,[-0.01300907140718208],[0.020482007954393176]
Train,[-0.01747083497793875],[0.031854693805345065]
Train,[-0.003806838399532908],[-0.00018397587138976]
Train,[-0.00835674234182772],[-0.045788727678603355]
Train,[-0.003386500101717285],[-0.00015059937639435856]
Train,[-0.003386500101717296],[-0.00015059937639436038]
Train,[-0.011401988729330348],[-0.07595761327956829]
Train,[-0.004612429896341391],[-0.00034161342684195934]
Train,[-0.007724739572169542],[-0.035190439322304326]
Train,[-0.008657933708472183],[-0.046112163840391025]
Train,[-0.0036370379248670264],[0.00020368585599564348]
Train,[-0.0078580609300179],[5.46414725370726e-18]
Train,[-0.0027714430746947644],[-2.1492312531248556e-16]
Train,[-0.0022314448252764474],[-2.8413565719277754e-16]
Train,[-0.004174454081430146],[9.1069120895121e-18]
Train,[-0.016950051026196747],[0.03450262844213766]
Train,[-0.004127674838145457],[-0.00012130035054604127]
Train,[-0.003942624028200786],[-0.00011478966231360835]
Train,[-0.0074579970849292425],[-0.004042276703811639]
Train,[-0.005582239312009875],[-0.00034161342684195934]
Train,[-0.0076747123732603135],[-0.04611216384039102]
Train,[-0.00705483359221408],[-0.03519043932230428]
Train,[-0.0047925065295410345],[0.0002036858559956781]
Train,[-0.013724614477086531],[-0.04660756576194903]
Train,[-0.004217883526553115],[-7.299039871720849e-05]
Train,[-0.004217883526553613],[-7.299039871725766e-05]
Train,[-0.007616385673143487],[-0.04075621358173597]
Train,[-0.008365898640470085],[-1.2567538683526697e-16]
Train,[-0.008982093967478394],[5.46414725370726e-18]
Train,[-0.008663241159217544],[9.1069120895121e-18]
Train,[-0.0037227751654056035],[-1.82138241790242e-16]
Train,[0.0009874130787502484],[2.1674450773038799e-16]
Train,[-0.004040323177714916],[-3.64276483580484e-18]
Train,[-0.0036462493088912605],[-3.64276483580484e-18]
Train,[-0.0005644461144304832],[-2.549935385063388e-17]
Train,[-0.007863475645737042],[5.46414725370726e-18]
Train,[-0.00247100732775516],[-2.8413565719277754e-16]
Train,[-0.0029836038918821185],[-2.1492312531248556e-16]
Train,[-0.004208629545360634],[9.1069120895121e-18]
Train,[-0.008168538502122086],[-1.2567538683526697e-16]
Train,[-0.00814050187391051],[9.1069120895121e-18]
Train,[-0.008431060990431437],[5.46414725370726e-18]
Train,[-0.0033318671597253415],[-1.82138241790242e-16]
Train,[-0.012978424505842238],[-0.026649711472575964]
Train,[-0.004077517913205337],[4.7101786673576285e-05]
Train,[-0.004077517913205147],[4.7101786673565355e-05]
Train,[-0.00795601591920808],[-0.010850265879310724]
Train,[-0.010622338869136697],[-0.03226008434719173]
Train,[-0.0033540539658921857],[9.96537042049296e-06]
Train,[-0.0033540539658880857],[9.965370420352715e-06]
Train,[-0.011640271529055866],[-0.01687261862185265]
Train,[-0.0019597075939526685],[-2.7527324798067157e-05]
Train,[-0.004731044550063468],[-0.03178336996229776]
Train,[-0.006358155865781488],[-0.0204535410952693]
Train,[-0.0023336758325066776],[2.8409620887019856e-05]
Train,[-0.016929158777933162],[0.03427282024114467]
Train,[-0.0014519752384031938],[-1.7673851867693314e-05]
Train,[-0.0016310118271220231],[-1.8667592070412004e-05]
Train,[-0.0074667525067193645],[-0.004014822211446167]
Train,[0.0006875064786552258],[-2.786715099390703e-16]
Train,[-0.00154940207193709],[3.64276483580484e-17]
Train,[-0.0027061805867323744],[2.185658901482904e-17]
Train,[-0.0011836069225177911],[3.096350110434114e-17]
Train,[-0.0011466354915092938],[-2.7527324798147297e-05]
Train,[-0.006200307572641076],[-0.02045354109526921]
Train,[-0.00634785029636939],[-0.03178336996229771]
Train,[-0.0017744894267667083],[2.840962088695975e-05]
Train,[-0.00821072201021131],[-0.045373762919551586]
Train,[-0.001343093753000028],[-2.3370960339368413e-05]
Train,[-0.00134309375300109],[-2.337096033939027e-05]
Train,[-0.011404697781693828],[-0.0758378889665457]
Train,[-0.003071650236571293],[5.233139829603008e-05]
Train,[-0.009324862485707226],[0.03487873259228366]
Train,[-0.007839625224493819],[0.045850938498696356]
Train,[-0.0015519587756482795],[-3.1407020303301317e-05]
Train,[-0.007214933442018312],[1.82138241790242e-17]
Train,[-0.0024035068370567036],[-2.8595703961067994e-16]
