Data,Predicted,Reference
Train,[-0.02294483181586416],[-0.03225818565279794]
Train,[-0.010135121994737647],[-7.769851570889031e-07]
Train,[-0.010135121994731927],[-7.769851570670464e-07]
Train,[-0.01337289327239089],[-0.016908658625533646]
Train,[-0.0027708101381447334],[2.147515531627273e-06]
Train,[-0.024367399696521325],[-0.03181998237701682]
Train,[-0.011785390428509004],[-0.020466061799623576]
Train,[-0.005228176130606838],[-2.2178075255649983e-06]
Train,[-0.0019459412896840772],[0.034386940850617984]
Train,[-0.002624300381255461],[1.3818615606561856e-06]
Train,[-0.0026410649021753677],[1.4598582711141459e-06]
Train,[-0.0076956227798152775],[-0.004030206474187189]
Train,[-0.0029008430093990225],[-9.471188573092583e-17]
Train,[-0.003094956280022909],[5.46414725370726e-18]
Train,[-0.0033770494621984267],[1.82138241790242e-18]
Train,[-0.0030135041741509894],[1.092829450741452e-17]
Train,[-0.0068785226484288095],[2.1475155316309158e-06]
Train,[-0.014006659142633365],[-0.02046606179962359]
Train,[-0.02274084163911437],[-0.03181998237701695]
Train,[-0.008849380622613853],[-2.2178075256323896e-06]
Train,[-0.023763154873696252],[-0.04557838729447085]
Train,[-0.007126716610404154],[1.820191515441475e-06]
Train,[-0.007126716610408094],[1.8201915155289015e-06]
Train,[-0.0368298133100011],[-0.07587621233758134]
Train,[-0.009684485222424228],[-4.1009506176001475e-06]
Train,[-0.010123073214059926],[0.03502305871878561]
Train,[-0.013820448990155339],[0.04596011552868171]
Train,[-0.007255642322077202],[2.452425396471171e-06]
Train,[-0.006308300263085441],[-3.64276483580484e-18]
Train,[-0.0056830074369124475],[-1.092829450741452e-16]
Train,[-0.0057204837434773],[-1.3113953408897423e-16]
Train,[-0.00475331118758977],[9.1069120895121e-18]
Train,[-0.0018345494231990253],[0.034386940850618]
Train,[-0.0024967637197255603],[1.45985827106679e-06]
Train,[-0.0024797287414512876],[1.381861560628865e-06]
Train,[-0.007584194960297574],[-0.004030206474187182]
Train,[-0.0059682886678660806],[-4.100950617578291e-06]
Train,[-0.006515104732036268],[0.04596011552868179]
Train,[-0.0051746976670187725],[0.035023058718785624]
Train,[-0.0030643218804892484],[2.4524253964638855e-06]
Train,[-0.008447293189951448],[-0.04635304026034097]
Train,[-0.006051572839375164],[8.766607765741092e-07]
Train,[-0.006051572839379335],[8.766607766032513e-07]
Train,[-0.015972211111991503],[-0.040709636276467155]
Train,[-0.005528903477109305],[5.282009011917018e-17]
Train,[-0.0047921653651617074],[-5.46414725370726e-18]
Train,[-0.004776470982909049],[1.82138241790242e-18]
Train,[-0.004270145785619976],[9.471188573092583e-17]
Train,[0.00013260182780224723],[-9.471188573092583e-17]
Train,[-0.000928189719402033],[1.82138241790242e-18]
Train,[-0.00010656042745566584],[5.46414725370726e-18]
Train,[0.0005378161418401089],[1.092829450741452e-17]
Train,[-0.005361409045774927],[-3.64276483580484e-18]
Train,[-0.0033722178095779397],[-1.3113953408897423e-16]
Train,[-0.003444289620234783],[-1.092829450741452e-16]
Train,[-0.002571395491619333],[9.1069120895121e-18]
Train,[-0.006588317058692277],[5.282009011917018e-17]
Train,[-0.005614458527009353],[1.82138241790242e-18]
Train,[-0.0055605078395152],[-5.46414725370726e-18]
Train,[-0.003666036050649046],[9.471188573092583e-17]
Train,[-0.008162566811053627],[-0.026621245462551197]
Train,[-0.005115978123769826],[-5.688607871304142e-07]
Train,[-0.005115978123769227],[-5.688607871322355e-07]
Train,[-0.00806679990176169],[-0.010823945532928939]
Train,[-0.022975748365654303],[-0.03225642570605386]
Train,[-0.011594355213799545],[7.900587201402797e-05]
Train,[-0.01159435521379942],[7.900587201395693e-05]
Train,[-0.013383261360611068],[-0.01692222211298195]
Train,[-0.003472138521964518],[0.00021839714942577227]
Train,[-0.0067709642971674755],[0.03183374883540315]
Train,[-0.004638280576654176],[0.020468388897137785]
Train,[-0.006297169935599738],[-0.00022558532345777192]
Train,[-0.001946129283736499],[0.034430140265059306]
Train,[-0.0033555235995340184],[-0.00014064887786440584]
Train,[-0.0033852299159225206],[-0.00014859676587885906]
Train,[-0.00769773700799006],[-0.004036594411177927]
Train,[-0.0028504651111632548],[-1.4753197585009603e-16]
Train,[-0.0029430050294254307],[2.185658901482904e-17]
Train,[-0.003027963599694194],[1.457105934321936e-17]
Train,[-0.0029869950628934844],[1.639244176112178e-17]
Train,[-0.007441360015498184],[0.0002183971494257249]
Train,[-0.0066449670567063105],[0.020468388897137844]
Train,[-0.006704324710381744],[0.03183374883540315]
Train,[-0.009672833220929797],[-0.00022558532345770454]
Train,[-0.02376769961468864],[-0.04565742741386274]
Train,[-0.0076652767604796935],[-0.00018499056409219296]
Train,[-0.007665276760479665],[-0.00018499056409211466]
Train,[-0.036816341314768915],[-0.07587345187227598]
Train,[-0.01027032073625919],[-0.000417703483878227]
Train,[-0.016689877418494387],[-0.03506887734551717]
Train,[-0.02376939668039327],[-0.04598491259983777]
Train,[-0.007730359424670626],[0.00024937868650868835]
Train,[-0.006348266942681299],[-1.274967692531694e-17]
Train,[-0.005715886195316439],[1.5117474068590086e-16]
Train,[-0.005764749232390912],[1.9853068355136378e-16]
Train,[-0.004835315670020925],[-4.371317802965808e-17]
Train,[-0.001832354897785977],[0.034430140265059465]
Train,[-0.0032517648335119733],[-0.0001485967658787516]
Train,[-0.003221509375888881],[-0.00014064887786438763]
Train,[-0.0075840078286276294],[-0.00403659441117794]
Train,[-0.006545142353269307],[-0.00041770348387830354]
Train,[-0.018151750480930623],[-0.04598491259983788]
Train,[-0.011808812674032816],[-0.03506887734551722]
Train,[-0.0035417031211408163],[0.00024937868650867014]
Train,[-0.008403553409489832],[-0.04642098563854254]
Train,[-0.006582654169389471],[-8.929989840338444e-05]
Train,[-0.006582654169389551],[-8.92998984034318e-05]
Train,[-0.015949983278237705],[-0.04070587366488182]
Train,[-0.005614738755845592],[8.742635605931616e-17]
Train,[-0.004886399076273638],[-3.096350110434114e-17]
Train,[-0.004859060943222372],[-2.367797143273146e-17]
Train,[-0.004274232020041374],[1.274967692531694e-16]
Train,[0.00027488883309100096],[-1.4753197585009603e-16]
Train,[9.103257831351805e-05],[1.457105934321936e-17]
Train,[0.0003292209254605942],[2.185658901482904e-17]
Train,[0.0006334213839879762],[1.639244176112178e-17]
Train,[-0.005311278493499372],[-1.274967692531694e-17]
Train,[-0.0032839694378721737],[1.9853068355136378e-16]
Train,[-0.003373715424926229],[1.5117474068590086e-16]
