Time,Iteration,Cost,Parameters
Sat Aug 24 21:14:36 2024,0,0.1853477301574617,[-2.90158767  2.23583885 -2.12587542 -0.11812681  0.5522913 ]
Sat Aug 24 21:15:38 2024,1,0.18309873489055484,[-2.90129078  2.23554197 -2.1261723  -0.11782992  0.55258818]
Sat Aug 24 21:16:40 2024,2,0.1842350427280006,[-2.89951596  2.23376715 -2.12439748 -0.11960474  0.55436301]
Sat Aug 24 21:17:43 2024,3,0.1827411704121525,[-2.89872543  2.23297661 -2.12360695 -0.12039528  0.55515354]
Sat Aug 24 21:18:45 2024,4,0.186805780555346,[-2.89658555  2.23511648 -2.12574682 -0.12253515  0.55729341]
Sat Aug 24 21:19:48 2024,5,0.18249998074566268,[-2.89456781  2.23309873 -2.12372907 -0.1245529   0.55527566]
Sat Aug 24 21:20:50 2024,6,0.1878688056413386,[-2.89271834  2.23124926 -2.1218796  -0.12270343  0.55342619]
Sat Aug 24 21:21:52 2024,7,0.1787904814817298,[-2.89108088  2.23288672 -2.12024215 -0.12434088  0.55506365]
Sat Aug 24 21:22:54 2024,8,0.18369033261495832,[-2.88842377  2.23022961 -2.12289925 -0.12168377  0.55772075]
Sat Aug 24 21:23:56 2024,9,0.18629557392369264,[-2.88732776  2.23132563 -2.12180324 -0.12058776  0.55662474]
Sat Aug 24 21:24:58 2024,10,0.18183342590024446,[-2.88503509  2.22903295 -2.12409591 -0.11829509  0.55433207]
Sat Aug 24 21:26:01 2024,11,0.18531179867294129,[-2.8822611   2.23180695 -2.1268699  -0.1155211   0.55155808]
Sat Aug 24 21:27:04 2024,12,0.18524708332376488,[-2.88082544  2.23037129 -2.12543425 -0.11408544  0.55012242]
Sat Aug 24 21:28:06 2024,13,0.1913983562370054,[-2.87818859  2.23300814 -2.12279739 -0.11672229  0.54748557]
Sat Aug 24 21:29:08 2024,14,0.18491630908460835,[-2.87582422  2.23064378 -2.12043303 -0.11435793  0.54984993]
Sat Aug 24 21:30:11 2024,15,0.1851559493115145,[-2.87478351  2.22960307 -2.11939232 -0.11331722  0.55089064]
Sat Aug 24 21:31:14 2024,16,0.1825008881848505,[-2.87272685  2.22754641 -2.12144898 -0.11126056  0.5529473 ]
Sat Aug 24 21:32:17 2024,17,0.18731025747226304,[-2.87230901  2.22712857 -2.12186683 -0.11167841  0.55252945]
