Data,Predicted,Reference
Train,[-0.005070569708887116],[-0.03225818565279794]
Train,[0.004766960536272599],[-7.769851570889031e-07]
Train,[0.004766960536280307],[-7.769851570670464e-07]
Train,[0.0012473916804348559],[-0.016908658625533646]
Train,[0.0058043750327176],[2.147515531627273e-06]
Train,[-0.0025840648133351857],[-0.03181998237701682]
Train,[0.0028717641802848155],[-0.020466061799623576]
Train,[0.004993929196199505],[-2.2178075255649983e-06]
Train,[-0.00951372039524732],[0.034386940850617984]
Train,[0.005958351678936834],[1.3818615606561856e-06]
Train,[0.0059257479769034265],[1.4598582711141459e-06]
Train,[0.003103061030681569],[-0.004030206474187189]
Train,[0.0020108643726209794],[-9.471188573092583e-17]
Train,[-0.0004740763334169658],[5.46414725370726e-18]
Train,[-0.002513675529762979],[1.82138241790242e-18]
Train,[0.00029407970347740907],[1.092829450741452e-17]
Train,[-0.01807400463572696],[2.1475155316309158e-06]
Train,[-0.01720217334422285],[-0.02046606179962359]
Train,[-0.018343253818355436],[-0.03181998237701695]
Train,[-0.01611718452307431],[-2.2178075256323896e-06]
Train,[-0.022789993158595003],[-0.04557838729447085]
Train,[-0.01971470325330954],[1.820191515441475e-06]
Train,[-0.019714703253306997],[1.8201915155289015e-06]
Train,[-0.015540942803511123],[-0.07587621233758134]
Train,[-0.019653866789248412],[-4.1009506176001475e-06]
Train,[-0.01786160235291853],[0.03502305871878561]
Train,[-0.016299707329349947],[0.04596011552868171]
Train,[-0.019736458388765095],[2.452425396471171e-06]
Train,[-0.010586395342538945],[-3.64276483580484e-18]
Train,[-0.012373086155980425],[-1.092829450741452e-16]
Train,[-0.012648491870753611],[-1.3113953408897423e-16]
Train,[-0.01038623677430599],[9.1069120895121e-18]
Train,[-0.009375256276707234],[0.034386940850618]
Train,[0.005869347608921913],[1.45985827106679e-06]
Train,[0.005900517271208636],[1.381861560628865e-06]
Train,[0.00309067101332818],[-0.004030206474187182]
Train,[0.008058016183815384],[-4.100950617578291e-06]
Train,[-0.014723567207479471],[0.04596011552868179]
Train,[-0.007716830031702925],[0.035023058718785624]
Train,[0.007245733062145051],[2.4524253964638855e-06]
Train,[-0.0015005528812809111],[-0.04635304026034097]
Train,[0.008869848056085074],[8.766607765741092e-07]
Train,[0.008869848056066845],[8.766607766032513e-07]
Train,[-0.0016747416352483637],[-0.040709636276467155]
Train,[0.006608378830990686],[5.282009011917018e-17]
Train,[0.003403012200287827],[-5.46414725370726e-18]
Train,[0.00308069084307659],[1.82138241790242e-18]
Train,[0.004566873324239923],[9.471188573092583e-17]
Train,[-0.01504286541663964],[-9.471188573092583e-17]
Train,[-0.01811511131936462],[1.82138241790242e-18]
Train,[-0.017234281347673817],[5.46414725370726e-18]
Train,[-0.017717821870941897],[1.092829450741452e-17]
Train,[-0.009162677054978996],[-3.64276483580484e-18]
Train,[-0.010059505188677268],[-1.3113953408897423e-16]
Train,[-0.010176895302833961],[-1.092829450741452e-16]
Train,[-0.01275854552000195],[9.1069120895121e-18]
Train,[-0.00620998687422831],[5.282009011917018e-17]
Train,[-0.009043422946561684],[1.82138241790242e-18]
Train,[-0.008920638707128644],[-5.46414725370726e-18]
Train,[-0.009938518243217512],[9.471188573092583e-17]
Train,[-0.006741825210223995],[-0.026621245462551197]
Train,[-0.003292808239548909],[-5.688607871304142e-07]
Train,[-0.0032928082395493603],[-5.688607871322355e-07]
Train,[-0.0049443749123508325],[-0.010823945532928939]
Train,[-0.005074663212028472],[-0.03225642570605386]
Train,[0.0023827503414260705],[7.900587201402797e-05]
Train,[0.002382750341426293],[7.900587201395693e-05]
Train,[0.0012497801577149373],[-0.01692222211298195]
Train,[0.004127963947204559],[0.00021839714942577227]
Train,[-0.012219145033118554],[0.03183374883540315]
Train,[-0.003939731675102457],[0.020468388897137785]
Train,[0.003229279315835412],[-0.00022558532345777192]
Train,[-0.00952924613232842],[0.034430140265059306]
Train,[0.004423970664390757],[-0.00014064887786440584]
Train,[0.004366237974656028],[-0.00014859676587885906]
Train,[0.00310552415039383],[-0.004036594411177927]
Train,[0.0023800943431083474],[-1.4753197585009603e-16]
Train,[0.0005821812723357508],[2.185658901482904e-17]
Train,[1.9047721652235842e-05],[1.457105934321936e-17]
Train,[0.0005322949359778976],[1.639244176112178e-17]
Train,[-0.01828850695097487],[0.0002183971494257249]
Train,[-0.019075836088552244],[0.020468388897137844]
Train,[-0.016857207859429294],[0.03183374883540315]
Train,[-0.01693027204917645],[-0.00022558532345770454]
Train,[-0.022811556957260455],[-0.04565742741386274]
Train,[-0.019178756240486736],[-0.00018499056409219296]
Train,[-0.019178756240486768],[-0.00018499056409211466]
Train,[-0.01551522938094559],[-0.07587345187227598]
Train,[-0.01879902384656325],[-0.000417703483878227]
Train,[-0.02073657334840687],[-0.03506887734551717]
Train,[-0.022879318377937666],[-0.04598491259983777]
Train,[-0.019190222524395815],[0.00024937868650868835]
Train,[-0.010889981641203566],[-1.274967692531694e-17]
Train,[-0.012711749172588186],[1.5117474068590086e-16]
Train,[-0.013059971908466049],[1.9853068355136378e-16]
Train,[-0.011577896544226973],[-4.371317802965808e-17]
Train,[-0.00938759666327339],[0.034430140265059465]
Train,[0.004357858994022933],[-0.0001485967658787516]
Train,[0.004414218318945491],[-0.00014064887786438763]
Train,[0.0030932970428811965],[-0.00403659441117794]
Train,[0.005341111882666304],[-0.00041770348387830354]
Train,[-0.0042090928182868656],[-0.04598491259983788]
Train,[0.002965568185427647],[-0.03506887734551722]
Train,[0.005157673446658253],[0.00024937868650867014]
Train,[-0.001502010133332838],[-0.04642098563854254]
Train,[0.006413777074089823],[-8.929989840338444e-05]
Train,[0.00641377707408944],[-8.92998984034318e-05]
Train,[-0.0016649226020956488],[-0.04070587366488182]
Train,[0.0071565277301226075],[8.742635605931616e-17]
Train,[0.004941707956168123],[-3.096350110434114e-17]
Train,[0.0045205996678464],[-2.367797143273146e-17]
Train,[0.00483964064602865],[1.274967692531694e-16]
Train,[-0.014841226260551123],[-1.4753197585009603e-16]
Train,[-0.016998882496001327],[1.457105934321936e-17]
Train,[-0.01673151736049357],[2.185658901482904e-17]
Train,[-0.017592517169559015],[1.639244176112178e-17]
Train,[-0.009010974579536061],[-1.274967692531694e-17]
Train,[-0.009886121189683201],[1.9853068355136378e-16]
Train,[-0.010033201179708065],[1.5117474068590086e-16]
Train,[-0.01221746640833963],[-4.371317802965808e-17]
Train,[-0.005982682825457869],[8.742635605931616e-17]
Train,[-0.008476028254563754],[-2.367797143273146e-17]
Train,[-0.008313835311177237],[-3.096350110434114e-17]
Train,[-0.009811175810904729],[1.274967692531694e-16]
Train,[-0.006733006386565842],[-0.026634468268519597]
Train,[-0.0030851436154738826],[5.783038463533851e-05]
Train,[-0.0030851436154738774],[5.7830384635351266e-05]
Train,[-0.004934410183984216],[-0.010832636499721451]
Train,[-0.005069670944702606],[-0.032258451158275296]
Train,[0.0034277468531694996],[-1.3271416039564208e-05]
Train,[0.0034277468531676457],[-1.3271416039666206e-05]
Train,[0.0012468732870408322],[-0.016905929475836967]
Train,[0.004906416540759094],[3.667982742938658e-05]
Train,[-0.002582662904204573],[-0.03181689782676138]
Train,[0.0028712608776316584],[-0.020465344205368968]
Train,[0.004000321246610174],[-3.7879038950043834e-05]
Train,[-0.009510431450911879],[0.03437783697126322]
Train,[0.005110046075737991],[2.359828106542327e-05]
Train,[0.0050595190079920785],[2.4929931815233868e-05]
Train,[0.003102534406775141],[-0.004028753092825896]
Train,[0.0019432315442414845],[-8.19622088056089e-17]
Train,[0.000812499086325347],[1.82138241790242e-17]
Train,[0.00046883692708242795],[1.274967692531694e-17]
Train,[6.901963846330041e-05],[7.28552967160968e-18]
Train,[-0.018182933412124083],[3.667982742931737e-05]
Train,[-0.01719467203671124],[-0.02046534420536899]
Train,[-0.01833779507142996],[-0.031816897826761434]
Train,[-0.01660488119798109],[-3.787903895011487e-05]
Train,[-0.022785483983079932],[-0.045562209296626306]
Train,[-0.019407731712989405],[3.1093243300779163e-05]
Train,[-0.019407731712989616],[3.1093243300713596e-05]
Train,[-0.015546417243501738],[-0.07587647421210354]
Train,[-0.019149629807509463],[-7.002230991633843e-05]
Train,[-0.017863902440429857],[0.03501319319465092]
Train,[-0.01630523275398429],[0.04595459277084304]
Train,[-0.01940799906966898],[4.188850986001449e-05]
Train,[-0.011742856275618828],[1.639244176112178e-17]
Train,[-0.012268766512734836],[-9.471188573092583e-17]
Train,[-0.012575910259791373],[-1.1656847474575488e-16]
Train,[-0.011743489046594772],[3.824903077595082e-17]
Train,[-0.009372618738835431],[0.034377836971263155]
Train,[0.005033010700070111],[2.4929931815233868e-05]
Train,[0.005082088835106289],[2.3598281065485193e-05]
Train,[0.003090110578519224],[-0.004028753092825932]
Train,[0.006478813627860718],[-7.002230991629472e-05]
Train,[-0.014721489640610687],[0.04595459277084304]
Train,[-0.007712838347219783],[0.035013193194650974]
Train,[0.006108250252606071],[4.188850985993799e-05]
Train,[-0.0015002930877493726],[-0.04633911749680126]
Train,[0.007478375082363923],[1.496840694527187e-05]
Train,[0.007478375082363617],[1.496840694528462e-05]
Train,[-0.0016767120287299651],[-0.040710207897740124]
Train,[0.006615226112079673],[5.282009011917018e-17]
Train,[0.00521954794521009],[-2.914211868643872e-17]
Train,[0.0049970811965794],[-2.549935385063388e-17]
Train,[0.004398009973518769],[7.649806155190164e-17]
Train,[-0.015079510957809586],[-8.19622088056089e-17]
Train,[-0.016797192496706113],[1.274967692531694e-17]
Train,[-0.016630189452723695],[1.82138241790242e-17]
Train,[-0.017830598602169498],[7.28552967160968e-18]
Train,[-0.008625855033726804],[1.639244176112178e-17]
Train,[-0.010090237252857688],[-1.1656847474575488e-16]
Train,[-0.01022149455425504],[-9.471188573092583e-17]
Train,[-0.012133147970526129],[3.824903077595082e-17]
