Data,Predicted,Reference
Train,[-0.005615624826167271],[-0.03225818565279794]
Train,[-0.005602624978897044],[-7.769851570889031e-07]
Train,[-0.00560262497889708],[-7.769851570670464e-07]
Train,[-0.005541864754511257],[-0.016908658625533646]
Train,[-0.005782971200454218],[2.147515531627273e-06]
Train,[-0.005761309089126473],[-0.03181998237701682]
Train,[-0.005795757779012416],[-0.020466061799623576]
Train,[-0.005744592145335235],[-2.2178075255649983e-06]
Train,[-0.0056220464702248325],[0.034386940850617984]
Train,[-0.005783722148803921],[1.3818615606561856e-06]
Train,[-0.005783721514074142],[1.4598582711141459e-06]
Train,[-0.005791437960150391],[-0.004030206474187189]
Train,[-0.005778045515413099],[-9.471188573092583e-17]
Train,[-0.005784485702149488],[5.46414725370726e-18]
Train,[-0.005784485702149491],[1.82138241790242e-18]
Train,[-0.005777810026307397],[1.092829450741452e-17]
Train,[-0.019359009175350505],[2.1475155316309158e-06]
Train,[-0.019525327138179942],[-0.02046606179962359]
Train,[-0.019077245120157016],[-0.03181998237701695]
Train,[-0.018859803994414635],[-2.2178075256323896e-06]
Train,[-0.018336496920716802],[-0.04557838729447085]
Train,[-0.018868260803464394],[1.820191515441475e-06]
Train,[-0.018868260803464355],[1.8201915155289015e-06]
Train,[-0.016334183911654414],[-0.07587621233758134]
Train,[-0.017646539883125204],[-4.1009506176001475e-06]
Train,[-0.017160907848625326],[0.03502305871878561]
Train,[-0.015970105826283186],[0.04596011552868171]
Train,[-0.018809612920111025],[2.452425396471171e-06]
Train,[-0.017400501073922336],[-3.64276483580484e-18]
Train,[-0.01809938198079566],[-1.092829450741452e-16]
Train,[-0.01809938198079563],[-1.3113953408897423e-16]
Train,[-0.018658007686735412],[9.1069120895121e-18]
Train,[-0.005745389496570345],[0.034386940850618]
Train,[-0.005927628488230003],[1.45985827106679e-06]
Train,[-0.005927629203693045],[1.381861560628865e-06]
Train,[-0.00593632641289825],[-0.004030206474187182]
Train,[-0.005778381919029627],[-4.100950617578291e-06]
Train,[-0.005633103874448996],[0.04596011552868179]
Train,[-0.005736297548296456],[0.035023058718785624]
Train,[-0.005879172627634079],[2.4524253964638855e-06]
Train,[-0.005706070982213738],[-0.04635304026034097]
Train,[-0.005769559339325456],[8.766607765741092e-07]
Train,[-0.0057695593393254615],[8.766607766032513e-07]
Train,[-0.005834109406875556],[-0.040709636276467155]
Train,[-0.005675099082368133],[5.282009011917018e-17]
Train,[-0.0057477443079307555],[-5.46414725370726e-18]
Train,[-0.005747744307930772],[1.82138241790242e-18]
Train,[-0.005809892737878887],[9.471188573092583e-17]
Train,[-0.020015960208299394],[-9.471188573092583e-17]
Train,[-0.020103854082218632],[1.82138241790242e-18]
Train,[-0.020103854082218615],[5.46414725370726e-18]
Train,[-0.02001274631860752],[1.092829450741452e-17]
Train,[-0.01802823717006416],[-3.64276483580484e-18]
Train,[-0.0187615318201932],[-1.3113953408897423e-16]
Train,[-0.018761531820193217],[-1.092829450741452e-16]
Train,[-0.019347664933233602],[9.1069120895121e-18]
Train,[-0.017035873113726716],[5.282009011917018e-17]
Train,[-0.017915440072366125],[1.82138241790242e-18]
Train,[-0.017915440072366146],[-5.46414725370726e-18]
Train,[-0.018667914926567934],[9.471188573092583e-17]
Train,[-0.01691678880674167],[-0.026621245462551197]
Train,[-0.017637346974351268],[-5.688607871304142e-07]
Train,[-0.01763734697435124],[-5.688607871322355e-07]
Train,[-0.018686172854403535],[-0.010823945532928939]
Train,[-0.005611674681219942],[-0.03225642570605386]
Train,[-0.00559842486831026],[7.900587201402797e-05]
Train,[-0.005598424868310278],[7.900587201395693e-05]
Train,[-0.00553800140134591],[-0.01692222211298195]
Train,[-0.0057770407398824355],[0.00021839714942577227]
Train,[-0.005552693769442939],[0.03183374883540315]
Train,[-0.005693396220150575],[0.020468388897137785]
Train,[-0.005740205944960601],[-0.00022558532345777192]
Train,[-0.005617288863620747],[0.034430140265059306]
Train,[-0.005778845028103203],[-0.00014064887786440584]
Train,[-0.00577890886742333],[-0.00014859676587885906]
