Data,Predicted,Reference
Train,[-0.007173248461090749],[-0.03225818565279794]
Train,[-0.008032022984470288],[-7.769851570889031e-07]
Train,[-0.008032022984470278],[-7.769851570670464e-07]
Train,[-0.009028191999927207],[-0.016908658625533646]
Train,[-0.004146409554248043],[2.147515531627273e-06]
Train,[-0.00462825415368193],[-0.03181998237701682]
Train,[-0.004176152861550137],[-0.020466061799623576]
Train,[-0.0049536963326886965],[-2.2178075255649983e-06]
Train,[-0.005881385639745146],[0.034386940850617984]
Train,[-0.0041420679926880526],[1.3818615606561856e-06]
Train,[-0.004142607263813266],[1.4598582711141459e-06]
Train,[-0.004193227001991098],[-0.004030206474187189]
Train,[-0.004457063221156888],[-9.471188573092583e-17]
Train,[-0.004166310735720215],[5.46414725370726e-18]
Train,[-0.004166662704134988],[1.82138241790242e-18]
Train,[-0.004252687478506298],[1.092829450741452e-17]
Train,[-0.025229380584796676],[2.1475155316309158e-06]
Train,[-0.025989106455823963],[-0.02046606179962359]
Train,[-0.02429235970302983],[-0.03181998237701695]
Train,[-0.024492486718925198],[-2.2178075256323896e-06]
Train,[-0.02240444301212457],[-0.04557838729447085]
Train,[-0.022819084095174427],[1.820191515441475e-06]
Train,[-0.022819084095176977],[1.8201915155289015e-06]
Train,[-0.016818946575685723],[-0.07587621233758134]
Train,[-0.019238705235887624],[-4.1009506176001475e-06]
Train,[-0.019293497493897225],[0.03502305871878561]
Train,[-0.016892007072597234],[0.04596011552868171]
Train,[-0.02262931506356328],[2.452425396471171e-06]
Train,[-0.019239130560332395],[-3.64276483580484e-18]
Train,[-0.020590762168225286],[-1.092829450741452e-16]
Train,[-0.020537229353112675],[-1.3113953408897423e-16]
Train,[-0.02251602262119676],[9.1069120895121e-18]
Train,[-0.005919531573554909],[0.034386940850618]
Train,[-0.004088996766926328],[1.45985827106679e-06]
Train,[-0.004088424850941198],[1.381861560628865e-06]
Train,[-0.004132850055232167],[-0.004030206474187182]
Train,[-0.007974972179639127],[-4.100950617578291e-06]
Train,[-0.007339435862131085],[0.04596011552868179]
Train,[-0.006780419461488757],[0.035023058718785624]
Train,[-0.005662690305527164],[2.4524253964638855e-06]
Train,[-0.008164955639156894],[-0.04635304026034097]
Train,[-0.00829477756795654],[8.766607765741092e-07]
Train,[-0.008294777567952953],[8.766607766032513e-07]
Train,[-0.006055633142273902],[-0.040709636276467155]
Train,[-0.009672202263606572],[5.282009011917018e-17]
Train,[-0.008156460325324806],[-5.46414725370726e-18]
Train,[-0.00811225420671093],[1.82138241790242e-18]
Train,[-0.007230896785384931],[9.471188573092583e-17]
Train,[-0.014008261818796861],[-9.471188573092583e-17]
Train,[-0.013501302907040783],[1.82138241790242e-18]
Train,[-0.01350050874893631],[5.46414725370726e-18]
Train,[-0.013393086667425084],[1.092829450741452e-17]
Train,[-0.017635459053559472],[-3.64276483580484e-18]
Train,[-0.017099675417762736],[-1.3113953408897423e-16]
Train,[-0.0170372597581862],[-1.092829450741452e-16]
Train,[-0.015539422561613463],[9.1069120895121e-18]
Train,[-0.019339137905353264],[5.282009011917018e-17]
Train,[-0.017677111400272987],[1.82138241790242e-18]
Train,[-0.017761916362512824],[-5.46414725370726e-18]
Train,[-0.017195381088667635],[9.471188573092583e-17]
Train,[-0.017622667472116115],[-0.026621245462551197]
Train,[-0.019346811257924507],[-5.688607871304142e-07]
Train,[-0.01934681125792544],[-5.688607871322355e-07]
Train,[-0.015919091575681207],[-0.010823945532928939]
Train,[-0.0071624592589561425],[-0.03225642570605386]
Train,[-0.00801232278169043],[7.900587201402797e-05]
Train,[-0.008012322781690437],[7.900587201395693e-05]
Train,[-0.009021159917239783],[-0.01692222211298195]
Train,[-0.004183672757099212],[0.00021839714942577227]
Train,[-0.006471486934589034],[0.03183374883540315]
Train,[-0.005317904728211651],[0.020468388897137785]
Train,[-0.005024224625621941],[-0.00022558532345777192]
Train,[-0.005882301923865229],[0.034430140265059306]
Train,[-0.004157924244291662],[-0.00014064887786440584]
Train,[-0.004157697986258753],[-0.00014859676587885906]
Train,[-0.004193523664916366],[-0.004036594411177927]
Train,[-0.004472371111808266],[-1.4753197585009603e-16]
Train,[-0.004168912541424449],[2.185658901482904e-17]
Train,[-0.004168937577491832],[1.457105934321936e-17]
Train,[-0.0042499660291927515],[1.639244176112178e-17]
Train,[-0.025154667645861467],[0.0002183971494257249]
Train,[-0.02163650053344503],[0.020468388897137844]
Train,[-0.01686254989143864],[0.03183374883540315]
Train,[-0.024285562572365547],[-0.00022558532345770454]
Train,[-0.0224082661690333],[-0.04565742741386274]
Train,[-0.02324900956039458],[-0.00018499056409219296]
Train,[-0.023249009560394548],[-0.00018499056409211466]
Train,[-0.01683833120530453],[-0.07587345187227598]
Train,[-0.019998490812908238],[-0.000417703483878227]
Train,[-0.023109718866598124],[-0.03506887734551717]
Train,[-0.02217234585613578],[-0.04598491259983777]
Train,[-0.023046167437737845],[0.00024937868650868835]
Train,[-0.019167569520304722],[-1.274967692531694e-17]
Train,[-0.020541987986158326],[1.5117474068590086e-16]
Train,[-0.02047576472881186],[1.9853068355136378e-16]
Train,[-0.022348968688924248],[-4.371317802965808e-17]
Train,[-0.0059210685789210645],[0.034430140265059465]
Train,[-0.004103570674616126],[-0.0001485967658787516]
Train,[-0.004103805920688993],[-0.00014064887786438763]
Train,[-0.004131561099221714],[-0.00403659441117794]
Train,[-0.007519140988263093],[-0.00041770348387830354]
Train,[-0.0060258346078792945],[-0.04598491259983788]
Train,[-0.00579812227012674],[-0.03506887734551722]
Train,[-0.00543468359351638],[0.00024937868650867014]
Train,[-0.008176453054882668],[-0.04642098563854254]
Train,[-0.007863272253735358],[-8.929989840338444e-05]
Train,[-0.007863272253735298],[-8.92998984034318e-05]
Train,[-0.00606020430337822],[-0.04070587366488182]
Train,[-0.009769561125996007],[8.742635605931616e-17]
