Data,Predicted,Reference
Train,[-0.013670166135201228],[-0.03225818565279794]
Train,[-0.014303697878709987],[-7.769851570889031e-07]
Train,[-0.014303697878710473],[-7.769851570670464e-07]
Train,[-0.014756765078693392],[-0.016908658625533646]
Train,[-0.01118065042134759],[2.147515531627273e-06]
Train,[-0.011581193056334477],[-0.03181998237701682]
Train,[-0.010848702192117718],[-0.020466061799623576]
Train,[-0.011913730209899914],[-2.2178075255649983e-06]
Train,[-0.013983528558210799],[0.034386940850617984]
Train,[-0.01116594857296061],[1.3818615606561856e-06]
Train,[-0.011165943682970558],[1.4598582711141459e-06]
Train,[-0.01095536157339689],[-0.004030206474187189]
Train,[-0.011275262782284039],[-9.471188573092583e-17]
Train,[-0.011150873108941936],[5.46414725370726e-18]
Train,[-0.01115087273878274],[1.82138241790242e-18]
Train,[-0.011277851467412706],[1.092829450741452e-17]
Train,[-0.025537432125323726],[2.1475155316309158e-06]
Train,[-0.02648128377828766],[-0.02046606179962359]
Train,[-0.02450432190680852],[-0.03181998237701695]
Train,[-0.023596283425187957],[-2.2178075256323896e-06]
Train,[-0.02238936640140302],[-0.04557838729447085]
Train,[-0.02362542204707666],[1.820191515441475e-06]
Train,[-0.023625422047077516],[1.8201915155289015e-06]
Train,[-0.016844097705183744],[-0.07587621233758134]
Train,[-0.019390510758275293],[-4.1009506176001475e-06]
Train,[-0.019185967648521787],[0.03502305871878561]
Train,[-0.017194946253804713],[0.04596011552868171]
Train,[-0.02340854830929906],[2.452425396471171e-06]
Train,[-0.019026401844679002],[-3.64276483580484e-18]
Train,[-0.020944485251005843],[-1.092829450741452e-16]
Train,[-0.020916616774218307],[-1.3113953408897423e-16]
Train,[-0.023006495803899466],[9.1069120895121e-18]
Train,[-0.013877009826360639],[0.034386940850618]
Train,[-0.010892762294540703],[1.45985827106679e-06]
Train,[-0.010892767524311396],[1.381861560628865e-06]
Train,[-0.010669574064458407],[-0.004030206474187182]
Train,[-0.013383312373988319],[-4.100950617578291e-06]
Train,[-0.014566294249189737],[0.04596011552868179]
Train,[-0.013598020568653344],[0.035023058718785624]
Train,[-0.011760289746157625],[2.4524253964638855e-06]
Train,[-0.01402698085031866],[-0.04635304026034097]
Train,[-0.013553016164036341],[8.766607765741092e-07]
Train,[-0.013553016164035382],[8.766607766032513e-07]
Train,[-0.01231051629539769],[-0.040709636276467155]
Train,[-0.0147568289724152],[5.282009011917018e-17]
Train,[-0.013707817247988245],[-5.46414725370726e-18]
Train,[-0.013694391263765041],[1.82138241790242e-18]
Train,[-0.012880706011345019],[9.471188573092583e-17]
Train,[-0.006810156447087774],[-9.471188573092583e-17]
Train,[-0.006483287078652473],[1.82138241790242e-18]
