Data,Predicted,Reference
Train,[0.008139210536564691],[-0.03225818565279794]
Train,[0.008139210536564717],[-7.769851570889031e-07]
Train,[0.008139210536564714],[-7.769851570670464e-07]
Train,[0.008139210536564695],[-0.016908658625533646]
Train,[0.008139210536564703],[2.147515531627273e-06]
Train,[0.00813921053656471],[-0.03181998237701682]
Train,[0.00813921053656472],[-0.020466061799623576]
Train,[0.008139210536564724],[-2.2178075255649983e-06]
Train,[0.008139210536564724],[0.034386940850617984]
Train,[0.008139210536564717],[1.3818615606561856e-06]
Train,[0.00813921053656468],[1.4598582711141459e-06]
Train,[0.008139210536564695],[-0.004030206474187189]
Train,[0.008139210536564677],[-9.471188573092583e-17]
Train,[0.008139210536564717],[5.46414725370726e-18]
Train,[0.00813921053656472],[1.82138241790242e-18]
Train,[0.008139210536564695],[1.092829450741452e-17]
Train,[-0.0635761198327961],[2.1475155316309158e-06]
Train,[-0.06357611983279611],[-0.02046606179962359]
Train,[-0.06357611983279608],[-0.03181998237701695]
Train,[-0.06357611983279611],[-2.2178075256323896e-06]
Train,[-0.06357611983279612],[-0.04557838729447085]
Train,[-0.06357611983279612],[1.820191515441475e-06]
Train,[-0.0635761198327961],[1.8201915155289015e-06]
Train,[-0.0635761198327961],[-0.07587621233758134]
Train,[-0.06357611983279612],[-4.1009506176001475e-06]
Train,[-0.06357611983279612],[0.03502305871878561]
Train,[-0.06357611983279612],[0.04596011552868171]
Train,[-0.06357611983279612],[2.452425396471171e-06]
Train,[-0.06357611983279611],[-3.64276483580484e-18]
Train,[-0.06357611983279612],[-1.092829450741452e-16]
Train,[-0.06357611983279612],[-1.3113953408897423e-16]
Train,[-0.0635761198327961],[9.1069120895121e-18]
Train,[0.009016431133036783],[0.034386940850618]
Train,[0.009016431133036787],[1.45985827106679e-06]
Train,[0.009016431133036773],[1.381861560628865e-06]
Train,[0.009016431133036762],[-0.004030206474187182]
Train,[0.009016431133036747],[-4.100950617578291e-06]
Train,[0.009016431133036766],[0.04596011552868179]
Train,[0.009016431133036747],[0.035023058718785624]
Train,[0.009016431133036754],[2.4524253964638855e-06]
Train,[0.00901643113303678],[-0.04635304026034097]
Train,[0.009016431133036802],[8.766607765741092e-07]
Train,[0.009016431133036762],[8.766607766032513e-07]
Train,[0.009016431133036776],[-0.040709636276467155]
Train,[0.009016431133036743],[5.282009011917018e-17]
Train,[0.009016431133036766],[-5.46414725370726e-18]
Train,[0.009016431133036793],[1.82138241790242e-18]
Train,[0.00901643113303677],[9.471188573092583e-17]
Train,[0.04375879904779415],[-9.471188573092583e-17]
