Data,Predicted,Reference
Train,[-0.0006116222922765618],[-0.03225818565279794]
Train,[-0.0006116222922765654],[-7.769851570889031e-07]
Train,[-0.00061162229227656],[-7.769851570670464e-07]
Train,[-0.0006116222922765527],[-0.016908658625533646]
Train,[-0.0006116222922765637],[2.147515531627273e-06]
Train,[-0.0006116222922765654],[-0.03181998237701682]
Train,[-0.0006116222922765709],[-0.020466061799623576]
Train,[-0.0006116222922765581],[-2.2178075255649983e-06]
Train,[-0.00061162229227658],[0.034386940850617984]
Train,[-0.0006116222922765709],[1.3818615606561856e-06]
Train,[-0.0006116222922766074],[1.4598582711141459e-06]
Train,[-0.0006116222922765581],[-0.004030206474187189]
Train,[-0.0006116222922765855],[-9.471188573092583e-17]
Train,[-0.0006116222922765782],[5.46414725370726e-18]
Train,[-0.0006116222922765581],[1.82138241790242e-18]
Train,[-0.0006116222922765782],[1.092829450741452e-17]
Train,[-0.0068839707050327775],[2.1475155316309158e-06]
Train,[-0.006883970705032763],[-0.02046606179962359]
Train,[-0.0068839707050327515],[-0.03181998237701695]
Train,[-0.006883970705032755],[-2.2178075256323896e-06]
Train,[-0.006883970705032781],[-0.04557838729447085]
Train,[-0.006883970705032768],[1.820191515441475e-06]
Train,[-0.006883970705032733],[1.8201915155289015e-06]
Train,[-0.006883970705032771],[-0.07587621233758134]
Train,[-0.00688397070503277],[-4.1009506176001475e-06]
Train,[-0.006883970705032766],[0.03502305871878561]
Train,[-0.006883970705032759],[0.04596011552868171]
Train,[-0.0068839707050327775],[2.452425396471171e-06]
Train,[-0.006883970705032763],[-3.64276483580484e-18]
Train,[-0.0068839707050327645],[-1.092829450741452e-16]
Train,[-0.0068839707050327645],[-1.3113953408897423e-16]
Train,[-0.006883970705032759],[9.1069120895121e-18]
Train,[-0.0006645181608668915],[0.034386940850618]
Train,[-0.0006645181608668661],[1.45985827106679e-06]
Train,[-0.0006645181608668679],[1.381861560628865e-06]
Train,[-0.0006645181608668824],[-0.004030206474187182]
Train,[-0.0006645181608668879],[-4.100950617578291e-06]
Train,[-0.0006645181608668915],[0.04596011552868179]
Train,[-0.0006645181608668879],[0.035023058718785624]
Train,[-0.0006645181608668861],[2.4524253964638855e-06]
Train,[-0.0006645181608668861],[-0.04635304026034097]
Train,[-0.000664518160866857],[8.766607765741092e-07]
Train,[-0.000664518160866897],[8.766607766032513e-07]
Train,[-0.0006645181608668642],[-0.040709636276467155]
Train,[-0.0006645181608668733],[5.282009011917018e-17]
Train,[-0.0006645181608668806],[-5.46414725370726e-18]
Train,[-0.0006645181608668661],[1.82138241790242e-18]
Train,[-0.0006645181608668696],[9.471188573092583e-17]
Train,[-0.007346967445546596],[-9.471188573092583e-17]
Train,[-0.007346967445546621],[1.82138241790242e-18]
Train,[-0.007346967445546615],[5.46414725370726e-18]
Train,[-0.007346967445546617],[1.092829450741452e-17]
Train,[-0.007346967445546608],[-3.64276483580484e-18]
Train,[-0.007346967445546626],[-1.3113953408897423e-16]
Train,[-0.007346967445546613],[-1.092829450741452e-16]
Train,[-0.007346967445546606],[9.1069120895121e-18]
Train,[-0.007346967445546629],[5.282009011917018e-17]
Train,[-0.007346967445546608],[1.82138241790242e-18]
Train,[-0.007346967445546608],[-5.46414725370726e-18]
Train,[-0.007346967445546622],[9.471188573092583e-17]
Train,[-0.007346967445546611],[-0.026621245462551197]
