Data,Predicted,Reference
Train,[-0.0006214756125671204],[-0.03225818565279794]
Train,[-0.0006214756125670931],[-7.769851570889031e-07]
Train,[-0.0006214756125670823],[-7.769851570670464e-07]
Train,[-0.0006214756125671204],[-0.016908658625533646]
Train,[-0.0006214756125671278],[2.147515531627273e-06]
Train,[-0.0006214756125671168],[-0.03181998237701682]
Train,[-0.0006214756125671314],[-0.020466061799623576]
Train,[-0.0006214756125671332],[-2.2178075255649983e-06]
Train,[-0.0006214756125671005],[0.034386940850617984]
Train,[-0.0006214756125671442],[1.3818615606561856e-06]
Train,[-0.0006214756125671132],[1.4598582711141459e-06]
Train,[-0.0006214756125671077],[-0.004030206474187189]
Train,[-0.0006214756125671005],[-9.471188573092583e-17]
Train,[-0.0006214756125671496],[5.46414725370726e-18]
Train,[-0.0006214756125670986],[1.82138241790242e-18]
Train,[-0.0006214756125671132],[1.092829450741452e-17]
Train,[-0.006889778800746417],[2.1475155316309158e-06]
Train,[-0.006889778800746428],[-0.02046606179962359]
Train,[-0.006889778800746423],[-0.03181998237701695]
Train,[-0.0068897788007463824],[-2.2178075256323896e-06]
Train,[-0.006889778800746415],[-0.04557838729447085]
Train,[-0.006889778800746397],[1.820191515441475e-06]
Train,[-0.00688977880074641],[1.8201915155289015e-06]
Train,[-0.006889778800746397],[-0.07587621233758134]
Train,[-0.006889778800746384],[-4.1009506176001475e-06]
Train,[-0.006889778800746405],[0.03502305871878561]
Train,[-0.00688977880074641],[0.04596011552868171]
Train,[-0.006889778800746419],[2.452425396471171e-06]
Train,[-0.006889778800746421],[-3.64276483580484e-18]
Train,[-0.0068897788007464085],[-1.092829450741452e-16]
Train,[-0.006889778800746448],[-1.3113953408897423e-16]
Train,[-0.00688977880074641],[9.1069120895121e-18]
Train,[-0.0006743373670340609],[0.034386940850618]
Train,[-0.0006743373670340336],[1.45985827106679e-06]
Train,[-0.0006743373670340754],[1.381861560628865e-06]
Train,[-0.0006743373670340591],[-0.004030206474187182]
Train,[-0.0006743373670340464],[-4.100950617578291e-06]
Train,[-0.000674337367034039],[0.04596011552868179]
Train,[-0.00067433736703405],[0.035023058718785624]
Train,[-0.0006743373670340282],[2.4524253964638855e-06]
Train,[-0.0006743373670340646],[-0.04635304026034097]
Train,[-0.0006743373670340555],[8.766607765741092e-07]
Train,[-0.0006743373670340336],[8.766607766032513e-07]
Train,[-0.0006743373670340427],[-0.040709636276467155]
Train,[-0.0006743373670340591],[5.282009011917018e-17]
Train,[-0.0006743373670340682],[-5.46414725370726e-18]
Train,[-0.00067433736703405],[1.82138241790242e-18]
Train,[-0.0006743373670340555],[9.471188573092583e-17]
Train,[-0.0073524769408524655],[-9.471188573092583e-17]
Train,[-0.0073524769408525],[1.82138241790242e-18]
Train,[-0.007352476940852471],[5.46414725370726e-18]
Train,[-0.0073524769408525],[1.092829450741452e-17]
Train,[-0.007352476940852491],[-3.64276483580484e-18]
Train,[-0.007352476940852507],[-1.3113953408897423e-16]
Train,[-0.0073524769408524725],[-1.092829450741452e-16]
Train,[-0.007352476940852469],[9.1069120895121e-18]
Train,[-0.007352476940852487],[5.282009011917018e-17]
Train,[-0.0073524769408525],[1.82138241790242e-18]
Train,[-0.0073524769408525],[-5.46414725370726e-18]
Train,[-0.007352476940852484],[9.471188573092583e-17]
Train,[-0.007352476940852511],[-0.026621245462551197]
Train,[-0.007352476940852474],[-5.688607871304142e-07]
Train,[-0.007352476940852484],[-5.688607871322355e-07]
Train,[-0.007352476940852487],[-0.010823945532928939]
Train,[-0.0006195129937137124],[-0.03225642570605386]
Train,[-0.0006195129937137215],[7.900587201402797e-05]
Train,[-0.0006195129937137451],[7.900587201395693e-05]
Train,[-0.0006195129937137397],[-0.01692222211298195]
Train,[-0.0006195129937137014],[0.00021839714942577227]
Train,[-0.0006195129937137306],[0.03183374883540315]
Train,[-0.0006195129937137306],[0.020468388897137785]
Train,[-0.0006195129937137178],[-0.00022558532345777192]
Train,[-0.0006195129937137488],[0.034430140265059306]
Train,[-0.0006195129937137451],[-0.00014064887786440584]
Train,[-0.0006195129937137633],[-0.00014859676587885906]
Train,[-0.0006195129937137506],[-0.004036594411177927]
Train,[-0.0006195129937137378],[-1.4753197585009603e-16]
Train,[-0.0006195129937137178],[2.185658901482904e-17]
Train,[-0.0006195129937137378],[1.457105934321936e-17]
Train,[-0.0006195129937137287],[1.639244176112178e-17]
Train,[-0.0069131981716944865],[0.0002183971494257249]
Train,[-0.006913198171694463],[0.020468388897137844]
Train,[-0.00691319817169449],[0.03183374883540315]
Train,[-0.006913198171694481],[-0.00022558532345770454]
Train,[-0.0069131981716944926],[-0.04565742741386274]
Train,[-0.006913198171694494],[-0.00018499056409219296]
Train,[-0.0069131981716944865],[-0.00018499056409211466]
Train,[-0.0069131981716944865],[-0.07587345187227598]
Train,[-0.006913198171694481],[-0.000417703483878227]
Train,[-0.006913198171694498],[-0.03506887734551717]
Train,[-0.006913198171694501],[-0.04598491259983777]
Train,[-0.006913198171694496],[0.00024937868650868835]
Train,[-0.006913198171694483],[-1.274967692531694e-17]
Train,[-0.0069131981716945064],[1.5117474068590086e-16]
Train,[-0.0069131981716944865],[1.9853068355136378e-16]
Train,[-0.006913198171694494],[-4.371317802965808e-17]
Train,[-0.0006733895398817917],[0.034430140265059465]
Train,[-0.0006733895398817552],[-0.0001485967658787516]
Train,[-0.0006733895398817608],[-0.00014064887786438763]
Train,[-0.0006733895398817461],[-0.00403659441117794]
Train,[-0.0006733895398817571],[-0.00041770348387830354]
Train,[-0.0006733895398817589],[-0.04598491259983788]
Train,[-0.0006733895398817189],[-0.03506887734551722]
Train,[-0.000673389539881748],[0.00024937868650867014]
Train,[-0.0006733895398817389],[-0.04642098563854254]
Train,[-0.0006733895398817699],[-8.929989840338444e-05]
Train,[-0.0006733895398817771],[-8.92998984034318e-05]
Train,[-0.0006733895398817444],[-0.04070587366488182]
Train,[-0.0006733895398817662],[8.742635605931616e-17]
Train,[-0.000673389539881748],[-3.096350110434114e-17]
Train,[-0.0006733895398817608],[-2.367797143273146e-17]
Train,[-0.0006733895398817825],[1.274967692531694e-16]
Train,[-0.0073470972783429515],[-1.4753197585009603e-16]
Train,[-0.007347097278342945],[1.457105934321936e-17]
Train,[-0.007347097278342917],[2.185658901482904e-17]
Train,[-0.007347097278342944],[1.639244176112178e-17]
Train,[-0.00734709727834294],[-1.274967692531694e-17]
Train,[-0.007347097278342933],[1.9853068355136378e-16]
Train,[-0.0073470972783429185],[1.5117474068590086e-16]
Train,[-0.00734709727834295],[-4.371317802965808e-17]
Train,[-0.007347097278342927],[8.742635605931616e-17]
Train,[-0.007347097278342922],[-2.367797143273146e-17]
Train,[-0.007347097278342935],[-3.096350110434114e-17]
Train,[-0.007347097278342935],[1.274967692531694e-16]
Train,[-0.007347097278342933],[-0.026634468268519597]
Train,[-0.0073470972783429315],[5.783038463533851e-05]
Train,[-0.0073470972783429315],[5.7830384635351266e-05]
Train,[-0.0073470972783429254],[-0.010832636499721451]
Train,[-0.000621886435736208],[-0.032258451158275296]
Train,[-0.000621886435736208],[-1.3271416039564208e-05]
Train,[-0.0006218864357362171],[-1.3271416039666206e-05]
Train,[-0.000621886435736228],[-0.016905929475836967]
Train,[-0.0006218864357362353],[3.667982742938658e-05]
Train,[-0.0006218864357362226],[-0.03181689782676138]
Train,[-0.0006218864357362426],[-0.020465344205368968]
