Data,Predicted,Reference
Train,[-0.0011689248280174083],[-0.03225818565279794]
Train,[-0.002872360579306647],[-7.769851570889031e-07]
Train,[-0.0028723605793066287],[-7.769851570670464e-07]
Train,[-0.004831894398444951],[-0.016908658625533646]
Train,[0.00237510887564508],[2.147515531627273e-06]
Train,[0.0020024574301753793],[-0.03181998237701682]
Train,[0.0020024574301753723],[-0.020466061799623576]
Train,[0.001258076447836209],[-2.2178075255649983e-06]
Train,[0.0023358155185133067],[0.034386940850617984]
Train,[0.002396898714341316],[1.3818615606561856e-06]
Train,[0.0023968987143413267],[1.4598582711141459e-06]
Train,[0.002076896162454382],[-0.004030206474187189]
Train,[0.0022316097118513876],[-9.471188573092583e-17]
Train,[0.00241898876445288],[5.46414725370726e-18]
Train,[0.002418988764452847],[1.82138241790242e-18]
Train,[0.002224758089789717],[1.092829450741452e-17]
Train,[-0.008289235543266115],[2.1475155316309158e-06]
Train,[-0.008520499389445017],[-0.02046606179962359]
Train,[-0.008520499389444994],[-0.03181998237701695]
Train,[-0.008982454954332685],[-2.2178075256323896e-06]
Train,[-0.009647754388169795],[-0.04557838729447085]
Train,[-0.008970508018333405],[1.820191515441475e-06]
Train,[-0.008970508018333394],[1.8201915155289015e-06]
Train,[-0.008513279089985787],[-0.07587621233758134]
Train,[-0.010666659224817542],[-4.1009506176001475e-06]
Train,[-0.009758622738111398],[0.03502305871878561]
Train,[-0.009758622738111436],[0.04596011552868171]
Train,[-0.009051909484694512],[2.452425396471171e-06]
Train,[-0.011008092851241706],[-3.64276483580484e-18]
Train,[-0.01003792722542235],[-1.092829450741452e-16]
Train,[-0.010037927225422339],[-1.3113953408897423e-16]
Train,[-0.00926245968542842],[9.1069120895121e-18]
Train,[0.0023218927919318056],[0.034386940850618]
Train,[0.002382734974646193],[1.45985827106679e-06]
Train,[0.0023827349746461707],[1.381861560628865e-06]
Train,[0.0020639950418865492],[-0.004030206474187182]
Train,[-0.0014547608208923932],[-4.100950617578291e-06]
Train,[2.648023317457748e-06],[0.04596011552868179]
Train,[2.6480233174613912e-06],[0.035023058718785624]
Train,[0.0011369307982160314],[2.4524253964638855e-06]
Train,[-0.003464373648667891],[-0.04635304026034097]
Train,[-0.0016813815198698674],[8.766607765741092e-07]
Train,[-0.0016813815198698293],[8.766607766032513e-07]
Train,[-0.00018157000814807543],[-0.040709636276467155]
Train,[-0.004110017746982603],[5.282009011917018e-17]
Train,[-0.0022422865456392816],[-5.46414725370726e-18]
Train,[-0.0022422865456393107],[1.82138241790242e-18]
Train,[-0.0006444312037413565],[9.471188573092583e-17]
Train,[-0.003388435110405105],[-9.471188573092583e-17]
Train,[-0.0032880208574782655],[1.82138241790242e-18]
Train,[-0.0032880208574782564],[5.46414725370726e-18]
Train,[-0.0033921068149051926],[1.092829450741452e-17]
Train,[-0.005659306958575921],[-3.64276483580484e-18]
Train,[-0.004821555347631749],[-1.3113953408897423e-16]
Train,[-0.004821555347631767],[-1.092829450741452e-16]
Train,[-0.004151928261724528],[9.1069120895121e-18]
Train,[-0.0067930321080686175],[5.282009011917018e-17]
Train,[-0.005788171870231401],[1.82138241790242e-18]
Train,[-0.0057881718702313826],[-5.46414725370726e-18]
Train,[-0.0049285078576934965],[9.471188573092583e-17]
Train,[-0.007153722174868773],[-0.026621245462551197]
Train,[-0.006105888682798187],[-5.688607871304142e-07]
Train,[-0.006105888682798172],[-5.688607871322355e-07]
Train,[-0.005195715122015903],[-0.010823945532928939]
Train,[-0.0011515002547018147],[-0.03225642570605386]
Train,[-0.00285781484886856],[7.900587201402797e-05]
Train,[-0.0028578148488685616],[7.900587201395693e-05]
Train,[-0.004822220088239063],[-0.01692222211298195]
Train,[0.002377301096374009],[0.00021839714942577227]
Train,[0.002006451986343845],[0.03183374883540315]
Train,[0.0020064519863438415],[0.020468388897137785]
Train,[0.0012614101132627858],[-0.00022558532345777192]
Train,[0.0023334371588975985],[0.034430140265059306]
Train,[0.002398398731921841],[-0.00014064887786440584]
Train,[0.002398398731921823],[-0.00014859676587885906]
Train,[0.0020798124121734073],[-0.004036594411177927]
Train,[0.002228260202086641],[-1.4753197585009603e-16]
Train,[0.002419473868912765],[2.185658901482904e-17]
Train,[0.0024194738689127943],[1.457105934321936e-17]
Train,[0.002226636613810674],[1.639244176112178e-17]
Train,[-0.008318497897649501],[0.0002183971494257249]
Train,[-0.008548049090486341],[0.020468388897137844]
Train,[-0.008548049090486337],[0.03183374883540315]
Train,[-0.009009221157652],[-0.00022558532345770454]
Train,[-0.009680916944230077],[-0.04565742741386274]
Train,[-0.009001871984290224],[-0.00018499056409219296]
Train,[-0.009001871984290224],[-0.00018499056409211466]
Train,[-0.008543615886192433],[-0.07587345187227598]
Train,[-0.01070069594509998],[-0.000417703483878227]
Train,[-0.009790527935166379],[-0.03506887734551717]
Train,[-0.009790527935166344],[-0.04598491259983777]
Train,[-0.009082324855483137],[0.00024937868650868835]
