Data,Predicted,Reference
Train,[-0.00035591026481627733],[-0.03225818565279794]
Train,[-0.0003559102648162646],[-7.769851570889031e-07]
Train,[-0.00035591026481628096],[-7.769851570670464e-07]
Train,[-0.0003559102648162828],[-0.016908658625533646]
Train,[-0.0003559102648162591],[2.147515531627273e-06]
Train,[-0.0003559102648162755],[-0.03181998237701682]
Train,[-0.0003559102648162682],[-0.020466061799623576]
Train,[-0.0003559102648162664],[-2.2178075255649983e-06]
Train,[-0.0003559102648162555],[0.034386940850617984]
Train,[-0.0003559102648162737],[1.3818615606561856e-06]
Train,[-0.00035591026481624817],[1.4598582711141459e-06]
Train,[-0.00035591026481628823],[-0.004030206474187189]
Train,[-0.0003559102648162791],[-9.471188573092583e-17]
Train,[-0.0003559102648162591],[5.46414725370726e-18]
Train,[-0.0003559102648162646],[1.82138241790242e-18]
Train,[-0.0003559102648162591],[1.092829450741452e-17]
Train,[-0.009470602845109002],[2.1475155316309158e-06]
Train,[-0.009470602845109033],[-0.02046606179962359]
Train,[-0.009470602845109033],[-0.03181998237701695]
Train,[-0.00947060284510903],[-2.2178075256323896e-06]
Train,[-0.00947060284510903],[-0.04557838729447085]
Train,[-0.009470602845109045],[1.820191515441475e-06]
Train,[-0.009470602845109026],[1.8201915155289015e-06]
Train,[-0.009470602845109026],[-0.07587621233758134]
Train,[-0.00947060284510901],[-4.1009506176001475e-06]
Train,[-0.009470602845109016],[0.03502305871878561]
Train,[-0.009470602845108997],[0.04596011552868171]
Train,[-0.00947060284510902],[2.452425396471171e-06]
Train,[-0.009470602845109028],[-3.64276483580484e-18]
Train,[-0.009470602845109014],[-1.092829450741452e-16]
Train,[-0.00947060284510901],[-1.3113953408897423e-16]
Train,[-0.009470602845109038],[9.1069120895121e-18]
Train,[-0.0003671856451453004],[0.034386940850618]
Train,[-0.00036718564514528584],[1.45985827106679e-06]
Train,[-0.00036718564514528037],[1.381861560628865e-06]
Train,[-0.00036718564514528584],[-0.004030206474187182]
Train,[-0.0003671856451452822],[-4.100950617578291e-06]
Train,[-0.000367185645145264],[0.04596011552868179]
Train,[-0.00036718564514528763],[0.035023058718785624]
Train,[-0.0003671856451452694],[2.4524253964638855e-06]
Train,[-0.0003671856451453004],[-0.04635304026034097]
Train,[-0.0003671856451453004],[8.766607765741092e-07]
Train,[-0.00036718564514526215],[8.766607766032513e-07]
Train,[-0.00036718564514528584],[-0.040709636276467155]
Train,[-0.00036718564514528584],[5.282009011917018e-17]
Train,[-0.0003671856451452986],[-5.46414725370726e-18]
Train,[-0.0003671856451453113],[1.82138241790242e-18]
Train,[-0.00036718564514527126],[9.471188573092583e-17]
Train,[-0.005158711025118459],[-9.471188573092583e-17]
Train,[-0.005158711025118436],[1.82138241790242e-18]
Train,[-0.005158711025118436],[5.46414725370726e-18]
Train,[-0.005158711025118421],[1.092829450741452e-17]
Train,[-0.005158711025118459],[-3.64276483580484e-18]
Train,[-0.005158711025118441],[-1.3113953408897423e-16]
Train,[-0.005158711025118434],[-1.092829450741452e-16]
Train,[-0.005158711025118479],[9.1069120895121e-18]
Train,[-0.005158711025118451],[5.282009011917018e-17]
Train,[-0.005158711025118476],[1.82138241790242e-18]
Train,[-0.0051587110251184645],[-5.46414725370726e-18]
Train,[-0.005158711025118454],[9.471188573092583e-17]
Train,[-0.005158711025118451],[-0.026621245462551197]
Train,[-0.005158711025118446],[-5.688607871304142e-07]
Train,[-0.005158711025118434],[-5.688607871322355e-07]
Train,[-0.0051587110251184445],[-0.010823945532928939]
Train,[-0.00035554233257578],[-0.03225642570605386]
Train,[-0.0003555423325757818],[7.900587201402797e-05]
Train,[-0.0003555423325757854],[7.900587201395693e-05]
Train,[-0.0003555423325757836],[-0.01692222211298195]
Train,[-0.00035554233257575446],[0.00021839714942577227]
Train,[-0.0003555423325757672],[0.03183374883540315]
Train,[-0.00035554233257575446],[0.020468388897137785]
Train,[-0.0003555423325757745],[-0.00022558532345777192]
Train,[-0.0003555423325757508],[0.034430140265059306]
Train,[-0.0003555423325757618],[-0.00014064887786440584]
Train,[-0.0003555423325757709],[-0.00014859676587885906]
Train,[-0.00035554233257579273],[-0.004036594411177927]
Train,[-0.0003555423325757763],[-1.4753197585009603e-16]
Train,[-0.0003555423325757581],[2.185658901482904e-17]
Train,[-0.0003555423325757891],[1.457105934321936e-17]
Train,[-0.0003555423325757618],[1.639244176112178e-17]
Train,[-0.009496432436732188],[0.0002183971494257249]
Train,[-0.009496432436732174],[0.020468388897137844]
Train,[-0.009496432436732195],[0.03183374883540315]
Train,[-0.009496432436732144],[-0.00022558532345770454]
Train,[-0.009496432436732195],[-0.04565742741386274]
Train,[-0.009496432436732148],[-0.00018499056409219296]
Train,[-0.009496432436732162],[-0.00018499056409211466]
Train,[-0.009496432436732177],[-0.07587345187227598]
Train,[-0.009496432436732172],[-0.000417703483878227]
Train,[-0.009496432436732169],[-0.03506887734551717]
Train,[-0.009496432436732182],[-0.04598491259983777]
Train,[-0.009496432436732203],[0.00024937868650868835]
Train,[-0.009496432436732188],[-1.274967692531694e-17]
