Time,Iteration,Cost,Parameters
Sat Aug 24 23:46:44 2024,0,0.42390654463764854,[-2.90091371  2.2351649  -2.12654937 -0.11426129  0.55161734 -2.77237871
  3.07085472  2.18733172  1.18325025 -1.06421335]
Sat Aug 24 23:48:34 2024,1,0.42740657986633496,[-2.89807874  2.23799987 -2.12938435 -0.11142632  0.54878237 -2.77521368
  3.06801975  2.18449674  1.18041528 -1.06704832]
Sat Aug 24 23:50:24 2024,2,0.42795614285598477,[-2.89631103  2.23623217 -2.13115205 -0.11319402  0.54701466 -2.77344598
  3.06978745  2.18272904  1.17864757 -1.06881603]
Sat Aug 24 23:52:13 2024,3,0.4270184056571235,[-2.89316122  2.23938197 -2.12800224 -0.11004421  0.54386485 -2.77659579
  3.07293726  2.17957923  1.18179738 -1.06566622]
Sat Aug 24 23:54:03 2024,4,0.42625230690101545,[-2.89062264  2.23684339 -2.12546365 -0.1125828   0.54640344 -2.7740572
  3.07547585  2.17704064  1.18433597 -1.06820481]
Sat Aug 24 23:55:54 2024,5,0.42862133415977594,[-2.88831988  2.23914614 -2.1231609  -0.11028004  0.54410069 -2.77175444
  3.07317309  2.17473788  1.18663872 -1.06590205]
Sat Aug 24 23:57:45 2024,6,0.4261608723017527,[-2.8863944   2.24107162 -2.12123542 -0.11220552  0.54217521 -2.76982896
  3.07509857  2.1728124   1.1885642  -1.06397657]
Sat Aug 24 23:59:35 2024,7,0.4249107770079994,[-2.88380871  2.23848593 -2.12382111 -0.10961983  0.5447609  -2.76724327
  3.07768426  2.17539809  1.18597851 -1.06656226]
Sun Aug 25 00:01:25 2024,8,0.42812286546118117,[-2.88042298  2.24187166 -2.12043538 -0.1062341   0.54137517 -2.76385754
  3.08106999  2.17878382  1.18936425 -1.06317653]
Sun Aug 25 00:03:16 2024,9,0.42630022546060975,[-2.87731627  2.24497837 -2.12354208 -0.10934081  0.53826846 -2.76075084
  3.07796328  2.17567712  1.19247095 -1.06628323]
Sun Aug 25 00:05:06 2024,10,0.43035852449028844,[-2.87450738  2.24216947 -2.12073318 -0.11214971  0.54107736 -2.75794194
  3.07515439  2.17848601  1.19527985 -1.06347434]
Sun Aug 25 00:06:55 2024,11,0.4288789763702662,[-2.87129335  2.2453835  -2.11751916 -0.11536373  0.53786333 -2.75472791
  3.07836841  2.17527199  1.19849387 -1.06668836]
