Data,Predicted,Reference
Train,[-0.016297787886499132],[-0.03225818565279794]
Train,[-0.007652322135901826],[-7.769851570889031e-07]
Train,[-0.007652322135873193],[-7.769851570670464e-07]
Train,[-0.021946468290937878],[-0.016908658625533646]
Train,[-0.0009248224964639165],[2.147515531627273e-06]
Train,[-0.010544550921548806],[-0.03181998237701682]
Train,[-0.012266401921826972],[-0.020466061799623576]
Train,[-0.0036557503296623466],[-2.2178075255649983e-06]
Train,[-0.017502281349190726],[0.034386940850617984]
Train,[-0.0002601223426673388],[1.3818615606561856e-06]
Train,[-0.0004675391655018708],[1.4598582711141459e-06]
Train,[-0.012420244289569634],[-0.004030206474187189]
Train,[-0.0014758933810231929],[-9.471188573092583e-17]
Train,[-0.005859124520631022],[5.46414725370726e-18]
Train,[-0.009852549458811647],[1.82138241790242e-18]
Train,[-0.0034575978900449264],[1.092829450741452e-17]
Train,[0.0012110427240005525],[2.1475155316309158e-06]
Train,[-0.005812423606934552],[-0.02046606179962359]
Train,[-0.006336011349183717],[-0.03181998237701695]
Train,[0.007440797613528073],[-2.2178075256323896e-06]
Train,[-0.002422592199275223],[-0.04557838729447085]
Train,[0.002463106861717941],[1.820191515441475e-06]
Train,[0.0024631068616896516],[1.8201915155289015e-06]
Train,[0.0036020270271677046],[-0.07587621233758134]
Train,[0.009822987495732748],[-4.1009506176001475e-06]
Train,[-0.00012722451263710163],[0.03502305871878561]
Train,[-0.0019144941289032642],[0.04596011552868171]
Train,[0.002734023607054735],[2.452425396471171e-06]
Train,[0.01132087323948166],[-3.64276483580484e-18]
Train,[0.01342289440251131],[-1.092829450741452e-16]
Train,[0.013826239588809748],[-1.3113953408897423e-16]
Train,[0.008950529860249188],[9.1069120895121e-18]
Train,[-0.017533663242972307],[0.034386940850618]
Train,[-0.000667655614246326],[1.45985827106679e-06]
Train,[-0.0004579882086954665],[1.381861560628865e-06]
Train,[-0.012781828993756374],[-0.004030206474187182]
Train,[-0.007157149428366784],[-4.100950617578291e-06]
Train,[-0.028634279797863166],[0.04596011552868179]
Train,[-0.020498748027737126],[0.035023058718785624]
Train,[-0.0031420585166039828],[2.4524253964638855e-06]
Train,[-0.01993969089217058],[-0.04635304026034097]
Train,[-0.006130378966834262],[8.766607765741092e-07]
Train,[-0.006130378966866828],[8.766607766032513e-07]
Train,[-0.01709809696652948],[-0.040709636276467155]
Train,[-0.007050068871847684],[5.282009011917018e-17]
Train,[-0.008158939822106824],[-5.46414725370726e-18]
Train,[-0.00846761456699233],[1.82138241790242e-18]
Train,[-0.004586563393800484],[9.471188573092583e-17]
Train,[0.005334306010320243],[-9.471188573092583e-17]
Train,[-0.0021874583084111133],[1.82138241790242e-18]
Train,[0.0024559931407491984],[5.46414725370726e-18]
Train,[0.005510267216745139],[1.092829450741452e-17]
Train,[-0.006693156681731858],[-3.64276483580484e-18]
Train,[-0.0021273477865427653],[-1.3113953408897423e-16]
Train,[-0.002468142381142677],[-1.092829450741452e-16]
Train,[-0.0025540066282514315],[9.1069120895121e-18]
Train,[-0.005253153924852565],[5.282009011917018e-17]
Train,[-0.007200440746761996],[1.82138241790242e-18]
Train,[-0.006880069020016041],[-5.46414725370726e-18]
Train,[-0.0028565690171841987],[9.471188573092583e-17]
Train,[-0.011353476184877215],[-0.026621245462551197]
Train,[-0.005354203729524931],[-5.688607871304142e-07]
Train,[-0.0053542037295223575],[-5.688607871322355e-07]
Train,[-0.01225551439463518],[-0.010823945532928939]
Train,[-0.016262936502439478],[-0.03225642570605386]
Train,[-0.014504558683043558],[7.900587201402797e-05]
Train,[-0.014504558683043041],[7.900587201395693e-05]
Train,[-0.021926727152735262],[-0.01692222211298195]
Train,[-0.008109728166939415],[0.00021839714942577227]
Train,[-0.01956223955628165],[0.03183374883540315]
Train,[-0.017485211262842505],[0.020468388897137785]
