Data,Predicted,Reference
Train,[-0.013881530492779782],[-0.03225818565279794]
Train,[-0.0013388771926631166],[-7.769851570889031e-07]
Train,[-0.0013388771926449484],[-7.769851570670464e-07]
Train,[-0.016011128236959132],[-0.016908658625533646]
Train,[0.00908250421904899],[2.147515531627273e-06]
Train,[-0.0037093473918840894],[-0.03181998237701682]
Train,[-0.002639755633863744],[-0.020466061799623576]
Train,[0.003943344464524792],[-2.2178075255649983e-06]
Train,[-0.007114357466349037],[0.034386940850617984]
Train,[0.009765573273759027],[1.3818615606561856e-06]
Train,[0.009646331966244207],[1.4598582711141459e-06]
Train,[-0.0023052453937684983],[-0.004030206474187189]
Train,[0.001072195062744958],[-9.471188573092583e-17]
Train,[-0.0048994466994263025],[5.46414725370726e-18]
Train,[-0.008342595651937892],[1.82138241790242e-18]
Train,[-0.005123062800443241],[1.092829450741452e-17]
Train,[-0.006664940873263091],[2.1475155316309158e-06]
Train,[-0.020913812647978147],[-0.02046606179962359]
Train,[-0.021717707358895413],[-0.03181998237701695]
Train,[0.0005893323945967669],[-2.2178075256323896e-06]
Train,[-0.027766210621708944],[-0.04557838729447085]
Train,[-0.011925879085926468],[1.820191515441475e-06]
Train,[-0.01192587908599117],[1.8201915155289015e-06]
Train,[-0.03010912239425186],[-0.07587621233758134]
Train,[-0.01708688305585573],[-4.1009506176001475e-06]
Train,[-0.030490491005084684],[0.03502305871878561]
Train,[-0.029136902331197808],[0.04596011552868171]
Train,[-0.012408028509399876],[2.452425396471171e-06]
Train,[-0.013021676961175234],[-3.64276483580484e-18]
Train,[-0.007037024777850671],[-1.092829450741452e-16]
Train,[-0.006612441659341016],[-1.3113953408897423e-16]
Train,[-0.008364818253262468],[9.1069120895121e-18]
Train,[-0.007000812011683559],[0.034386940850618]
Train,[0.009801422158756484],[1.45985827106679e-06]
Train,[0.009919165618093743],[1.381861560628865e-06]
Train,[-0.0022089733158543973],[-0.004030206474187182]
Train,[0.012983205241218614],[-4.100950617578291e-06]
Train,[-0.00437992950894088],[0.04596011552868179]
Train,[-0.001595003209925969],[0.035023058718785624]
Train,[0.014615664980571852],[2.4524253964638855e-06]
Train,[-0.0006719117283238078],[-0.04635304026034097]
Train,[0.01367752429624011],[8.766607765741092e-07]
Train,[0.01367752429621751],[8.766607766032513e-07]
Train,[0.006710173903440262],[-0.040709636276467155]
Train,[0.004970149400318289],[5.282009011917018e-17]
Train,[0.002517845795070643],[-5.46414725370726e-18]
Train,[0.0021474927049175375],[1.82138241790242e-18]
Train,[0.004811917656067525],[9.471188573092583e-17]
Train,[-0.004440509456883299],[-9.471188573092583e-17]
Train,[-0.015037235789002656],[1.82138241790242e-18]
Train,[-0.012112742174348035],[5.46414725370726e-18]
Train,[-0.015460980203900741],[1.092829450741452e-17]
Train,[0.001243933192222298],[-3.64276483580484e-18]
Train,[0.0009131071156652547],[-1.3113953408897423e-16]
Train,[0.0007624146714358074],[-1.092829450741452e-16]
Train,[-0.0017052917675086387],[9.1069120895121e-18]
Train,[0.002077873358028462],[5.282009011917018e-17]
Train,[0.0014625139768200408],[1.82138241790242e-18]
Train,[0.0014563224556811603],[-5.46414725370726e-18]
Train,[0.0008324659536923076],[9.471188573092583e-17]
Train,[3.298868437475379e-05],[-0.026621245462551197]
Train,[-3.0375461973881597e-05],[-5.688607871304142e-07]
Train,[-3.0375461972914445e-05],[-5.688607871322355e-07]
Train,[-0.000779364157340797],[-0.010823945532928939]
Train,[-0.013863179208283092],[-0.03225642570605386]
Train,[-0.006612710116926528],[7.900587201402797e-05]
Train,[-0.0066127101169260565],[7.900587201395693e-05]
Train,[-0.0160030001952103],[-0.01692222211298195]
Train,[0.003776837588693499],[0.00021839714942577227]
Train,[-0.011718435194408709],[0.03183374883540315]
Train,[-0.009907336006514736],[0.020468388897137785]
Train,[-0.0022893621865179847],[-0.00022558532345777192]
Train,[-0.00709550631399713],[0.034430140265059306]
Train,[0.004817015426427265],[-0.00014064887786440584]
Train,[0.004648399659243834],[-0.00014859676587885906]
Train,[-0.0022906606750290838],[-0.004036594411177927]
Train,[0.0018762009141861124],[-1.4753197585009603e-16]
Train,[-0.002816019378586525],[2.185658901482904e-17]
Train,[-0.003951117291269862],[1.457105934321936e-17]
Train,[-0.004595571605847448],[1.639244176112178e-17]
Train,[-0.017945531536870698],[0.0002183971494257249]
Train,[-0.024868544994736192],[0.020468388897137844]
Train,[-0.023276514273374214],[0.03183374883540315]
Train,[-0.007769211674372534],[-0.00022558532345770454]
Train,[-0.0277850296237849],[-0.04565742741386274]
Train,[-0.021335312347376817],[-0.00018499056409219296]
Train,[-0.02133531234737634],[-0.00018499056409211466]
Train,[-0.0301074916926976],[-0.07587345187227598]
Train,[-0.022619925842719803],[-0.000417703483878227]
Train,[-0.02662090942219073],[-0.03506887734551717]
Train,[-0.02771324578044919],[-0.04598491259983777]
Train,[-0.021711902657442453],[0.00024937868650868835]
Train,[-0.012708855153841521],[-1.274967692531694e-17]
Train,[-0.006608629812547746],[1.5117474068590086e-16]
Train,[-0.006091495408104746],[1.9853068355136378e-16]
Train,[-0.005810024088746028],[-4.371317802965808e-17]
