Data,Predicted,Reference
Train,[-0.011344916493007923],[-0.03225818565279794]
Train,[-0.0050111148949223425],[-7.769851570889031e-07]
Train,[-0.00501111489491598],[-7.769851570670464e-07]
Train,[-0.016273312347737313],[-0.016908658625533646]
Train,[0.003345046772243752],[2.147515531627273e-06]
Train,[-0.0034718882975754515],[-0.03181998237701682]
Train,[-0.002251017242717072],[-0.020466061799623576]
Train,[0.001358511680494388],[-2.2178075255649983e-06]
Train,[-0.01147813139817804],[0.034386940850617984]
Train,[0.0036759616581661615],[1.3818615606561856e-06]
Train,[0.0035972006646190413],[1.4598582711141459e-06]
Train,[-0.002645899589828565],[-0.004030206474187189]
Train,[-0.0026432047062320495],[-9.471188573092583e-17]
Train,[-0.0060467551392147404],[5.46414725370726e-18]
Train,[-0.008177863118129921],[1.82138241790242e-18]
Train,[-0.006167169307185708],[1.092829450741452e-17]
Train,[-0.006723086719102009],[2.1475155316309158e-06]
Train,[-0.01475245228708052],[-0.02046606179962359]
Train,[-0.01411495738932193],[-0.03181998237701695]
Train,[-0.0066874327063668115],[-2.2178075256323896e-06]
Train,[-0.02014641874806604],[-0.04557838729447085]
Train,[-0.007669004117048963],[1.820191515441475e-06]
Train,[-0.007669004117090891],[1.8201915155289015e-06]
Train,[-0.02838614023672564],[-0.07587621233758134]
Train,[-0.012845528851202982],[-4.1009506176001475e-06]
Train,[-0.02206349779836706],[0.03502305871878561]
Train,[-0.021541202826190237],[0.04596011552868171]
Train,[-0.008026451078100908],[2.452425396471171e-06]
Train,[-0.012436848186365968],[-3.64276483580484e-18]
Train,[-0.007627292935177659],[-1.092829450741452e-16]
Train,[-0.007431694464504762],[-1.3113953408897423e-16]
Train,[-0.0063601905204436725],[9.1069120895121e-18]
Train,[-0.011426984525702417],[0.034386940850618]
Train,[0.003821549064315077],[1.45985827106679e-06]
Train,[0.0038980262376090745],[1.381861560628865e-06]
Train,[-0.0023676823141967947],[-0.004030206474187182]
Train,[0.00694112059909565],[-4.100950617578291e-06]
Train,[-0.005603935137551758],[0.04596011552868179]
Train,[-0.00642977238644035],[0.035023058718785624]
Train,[0.006288348494875808],[2.4524253964638855e-06]
Train,[-0.000177400026249554],[-0.04635304026034097]
Train,[0.007565296103077036],[8.766607765741092e-07]
Train,[0.007565296103062435],[8.766607766032513e-07]
Train,[0.001783368934198476],[-0.040709636276467155]
Train,[-0.0014575533222636104],[5.282009011917018e-17]
Train,[-0.002956998981047466],[-5.46414725370726e-18]
Train,[-0.0032321719915526493],[1.82138241790242e-18]
Train,[-0.0010067317173683588],[9.471188573092583e-17]
Train,[-0.0016906379662113332],[-9.471188573092583e-17]
Train,[-0.009330259703818731],[1.82138241790242e-18]
Train,[-0.007739188092282064],[5.46414725370726e-18]
Train,[-0.011320231684083549],[1.092829450741452e-17]
Train,[0.004258100805763759],[-3.64276483580484e-18]
Train,[0.00474686638043351],[-1.3113953408897423e-16]
Train,[0.004651276584720737],[-1.092829450741452e-16]
Train,[0.0025238644645418293],[9.1069120895121e-18]
Train,[0.002656037613853249],[5.282009011917018e-17]
Train,[0.004176744413144122],[1.82138241790242e-18]
Train,[0.004211843970491877],[-5.46414725370726e-18]
Train,[0.004686855307277484],[9.471188573092583e-17]
Train,[-0.0021995269734533408],[-0.026621245462551197]
Train,[0.0018145831081574307],[-5.688607871304142e-07]
Train,[0.0018145831081586292],[-5.688607871322355e-07]
Train,[-0.0007397364081959705],[-0.010823945532928939]
Train,[-0.011321844215450497],[-0.03225642570605386]
Train,[-0.0072702079243346035],[7.900587201402797e-05]
Train,[-0.007270207924334376],[7.900587201395693e-05]
Train,[-0.016261980629936182],[-0.01692222211298195]
Train,[-0.00032891201775726793],[0.00021839714942577227]
Train,[-0.009454359555801345],[0.03183374883540315]
Train,[-0.008742169031915133],[0.020468388897137785]
Train,[-0.0019071351121430341],[-0.00022558532345777192]
Train,[-0.011477834471346215],[0.034430140265059306]
Train,[0.000222645239203649],[-0.00014064887786440584]
Train,[0.00010143125134922974],[-0.00014859676587885906]
Train,[-0.0026516270612594556],[-0.004036594411177927]
Train,[-0.002146417897001659],[-1.4753197585009603e-16]
Train,[-0.004780267549642117],[2.185658901482904e-17]
Train,[-0.005473398698716113],[1.457105934321936e-17]
Train,[-0.005858154058622056],[1.639244176112178e-17]
Train,[-0.014474268691756545],[0.0002183971494257249]
Train,[-0.022342431019064437],[0.020468388897137844]
Train,[-0.021538460183786603],[0.03183374883540315]
Train,[-0.011996502863624104],[-0.00022558532345770454]
Train,[-0.020156153916692083],[-0.04565742741386274]
Train,[-0.013952086187617606],[-0.00018499056409219296]
Train,[-0.013952086187617284],[-0.00018499056409211466]
Train,[-0.028396501364958734],[-0.07587345187227598]
Train,[-0.015394324517681168],[-0.000417703483878227]
Train,[-0.018107024278895354],[-0.03506887734551717]
Train,[-0.020378398215068916],[-0.04598491259983777]
Train,[-0.014243498378962192],[0.00024937868650868835]
Train,[-0.01229400939169124],[-1.274967692531694e-17]
Train,[-0.007417868590620243],[1.5117474068590086e-16]
Train,[-0.007179486871288522],[1.9853068355136378e-16]
Train,[-0.005174388051750059],[-4.371317802965808e-17]
Train,[-0.0114255819927361],[0.034430140265059465]
Train,[0.00037829773613003175],[-0.0001485967658787516]
Train,[0.000499024658503945],[-0.00014064887786438763]
