Data,Predicted,Reference
Train,[-0.016242079366842476],[-0.03225818565279794]
Train,[-0.007519674887680514],[-7.769851570889031e-07]
Train,[-0.007519674887651724],[-7.769851570670464e-07]
Train,[-0.021945031643169077],[-0.016908658625533646]
Train,[-0.0007372046108765368],[2.147515531627273e-06]
Train,[-0.010430500655403862],[-0.03181998237701682]
Train,[-0.01215153662295053],[-0.020466061799623576]
Train,[-0.00347473454362921],[-2.2178075255649983e-06]
Train,[-0.017497602354874697],[0.034386940850617984]
Train,[-6.839573291316164e-05],[1.3818615606561856e-06]
Train,[-0.00027730558959041234],[1.4598582711141459e-06]
Train,[-0.012311015880148915],[-0.004030206474187189]
Train,[-0.0013085354024882376],[-9.471188573092583e-17]
Train,[-0.005724020314128373],[5.46414725370726e-18]
Train,[-0.009748720926704745],[1.82138241790242e-18]
Train,[-0.0033068545893809873],[1.092829450741452e-17]
Train,[0.0013994669038553311],[2.1475155316309158e-06]
Train,[-0.005711561180650339],[-0.02046606179962359]
Train,[-0.006245418617637878],[-0.03181998237701695]
Train,[0.007601257169692766],[-2.2178075256323896e-06]
Train,[-0.0023529191453815442],[-0.04557838729447085]
Train,[0.002643749272929986],[1.820191515441475e-06]
Train,[0.0026437492729013395],[1.8201915155289015e-06]
Train,[0.0036255040456381607],[-0.07587621233758134]
Train,[0.009961516377778692],[-4.1009506176001475e-06]
Train,[-0.00010050682727295696],[0.03502305871878561]
Train,[-0.0019007603295254196],[0.04596011552868171]
Train,[0.002911423176903215],[2.452425396471171e-06]
Train,[0.011381148797875445],[-3.64276483580484e-18]
Train,[0.013526659189195574],[-1.092829450741452e-16]
Train,[0.013933942313541564],[-1.3113953408897423e-16]
Train,[0.009045335924685143],[9.1069120895121e-18]
Train,[-0.017529138438451244],[0.034386940850618]
Train,[-0.00047687124177441795],[1.45985827106679e-06]
Train,[-0.00026571743843440093],[1.381861560628865e-06]
Train,[-0.012671634765094865],[-0.004030206474187182]
Train,[-0.006978759730816595],[-4.100950617578291e-06]
Train,[-0.028614017862823596],[0.04596011552868179]
Train,[-0.020462387254438604],[0.035023058718785624]
