Time,Iteration,Cost,Parameters
Sat Aug 24 22:32:37 2024,0,0.2540475121070957,[-2.90048445  2.23473564 -2.12697863 -0.11383203  0.55118808]
Sat Aug 24 22:33:51 2024,1,0.24836796475379347,[-2.8971703   2.23804979 -2.13029278 -0.11051788  0.54787393]
Sat Aug 24 22:35:04 2024,2,0.25425853642136054,[-2.89423856  2.24098153 -2.12736104 -0.11344962  0.54494219]
Sat Aug 24 22:36:17 2024,3,0.2490314855824347,[-2.89176035  2.23850332 -2.12983925 -0.11592783  0.54742039]
Sat Aug 24 22:37:30 2024,4,0.24953246254328712,[-2.88886062  2.24140305 -2.12693952 -0.1130281   0.54452067]
Sat Aug 24 22:38:44 2024,5,0.25043321251143985,[-2.88601607  2.2442476  -2.12409497 -0.11018355  0.54736522]
Sat Aug 24 22:39:57 2024,6,0.25399297872281473,[-2.88250515  2.24073668 -2.12058405 -0.11369447  0.5438543 ]
Sat Aug 24 22:41:10 2024,7,0.24227552821415793,[-2.87926547  2.24397636 -2.12382373 -0.11045479  0.54709398]
Sat Aug 24 22:42:24 2024,8,0.24825778511510185,[-2.87655353  2.24126442 -2.12111179 -0.11316673  0.54980592]
Sat Aug 24 22:43:36 2024,9,0.2489253850662283,[-2.87359681  2.2383077  -2.12406851 -0.11021001  0.55276264]
Sat Aug 24 22:44:49 2024,10,0.2515603987488403,[-2.87114247  2.24076205 -2.12652285 -0.11266435  0.55521698]
Sat Aug 24 22:46:02 2024,11,0.2508629175850635,[-2.86909669  2.24280783 -2.12447707 -0.11471013  0.5531712 ]
Sat Aug 24 22:47:14 2024,12,0.25099205454856993,[-2.86660501  2.24031614 -2.12198539 -0.11221845  0.55566288]
Sat Aug 24 22:48:26 2024,13,0.25481403636986716,[-2.86274788  2.23645902 -2.11812827 -0.10836132  0.55180576]
Sat Aug 24 22:49:39 2024,14,0.24410929914440918,[-2.86010198  2.23381312 -2.12077416 -0.11100722  0.55445165]
Sat Aug 24 22:50:52 2024,15,0.2455260571412346,[-2.85757039  2.23128153 -2.11824257 -0.11353881  0.55192006]
Sat Aug 24 22:52:04 2024,16,0.24887099840714494,[-2.85526449  2.22897562 -2.11593667 -0.1112329   0.54961416]
Sat Aug 24 22:53:17 2024,17,0.24605096496242765,[-2.8527268   2.23151331 -2.11847435 -0.11377059  0.55215185]
Sat Aug 24 22:54:29 2024,18,0.25044777760302295,[-2.84949207  2.22827857 -2.12170909 -0.11700532  0.55538658]
Sat Aug 24 22:55:42 2024,19,0.25150459511201406,[-2.84631451  2.22510102 -2.11853153 -0.11382777  0.55856414]
Sat Aug 24 22:56:55 2024,20,0.24972974063931846,[-2.84487497  2.22366147 -2.11709199 -0.11238822  0.56000368]
Sat Aug 24 22:58:08 2024,21,0.24754451980122597,[-2.84243146  2.22610498 -2.1195355  -0.10994472  0.56244719]
Sat Aug 24 22:59:20 2024,22,0.24967674361292336,[-2.83953663  2.22899981 -2.11664067 -0.11283955  0.55955236]
Sat Aug 24 23:00:33 2024,23,0.2513333700187436,[-2.83636181  2.225825   -2.11346585 -0.11601436  0.55637755]
Sat Aug 24 23:01:46 2024,24,0.24546687900330524,[-2.83397216  2.22343534 -2.1110762  -0.1136247   0.55398789]
Sat Aug 24 23:02:59 2024,25,0.24476127770118047,[-2.83135351  2.22081669 -2.10845755 -0.11100605  0.55660654]
Sat Aug 24 23:04:12 2024,26,0.2498051175493676,[-2.82821686  2.21768005 -2.11159419 -0.10786941  0.5534699 ]
