Data,Predicted,Reference
Train,[0.00011064088493764673],[-0.03225818565279794]
Train,[-0.005144942850317589],[-7.769851570889031e-07]
Train,[-0.005144942850319999],[-7.769851570670464e-07]
Train,[-0.005321292020330274],[-0.016908658625533646]
Train,[0.0035091748187189536],[2.147515531627273e-06]
Train,[0.003702367794711876],[-0.03181998237701682]
Train,[0.004205999019234486],[-0.020466061799623576]
Train,[0.0019259811986718108],[-2.2178075255649983e-06]
Train,[-0.0037483028685935758],[0.034386940850617984]
Train,[0.0035327795760463593],[1.3818615606561856e-06]
Train,[0.0035327772929645463],[1.4598582711141459e-06]
Train,[0.004029546916704902],[-0.004030206474187189]
Train,[0.003417974616553334],[-9.471188573092583e-17]
Train,[0.003555709281841833],[5.46414725370726e-18]
Train,[0.0035557097362256276],[1.82138241790242e-18]
Train,[0.0033385141892120396],[1.092829450741452e-17]
Train,[0.03956074335239314],[2.1475155316309158e-06]
Train,[0.04382699575581477],[-0.02046606179962359]
Train,[0.035000904079275856],[-0.03181998237701695]
Train,[0.030555671836846925],[-2.2178075256323896e-06]
Train,[0.025463489583145888],[-0.04557838729447085]
Train,[0.03102296525178887],[1.820191515441475e-06]
Train,[0.031022965251792236],[1.8201915155289015e-06]
Train,[0.00571132562024284],[-0.07587621233758134]
Train,[0.01455582928948865],[-4.1009506176001475e-06]
Train,[0.011627100075953111],[0.03502305871878561]
Train,[0.003594243327592972],[0.04596011552868171]
Train,[0.030097238590000262],[2.452425396471171e-06]
Train,[0.013100147715773568],[-3.64276483580484e-18]
Train,[0.020176938691247558],[-1.092829450741452e-16]
Train,[0.02008340900464046],[-1.3113953408897423e-16]
Train,[0.028343239060783582],[9.1069120895121e-18]
Train,[-0.003473041785083624],[0.034386940850618]
Train,[0.004431246198382622],[1.45985827106679e-06]
Train,[0.00443124820088114],[1.381861560628865e-06]
Train,[0.004972883517668142],[-0.004030206474187182]
Train,[0.004071956881232667],[-4.100950617578291e-06]
Train,[-0.003712944169102132],[0.04596011552868179]
Train,[-0.0006500325314618293],[0.035023058718785624]
Train,[0.003845371533412722],[2.4524253964638855e-06]
Train,[0.0037489939079018817],[-0.04635304026034097]
Train,[0.004243666053492385],[8.766607765741092e-07]
Train,[0.004243666053489787],[8.766607766032513e-07]
Train,[0.004027151021399057],[-0.040709636276467155]
Train,[0.004866860679637914],[5.282009011917018e-17]
Train,[0.003955092354306253],[-5.46414725370726e-18]
Train,[0.003915097803442814],[1.82138241790242e-18]
Train,[0.003835938124848791],[9.471188573092583e-17]
Train,[0.03702123213721768],[-9.471188573092583e-17]
Train,[0.03859368789535577],[1.82138241790242e-18]
Train,[0.03859368147357828],[5.46414725370726e-18]
Train,[0.03701866347165685],[1.092829450741452e-17]
Train,[0.009767183366691419],[-3.64276483580484e-18]
Train,[0.017371935474127458],[-1.3113953408897423e-16]
Train,[0.017484285420995296],[-1.092829450741452e-16]
Train,[0.02640055652214617],[9.1069120895121e-18]
Train,[-0.0005451757222958452],[5.282009011917018e-17]
Train,[0.008792430265307684],[1.82138241790242e-18]
Train,[0.008622975657661543],[-5.46414725370726e-18]
Train,[0.016270609899300754],[9.471188573092583e-17]
Train,[0.0020041701819271287],[-0.026621245462551197]
Train,[0.0034845507752299973],[-5.688607871304142e-07]
Train,[0.003484550775228329],[-5.688607871322355e-07]
Train,[0.019321800203056166],[-0.010823945532928939]
Train,[0.00011209636324063542],[-0.03225642570605386]
Train,[-0.004423063104776903],[7.900587201402797e-05]
Train,[-0.004423063104776963],[7.900587201395693e-05]
Train,[-0.005312599639625581],[-0.01692222211298195]
Train,[0.003449068486061808],[0.00021839714942577227]
