Data,Predicted,Reference
Train,[-0.008631524657735676],[-0.03225818565279794]
Train,[-0.008839243726461818],[-7.769851570889031e-07]
Train,[-0.008839243726461844],[-7.769851570670464e-07]
Train,[-0.009017427024232945],[-0.016908658625533646]
Train,[-0.008041921562398304],[2.147515531627273e-06]
Train,[-0.00811392270107917],[-0.03181998237701682]
Train,[-0.008113922701079182],[-0.020466061799623576]
Train,[-0.008250707606025715],[-2.2178075255649983e-06]
Train,[-0.00804962444424553],[0.034386940850617984]
Train,[-0.008037638718763012],[1.3818615606561856e-06]
Train,[-0.00803763871876304],[1.4598582711141459e-06]
Train,[-0.008099728090808727],[-0.004030206474187189]
Train,[-0.008069925860249459],[-9.471188573092583e-17]
Train,[-0.008033288661951127],[5.46414725370726e-18]
Train,[-0.008033288661951122],[1.82138241790242e-18]
Train,[-0.008071254254154172],[1.092829450741452e-17]
Train,[-0.022437218048789922],[2.1475155316309158e-06]
Train,[-0.022152341422887852],[-0.02046606179962359]
Train,[-0.02215234142288786],[-0.03181998237701695]
Train,[-0.021611144118103415],[-2.2178075256323896e-06]
Train,[-0.020896946970611185],[-0.04557838729447085]
Train,[-0.02162467280295155],[1.820191515441475e-06]
Train,[-0.021624672802951543],[1.8201915155289015e-06]
Train,[-0.02216109488038241],[-0.07587621233758134]
Train,[-0.019952400849008168],[-4.1009506176001475e-06]
Train,[-0.02078541413382649],[0.03502305871878561]
Train,[-0.020785414133826483],[0.04596011552868171]
Train,[-0.021532985662121903],[2.452425396471171e-06]
Train,[-0.019676279581088443],[-3.64276483580484e-18]
Train,[-0.020513913445589064],[-1.092829450741452e-16]
Train,[-0.020513913445589078],[-1.3113953408897423e-16]
Train,[-0.021301177022190476],[9.1069120895121e-18]
Train,[-0.007106580700384664],[0.034386940850618]
Train,[-0.0070946343355508925],[1.45985827106679e-06]
Train,[-0.007094634335550898],[1.381861560628865e-06]
Train,[-0.007156519808552814],[-0.004030206474187182]
Train,[-0.007724865792044114],[-4.100950617578291e-06]
Train,[-0.00751501726626803],[0.04596011552868179]
Train,[-0.007515017266268059],[0.035023058718785624]
Train,[-0.007326692798958764],[2.4524253964638855e-06]
Train,[-0.007954967758888879],[-0.04635304026034097]
Train,[-0.007754250533944636],[8.766607765741092e-07]
Train,[-0.007754250533944632],[8.766607766032513e-07]
Train,[-0.007543537129114852],[-0.040709636276467155]
Train,[-0.008014313996116178],[5.282009011917018e-17]
Train,[-0.007823223350438004],[-5.46414725370726e-18]
