Time,Iteration,Cost,Parameters
Sun Aug 25 00:09:59 2024,0,0.30717108875480714,[-2.89800061  2.23225179 -2.11909679 -0.11134818  0.54870424]
Sun Aug 25 00:10:44 2024,1,0.30771206612300406,[-2.89256787  2.22681905 -2.11366405 -0.11678093  0.5432715 ]
Sun Aug 25 00:11:28 2024,2,0.29667709450665963,[-2.88787966  2.23150725 -2.11835225 -0.11209273  0.5479597 ]
Sun Aug 25 00:12:12 2024,3,0.2978231648271913,[-2.88188671  2.23750021 -2.12434521 -0.10609977  0.55395265]
Sun Aug 25 00:12:56 2024,4,0.3002044064830897,[-2.87538852  2.2439984  -2.1308434  -0.09960158  0.54745446]
Sun Aug 25 00:13:40 2024,5,0.30162942856355457,[-2.86987962  2.2384895  -2.1363523  -0.09409268  0.54194556]
Sun Aug 25 00:14:24 2024,6,0.2976716662000098,[-2.86426505  2.23287493 -2.13073773 -0.08847811  0.54756013]
Sun Aug 25 00:15:08 2024,7,0.29845217049861594,[-2.85859932  2.2272092  -2.125072   -0.08281238  0.55322586]
Sun Aug 25 00:15:52 2024,8,0.2989776391862474,[-2.85274539  2.23306313 -2.11921807 -0.07695845  0.55907979]
Sun Aug 25 00:16:36 2024,9,0.29837919182665573,[-2.84726451  2.22758225 -2.12469895 -0.07147757  0.56456067]
Sun Aug 25 00:17:20 2024,10,0.293068354919128,[-2.84058436  2.23426239 -2.11801881 -0.06479742  0.57124082]
Sun Aug 25 00:18:04 2024,11,0.297609360436418,[-2.83547907  2.23936769 -2.1231241  -0.06990272  0.57634611]
Sun Aug 25 00:18:48 2024,12,0.2965216116717454,[-2.82928882  2.24555794 -2.12931435 -0.06371247  0.58253636]
Sun Aug 25 00:19:32 2024,13,0.29654624728417084,[-2.82419627  2.24046539 -2.1242218  -0.05861993  0.58762891]
Sun Aug 25 00:20:16 2024,14,0.29101973719163887,[-2.81755565  2.23382477 -2.11758118 -0.06526055  0.58098828]
Sun Aug 25 00:20:59 2024,15,0.29130294650087024,[-2.81296952  2.22923863 -2.11299505 -0.06067442  0.57640215]
Sun Aug 25 00:21:44 2024,16,0.28764603157606006,[-2.8081021   2.23410606 -2.11786247 -0.06554184  0.57153473]
Sun Aug 25 00:22:28 2024,17,0.29045069315180133,[-2.80173744  2.2277414  -2.12422713 -0.0719065   0.56517007]
Sun Aug 25 00:23:12 2024,18,0.2885205345972723,[-2.79556618  2.23391265 -2.11805587 -0.06573524  0.55899882]
Sun Aug 25 00:23:56 2024,19,0.2917479274312701,[-2.78924003  2.2402388  -2.11172972 -0.05940909  0.55267267]
Sun Aug 25 00:24:40 2024,20,0.29104230518718066,[-2.78294046  2.23393923 -2.11802929 -0.06570866  0.55897224]
Sun Aug 25 00:25:24 2024,21,0.2866168240415191,[-2.77771027  2.22870904 -2.1127991  -0.07093886  0.55374205]
