Data,Predicted,Reference
Train,[-0.006634251000083245],[-0.03225818565279794]
Train,[-0.007787574837244796],[-7.769851570889031e-07]
Train,[-0.007787574837244809],[-7.769851570670464e-07]
Train,[-0.009562313132503998],[-0.016908658625533646]
Train,[-0.005395544674919384],[2.147515531627273e-06]
Train,[-0.0054520260254535225],[-0.03181998237701682]
Train,[-0.005452026025453526],[-0.020466061799623576]
Train,[-0.005616749753548794],[-2.2178075255649983e-06]
Train,[-0.005400682614811976],[0.034386940850617984]
Train,[-0.005392778547053619],[1.3818615606561856e-06]
Train,[-0.005392778547053606],[1.4598582711141459e-06]
Train,[-0.005439358032608647],[-0.004030206474187189]
Train,[-0.005415241778541015],[-9.471188573092583e-17]
Train,[-0.005390034811333345],[5.46414725370726e-18]
Train,[-0.005390034811333333],[1.82138241790242e-18]
Train,[-0.00541624655179928],[1.092829450741452e-17]
Train,[-0.021639926095479912],[2.1475155316309158e-06]
Train,[-0.02165681828943973],[-0.02046606179962359]
Train,[-0.02165681828943973],[-0.03181998237701695]
Train,[-0.02170608313772077],[-2.2178075256323896e-06]
Train,[-0.021813384978310577],[-0.04557838729447085]
Train,[-0.021704548475114546],[1.820191515441475e-06]
Train,[-0.02170454847511454],[1.8201915155289015e-06]
Train,[-0.021656212487462228],[-0.07587621233758134]
Train,[-0.022060896250372507],[-4.1009506176001475e-06]
Train,[-0.021835437282065214],[0.03502305871878561]
Train,[-0.021835437282065204],[0.04596011552868171]
Train,[-0.021715279071189263],[2.452425396471171e-06]
Train,[-0.022166350131067034],[-3.64276483580484e-18]
Train,[-0.021896274675329733],[-1.092829450741452e-16]
Train,[-0.021896274675329758],[-1.3113953408897423e-16]
Train,[-0.021746014005621567],[9.1069120895121e-18]
Train,[-0.004486628040381499],[0.034386940850618]
Train,[-0.004478657663621914],[1.45985827106679e-06]
Train,[-0.004478657663621901],[1.381861560628865e-06]
Train,[-0.004525627914952027],[-0.004030206474187182]
Train,[-0.005900826458843795],[-4.100950617578291e-06]
Train,[-0.005140649459715874],[0.04596011552868179]
Train,[-0.005140649459715872],[0.035023058718785624]
Train,[-0.004735513621252699],[2.4524253964638855e-06]
Train,[-0.007391052063911432],[-0.04635304026034097]
Train,[-0.006043242287611033],[8.766607765741092e-07]
Train,[-0.0060432422876110364],[8.766607766032513e-07]
Train,[-0.005221856729347406],[-0.040709636276467155]
Train,[-0.007978589878526406],[5.282009011917018e-17]
Train,[-0.006423757193497395],[-5.46414725370726e-18]
Train,[-0.006423757193497405],[1.82138241790242e-18]
Train,[-0.005444897183835768],[9.471188573092583e-17]
Train,[0.029578395778210295],[-9.471188573092583e-17]
Train,[0.029603003997482974],[1.82138241790242e-18]
Train,[0.02960300399748298],[5.46414725370726e-18]
Train,[0.029577414871603987],[1.092829450741452e-17]
Train,[0.027879264376969044],[-3.64276483580484e-18]
Train,[0.028760848423351994],[-1.3113953408897423e-16]
Train,[0.02876084842335202],[-1.092829450741452e-16]
Train,[0.02925133138431537],[9.1069120895121e-18]
