Data,Predicted,Reference
Train,[-0.01275971074348493],[-0.03225818565279794]
Train,[-0.012698897600362122],[-7.769851570889031e-07]
Train,[-0.012698897600362066],[-7.769851570670464e-07]
Train,[-0.012769287887187696],[-0.016908658625533646]
Train,[-0.012643786913800942],[2.147515531627273e-06]
Train,[-0.01270641569070042],[-0.03181998237701682]
Train,[-0.012684621406449926],[-0.020466061799623576]
Train,[-0.012655908899910303],[-2.2178075255649983e-06]
Train,[-0.012785964657192473],[0.034386940850617984]
Train,[-0.012642052134849351],[1.3818615606561856e-06]
Train,[-0.012642588661544423],[1.4598582711141459e-06]
Train,[-0.012682579779687344],[-0.004030206474187189]
Train,[-0.012651281893395715],[-9.471188573092583e-17]
Train,[-0.012664199047082608],[5.46414725370726e-18]
Train,[-0.01268025729079731],[1.82138241790242e-18]
Train,[-0.012657839325027785],[1.092829450741452e-17]
Train,[-0.025555067094129046],[2.1475155316309158e-06]
Train,[-0.023203374154598302],[-0.02046606179962359]
Train,[-0.02229042249742683],[-0.03181998237701695]
Train,[-0.024926964529688074],[-2.2178075256323896e-06]
Train,[-0.02133007684197139],[-0.04557838729447085]
Train,[-0.024960237453270303],[1.820191515441475e-06]
Train,[-0.02496023745326327],[1.8201915155289015e-06]
Train,[-0.018410919768840378],[-0.07587621233758134]
Train,[-0.02332620625793135],[-4.1009506176001475e-06]
Train,[-0.019907172640432312],[0.03502305871878561]
Train,[-0.0182610300191344],[0.04596011552868171]
Train,[-0.024855882961270705],[2.452425396471171e-06]
Train,[-0.02225018448996148],[-3.64276483580484e-18]
Train,[-0.023709815020673167],[-1.092829450741452e-16]
Train,[-0.023795712856571363],[-1.3113953408897423e-16]
Train,[-0.023747576128601084],[9.1069120895121e-18]
Train,[-0.012618523492822574],[0.034386940850618]
Train,[-0.012447122854378212],[1.45985827106679e-06]
Train,[-0.012446479844782662],[1.381861560628865e-06]
Train,[-0.012495049676513794],[-0.004030206474187182]
Train,[-0.012501736773155202],[-4.100950617578291e-06]
Train,[-0.012703234194754562],[0.04596011552868179]
Train,[-0.012616418389313275],[0.035023058718785624]
Train,[-0.012464733748171159],[2.4524253964638855e-06]
Train,[-0.0126039104090754],[-0.04635304026034097]
Train,[-0.01249734657637937],[8.766607765741092e-07]
Train,[-0.012497346576379555],[8.766607766032513e-07]
Train,[-0.012552565654202522],[-0.040709636276467155]
Train,[-0.012546985955257113],[5.282009011917018e-17]
Train,[-0.012535148003495035],[-5.46414725370726e-18]
Train,[-0.012537618734184968],[1.82138241790242e-18]
Train,[-0.012495466266216806],[9.471188573092583e-17]
Train,[-0.006596063564849065],[-9.471188573092583e-17]
Train,[-0.008332795305835772],[1.82138241790242e-18]
Train,[-0.007389274201739151],[5.46414725370726e-18]
Train,[-0.006991045754737604],[1.092829450741452e-17]
Train,[-0.009702802551283451],[-3.64276483580484e-18]
Train,[-0.008048187235920743],[-1.3113953408897423e-16]
Train,[-0.008140588247416673],[-1.092829450741452e-16]
Train,[-0.008102595630379546],[9.1069120895121e-18]
Train,[-0.010372943560729325],[5.282009011917018e-17]
Train,[-0.009938471852094387],[1.82138241790242e-18]
Train,[-0.009849417788549366],[-5.46414725370726e-18]
Train,[-0.008274171487352388],[9.471188573092583e-17]
Train,[-0.012001897824055115],[-0.026621245462551197]
Train,[-0.009034889410568037],[-5.688607871304142e-07]
Train,[-0.009034889410567229],[-5.688607871322355e-07]
Train,[-0.010166545796064649],[-0.010823945532928939]
Train,[-0.012766187305741299],[-0.03225642570605386]
Train,[-0.01272629014117092],[7.900587201402797e-05]
Train,[-0.012726290141170922],[7.900587201395693e-05]
Train,[-0.012775801045438372],[-0.01692222211298195]
Train,[-0.012673839837439383],[0.00021839714942577227]
Train,[-0.012821949463957937],[0.03183374883540315]
Train,[-0.012741209485002214],[0.020468388897137785]
Train,[-0.012685169056782833],[-0.00022558532345777192]
Train,[-0.012792602081687704],[0.034430140265059306]
Train,[-0.012670963272514773],[-0.00014064887786440584]
Train,[-0.012671688354706159],[-0.00014859676587885906]
Train,[-0.01268978971572656],[-0.004036594411177927]
Train,[-0.012656220418959316],[-1.4753197585009603e-16]
Train,[-0.012663570430074616],[2.185658901482904e-17]
Train,[-0.012667866932000057],[1.457105934321936e-17]
Train,[-0.012663498998868986],[1.639244176112178e-17]
Train,[-0.024294544714464954],[0.0002183971494257249]
Train,[-0.021363945560757457],[0.020468388897137844]
Train,[-0.019012519143753216],[0.03183374883540315]
Train,[-0.023772842865545134],[-0.00022558532345770454]
Train,[-0.02131078631123869],[-0.04565742741386274]
Train,[-0.023806353320654807],[-0.00018499056409219296]
Train,[-0.023806353320654856],[-0.00018499056409211466]
Train,[-0.018396634040143158],[-0.07587345187227598]
Train,[-0.02232290507180361],[-0.000417703483878227]
Train,[-0.022066575547076226],[-0.03506887734551717]
Train,[-0.021192732910063617],[-0.04598491259983777]
Train,[-0.02367398653110531],[0.00024937868650868835]
Train,[-0.022324261768011774],[-1.274967692531694e-17]
Train,[-0.023794535936441062],[1.5117474068590086e-16]
Train,[-0.02390009294713147],[1.9853068355136378e-16]
Train,[-0.024187876320031547],[-4.371317802965808e-17]
Train,[-0.0126215519046334],[0.034430140265059465]
Train,[-0.012476479227879885],[-0.0001485967658787516]
Train,[-0.012475606874388593],[-0.00014064887786438763]
Train,[-0.01249826484405739],[-0.00403659441117794]
Train,[-0.012532036421237326],[-0.00041770348387830354]
