Data,Predicted,Reference
Train,[-0.012734804071651402],[-0.03225818565279794]
Train,[-0.012673507019909006],[-7.769851570889031e-07]
Train,[-0.012673507019908938],[-7.769851570670464e-07]
Train,[-0.012744457423590597],[-0.016908658625533646]
Train,[-0.0126179578009042],[2.147515531627273e-06]
Train,[-0.012681084933971765],[-0.03181998237701682]
Train,[-0.012659117225993045],[-0.020466061799623576]
Train,[-0.012630176245332652],[-2.2178075255649983e-06]
Train,[-0.012761266895711023],[0.034386940850617984]
Train,[-0.012616209217790466],[1.3818615606561856e-06]
Train,[-0.012616750013791131],[1.4598582711141459e-06]
Train,[-0.012657059353387219],[-0.004030206474187189]
Train,[-0.012625512420324224],[-9.471188573092583e-17]
Train,[-0.012638532359719746],[5.46414725370726e-18]
Train,[-0.01265471838374888],[1.82138241790242e-18]
Train,[-0.012632122031428146],[1.092829450741452e-17]
Train,[-0.025631976952586653],[2.1475155316309158e-06]
Train,[-0.02326157087925551],[-0.02046606179962359]
Train,[-0.02234135458892264],[-0.03181998237701695]
Train,[-0.024998876385587107],[-2.2178075256323896e-06]
Train,[-0.021373367171890662],[-0.04557838729447085]
Train,[-0.02503241407191132],[1.820191515441475e-06]
Train,[-0.025032414071904194],[1.8201915155289015e-06]
Train,[-0.018430981480781688],[-0.07587621233758134]
Train,[-0.02338538039487993],[-4.1009506176001475e-06]
Train,[-0.019939140490166804],[0.03502305871878561]
Train,[-0.018279899012887707],[0.04596011552868171]
Train,[-0.024927229199576465],[2.452425396471171e-06]
Train,[-0.022300796395430953],[-3.64276483580484e-18]
Train,[-0.023772041648864786],[-1.092829450741452e-16]
Train,[-0.02385862299988918],[-1.3113953408897423e-16]
Train,[-0.023810103233378403],[9.1069120895121e-18]
Train,[-0.012592493351224709],[0.034386940850618]
Train,[-0.012419728825928147],[1.45985827106679e-06]
Train,[-0.012419080699710266],[1.381861560628865e-06]
Train,[-0.012468037016319844],[-0.004030206474187182]
Train,[-0.012474777324216875],[-4.100950617578291e-06]
Train,[-0.01267787812189798],[0.04596011552868179]
Train,[-0.012590371496768496],[0.035023058718785624]
Train,[-0.01243747985494298],[2.4524253964638855e-06]
Train,[-0.012577763986739194],[-0.04635304026034097]
Train,[-0.012470352193314119],[8.766607765741092e-07]
Train,[-0.012470352193314287],[8.766607766032513e-07]
Train,[-0.012526010666083035],[-0.040709636276467155]
Train,[-0.01252038656778124],[5.282009011917018e-17]
Train,[-0.012508454417847481],[-5.46414725370726e-18]
Train,[-0.012510944808890681],[1.82138241790242e-18]
Train,[-0.012468456920953434],[9.471188573092583e-17]
Train,[-0.006522110883473517],[-9.471188573092583e-17]
Train,[-0.008272662325535201],[1.82138241790242e-18]
Train,[-0.007321633337918735],[5.46414725370726e-18]
Train,[-0.00692023606641353],[1.092829450741452e-17]
Train,[-0.00965357113404862],[-3.64276483580484e-18]
Train,[-0.007985789542908978],[-1.3113953408897423e-16]
Train,[-0.00807892581727121],[-1.092829450741452e-16]
Train,[-0.008040630881460203],[9.1069120895121e-18]
Train,[-0.010329044658706873],[5.282009011917018e-17]
Train,[-0.009891115726945775],[1.82138241790242e-18]
Train,[-0.00980135303321413],[-5.46414725370726e-18]
Train,[-0.008213572019552225],[9.471188573092583e-17]
Train,[-0.011970961005037604],[-0.026621245462551197]
Train,[-0.008980343205947858],[-5.688607871304142e-07]
Train,[-0.008980343205947042],[-5.688607871322355e-07]
Train,[-0.010121004524444812],[-0.010823945532928939]
Train,[-0.012741332169877453],[-0.03225642570605386]
Train,[-0.012701117531470974],[7.900587201402797e-05]
Train,[-0.012701117531470997],[7.900587201395693e-05]
Train,[-0.0127510224090164],[-0.01692222211298195]
Train,[-0.012648249864768677],[0.00021839714942577227]
Train,[-0.012797538044495241],[0.03183374883540315]
Train,[-0.012716155593044978],[0.020468388897137785]
Train,[-0.01265966923414568],[-0.00022558532345777192]
Train,[-0.012767957136205575],[0.034430140265059306]
Train,[-0.012645350410144715],[-0.00014064887786440584]
Train,[-0.012646081262034958],[-0.00014859676587885906]
Train,[-0.012664326661073705],[-0.004036594411177927]
Train,[-0.01263049024323321],[-1.4753197585009603e-16]
Train,[-0.01263789874061562],[2.185658901482904e-17]
Train,[-0.012642229431109672],[1.457105934321936e-17]
Train,[-0.012637826741010225],[1.639244176112178e-17]
Train,[-0.024361424214131865],[0.0002183971494257249]
Train,[-0.021407505394341768],[0.020468388897137844]
Train,[-0.01903736796433772],[0.03183374883540315]
Train,[-0.023835571025409685],[-0.00022558532345770454]
Train,[-0.021353923140555647],[-0.04565742741386274]
Train,[-0.023869348133371725],[-0.00018499056409219296]
Train,[-0.02386934813337179],[-0.00018499056409211466]
Train,[-0.018416582076209515],[-0.07587345187227598]
Train,[-0.022374095636993125],[-0.000417703483878227]
