Data,Predicted,Reference
Train,[-0.024026561967340484],[-0.03225818565279794]
Train,[-0.007813099156397002],[-7.769851570889031e-07]
Train,[-0.007813099156392934],[-7.769851570670464e-07]
Train,[-0.022631231050993864],[-0.016908658625533646]
Train,[0.0013341825669496345],[2.147515531627273e-06]
Train,[-0.0063051840169191815],[-0.03181998237701682]
Train,[-0.0030187982483945376],[-0.020466061799623576]
Train,[-0.0013112375629536694],[-2.2178075255649983e-06]
Train,[-0.024844294029163657],[0.034386940850617984]
Train,[0.0013014187577494978],[1.3818615606561856e-06]
Train,[0.001313119983442467],[1.4598582711141459e-06]
Train,[-0.00024909888211983855],[-0.004030206474187189]
Train,[-0.01891069934899255],[-9.471188573092583e-17]
Train,[-0.024010483167652093],[5.46414725370726e-18]
Train,[-0.02596711731252235],[1.82138241790242e-18]
Train,[-0.023242174142552887],[1.092829450741452e-17]
Train,[-0.036840428845870105],[2.1475155316309158e-06]
Train,[-0.02200584601702103],[-0.02046606179962359]
Train,[0.005440823220257157],[-0.03181998237701695]
Train,[-0.018767412995439672],[-2.2178075256323896e-06]
Train,[-0.021761194051296097],[-0.04557838729447085]
Train,[-0.02723393550650018],[1.820191515441475e-06]
Train,[-0.02723393550644272],[1.8201915155289015e-06]
Train,[-0.007437319210298702],[-0.07587621233758134]
Train,[-0.011920570186435735],[-4.1009506176001475e-06]
Train,[-0.010962795312477541],[0.03502305871878561]
Train,[-0.01437029664908118],[0.04596011552868171]
Train,[-0.02531777277478428],[2.452425396471171e-06]
Train,[-0.00979104786630791],[-3.64276483580484e-18]
Train,[-0.018600827852453514],[-1.092829450741452e-16]
Train,[-0.019225855176992976],[-1.3113953408897423e-16]
Train,[-0.016193970890988854],[9.1069120895121e-18]
Train,[-0.02459457440979828],[0.034386940850618]
Train,[0.001505443747229647],[1.45985827106679e-06]
Train,[0.0014935167499874821],[1.381861560628865e-06]
Train,[-3.1829989140230975e-05],[-0.004030206474187182]
Train,[-0.003279328863559735],[-4.100950617578291e-06]
Train,[0.006283249207055432],[0.04596011552868179]
Train,[-0.011270261149485778],[0.035023058718785624]
Train,[-0.0018916840932572414],[2.4524253964638855e-06]
Train,[-0.016262550687097272],[-0.04635304026034097]
Train,[-0.002254263752771895],[8.766607765741092e-07]
Train,[-0.0022542637528004394],[8.766607766032513e-07]
Train,[-0.012973958891081657],[-0.040709636276467155]
Train,[0.0005962941782261645],[5.282009011917018e-17]
Train,[-0.00431205176946243],[-5.46414725370726e-18]
Train,[-0.004968083564599146],[1.82138241790242e-18]
Train,[-0.004260639622231896],[9.471188573092583e-17]
Train,[-0.013015819829088024],[-9.471188573092583e-17]
Train,[-0.017234976694760075],[1.82138241790242e-18]
Train,[-0.015121025877823402],[5.46414725370726e-18]
Train,[-0.014732299682146914],[1.092829450741452e-17]
Train,[-0.011340716514937822],[-3.64276483580484e-18]
Train,[-0.009322817452513175],[-1.3113953408897423e-16]
Train,[-0.010049366597958638],[-1.092829450741452e-16]
Train,[-0.015473013141749503],[9.1069120895121e-18]
Train,[-0.005727409687228906],[5.282009011917018e-17]
Train,[-0.011160809773807802],[1.82138241790242e-18]
Train,[-0.010870131954136051],[-5.46414725370726e-18]
Train,[-0.00995072354211009],[9.471188573092583e-17]
Train,[-0.011665567223399396],[-0.026621245462551197]
Train,[-0.002373914633893981],[-5.688607871304142e-07]
Train,[-0.0023739146338937352],[-5.688607871322355e-07]
Train,[-0.008912180449504259],[-0.010823945532928939]
Train,[-0.024002826157845707],[-0.03225642570605386]
Train,[-0.009031397354639184],[7.900587201402797e-05]
Train,[-0.009031397354638981],[7.900587201395693e-05]
Train,[-0.022625971831686714],[-0.01692222211298195]
Train,[0.0012924240114086385],[0.00021839714942577227]
Train,[-0.02015760941060346],[0.03183374883540315]
Train,[-0.0059272424721202146],[0.020468388897137785]
Train,[0.0011949569280738492],[-0.00022558532345777192]
Train,[-0.024863464226573873],[0.034430140265059306]
Train,[0.0010565417931558702],[-0.00014064887786440584]
Train,[0.0010297716942241299],[-0.00014859676587885906]
Train,[-0.00026717576234672744],[-0.004036594411177927]
Train,[-0.018076224935765974],[-1.4753197585009603e-16]
Train,[-0.022602964151897654],[2.185658901482904e-17]
Train,[-0.023403457504311182],[1.457105934321936e-17]
Train,[-0.0229602829750081],[1.639244176112178e-17]
Train,[-0.042237942968981916],[0.0002183971494257249]
Train,[-0.03310612915932704],[0.020468388897137844]
Train,[-0.023878446982109003],[0.03183374883540315]
Train,[-0.026537460622337302],[-0.00022558532345770454]
Train,[-0.021731375849566862],[-0.04565742741386274]
Train,[-0.02062284423764686],[-0.00018499056409219296]
Train,[-0.020622844237646924],[-0.00018499056409211466]
Train,[-0.0074738903172964066],[-0.07587345187227598]
Train,[-0.014052162065755337],[-0.000417703483878227]
Train,[-0.015209505393111004],[-0.03506887734551717]
Train,[-0.021235017870805537],[-0.04598491259983777]
Train,[-0.018889192413798973],[0.00024937868650868835]
Train,[-0.01067292611296278],[-1.274967692531694e-17]
Train,[-0.019246266689693897],[1.5117474068590086e-16]
Train,[-0.02000291271599724],[1.9853068355136378e-16]
Train,[-0.018884104351586023],[-4.371317802965808e-17]
Train,[-0.024612010662667928],[0.034430140265059465]
Train,[0.0013060362962016628],[-0.0001485967658787516]
Train,[0.0013286432773292446],[-0.00014064887786438763]
Train,[-4.4292746990987006e-05],[-0.00403659441117794]
Train,[-0.005193524124370405],[-0.00041770348387830354]
Train,[-0.012271987485527939],[-0.04598491259983788]
Train,[-0.015691436443952152],[-0.03506887734551722]
Train,[-0.005425054316279774],[0.00024937868650867014]
Train,[-0.01630008604526819],[-0.04642098563854254]
Train,[-0.004442203906250213],[-8.929989840338444e-05]
Train,[-0.004442203906250432],[-8.92998984034318e-05]
Train,[-0.01298921444760816],[-0.04070587366488182]
Train,[0.0018707611871017825],[8.742635605931616e-17]
Train,[-0.001260595891481987],[-3.096350110434114e-17]
Train,[-0.0020795645971550185],[-2.367797143273146e-17]
Train,[-0.003755060865853031],[1.274967692531694e-16]
Train,[-0.012548506135904764],[-1.4753197585009603e-16]
Train,[-0.014784082806565861],[1.457105934321936e-17]
Train,[-0.014457693191434355],[2.185658901482904e-17]
Train,[-0.014694105776182865],[1.639244176112178e-17]
Train,[-0.010938353107682465],[-1.274967692531694e-17]
Train,[-0.008325277926737616],[1.9853068355136378e-16]
Train,[-0.009261845365311171],[1.5117474068590086e-16]
Train,[-0.012619532314538901],[-4.371317802965808e-17]
Train,[-0.00505667521245608],[8.742635605931616e-17]
Train,[-0.009575304031039822],[-2.367797143273146e-17]
Train,[-0.00898159573671844],[-3.096350110434114e-17]
Train,[-0.009267721651938805],[1.274967692531694e-16]
Train,[-0.011697235186879512],[-0.026634468268519597]
Train,[-0.003430150902347857],[5.783038463533851e-05]
Train,[-0.0034301509023479007],[5.7830384635351266e-05]
Train,[-0.00890614031847235],[-0.010832636499721451]
Train,[-0.024031267719607684],[-0.032258451158275296]
Train,[-0.008500671283870357],[-1.3271416039564208e-05]
Train,[-0.00850067128387131],[-1.3271416039666206e-05]
Train,[-0.022632320352509647],[-0.016905929475836967]
Train,[0.0014561505656586755],[3.667982742938658e-05]
Train,[-0.006305381547610405],[-0.03181689782676138]
Train,[-0.003015907286981901],[-0.020465344205368968]
Train,[0.0003927821581121935],[-3.7879038950043834e-05]
Train,[-0.02484022214240907],[0.03437783697126322]
Train,[0.0013199644176605742],[2.359828106542327e-05]
Train,[0.0013098902138005874],[2.4929931815233868e-05]
Train,[-0.00024526375979365016],[-0.004028753092825896]
Train,[-0.01905723144537304],[-8.19622088056089e-17]
Train,[-0.022222658729625366],[1.82138241790242e-17]
Train,[-0.02275190607594739],[1.274967692531694e-17]
Train,[-0.02350584091940431],[7.28552967160968e-18]
Train,[-0.0407737729038603],[3.667982742931737e-05]
Train,[-0.022016624622925817],[-0.02046534420536899]
Train,[0.005438861189933523],[-0.031816897826761434]
Train,[-0.023637440734582335],[-3.787903895011487e-05]
Train,[-0.021767267951036038],[-0.045562209296626306]
Train,[-0.02267799763291593],[3.1093243300779163e-05]
Train,[-0.022677997632918084],[3.1093243300713596e-05]
Train,[-0.007428892322142188],[-0.07587647421210354]
Train,[-0.01284777882396858],[-7.002230991633843e-05]
Train,[-0.010979233934854657],[0.03501319319465092]
Train,[-0.014359323954181977],[0.04595459277084304]
Train,[-0.02086062685671073],[4.188850986001449e-05]
Train,[-0.013844631396865975],[1.639244176112178e-17]
Train,[-0.01838483649059958],[-9.471188573092583e-17]
Train,[-0.019089318969226984],[-1.1656847474575488e-16]
Train,[-0.01937593316628875],[3.824903077595082e-17]
Train,[-0.024590864128017236],[0.034377836971263155]
Train,[0.0015317950243307597],[2.4929931815233868e-05]
Train,[0.0015392478182459065],[2.3598281065485193e-05]
