Data,Predicted,Reference
Train,[0.035576020427510895],[-0.03225818565279794]
Train,[0.03636610119567881],[-7.769851570889031e-07]
Train,[0.03636610119567972],[-7.769851570670464e-07]
Train,[0.03560057751853337],[-0.016908658625533646]
Train,[0.03958931954632363],[2.147515531627273e-06]
Train,[0.03768257392368089],[-0.03181998237701682]
Train,[0.03809413565790154],[-0.020466061799623576]
Train,[0.038020351022371945],[-2.2178075255649983e-06]
Train,[0.03813188731089021],[0.034386940850617984]
Train,[0.039725024645837596],[1.3818615606561856e-06]
Train,[0.03971553466886674],[1.4598582711141459e-06]
Train,[0.03823268099985828],[-0.004030206474187189]
Train,[0.040575026633975095],[-9.471188573092583e-17]
Train,[0.03959449680012359],[5.46414725370726e-18]
Train,[0.039318029020198174],[1.82138241790242e-18]
Train,[0.0389379693405829],[1.092829450741452e-17]
Train,[-0.017134022801969916],[2.1475155316309158e-06]
Train,[-0.013739913855134355],[-0.02046606179962359]
Train,[-0.013550266340330677],[-0.03181998237701695]
Train,[-0.011754325780577564],[-2.2178075256323896e-06]
Train,[-0.024707572988866576],[-0.04557838729447085]
Train,[-0.024990250140281955],[1.820191515441475e-06]
Train,[-0.024990250140279127],[1.8201915155289015e-06]
Train,[-0.02023115541311689],[-0.07587621233758134]
Train,[-0.027161788844480388],[-4.1009506176001475e-06]
Train,[-0.02375503234511724],[0.03502305871878561]
Train,[-0.02239571061609824],[0.04596011552868171]
Train,[-0.025240973820521574],[2.452425396471171e-06]
Train,[-0.026317061520683787],[-3.64276483580484e-18]
Train,[-0.026774160942248344],[-1.092829450741452e-16]
Train,[-0.026835725057983154],[-1.3113953408897423e-16]
Train,[-0.025362239021137226],[9.1069120895121e-18]
Train,[0.038131282240255124],[0.034386940850618]
Train,[0.039987032286160344],[1.45985827106679e-06]
Train,[0.03999779402340789],[1.381861560628865e-06]
Train,[0.03835783156735639],[-0.004030206474187182]
Train,[0.04207832427143513],[-4.100950617578291e-06]
Train,[0.03846380925495376],[0.04596011552868179]
Train,[0.039925290630847314],[0.035023058718785624]
Train,[0.0418858850224742],[2.4524253964638855e-06]
Train,[0.04010541683964452],[-0.04635304026034097]
Train,[0.04218949878880786],[8.766607765741092e-07]
Train,[0.042189498788804396],[8.766607766032513e-07]
Train,[0.04102054565620766],[-0.040709636276467155]
Train,[0.04133750034481753],[5.282009011917018e-17]
Train,[0.04152899038777793],[-5.46414725370726e-18]
Train,[0.04148104956854486],[1.82138241790242e-18]
Train,[0.042048627218935535],[9.471188573092583e-17]
Train,[0.03226499617760988],[-9.471188573092583e-17]
Train,[0.020782731379785858],[1.82138241790242e-18]
Train,[0.02536488895765873],[5.46414725370726e-18]
Train,[0.024258061588613482],[1.092829450741452e-17]
Train,[0.023159682167406152],[-3.64276483580484e-18]
Train,[0.031266927924865615],[-1.3113953408897423e-16]
Train,[0.030782987075072533],[-1.092829450741452e-16]
Train,[0.029525206068538402],[9.1069120895121e-18]
Train,[0.019718674546299504],[5.282009011917018e-17]
Train,[0.021894231003414772],[1.82138241790242e-18]
Train,[0.0223958456615175],[-5.46414725370726e-18]
Train,[0.03024089414206534],[9.471188573092583e-17]
Train,[0.009617302024391318],[-0.026621245462551197]
Train,[0.02723183880993223],[-5.688607871304142e-07]
Train,[0.027231838809936893],[-5.688607871322355e-07]
Train,[0.020438976887275126],[-0.010823945532928939]
Train,[0.03558430836027244],[-0.03225642570605386]
Train,[0.03611001005776406],[7.900587201402797e-05]
Train,[0.03611001005776406],[7.900587201395693e-05]
Train,[0.0356059822811551],[-0.01692222211298195]
Train,[0.03918248902349531],[0.00021839714942577227]
Train,[0.03564275966176565],[0.03183374883540315]
