Data,Predicted,Reference
Train,[0.003276088466469355],[-0.03225818565279794]
Train,[0.006016090212940004],[-7.769851570889031e-07]
Train,[0.006016090212942966],[-7.769851570670464e-07]
Train,[0.003456562103934388],[-0.016908658625533646]
Train,[0.0013391958979867848],[2.147515531627273e-06]
Train,[0.0020591985261642852],[-0.03181998237701682]
Train,[0.0022738814321465813],[-0.020466061799623576]
Train,[0.003813711074321317],[-2.2178075255649983e-06]
Train,[-0.0006631979738271201],[0.034386940850617984]
Train,[0.0011598229767705683],[1.3818615606561856e-06]
Train,[0.0011565350184989576],[1.4598582711141459e-06]
Train,[0.002131715185938308],[-0.004030206474187189]
Train,[-0.0006802799105748362],[-9.471188573092583e-17]
Train,[0.0005915174680909543],[5.46414725370726e-18]
Train,[0.000509094696920466],[1.82138241790242e-18]
Train,[0.0019411168945011516],[1.092829450741452e-17]
Train,[-0.008540071619688385],[2.1475155316309158e-06]
Train,[-0.011230321222107565],[-0.02046606179962359]
Train,[-0.012134458673842146],[-0.03181998237701695]
Train,[-0.009196394949030906],[-2.2178075256323896e-06]
Train,[-0.009572320546952732],[-0.04557838729447085]
Train,[-0.008705894135166179],[1.820191515441475e-06]
Train,[-0.008705894135167553],[1.8201915155289015e-06]
Train,[-0.012503360903624161],[-0.07587621233758134]
Train,[-0.010030373123616014],[-4.1009506176001475e-06]
Train,[-0.010853813506090411],[0.03502305871878561]
Train,[-0.012439017369445518],[0.04596011552868171]
Train,[-0.008765965255262262],[2.452425396471171e-06]
Train,[-0.010074673022097982],[-3.64276483580484e-18]
Train,[-0.00948277808232404],[-1.092829450741452e-16]
Train,[-0.009493711406771077],[-1.3113953408897423e-16]
Train,[-0.009013386656620949],[9.1069120895121e-18]
Train,[-0.0007799177825090468],[0.034386940850618]
Train,[0.0010781165064776307],[1.45985827106679e-06]
Train,[0.0010817967849744655],[1.381861560628865e-06]
Train,[0.001986253042148389],[-0.004030206474187182]
Train,[-0.004528102531580431],[-4.100950617578291e-06]
Train,[-0.0022059088061813247],[0.04596011552868179]
Train,[-0.002616653167360447],[0.035023058718785624]
Train,[-0.0027105449808702375],[2.4524253964638855e-06]
Train,[-0.0031080375186733197],[-0.04635304026034097]
Train,[-0.004774016355806698],[8.766607765741092e-07]
Train,[-0.004774016355802813],[8.766607766032513e-07]
Train,[-0.003096143807543739],[-0.040709636276467155]
Train,[-0.0049648185073994135],[5.282009011917018e-17]
Train,[-0.004293577925437472],[-5.46414725370726e-18]
Train,[-0.004237555223312439],[1.82138241790242e-18]
Train,[-0.004065972810080118],[9.471188573092583e-17]
Train,[-0.007445838838003487],[-9.471188573092583e-17]
Train,[-0.00968837785519048],[1.82138241790242e-18]
Train,[-0.0089112921784007],[5.46414725370726e-18]
Train,[-0.00946921594388264],[1.092829450741452e-17]
Train,[-0.006614183096137292],[-3.64276483580484e-18]
Train,[-0.0064733346203514775],[-1.3113953408897423e-16]
Train,[-0.0064838044011310235],[-1.092829450741452e-16]
Train,[-0.006804637374111672],[9.1069120895121e-18]
Train,[-0.007020157481017406],[5.282009011917018e-17]
Train,[-0.006648159521370896],[1.82138241790242e-18]
Train,[-0.00664189491298725],[-5.46414725370726e-18]
Train,[-0.006486848417020708],[9.471188573092583e-17]
Train,[-0.006751194393463581],[-0.026621245462551197]
