Data,Predicted,Reference
Train,[-0.0013411983350120737],[-0.03225818565279794]
Train,[-0.01637596054854114],[-7.769851570889031e-07]
Train,[-0.01637596054857196],[-7.769851570670464e-07]
Train,[-0.005817600720356688],[-0.016908658625533646]
Train,[-0.0025184728353629927],[2.147515531627273e-06]
Train,[-0.003948353138137648],[-0.03181998237701682]
Train,[-0.005486756763900175],[-0.020466061799623576]
Train,[-0.00671229703752071],[-2.2178075255649983e-06]
Train,[0.00010271243924631028],[0.034386940850617984]
Train,[-0.0020506821168073024],[1.3818615606561856e-06]
Train,[-0.0021183414932748495],[1.4598582711141459e-06]
Train,[-0.005752513874430656],[-0.004030206474187189]
Train,[0.00234259820370769],[-9.471188573092583e-17]
Train,[-0.004028632785135775],[5.46414725370726e-18]
Train,[-0.0060417199247092546],[1.82138241790242e-18]
Train,[-0.00817018769691212],[1.092829450741452e-17]
Train,[-0.005399617631050211],[2.1475155316309158e-06]
Train,[-0.006042054015550291],[-0.02046606179962359]
Train,[-0.00305394031472854],[-0.03181998237701695]
Train,[-0.008620588418662483],[-2.2178075256323896e-06]
Train,[-0.012760176340830634],[-0.04557838729447085]
Train,[-0.0014947446492785358],[1.820191515441475e-06]
Train,[-0.0014947446493423825],[1.8201915155289015e-06]
Train,[-0.01997631144863159],[-0.07587621233758134]
Train,[-0.0007222698988064486],[-4.1009506176001475e-06]
Train,[-0.007737247185749442],[0.03502305871878561]
Train,[-0.004261381044230402],[0.04596011552868171]
Train,[-0.0016250681647598613],[2.452425396471171e-06]
Train,[-0.012925970601310139],[-3.64276483580484e-18]
Train,[-0.004989600671167468],[-1.092829450741452e-16]
Train,[-0.004247818682334613],[-1.3113953408897423e-16]
Train,[-0.0076296910126933265],[9.1069120895121e-18]
Train,[3.503217528210395e-05],[0.034386940850618]
Train,[-0.0021427001991738527],[1.45985827106679e-06]
Train,[-0.0020746981541050983],[1.381861560628865e-06]
Train,[-0.005765953140493203],[-0.004030206474187182]
Train,[0.007252809772384759],[-4.100950617578291e-06]
Train,[0.010938884248590146],[0.04596011552868179]
Train,[0.000501637937895691],[0.035023058718785624]
Train,[0.0035976919743685607],[2.4524253964638855e-06]
Train,[-0.007955498478920712],[-0.04635304026034097]
Train,[0.009775976876898827],[8.766607765741092e-07]
Train,[0.009775976876843055],[8.766607766032513e-07]
Train,[-0.006959181122428885],[-0.040709636276467155]
Train,[-0.0012513222786814102],[5.282009011917018e-17]
Train,[-0.0017110273177543963],[-5.46414725370726e-18]
Train,[-0.0024243102910442094],[1.82138241790242e-18]
Train,[0.005973785182768701],[9.471188573092583e-17]
Train,[-0.00429187160665119],[-9.471188573092583e-17]
Train,[-0.011633027531340694],[1.82138241790242e-18]
Train,[-0.00922131105912566],[5.46414725370726e-18]
Train,[-0.010082239543379647],[1.092829450741452e-17]
Train,[-0.013639412693288671],[-3.64276483580484e-18]
Train,[-0.004998954178266621],[-1.3113953408897423e-16]
Train,[-0.005748902071856146],[-1.092829450741452e-16]
Train,[-0.008390527932416405],[9.1069120895121e-18]
Train,[-0.013119551952563716],[5.282009011917018e-17]
Train,[-0.01473932161809055],[1.82138241790242e-18]
Train,[-0.01414202535871945],[-5.46414725370726e-18]
Train,[-0.0062397326637533826],[9.471188573092583e-17]
Train,[-0.013997059802597554],[-0.026621245462551197]
Train,[0.0014069238275162984],[-5.688607871304142e-07]
Train,[0.001406923827522196],[-5.688607871322355e-07]
Train,[-0.015901837718612734],[-0.010823945532928939]
Train,[-0.0013440526139970395],[-0.03225642570605386]
Train,[-0.008483234612333605],[7.900587201402797e-05]
Train,[-0.008483234612334236],[7.900587201395693e-05]
Train,[-0.005816876059901141],[-0.01692222211298195]
Train,[-0.004985992197733349],[0.00021839714942577227]
Train,[-0.001356867010826895],[0.03183374883540315]
Train,[-0.004073566355650192],[0.020468388897137785]
Train,[-0.004518632246185093],[-0.00022558532345777192]
Train,[0.00013134020152151717],[0.034430140265059306]
Train,[-0.004789945301478618],[-0.00014064887786440584]
Train,[-0.004886493373048429],[-0.00014859676587885906]
Train,[-0.005761789428588808],[-0.004036594411177927]
Train,[0.0028237586363861413],[-1.4753197585009603e-16]
Train,[-0.002931539727391386],[2.185658901482904e-17]
Train,[-0.003508196385888383],[1.457105934321936e-17]
Train,[-0.00796206218629966],[1.639244176112178e-17]
Train,[-0.009064567094296497],[0.0002183971494257249]
Train,[-0.008247912008113142],[0.020468388897137844]
Train,[-0.008153106328589019],[0.03183374883540315]
Train,[-0.0049475395100321805],[-0.00022558532345770454]
Train,[-0.012815800081884123],[-0.04565742741386274]
Train,[-0.011308270146147397],[-0.00018499056409219296]
Train,[-0.011308270146146895],[-0.00018499056409211466]
Train,[-0.019985911479795525],[-0.07587345187227598]
Train,[-0.008900618794310545],[-0.000417703483878227]
Train,[-0.012795794982869518],[-0.03506887734551717]
Train,[-0.013350794062666456],[-0.04598491259983777]
Train,[-0.011482558194104825],[0.00024937868650868835]
Train,[-0.012315378770198112],[-1.274967692531694e-17]
Train,[-0.004250338184722534],[1.5117474068590086e-16]
Train,[-0.003314434395874207],[1.9853068355136378e-16]
Train,[-0.004665147838800504],[-4.371317802965808e-17]
Train,[6.225178927155923e-05],[0.034430140265059465]
Train,[-0.0049235660519767535],[-0.0001485967658787516]
Train,[-0.0048266807610012116],[-0.00014064887786438763]
Train,[-0.005775590903383201],[-0.00403659441117794]
Train,[-0.0005056312847433357],[-0.00041770348387830354]
Train,[-0.008045718053333427],[-0.04598491259983788]
Train,[-0.007271208298213881],[-0.03506887734551722]
Train,[-0.003633683581523083],[0.00024937868650867014]
Train,[-0.007959979279630922],[-0.04642098563854254]
Train,[0.0028102627048602192],[-8.929989840338444e-05]
Train,[0.0028102627048591155],[-8.92998984034318e-05]
Train,[-0.006957607210972807],[-0.04070587366488182]
Train,[9.947329440667439e-05],[8.742635605931616e-17]
