Time,Iteration,Cost,Parameters
Sat Aug 24 22:19:24 2024,0,0.8008468626559557,[-2.88383087  2.21808205 -2.10492705 -0.09717845  0.57323966]
Sat Aug 24 22:20:21 2024,1,0.8095607831359176,[-2.86405846  2.23785446 -2.08515465 -0.07740604  0.59301207]
Sat Aug 24 22:21:18 2024,2,0.7791127730111898,[-2.84327362  2.2586393  -2.10593949 -0.09819088  0.57222723]
Sat Aug 24 22:22:15 2024,3,0.7860397110720581,[-2.82067649  2.28123643 -2.08334236 -0.07559375  0.5496301 ]
Sat Aug 24 22:23:12 2024,4,0.7608261654392431,[-2.8002485   2.26080844 -2.10377035 -0.09602174  0.52920211]
Sat Aug 24 22:24:09 2024,5,0.7530050611206852,[-2.77510958  2.23566952 -2.12890927 -0.12116066  0.50406319]
Sat Aug 24 22:25:05 2024,6,0.7390511620443274,[-2.74943423  2.20999416 -2.10323391 -0.14683601  0.47838783]
Sat Aug 24 22:26:02 2024,7,0.731435159127821,[-2.72331062  2.23611778 -2.12935753 -0.17295963  0.45226422]
Sat Aug 24 22:26:59 2024,8,0.7054433088220992,[-2.69581848  2.26360991 -2.10186539 -0.20045176  0.47975635]
Sat Aug 24 22:27:56 2024,9,0.6881645096087345,[-2.67157842  2.28784997 -2.07762533 -0.22469182  0.45551629]
Sat Aug 24 22:28:53 2024,10,0.6738350085331093,[-2.64371732  2.31571107 -2.10548644 -0.19683072  0.48337739]
Sat Aug 24 22:29:49 2024,11,0.6664334670631115,[-2.61595505  2.28794879 -2.13324871 -0.224593    0.45561512]
Sat Aug 24 22:30:46 2024,12,0.6548699058136237,[-2.58813955  2.31576429 -2.10543321 -0.1967775   0.42779962]
Sat Aug 24 22:31:42 2024,13,0.622835587858066,[-2.55981667  2.28744141 -2.07711034 -0.22510038  0.4561225 ]
Sat Aug 24 22:32:39 2024,14,0.6197565926643881,[-2.53149106  2.31576702 -2.10543594 -0.19677477  0.48444811]
Sat Aug 24 22:33:36 2024,15,0.5996861214043556,[-2.50576158  2.29003754 -2.07970646 -0.17104529  0.45871863]
Sat Aug 24 22:34:32 2024,16,0.5723724072425336,[-2.47785275  2.31794637 -2.10761529 -0.14313646  0.48662746]
Sat Aug 24 22:35:29 2024,17,0.5679275196662987,[-2.4496156   2.34618352 -2.13585244 -0.17137361  0.51486461]
Sat Aug 24 22:36:26 2024,18,0.5410369464907214,[-2.42399658  2.3205645  -2.16147146 -0.19699263  0.48924559]
Sat Aug 24 22:37:24 2024,19,0.5327162488480292,[-2.3979291   2.29449702 -2.13540398 -0.17092515  0.46317811]
Sat Aug 24 22:38:21 2024,20,0.5071649181473806,[-2.36850801  2.32391811 -2.10598289 -0.14150406  0.4925992 ]
Sat Aug 24 22:39:17 2024,21,0.49711026278976034,[-2.34094942  2.29635953 -2.13354147 -0.16906264  0.46504062]
Sat Aug 24 22:40:14 2024,22,0.4856082550154342,[-2.31383867  2.26924878 -2.10643072 -0.14195189  0.49215137]
Sat Aug 24 22:41:11 2024,23,0.46426078404810817,[-2.28721198  2.29587547 -2.13305741 -0.11532519  0.46552468]
Sat Aug 24 22:42:08 2024,24,0.449191667456563,[-2.2615928   2.32149465 -2.15867659 -0.08970601  0.49114386]
Sat Aug 24 22:43:04 2024,25,0.4321019413853492,[-2.23610623  2.29600808 -2.18416316 -0.11519258  0.51663043]
Sat Aug 24 22:44:01 2024,26,0.414535727770984,[-2.21043389  2.32168043 -2.15849082 -0.08952024  0.49095809]
Sat Aug 24 22:44:58 2024,27,0.4001357948422183,[-2.18457433  2.29582087 -2.13263126 -0.06366068  0.51681764]
Sat Aug 24 22:45:54 2024,28,0.3895091860328649,[-2.15967666  2.2709232  -2.15752893 -0.03876301  0.49191997]
Sat Aug 24 22:46:51 2024,29,0.3703154690103045,[-2.13502415  2.24627069 -2.18218144 -0.0141105   0.51657248]
Sat Aug 24 22:47:48 2024,30,0.3668805882758436,[-2.11244536  2.26884948 -2.15960265 -0.03668929  0.53915127]
Sat Aug 24 22:48:45 2024,31,0.3474283241139883,[-2.08959937  2.29169547 -2.13675666 -0.05953528  0.56199726]
Sat Aug 24 22:49:41 2024,32,0.3433673764444084,[-2.06752682  2.26962291 -2.1146841  -0.08160783  0.58406981]
Sat Aug 24 22:50:38 2024,33,0.3305932326375897,[-2.04550438  2.29164534 -2.09266167 -0.10363027  0.60609225]
Sat Aug 24 22:51:34 2024,34,0.3157921023103812,[-2.02586478  2.27200574 -2.07302207 -0.12326987  0.62573185]
Sat Aug 24 22:52:31 2024,35,0.30206925288029063,[-2.00584569  2.29202484 -2.09304117 -0.14328896  0.60571275]
Sat Aug 24 22:53:28 2024,36,0.29633726037823976,[-1.98570525  2.2718844  -2.07290073 -0.12314852  0.62585319]
Sat Aug 24 22:54:25 2024,37,0.28826289847835207,[-1.96663592  2.25281507 -2.09197005 -0.1040792   0.60678386]
Sat Aug 24 22:55:21 2024,38,0.2756445000037359,[-1.94738665  2.27206434 -2.11121932 -0.12332846  0.62603313]
Sat Aug 24 22:56:18 2024,39,0.27011241473626546,[-1.92935252  2.29009847 -2.12925345 -0.14136259  0.64406726]
Sat Aug 24 22:57:15 2024,40,0.2711432099330219,[-1.91248123  2.30696976 -2.14612474 -0.15823389  0.66093855]
Sat Aug 24 22:58:12 2024,41,0.2596331978859863,[-1.89563527  2.2901238  -2.12927879 -0.14138793  0.67778451]
Sat Aug 24 22:59:09 2024,42,0.25263185128573423,[-1.87995439  2.27444292 -2.14495966 -0.15706881  0.66210363]
Sat Aug 24 23:00:06 2024,43,0.24677254466348422,[-1.86461512  2.28978219 -2.12962039 -0.17240808  0.64676436]
Sat Aug 24 23:01:03 2024,44,0.23930263270106922,[-1.84848055  2.30591677 -2.11348582 -0.18854265  0.63062979]
Sat Aug 24 23:02:00 2024,45,0.23273314997946387,[-1.83501775  2.29245397 -2.12694861 -0.17507985  0.61716699]
Sat Aug 24 23:02:56 2024,46,0.23525929635861093,[-1.82123403  2.27867025 -2.14073234 -0.18886358  0.60338327]
Sat Aug 24 23:03:53 2024,47,0.23305224799057503,[-1.8075751   2.26501132 -2.12707342 -0.17520466  0.58972435]
Sat Aug 24 23:04:49 2024,48,0.22190555225706876,[-1.79517013  2.25260635 -2.13947838 -0.18760962  0.57731938]
Sat Aug 24 23:05:46 2024,49,0.2236260712846382,[-1.78194594  2.26583055 -2.15270258 -0.17438543  0.59054358]
Sat Aug 24 23:06:42 2024,50,0.2155156514329624,[-1.76955908  2.27821741 -2.16508944 -0.18677228  0.60293043]
Sat Aug 24 23:07:39 2024,51,0.21140320970274978,[-1.75694602  2.26560435 -2.15247638 -0.19938534  0.59031737]
Sat Aug 24 23:08:36 2024,52,0.20471465732846314,[-1.74486127  2.27768911 -2.14039162 -0.18730058  0.57823262]
Sat Aug 24 23:09:32 2024,53,0.20281971125037596,[-1.73494297  2.26777081 -2.15030992 -0.17738228  0.56831432]
Sat Aug 24 23:10:28 2024,54,0.20508877735428693,[-1.72413511  2.27857866 -2.16111778 -0.16657442  0.55750646]
Sat Aug 24 23:11:25 2024,55,0.1952434539331768,[-1.71373997  2.2889738  -2.17151292 -0.17696956  0.54711132]
Sat Aug 24 23:12:21 2024,56,0.1975942935835056,[-1.70305171  2.29966206 -2.18220118 -0.1662813   0.53642306]
Sat Aug 24 23:13:18 2024,57,0.19683868924114012,[-1.6942809   2.30843288 -2.19097199 -0.15751049  0.54519387]
Sat Aug 24 23:14:14 2024,58,0.18965567962202998,[-1.68564139  2.31707238 -2.18233249 -0.16614999  0.53655437]
Sat Aug 24 23:15:10 2024,59,0.19127129201484167,[-1.67699214  2.32572163 -2.17368324 -0.15750074  0.54520362]
Sat Aug 24 23:16:07 2024,60,0.1926622279766465,[-1.66916873  2.33354505 -2.18150665 -0.14967733  0.53738021]
Sat Aug 24 23:17:03 2024,61,0.18326553577026777,[-1.66180436  2.34090942 -2.18887102 -0.1570417   0.54474458]
Sat Aug 24 23:17:59 2024,62,0.18454410211952071,[-1.65418215  2.33328721 -2.19649323 -0.14941949  0.55236678]
Sat Aug 24 23:18:56 2024,63,0.1806669039170055,[-1.64485848  2.32396354 -2.18716956 -0.14009582  0.56169045]
Sat Aug 24 23:19:53 2024,64,0.17720474705113165,[-1.63765462  2.3311674  -2.1799657  -0.13289196  0.55448659]
Sat Aug 24 23:20:49 2024,65,0.17740156680650193,[-1.63025073  2.33857128 -2.17256181 -0.12548808  0.54708271]
Sat Aug 24 23:21:45 2024,66,0.1771030935012047,[-1.62303938  2.34578264 -2.16535046 -0.11827672  0.53987135]
Sat Aug 24 23:22:42 2024,67,0.1792963720109274,[-1.6163481   2.33909136 -2.17204173 -0.124968    0.53318007]
Sat Aug 24 23:23:38 2024,68,0.17561132652434952,[-1.61030499  2.33304825 -2.16599862 -0.13101111  0.52713696]
Sat Aug 24 23:24:35 2024,69,0.17357659246041643,[-1.60419971  2.33915354 -2.15989334 -0.13711639  0.52103168]
Sat Aug 24 23:25:31 2024,70,0.17180234679395998,[-1.59803677  2.34531647 -2.16605628 -0.14327932  0.52719462]
Sat Aug 24 23:26:28 2024,71,0.1736982884270598,[-1.59159555  2.33887525 -2.15961506 -0.14972054  0.5207534 ]
Sat Aug 24 23:27:25 2024,72,0.16725612938639564,[-1.58631283  2.33359253 -2.16489778 -0.14443782  0.52603612]
Sat Aug 24 23:28:21 2024,73,0.17621268369292342,[-1.5811073   2.33879807 -2.15969224 -0.14964336  0.52083058]
Sat Aug 24 23:29:18 2024,74,0.1755162351685574,[-1.57604922  2.34385614 -2.16475032 -0.14458528  0.51577251]
