Data,Predicted,Reference
Train,[-0.010928963621244644],[-0.03225818565279794]
Train,[-0.013086554718949357],[-7.769851570889031e-07]
Train,[-0.013086554718951444],[-7.769851570670464e-07]
Train,[-0.011411880376171885],[-0.016908658625533646]
Train,[-0.004418725016697572],[2.147515531627273e-06]
Train,[-0.006938999705138971],[-0.03181998237701682]
Train,[-0.006832392495976528],[-0.020466061799623576]
Train,[-0.008720265540742735],[-2.2178075255649983e-06]
Train,[-0.0022650851889512444],[0.034386940850617984]
Train,[-0.004095446853600081],[1.3818615606561856e-06]
Train,[-0.004097773904182014],[1.4598582711141459e-06]
Train,[-0.006524747200981227],[-0.004030206474187189]
Train,[-0.0011117870141737084],[-9.471188573092583e-17]
Train,[-0.0034281914017074483],[5.46414725370726e-18]
Train,[-0.003490536957196443],[1.82138241790242e-18]
Train,[-0.005675526820598347],[1.092829450741452e-17]
Train,[-0.007260610280381492],[2.1475155316309158e-06]
Train,[-0.006325181583646032],[-0.02046606179962359]
Train,[-0.006924102415497536],[-0.03181998237701695]
Train,[-0.003980468461595904],[-2.2178075256323896e-06]
Train,[-0.01931273162020836],[-0.04557838729447085]
Train,[-0.01342005231817647],[1.820191515441475e-06]
Train,[-0.013420052318185898],[1.8201915155289015e-06]
Train,[-0.017239994808647022],[-0.07587621233758134]
Train,[-0.017560066620516897],[-4.1009506176001475e-06]
Train,[-0.019961256800617725],[0.03502305871878561]
Train,[-0.020347920963651504],[0.04596011552868171]
Train,[-0.013749458864910389],[2.452425396471171e-06]
Train,[-0.019199509267644663],[-3.64276483580484e-18]
Train,[-0.016707600918307624],[-1.092829450741452e-16]
Train,[-0.016578544080678954],[-1.3113953408897423e-16]
Train,[-0.015696585732287677],[9.1069120895121e-18]
Train,[-0.0024154024038719104],[0.034386940850618]
Train,[-0.004193554821624987],[1.45985827106679e-06]
Train,[-0.004190982123707774],[1.381861560628865e-06]
Train,[-0.0066536177484919756],[-0.004030206474187182]
Train,[0.005039151203371337],[-4.100950617578291e-06]
Train,[0.0016194065168096974],[0.04596011552868179]
Train,[0.0024132358232087318],[0.035023058718785624]
Train,[0.002132159932975656],[2.4524253964638855e-06]
Train,[0.003350698914248438],[-0.04635304026034097]
Train,[0.0053494301565691306],[8.766607765741092e-07]
Train,[0.005349430156564865],[8.766607766032513e-07]
Train,[0.0031773988688409754],[-0.040709636276467155]
Train,[0.005727767140538009],[5.282009011917018e-17]
Train,[0.004873071571989598],[-5.46414725370726e-18]
Train,[0.004807735355059124],[1.82138241790242e-18]
Train,[0.004355240352906349],[9.471188573092583e-17]
Train,[-0.010355802651064058],[-9.471188573092583e-17]
Train,[-0.012346541010370487],[1.82138241790242e-18]
Train,[-0.01190538285198906],[5.46414725370726e-18]
Train,[-0.01279965846461485],[1.092829450741452e-17]
Train,[-0.00950277270985554],[-3.64276483580484e-18]
Train,[-0.00816396959230441],[-1.3113953408897423e-16]
