Data,Predicted,Reference
Train,[-0.01276467312015645],[-0.03225818565279794]
Train,[-0.012703956390430869],[-7.769851570889031e-07]
Train,[-0.012703956390430815],[-7.769851570670464e-07]
Train,[-0.012774235080217772],[-0.016908658625533646]
Train,[-0.012648933076569774],[2.147515531627273e-06]
Train,[-0.012711462561559063],[-0.03181998237701682]
Train,[-0.012689702830052883],[-0.020466061799623576]
Train,[-0.012661035844434492],[-2.2178075255649983e-06]
Train,[-0.01279088541080552],[0.034386940850617984]
Train,[-0.012647201047943571],[1.3818615606561856e-06]
Train,[-0.012647736724027114],[1.4598582711141459e-06]
Train,[-0.012687664440093402],[-0.004030206474187189]
Train,[-0.01265641617359429],[-9.471188573092583e-17]
Train,[-0.01266931284837473],[5.46414725370726e-18]
Train,[-0.012685345633286448],[1.82138241790242e-18]
Train,[-0.012662963209048363],[1.092829450741452e-17]
Train,[-0.025539743662320476],[2.1475155316309158e-06]
Train,[-0.023191779106061586],[-0.02046606179962359]
Train,[-0.022280274846052134],[-0.03181998237701695]
Train,[-0.024912636894165213],[-2.2178075256323896e-06]
Train,[-0.021321451726390717],[-0.04557838729447085]
Train,[-0.02494585706672301],[1.820191515441475e-06]
Train,[-0.024945857066715982],[1.8201915155289015e-06]
Train,[-0.018406922696409596],[-0.07587621233758134]
Train,[-0.023314416470893034],[-4.1009506176001475e-06]
Train,[-0.01990080340279104],[0.03502305871878561]
Train,[-0.018257270582504637],[0.04596011552868171]
Train,[-0.024841668018747043],[2.452425396471171e-06]
Train,[-0.022240100632082725],[-3.64276483580484e-18]
Train,[-0.02369741705878772],[-1.092829450741452e-16]
Train,[-0.023783178711917728],[-1.3113953408897423e-16]
Train,[-0.02373511830010604],[9.1069120895121e-18]
Train,[-0.012623709708318774],[0.034386940850618]
Train,[-0.01245258080912336],[1.45985827106679e-06]
Train,[-0.012451938818957765],[1.381861560628865e-06]
Train,[-0.012500431647885904],[-0.004030206474187182]
Train,[-0.012507108142777886],[-4.100950617578291e-06]
Train,[-0.012708286109569457],[0.04596011552868179]
Train,[-0.012621607942248892],[0.035023058718785624]
Train,[-0.012470163782535749],[2.4524253964638855e-06]
Train,[-0.012609119792212244],[-0.04635304026034097]
Train,[-0.012502724906237354],[8.766607765741092e-07]
Train,[-0.012502724906237545],[8.766607766032513e-07]
Train,[-0.012557856439516471],[-0.040709636276467155]
