Time,Iteration,Cost,Parameters
Sat Aug 24 23:26:20 2024,0,0.43202351718799825,[-2.89917354  2.23342472 -2.12828955 -0.12054094  0.54987717 -2.76609906
  3.07259489  2.19361136  1.18151007 -1.06247317]
Sat Aug 24 23:28:08 2024,1,0.43867301810408305,[-2.89553088  2.23706738 -2.1319322  -0.11689829  0.55351982 -2.76974171
  3.07623755  2.18996871  1.17786742 -1.05883052]
Sat Aug 24 23:29:56 2024,2,0.43855333183012524,[-2.89216139  2.24043687 -2.1353017  -0.12026778  0.55015032 -2.76637222
  3.07286805  2.18659922  1.17449793 -1.05546103]
Sat Aug 24 23:31:45 2024,3,0.4349634268608569,[-2.88862973  2.24396853 -2.13883335 -0.11673612  0.55368198 -2.76284056
  3.06933639  2.18306756  1.17802958 -1.05192937]
Sat Aug 24 23:33:34 2024,4,0.43683653573870573,[-2.88504264  2.24755562 -2.13524627 -0.12032321  0.55726907 -2.76642764
  3.07292348  2.18665464  1.18161667 -1.05551645]
Sat Aug 24 23:35:22 2024,5,0.43498641843053937,[-2.88211498  2.25048328 -2.13231861 -0.12325087  0.5543414  -2.76935531
  3.06999581  2.18372698  1.18454433 -1.05258879]
Sat Aug 24 23:37:11 2024,6,0.43566186558138315,[-2.87863896  2.2539593  -2.12884259 -0.12672689  0.55781742 -2.77283133
  3.0665198   2.18025096  1.18106831 -1.05606481]
Sat Aug 24 23:38:59 2024,7,0.440449772894511,[-2.87489027  2.25021061 -2.1250939  -0.1229782   0.55406873 -2.77658002
  3.06277111  2.17650227  1.17731962 -1.0598135 ]
Sat Aug 24 23:40:46 2024,8,0.43789278664706704,[-2.8706134   2.25448748 -2.12937077 -0.11870132  0.55834561 -2.77230314
  3.05849423  2.1722254   1.1815965  -1.06409037]
Sat Aug 24 23:42:33 2024,9,0.43863498331502143,[-2.86608718  2.2590137  -2.13389699 -0.11417511  0.56287182 -2.77682936
  3.06302045  2.16769918  1.17707028 -1.05956415]
Sat Aug 24 23:44:21 2024,10,0.4349517870512708,[-2.86253809  2.2554646  -2.13744608 -0.1177242   0.56642092 -2.77328027
  3.05947135  2.16415009  1.18061938 -1.06311325]
Sat Aug 24 23:46:08 2024,11,0.4322025842122795,[-2.85887328  2.25912942 -2.1411109  -0.11405939  0.5627561  -2.77694508
  3.06313617  2.1678149   1.17695456 -1.05944843]
Sat Aug 24 23:47:56 2024,12,0.4359164208550984,[-2.85447027  2.25472641 -2.13670789 -0.11846239  0.56715911 -2.78134809
  3.06753918  2.17221791  1.17255155 -1.05504542]
Sat Aug 24 23:49:44 2024,13,0.43263779127756374,[-2.84988525  2.25931143 -2.14129291 -0.11387738  0.57174413 -2.77676307
  3.07212419  2.17680293  1.17713657 -1.05046041]
Sat Aug 24 23:51:33 2024,14,0.4328153306087477,[-2.84492406  2.25435023 -2.13633171 -0.11883857  0.56678293 -2.78172426
  3.067163    2.18176412  1.18209777 -1.0554216 ]
Sat Aug 24 23:53:20 2024,15,0.4335247103527668,[-2.84086527  2.25029144 -2.13227292 -0.11477978  0.56272414 -2.77766547
  3.06310421  2.17770533  1.18615656 -1.05136281]
Sat Aug 24 23:55:08 2024,16,0.4360751879332846,[-2.83552716  2.24495334 -2.13761103 -0.12011789  0.55738603 -2.77232737
  3.06844231  2.18304344  1.19149466 -1.04602471]
Sat Aug 24 23:56:55 2024,17,0.4331193268704283,[-2.83018339  2.23960956 -2.13226725 -0.12546166  0.55204226 -2.76698359
  3.07378609  2.17769966  1.18615089 -1.04068093]
Sat Aug 24 23:58:41 2024,18,0.43147328337561186,[-2.82592648  2.24386647 -2.12801035 -0.12120476  0.55629916 -2.76272669
  3.078043    2.18195657  1.19040779 -1.04493784]
Sun Aug 25 00:00:29 2024,19,0.43082377572325176,[-2.82094151  2.2388815  -2.12302538 -0.12618973  0.5513142  -2.75774172
  3.07305803  2.1769716   1.18542282 -1.04992281]
Sun Aug 25 00:02:17 2024,20,0.42997106461903284,[-2.8168803   2.2429427  -2.11896417 -0.12212852  0.5553754  -2.75368051
  3.06899682  2.1810328   1.18948403 -1.05398401]
Sun Aug 25 00:04:05 2024,21,0.42435862631269117,[-2.81210193  2.24772108 -2.12374255 -0.11735014  0.55059702 -2.75845889
  3.06421844  2.17625442  1.18470565 -1.05876239]
Sun Aug 25 00:05:53 2024,22,0.42720971527084434,[-2.80732756  2.24294672 -2.12851691 -0.11257578  0.55537139 -2.75368453
  3.05944408  2.17148006  1.17993129 -1.06353675]
Sun Aug 25 00:07:41 2024,23,0.42510962390760776,[-2.80287873  2.24739555 -2.13296574 -0.11702461  0.55982022 -2.7492357
  3.06389291  2.16703123  1.17548246 -1.05908792]
Sun Aug 25 00:09:28 2024,24,0.4296629039545543,[-2.79743052  2.25284376 -2.13841395 -0.12247282  0.554372   -2.74378748
  3.06934112  2.17247944  1.18093067 -1.06453614]
Sun Aug 25 00:11:15 2024,25,0.4282109564959341,[-2.79164554  2.25862875 -2.13262897 -0.1282578   0.54858702 -2.74957247
  3.0751261   2.16669446  1.17514569 -1.05875115]
Sun Aug 25 00:13:02 2024,26,0.4273340568223527,[-2.78865393  2.26162035 -2.12963736 -0.12526619  0.54559541 -2.75256408
  3.07811771  2.16968607  1.17215408 -1.05575954]
Sun Aug 25 00:14:48 2024,27,0.4292633976812903,[-2.78381198  2.2567784  -2.13447931 -0.13010814  0.55043736 -2.74772212
  3.07327576  2.16484412  1.17699603 -1.05091759]
