Data,Predicted,Reference
Train,[-0.013088427936987562],[-0.03225818565279794]
Train,[-0.0021398286413866863],[-7.769851570889031e-07]
Train,[-0.0021398286413805024],[-7.769851570670464e-07]
Train,[-0.012408622842889423],[-0.016908658625533646]
Train,[0.010387665860014864],[2.147515531627273e-06]
Train,[-0.008046817520763019],[-0.03181998237701682]
Train,[-0.005032305572593997],[-0.020466061799623576]
Train,[0.0069346265273004205],[-2.2178075255649983e-06]
Train,[-0.01757328292649577],[0.034386940850617984]
Train,[0.010995940880298706],[1.3818615606561856e-06]
Train,[0.010835513653140722],[1.4598582711141459e-06]
Train,[-0.0035131865540156074],[-0.004030206474187189]
Train,[0.009089488327509988],[-9.471188573092583e-17]
Train,[0.0036982533898880987],[5.46414725370726e-18]
Train,[-0.0012010854803132282],[1.82138241790242e-18]
Train,[0.003960850295194369],[1.092829450741452e-17]
Train,[-0.0018900740531376332],[2.1475155316309158e-06]
Train,[-0.029906363008460654],[-0.02046606179962359]
Train,[-0.032042502755649474],[-0.03181998237701695]
Train,[-0.004064356360520198],[-2.2178075256323896e-06]
Train,[-0.02628528254395657],[-0.04557838729447085]
Train,[0.003253713358526305],[1.820191515441475e-06]
Train,[0.0032537133584769713],[1.8201915155289015e-06]
Train,[-0.030674797642614722],[-0.07587621233758134]
Train,[0.0035241834023980317],[-4.1009506176001475e-06]
Train,[-0.01567814077200568],[0.03502305871878561]
Train,[-0.012692051584130627],[0.04596011552868171]
Train,[0.0032496756915110117],[2.452425396471171e-06]
Train,[-0.005096750407823385],[-3.64276483580484e-18]
Train,[-0.0025208204681463177],[-1.092829450741452e-16]
Train,[-0.002342187182942354],[-1.3113953408897423e-16]
Train,[7.590516452921459e-05],[9.1069120895121e-18]
Train,[-0.0175762319195494],[0.034386940850618]
Train,[0.010825417301258333],[1.45985827106679e-06]
Train,[0.010984796265491183],[1.381861560628865e-06]
Train,[-0.0035024207881977926],[-0.004030206474187182]
Train,[0.011737893621651419],[-4.100950617578291e-06]
Train,[-0.013901094372415594],[0.04596011552868179]
Train,[-0.009675462538236953],[0.035023058718785624]
Train,[0.012157733119158923],[2.4524253964638855e-06]
Train,[-0.0150428968929938],[-0.04635304026034097]
Train,[0.012996774369204487],[8.766607765741092e-07]
Train,[0.012996774369174055],[8.766607766032513e-07]
Train,[-0.010840865487011322],[-0.040709636276467155]
Train,[0.0005219815757085063],[5.282009011917018e-17]
Train,[-0.0036133855499653196],[-5.46414725370726e-18]
Train,[-0.004231701945011455],[1.82138241790242e-18]
Train,[0.003788049524334646],[9.471188573092583e-17]
Train,[-0.002482934057162186],[-9.471188573092583e-17]
Train,[-0.023408798384073268],[1.82138241790242e-18]
Train,[-0.014482634503718504],[5.46414725370726e-18]
Train,[-0.014310098271923144],[1.092829450741452e-17]
Train,[-0.006392721979928713],[-3.64276483580484e-18]
Train,[0.0026447162301110132],[-1.3113953408897423e-16]
Train,[0.0018908674888773833],[-1.092829450741452e-16]
Train,[-0.004208021331858816],[9.1069120895121e-18]
Train,[-0.006478758776195916],[5.282009011917018e-17]
Train,[-0.007927957542653364],[1.82138241790242e-18]
Train,[-0.00698581501812108],[-5.46414725370726e-18]
Train,[0.0015823908286068577],[9.471188573092583e-17]
Train,[0.0017957591235214568],[-0.026621245462551197]
Train,[0.00046814893717843787],[-5.688607871304142e-07]
Train,[0.0004681489371811153],[-5.688607871322355e-07]
Train,[0.002060764912974875],[-0.010823945532928939]
Train,[-0.013054762371919023],[-0.03225642570605386]
Train,[-0.00544336897946907],[7.900587201402797e-05]
Train,[-0.005443368979468614],[7.900587201395693e-05]
Train,[-0.012399486595293172],[-0.01692222211298195]
Train,[0.0035133486064981823],[0.00021839714942577227]
Train,[-0.02247860518312969],[0.03183374883540315]
Train,[-0.014751630949266029],[0.020468388897137785]
Train,[0.0007938626176637076],[-0.00022558532345777192]
Train,[-0.017557148771069273],[0.034430140265059306]
Train,[0.004437949243547505],[-0.00014064887786440584]
Train,[0.004206935600315574],[-0.00014859676587885906]
Train,[-0.003509315874212265],[-0.004036594411177927]
Train,[0.009913894640964512],[-1.4753197585009603e-16]
Train,[0.006132613251212194],[2.185658901482904e-17]
Train,[0.004831134648029533],[1.457105934321936e-17]
Train,[0.0044732381151702015],[1.639244176112178e-17]
Train,[-0.01431679286002834],[0.0002183971494257249]
Train,[-0.03148297900341588],[0.020468388897137844]
Train,[-0.035821121411745815],[0.03183374883540315]
Train,[-0.01704738709011117],[-0.00022558532345770454]
Train,[-0.026348546747906803],[-0.04565742741386274]
Train,[-0.006192350981749807],[-0.00018499056409219296]
Train,[-0.006192350981749214],[-0.00018499056409211466]
Train,[-0.030774512766557006],[-0.07587345187227598]
Train,[-0.004248322802792257],[-0.000417703483878227]
Train,[-0.024126250885703315],[-0.03506887734551717]
Train,[-0.026106388540312303],[-0.04598491259983777]
Train,[-0.006235197824679868],[0.00024937868650868835]
Train,[-0.0050854019326870325],[-1.274967692531694e-17]
Train,[-0.0023291255453737583],[1.5117474068590086e-16]
Train,[-0.0020772290805311606],[1.9853068355136378e-16]
Train,[0.0004480193363082679],[-4.371317802965808e-17]
Train,[-0.01756085640524288],[0.034430140265059465]
Train,[0.0042319696590291415],[-0.0001485967658787516]
Train,[0.004461982574077077],[-0.00014064887786438763]
Train,[-0.003498292615161345],[-0.00403659441117794]
Train,[0.006177344600341309],[-0.00041770348387830354]
Train,[-0.011556116559517722],[-0.04598491259983788]
Train,[-0.006862246733250373],[-0.03506887734551722]
Train,[0.005745680326395501],[0.00024937868650867014]
Train,[-0.015063628981938842],[-0.04642098563854254]
Train,[0.008498899139867136],[-8.929989840338444e-05]
Train,[0.008498899139866331],[-8.92998984034318e-05]
Train,[-0.010845383709806894],[-0.04070587366488182]
Train,[0.001507571091463706],[8.742635605931616e-17]
Train,[-0.0006285411495128231],[-3.096350110434114e-17]
Train,[-0.0014677582663500572],[-2.367797143273146e-17]
Train,[0.004367306750989801],[1.274967692531694e-16]
Train,[-0.0010805468539514132],[-1.4753197585009603e-16]
Train,[-0.012405939754016151],[1.457105934321936e-17]
Train,[-0.010026613163942256],[2.185658901482904e-17]
Train,[-0.013356896960435143],[1.639244176112178e-17]
Train,[-0.005445525577168233],[-1.274967692531694e-17]
Train,[0.0035930643012688592],[1.9853068355136378e-16]
