Data,Predicted,Reference
Train,[-0.014128877177219168],[-0.03225818565279794]
Train,[0.0011186138050528777],[-7.769851570889031e-07]
Train,[0.00111861380505938],[-7.769851570670464e-07]
Train,[-0.013846899475525063],[-0.016908658625533646]
Train,[0.010374803608435222],[2.147515531627273e-06]
Train,[-0.00804744014537997],[-0.03181998237701682]
Train,[-0.006132788991501324],[-0.020466061799623576]
Train,[0.007747439456886964],[-2.2178075255649983e-06]
Train,[-0.01664506393512137],[0.034386940850617984]
Train,[0.010959020170687091],[1.3818615606561856e-06]
Train,[0.010795909535415963],[1.4598582711141459e-06]
Train,[-0.004019312574834836],[-0.004030206474187189]
Train,[0.00700045564756442],[-9.471188573092583e-17]
Train,[0.0014749712538983343],[5.46414725370726e-18]
Train,[-0.00408434775444831],[1.82138241790242e-18]
Train,[0.002596250026128437],[1.092829450741452e-17]
Train,[-0.0001747218406755062],[2.1475155316309158e-06]
Train,[-0.028067158061290058],[-0.02046606179962359]
Train,[-0.029207727582191673],[-0.03181998237701695]
Train,[-0.002771702491901637],[-2.2178075256323896e-06]
Train,[-0.024980977698531394],[-0.04557838729447085]
Train,[0.0027823304868208466],[1.820191515441475e-06]
Train,[0.00278233048676065],[1.8201915155289015e-06]
Train,[-0.025628613541954705],[-0.07587621233758134]
Train,[0.00012470438172872982],[-4.1009506176001475e-06]
Train,[-0.013220237873389936],[0.03502305871878561]
Train,[-0.0064325397317603695],[0.04596011552868171]
Train,[0.00255466481219152],[2.452425396471171e-06]
Train,[-0.002074785348881714],[-3.64276483580484e-18]
Train,[0.001004738350037348],[-1.092829450741452e-16]
Train,[0.001129218809772223],[-1.3113953408897423e-16]
Train,[0.00420148503518902],[9.1069120895121e-18]
Train,[-0.016633162830399693],[0.034386940850618]
Train,[0.010867470875285959],[1.45985827106679e-06]
Train,[0.011029259424488205],[1.381861560628865e-06]
Train,[-0.003943711347368021],[-0.004030206474187182]
Train,[0.010493536134437022],[-4.100950617578291e-06]
Train,[-0.01449126686400787],[0.04596011552868179]
Train,[-0.009918272326694575],[0.035023058718785624]
Train,[0.011709622225085965],[2.4524253964638855e-06]
Train,[-0.00785209096048107],[-0.04635304026034097]
Train,[0.011350907265690999],[8.766607765741092e-07]
Train,[0.011350907265668564],[8.766607766032513e-07]
Train,[-0.00473956934270787],[-0.040709636276467155]
Train,[-0.00563406603853166],[5.282009011917018e-17]
Train,[-0.009321869336290419],[-5.46414725370726e-18]
Train,[-0.009942898243394704],[1.82138241790242e-18]
Train,[-0.0008335991317972],[9.471188573092583e-17]
Train,[-0.000844391642348971],[-9.471188573092583e-17]
Train,[-0.020464836613399994],[1.82138241790242e-18]
Train,[-0.01211980293750222],[5.46414725370726e-18]
Train,[-0.011199607890423855],[1.092829450741452e-17]
Train,[-0.006771657375812653],[-3.64276483580484e-18]
Train,[0.003186807187454693],[-1.3113953408897423e-16]
Train,[0.0023131859417426064],[-1.092829450741452e-16]
Train,[-0.003898707652716991],[9.1069120895121e-18]
Train,[-0.006585555389719468],[5.282009011917018e-17]
Train,[-0.00837206219687804],[1.82138241790242e-18]
Train,[-0.007394452388010508],[-5.46414725370726e-18]
Train,[0.0019576593925132576],[9.471188573092583e-17]
Train,[0.00399230445299544],[-0.026621245462551197]
Train,[0.007771751971469397],[-5.688607871304142e-07]
Train,[0.007771751971471192],[-5.688607871322355e-07]
Train,[0.007998828833454668],[-0.010823945532928939]
Train,[-0.014095329151003873],[-0.03225642570605386]
Train,[-0.0022951486645184844],[7.900587201402797e-05]
Train,[-0.0022951486645180416],[7.900587201395693e-05]
Train,[-0.013841462218724166],[-0.01692222211298195]
Train,[0.0034898946522991135],[0.00021839714942577227]
Train,[-0.019917278992006727],[0.03183374883540315]
Train,[-0.012138575026478032],[0.020468388897137785]
Train,[0.001503044694820763],[-0.00022558532345777192]
Train,[-0.01664081060898528],[0.034430140265059306]
Train,[0.004363747960535534],[-0.00014064887786440584]
Train,[0.004133298084876596],[-0.00014859676587885906]
Train,[-0.004019447193071874],[-0.004036594411177927]
Train,[0.007930957516204668],[-1.4753197585009603e-16]
Train,[0.004271661862252918],[2.185658901482904e-17]
Train,[0.0027714656372625746],[1.457105934321936e-17]
Train,[0.0031979473429729535],[1.639244176112178e-17]
Train,[-0.012733711779210984],[0.0002183971494257249]
Train,[-0.026091192710440362],[0.020468388897137844]
Train,[-0.03225193671535464],[0.03183374883540315]
Train,[-0.015100655324138798],[-0.00022558532345770454]
Train,[-0.02500061244921937],[-0.04565742741386274]
Train,[-0.007955131148946757],[-0.00018499056409219296]
Train,[-0.007955131148946082],[-0.00018499056409211466]
Train,[-0.025730718975408805],[-0.07587345187227598]
Train,[-0.009351096247914288],[-0.000417703483878227]
Train,[-0.02753006897666417],[-0.03506887734551717]
Train,[-0.024615231607934395],[-0.04598491259983777]
Train,[-0.008144219301109824],[0.00024937868650868835]
Train,[-0.0020798186060823013],[-1.274967692531694e-17]
Train,[0.0011602971664367904],[1.5117474068590086e-16]
Train,[0.001336710432528366],[1.9853068355136378e-16]
Train,[0.004698536119690455],[-4.371317802965808e-17]
Train,[-0.01662964438807936],[0.034430140265059465]
Train,[0.004247581020462338],[-0.0001485967658787516]
Train,[0.004477012488209808],[-0.00014064887786438763]
Train,[-0.003942226114532235],[-0.00403659441117794]
Train,[0.005659369252864477],[-0.00041770348387830354]
Train,[-0.004059310089644418],[-0.04598491259983788]
Train,[-0.004578788920883331],[-0.03506887734551722]
Train,[0.005591086214181069],[0.00024937868650867014]
Train,[-0.007890218261803753],[-0.04642098563854254]
Train,[0.007662657811265631],[-8.929989840338444e-05]
Train,[0.007662657811264942],[-8.92998984034318e-05]
Train,[-0.00474590011565993],[-0.04070587366488182]
Train,[-0.004611399331518939],[8.742635605931616e-17]
Train,[-0.006256326845608682],[-3.096350110434114e-17]
Train,[-0.007130619970826167],[-2.367797143273146e-17]
Train,[-0.00020868033354408012],[1.274967692531694e-16]
Train,[0.0006032570163666167],[-1.4753197585009603e-16]
Train,[-0.010130636128552804],[1.457105934321936e-17]
Train,[-0.007777541321738993],[2.185658901482904e-17]
Train,[-0.010274546377312762],[1.639244176112178e-17]
Train,[-0.005813189289717937],[-1.274967692531694e-17]
Train,[0.004266910460024162],[1.9853068355136378e-16]
Train,[0.0032093319809569955],[1.5117474068590086e-16]
Train,[0.0006567732438789352],[-4.371317802965808e-17]
Train,[-0.005377941474501634],[8.742635605931616e-17]
Train,[-0.004163722184011392],[-2.367797143273146e-17]
Train,[-0.0029391948779769065],[-3.096350110434114e-17]
Train,[0.002753514122172263],[1.274967692531694e-16]
Train,[0.004000369150725986],[-0.026634468268519597]
Train,[0.006464050788090833],[5.783038463533851e-05]
Train,[0.00646405078809084],[5.7830384635351266e-05]
Train,[0.008046741111911017],[-0.010832636499721451]
Train,[-0.014135839953284884],[-0.032258451158275296]
Train,[-0.0005113248452630218],[-1.3271416039564208e-05]
Train,[-0.000511324845265854],[-1.3271416039666206e-05]
Train,[-0.013847959107990948],[-0.016905929475836967]
Train,[0.006463025907615884],[3.667982742938658e-05]
Train,[-0.008048933851183004],[-0.03181689782676138]
Train,[-0.006133731567550059],[-0.020465344205368968]
Train,[0.0042654545921606045],[-3.7879038950043834e-05]
Train,[-0.016645879937827013],[0.03437783697126322]
Train,[0.007160127568282449],[2.359828106542327e-05]
Train,[0.0069536886438941225],[2.4929931815233868e-05]
Train,[-0.004019252167596062],[-0.004028753092825896]
Train,[0.006830577215896205],[-8.19622088056089e-17]
Train,[0.004909459362215524],[1.82138241790242e-17]
Train,[0.003996637123329534],[1.274967692531694e-17]
Train,[0.0020199716661771713],[7.28552967160968e-18]
Train,[-0.007558729063887098],[3.667982742931737e-05]
Train,[-0.028049524984766157],[-0.02046534420536899]
Train,[-0.029187893712946143],[-0.031816897826761434]
Train,[-0.010122843324601309],[-3.787903895011487e-05]
Train,[-0.02497681976461471],[-0.045562209296626306]
Train,[-0.0032260750048265195],[3.1093243300779163e-05]
Train,[-0.003226075004822786],[3.1093243300713596e-05]
Train,[-0.025607692878547583],[-0.07587647421210354]
Train,[-0.00498596052309038],[-7.002230991633843e-05]
Train,[-0.013207952529993858],[0.03501319319465092]
Train,[-0.006417924417736445],[0.04595459277084304]
Train,[-0.0034583001899078153],[4.188850986001449e-05]
Train,[-0.0021221358394423787],[1.639244176112178e-17]
Train,[0.0009602337651543296],[-9.471188573092583e-17]
