Data,Predicted,Reference
Train,[-0.032988759266832327],[-0.03225818565279794]
Train,[0.0036490543857562725],[-7.769851570889031e-07]
Train,[0.0036490543857663447],[-7.769851570670464e-07]
Train,[-0.01876105279959353],[-0.016908658625533646]
Train,[-0.0009900081930844461],[2.147515531627273e-06]
Train,[-0.025672501171453026],[-0.03181998237701682]
Train,[-0.020153280292782776],[-0.020466061799623576]
Train,[0.002619895351464936],[-2.2178075255649983e-06]
Train,[-0.005813313570924448],[0.034386940850617984]
Train,[-0.000837862437133714],[1.3818615606561856e-06]
Train,[-0.0010012746692351783],[1.4598582711141459e-06]
Train,[-0.016244972393114985],[-0.004030206474187189]
Train,[-0.011181849879023738],[-9.471188573092583e-17]
Train,[-0.012734286968926874],[5.46414725370726e-18]
Train,[-0.015551452505037944],[1.82138241790242e-18]
Train,[-0.007829013316720472],[1.092829450741452e-17]
Train,[0.0031626886091142407],[2.1475155316309158e-06]
Train,[-0.017017242046392912],[-0.02046606179962359]
Train,[-0.0217543438373595],[-0.03181998237701695]
Train,[0.0030980399130768905],[-2.2178075256323896e-06]
Train,[-0.020384661951014807],[-0.04557838729447085]
Train,[-0.0003398084647322715],[1.820191515441475e-06]
Train,[-0.0003398084647494544],[1.8201915155289015e-06]
Train,[-0.02165228094509806],[-0.07587621233758134]
Train,[-0.003170639623522407],[-4.1009506176001475e-06]
Train,[-0.008572417111805224],[0.03502305871878561]
Train,[-0.006499271277667073],[0.04596011552868171]
Train,[-0.0006224291595610516],[2.452425396471171e-06]
Train,[-0.011366329762337599],[-3.64276483580484e-18]
Train,[-0.009878703934432275],[-1.092829450741452e-16]
Train,[-0.009556682779136882],[-1.3113953408897423e-16]
Train,[-0.01197100236106722],[9.1069120895121e-18]
Train,[-0.005721019996918747],[0.034386940850618]
Train,[-0.0008252011778363847],[1.45985827106679e-06]
Train,[-0.0006619305148061768],[1.381861560628865e-06]
Train,[-0.01599847754975848],[-0.004030206474187182]
Train,[-0.004915683719723712],[-4.100950617578291e-06]
Train,[0.0014786663852438028],[0.04596011552868179]
Train,[-0.004759878093516789],[0.035023058718785624]
Train,[-0.00642199150876395],[2.4524253964638855e-06]
Train,[-0.01455992007107167],[-0.04635304026034097]
Train,[-0.003795502884319371],[8.766607765741092e-07]
Train,[-0.0037955028843367614],[8.766607766032513e-07]
Train,[-0.017512401092390502],[-0.040709636276467155]
Train,[-0.0010492192463098294],[5.282009011917018e-17]
Train,[-0.0116395105223706],[-5.46414725370726e-18]
Train,[-0.012015185971575816],[1.82138241790242e-18]
Train,[-0.012341683338784867],[9.471188573092583e-17]
Train,[0.008709279188908648],[-9.471188573092583e-17]
Train,[0.004791376973659237],[1.82138241790242e-18]
Train,[0.007718488399009365],[5.46414725370726e-18]
Train,[0.00985842117298236],[1.092829450741452e-17]
Train,[0.0002766099083420492],[-3.64276483580484e-18]
Train,[0.002972345609253554],[-1.3113953408897423e-16]
Train,[0.0028481522265224844],[-1.092829450741452e-16]
Train,[0.003599770416237452],[9.1069120895121e-18]
Train,[0.0004172052220191283],[5.282009011917018e-17]
Train,[-8.605028094941353e-05],[1.82138241790242e-18]
Train,[7.16062661609741e-05],[-5.46414725370726e-18]
Train,[0.0025687368069976855],[9.471188573092583e-17]
Train,[-0.009223604343663738],[-0.026621245462551197]
